# FLM14 run-6 per-seat dwell-fraction table (ADJ-13 export)
# J. C. Harvey, Melbourne - 2026-07-07. Tool: flm14_form6.py (exit 0).
# Cross-program stake: CH07-R2 root WELL-DEPTH-AT-CONTACT - the chemistry
# well is x17.2 too deep because seats count at FULL simultaneous weight;
# the dwell-WEIGHTED well uses THESE fractions. Instrument: two-channel
# tour (flm14_form4b dynamics verbatim, T_W=27), beta=0.20 (centre),
# 64 phase draws x 40,000 hops, measurement half, pooled per ADJ-8.
# dwell_frac = seat dwell time / total dwell time (the Born-mapped
# occupancy); visit_frac = landing-count fraction; dpv = dwell per visit;
# A_mf = memory-free per-hop |net wake deposit| (ADJ-13 measure).

# geometry seed 1: 42 seats, phase seeds 10001-10064, drift 0.0035 (PASS)
# seat  shell  radius      x        y        z     deg  z_eff  omega    dwell_frac   visit_frac   dpv          A_mf
   41      2   2.300   +1.588  +0.118  -1.660    6    6.0  0.2896  0.000000e+00  3.906250e-06  0.000000e+00  2.356155e-04

# geometry seed 2: 42 seats, phase seeds 20001-20064, drift 0.0639 (FAIL - DRIFT-GEOMETRY caveat)
# seat  shell  radius      x        y        z     deg  z_eff  omega    dwell_frac   visit_frac   dpv          A_mf
    0      0   1.000   -0.075  -0.236  +0.969    8    9.0  0.4290  2.602441e-01  4.402516e-01  2.497740e-04  1.081554e-01
    1      0   1.000   +0.726  -0.648  +0.229    7    8.0  0.3813  6.057623e-01  4.094242e-01  6.251669e-04  1.033561e-01
    2      0   1.000   -0.113  +0.743  +0.660    7    8.0  0.3813  4.060717e-02  1.998594e-02  8.585103e-04  4.471551e-02
    3      0   1.000   -0.384  -0.919  +0.086    8    9.0  0.4290  2.966617e-02  6.185703e-02  2.026467e-04  9.441679e-02
    4      0   1.000   +0.832  +0.413  -0.372    7    8.0  0.3813  1.291472e-02  1.416562e-02  3.852268e-04  4.068930e-02
    5      0   1.000   -0.954  +0.298  +0.021    7    8.0  0.3813  2.383488e-03  3.711719e-03  2.713346e-04  4.113394e-02
    6      0   1.000   +0.165  -0.544  -0.822    7    8.0  0.3813  5.671519e-03  7.041406e-03  3.403355e-04  3.880281e-02
    7      0   1.000   -0.249  +0.633  -0.733    7    8.0  0.3813  9.902966e-04  1.017969e-03  4.110533e-04  4.078704e-03
    8      1   1.550   -0.292  +0.458  +1.452    9    9.0  0.4290  1.487746e-02  1.139453e-02  5.516958e-04  3.707644e-02
    9      1   1.550   +1.047  -0.384  +1.076    8    8.0  0.3813  1.169681e-02  7.771875e-03  6.359296e-04  6.402323e-02
   10      1   1.550   -0.002  +1.332  +0.793   10   10.0  0.4767  1.767477e-03  6.200781e-03  1.204411e-04  3.438470e-02
   11      1   1.550   -0.302  -1.011  +1.135   11   11.0  0.5244  5.883244e-04  4.125781e-03  6.025289e-05  3.106170e-02
   12      1   1.550   +1.390  +0.675  +0.122   10   10.0  0.4767  1.026977e-03  6.927344e-03  6.264140e-05  2.732818e-02
   13      1   1.550   -1.329  +0.492  +0.628    8    8.0  0.3813  2.955498e-04  6.218750e-04  2.008144e-04  2.995876e-03
   14      1   1.550   +0.658  -1.331  +0.445    8    8.0  0.3813  9.394468e-03  3.214844e-03  1.234752e-03  2.673280e-02
   15      1   1.550   +0.385  +1.442  -0.419    9    9.0  0.4290  2.593000e-04  2.898438e-04  3.780123e-04  2.375737e-03
   16      1   1.550   -1.372  -0.719  -0.059   11   11.0  0.5244  5.090084e-05  2.882813e-04  7.460635e-05  4.780981e-03
   17      1   1.550   +1.120  -0.528  -0.932   10   10.0  0.4767  0.000000e+00  4.320313e-04  0.000000e+00  2.347000e-03
   18      1   1.550   -0.949  +0.576  -1.082    9    9.0  0.4290  0.000000e+00  2.500000e-05  0.000000e+00  3.682670e-04
   19      1   1.550   +0.065  -1.361  -0.739    9    9.0  0.4290  2.328254e-04  3.335938e-04  2.949034e-04  3.624097e-03
   20      1   1.550   -0.097  -0.205  -1.533   10   10.0  0.4767  0.000000e+00  4.843750e-05  0.000000e+00  5.432260e-04
   21      2   2.300   -0.615  -0.843  +2.050    6    6.0  0.2860  0.000000e+00  1.960938e-04  0.000000e+00  1.352856e-03
   22      2   2.300   -0.566  +1.152  +1.908    7    7.0  0.3337  6.329739e-04  1.437500e-04  1.860567e-03  1.283991e-03
   23      2   2.300   -1.872  -1.130  +0.715    6    6.0  0.2860  0.000000e+00  1.406250e-05  0.000000e+00  4.108956e-04
   24      2   2.300   +0.379  -0.718  +2.152    6    6.0  0.2860  1.366928e-04  1.054687e-04  5.476326e-04  8.464714e-04
   25      2   2.300   -1.512  +1.567  +0.740    6    6.0  0.2860  0.000000e+00  3.203125e-05  0.000000e+00  5.121898e-04
   26      2   2.300   -0.784  -2.093  +0.543    7    7.0  0.3337  0.000000e+00  2.187500e-05  0.000000e+00  3.082110e-04
   27      2   2.300   +0.774  +1.546  +1.517    7    7.0  0.3337  0.000000e+00  7.265625e-05  0.000000e+00  9.973948e-04
   28      2   2.300   -2.258  -0.137  -0.416    6    6.0  0.2860  0.000000e+00  2.343750e-06  0.000000e+00  5.335666e-05
   29      2   2.300   +0.905  -1.989  +0.719    6    6.0  0.2860  8.005036e-04  7.734375e-05  4.373260e-03  4.323717e-04
   30      2   2.300   -0.782  +2.147  +0.265    7    7.0  0.3337  0.000000e+00  1.015625e-05  0.000000e+00  3.565493e-04
   31      2   2.300   -0.875  -1.709  -1.266    7    7.0  0.3337  0.000000e+00  7.812500e-06  0.000000e+00  4.932482e-05
   32      2   2.300   +2.161  +0.177  +0.767    6    6.0  0.2860  0.000000e+00  8.203125e-05  0.000000e+00  1.010945e-03
   33      2   2.300   -1.560  +1.004  -1.360    7    7.0  0.3337  0.000000e+00  1.562500e-06  0.000000e+00  8.127254e-06
   34      2   2.300   +0.946  -2.042  -0.475    7    7.0  0.3337  0.000000e+00  5.937500e-05  0.000000e+00  1.972648e-04
   35      2   2.300   +1.491  +1.739  -0.201    6    6.0  0.2860  0.000000e+00  1.953125e-05  0.000000e+00  5.447350e-04
   36      2   2.300   -0.872  -0.258  -2.113    8    8.0  0.3813  0.000000e+00  0.000000e+00  0.000000e+00  5.847220e-06
   37      2   2.300   +2.205  -0.641  -0.125    6    6.0  0.2860  0.000000e+00  1.328125e-05  0.000000e+00  4.819923e-04
   38      2   2.300   -0.173  +1.639  -1.604    8    8.0  0.3813  0.000000e+00  0.000000e+00  0.000000e+00  1.849009e-05
   39      2   2.300   +0.824  -1.426  -1.605    6    6.0  0.2860  0.000000e+00  3.125000e-06  0.000000e+00  5.304596e-05
   40      2   2.300   +1.728  +0.746  -1.321    7    7.0  0.3337  0.000000e+00  5.468750e-06  0.000000e+00  3.778751e-04
   41      2   2.300   +0.425  +0.409  -2.223    6    6.0  0.2860  0.000000e+00  2.343750e-06  0.000000e+00  2.428896e-05
