#   1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18
Radius(fm)    3H-SOG-Ju85  3He-SOG-MC77   4He-SOG-Si82   12C-SOG-Si82    16O-SOG-Si70b  24Mg-SOG-Li74  28Si-SOG-Li74 32S-SOG-Li74   39K-SOG-Si74   40Ca-SOG-Si79 48Ca-SOG-Si74 58Ni-SOG-Ca80b 116Sn-SOG-Ca82a 124Sn-SOG-Ca82a 205Tl-SOG-Fr83 206Pb-SOG-Fr83 208Pb-SOG-Fr77a 
#Z                 1              2              2              6              8              12              14            16             19             20             20             28             50             50             81             82             82
#A                 3              3              4             12             16              24              28            32             39             40             48             58            116            124            205            206            208
0.310          0.194689       0.155405       0.224845       0.16547        0.150172       0.16367        0.16722        0.182498       0.186238       0.175329       0.190659       0.166926       0.149494       0.148048       0.145716       0.163076       0.158992       
0.320          0.194217       0.155268       0.224881       0.165519       0.150271       0.163702       0.167292       0.182437       0.186094       0.175242       0.190604       0.166877       0.149542       0.148097       0.145754       0.163061       0.158964       
0.330          0.19373        0.155122       0.224908       0.165569       0.150372       0.163734       0.167365       0.182375       0.185946       0.175154       0.190547       0.166827       0.149591       0.148148       0.145794       0.163045       0.158936       
0.340          0.193227       0.154968       0.224925       0.16562        0.150475       0.163766       0.167439       0.182311       0.185794       0.175063       0.190488       0.166776       0.149642       0.1482         0.145834       0.163029       0.158907       
0.350          0.192708       0.154804       0.224931       0.165671       0.15058        0.163799       0.167514       0.182245       0.185638       0.17497        0.190428       0.166724       0.149694       0.148254       0.145876       0.163012       0.158877       
0.360          0.192174       0.154631       0.224926       0.165723       0.150687       0.163832       0.16759        0.182178       0.185479       0.174874       0.190366       0.16667        0.149747       0.148309       0.145918       0.162995       0.158847       
0.370          0.191623       0.154447       0.224908       0.165776       0.150796       0.163865       0.167667       0.182109       0.185316       0.174777       0.190302       0.166615       0.149801       0.148365       0.145961       0.162977       0.158816       
0.380          0.191057       0.154253       0.224878       0.165829       0.150906       0.163898       0.167744       0.182038       0.18515        0.174678       0.190237       0.166559       0.149856       0.148423       0.146005       0.162958       0.158784       
0.390          0.190475       0.154049       0.224833       0.165883       0.151018       0.163931       0.167823       0.181966       0.184981       0.174577       0.19017        0.166501       0.149913       0.148482       0.146049       0.162938       0.158752       
0.400          0.189876       0.153833       0.224774       0.165937       0.151132       0.163964       0.167902       0.181892       0.184808       0.174473       0.190102       0.166443       0.149971       0.148542       0.146095       0.162917       0.158719       
0.410          0.189262       0.153606       0.224699       0.165991       0.151247       0.163996       0.167981       0.181817       0.184631       0.174368       0.190031       0.166383       0.15003        0.148603       0.146141       0.162896       0.158685       
0.420          0.188631       0.153367       0.224607       0.166046       0.151363       0.164029       0.168061       0.18174        0.184452       0.174261       0.18996        0.166322       0.150091       0.148666       0.146187       0.162874       0.15865        
