#   1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18             19             20             21             22             23             24             25             26             27             28             29             30             31             32             33             34             35             36             37             38             39             40             41             42             43             44             45             46             47             48             49             50             51             52             53             54             55             56             57             58             59             60             61             62             63             64             65             66             67             68             69             70             71             72             73             74             75             76             77             78             79             80             81             
Radius(fm)    3H-FB-Be84   3He-FB-Re84b    6Li-FB-Amin16  10B-FB-Amin16  12C-FB-Ca80a   12C-FB-Re82    15N-FB-Vr86    16O-FB-La82    27Al-FB-Ro86   28Si-FB-Mi82  29Si-FB-Mi82   30Si-FB-We93   31P-FB-Me76    32S-FB-Ry83a   34S-FB-Ry83a   36S-FB-Ry83a   40Ar-FB-Ot82   40Ca-FB-Em83b  48Ca-FB-Em83b  48Ti-FB-Se85   50Ti-FB-Se85   50Cr-FB-Li83   52Cr-FB-Li83   54Cr-FB-Li83   54Fe-FB-Wo76    56Fe-FB-Wo76   58Fe-FB-Wo76   59Co-FB-Sc77   58Ni-FB-Be83   58Ni-FB-Wo76   60Ni-FB-Be83   60Ni-FB-Wo76   60Ni-FB-Wo80   62Ni-FB-Wo76   64Ni-FB-Wo76   63Cu-FB-Sc77   65Cu-FB-Sc77   64Zn-FB-Wo76   66Zn-FB-Wo76   68Zn-FB-Wo76   70Zn-FB-Wo76   70Ge-FB-Ma84   72Ge-FB-Ma84  74Ge-FB-Ma84    76Ge-FB-Ma84  88Sr-FB-St76    90Zr-FB-Ro76   92Zr-FB-Ro76   94Zr-FB-Ro76   92Mo-FB-Dr75   94Mo-FB-Dr75   96Mo-FB-Dr75   98Mo-FB-Dr75  100Mo-FB-Dr75   104Pd-FB-La86  106Pd-FB-La86  108Pd-FB-La86  110Pd-FB-La86  144Sm-FB-Mo81  148Sm-FB-Ho80  148Sm-FB-Mo81  150Sm-FB-Mo81  152Sm-FB-Ho80  152Sm-FB-Mo81  154Sm-FB-Ho80  154Gd-FB-He82  158Gd-FB-Mu84  166Er-FB-Ca78  174Yb-FB-Sa79  175Lu-FB-Sa79  192Os-FB-Bo88  196Pt-FB-Bo83  203Tl-FB-Eu78  205T1-FB-Eu78  204Pb-FB-Eu78  206Pb-FB-Eu78  207Pb-FB-Eu78  208Pb-FB-Fr77b 208Pb-FB-Eu78  209Bi-FB-Eu78
#Z                1              2              3              5              6              6              7              8             13             14             14             14             15             15             15             16             18             20             20             22             22             24             24             24             26             26             26             27             28             28             28             28             28             28             28             29             29             30             30             30             30             32             32             32             32             38             40             40             40             42             42             42             42             42             46             46             46             46             62             62             62             62             62             62             62             64             64             68             70             71             76             78             81             81             82             82             82             82             82             83
#A                3              3              6             10             12             12             15             16             27             28             29             30             31             32             34             36             40             40             48             48             50             50             52             54             54             56             58             59             58             58             60             60             60             62             63             63             65             64             66             68             70             70             72             74             76             88             98             92             94             92             92             96             98            100            104            106            108            110            144            148            148            150            152            152            154            154            158            166            174            175            192            196            203            205            204            207            207            208            208            209
0.000        0.223962       0.103828       0.149556       0.285286       0.163878       0.163174       0.158574       0.149192       0.163098       0.169597       0.165666       0.163512       0.173694       0.192088       0.197593       0.19763        0.169359       0.173452       0.191647       0.171965       0.188256       0.16197        0.172229       0.174393       0.16675        0.166716       0.176001       0.17651        0.167208       0.166075       0.171606       0.174603       0.193321       0.172954       0.17713        0.174183       0.175273       0.166038       0.171384       0.178909       0.180806       0.166466       0.167484       0.167909       0.168772       0.156863       0.168844       0.155435       0.155968       0.150756       0.145788       0.150499       0.156885       0.158996       0.165892       0.171234       0.159623       0.161041       0.108578       0.14694        0.123954       0.134062       0.149621       0.148327       0.145673       0.148712       0.145279       0.167751       0.114549       0.129612       0.152443       0.151784       0.147283       0.152259       0.166613       0.167003       0.169258       0.164756       0.161048       0.165441       
0.010        0.22395        0.103818       0.149552       0.285275       0.16388        0.163175       0.158577       0.149194       0.163099       0.169597       0.165667       0.163513       0.173694       0.192088       0.197592       0.197629       0.16936        0.173451       0.191646       0.171964       0.188254       0.161971       0.172229       0.174393       0.166749       0.166716       0.176          0.176509       0.167207       0.166075       0.171606       0.174602       0.19332        0.172954       0.177129       0.174181       0.175272       0.166038       0.171383       0.178908       0.180805       0.166466       0.167484       0.167909       0.168772       0.156864       0.168845       0.155436       0.15597        0.150757       0.145789       0.150501       0.156886       0.158996       0.165891       0.171234       0.159624       0.161041       0.108581       0.146941       0.123956       0.134065       0.149621       0.148328       0.145674       0.148712       0.145279       0.167751       0.114549       0.129612       0.152443       0.151784       0.147283       0.152258       0.166612       0.167002       0.169257       0.164755       0.161048       0.16544        
0.020        0.223914       0.103788       0.149539       0.285241       0.163883       0.16318        0.158586       0.1492         0.163102       0.169598       0.165669       0.163515       0.173694       0.192085       0.19759        0.197625       0.169362       0.173447       0.191642       0.171963       0.18825        0.161974       0.17223        0.174391       0.166747       0.166715       0.175997       0.176504       0.167205       0.166073       0.171603       0.174598       0.193315       0.172951       0.177125       0.174178       0.175269       0.166037       0.171382       0.178905       0.1808         0.166467       0.167485       0.167909       0.168772       0.156866       0.168848       0.155439       0.155974       0.15076        0.145793       0.150504       0.156887       0.158997       0.165891       0.171232       0.159625       0.161042       0.108591       0.146943       0.123963       0.134074       0.149622       0.14833        0.145675       0.148713       0.14528        0.167748       0.114551       0.129613       0.152442       0.151783       0.147283       0.152257       0.166609       0.166999       0.169253       0.164753       0.161046       0.165437       
0.030        0.223853       0.103738       0.149517       0.285186       0.163889       0.163188       0.158601       0.149211       0.163106       0.169599       0.165674       0.163519       0.173694       0.192082       0.197586       0.197617       0.169365       0.173442       0.191636       0.171961       0.188242       0.161979       0.17223        0.174389       0.166743       0.166714       0.175992       0.176498       0.167202       0.16607        0.171599       0.174593       0.193308       0.172948       0.17712        0.174173       0.175263       0.166037       0.17138        0.178899       0.180792       0.166469       0.167486       0.167908       0.168771       0.15687        0.168854       0.155444       0.155981       0.150766       0.145799       0.15051        0.15689        0.158999       0.16589        0.171229       0.159627       0.161043       0.108607       0.146946       0.123974       0.134089       0.149623       0.148333       0.145678       0.148715       0.145281       0.167745       0.114553       0.129616       0.152441       0.151782       0.147282       0.152255       0.166604       0.166995       0.169248       0.164749       0.161043       0.165431       
0.040        0.223769       0.103668       0.149487       0.285107       0.163898       0.163198       0.158622       0.149225       0.163112       0.169601       0.16568        0.163524       0.173694       0.192077       0.19758        0.197608       0.16937        0.173434       0.191628       0.171957       0.188231       0.161986       0.172231       0.174386       0.166738       0.166712       0.175984       0.176488       0.167196       0.166066       0.171594       0.174585       0.193298       0.172942       0.177111       0.174165       0.175256       0.166036       0.171377       0.17889        0.180781       0.166471       0.167487       0.167908       0.168771       0.156876       0.168862       0.155451       0.155992       0.150774       0.145808       0.150519       0.156893       0.159001       0.165889       0.171224       0.15963        0.161045       0.10863        0.146951       0.123989       0.13411        0.149624       0.148337       0.145682       0.148716       0.145283       0.16774        0.114556       0.129619       0.152439       0.151781       0.147282       0.152251       0.166597       0.166988       0.16924        0.164744       0.161039       0.165423       
0.050        0.223661       0.103578       0.149448       0.285007       0.163909       0.163212       0.158648       0.149243       0.16312        0.169602       0.165689       0.16353        0.173693       0.19207        0.197573       0.197595       0.169376       0.173423       0.191617       0.171953       0.188218       0.161995       0.172231       0.174381       0.166732       0.166709       0.175975       0.176475       0.16719        0.166061       0.171587       0.174575       0.193285       0.172936       0.177101       0.174155       0.175247       0.166035       0.171374       0.17888        0.180767       0.166473       0.167489       0.167907       0.16877        0.156884       0.168872       0.15546        0.156005       0.150785       0.14582        0.15053        0.156898       0.159004       0.165888       0.171219       0.159634       0.161047       0.108659       0.146957       0.124008       0.134137       0.149626       0.148343       0.145686       0.148719       0.145284       0.167734       0.11456        0.129624       0.152437       0.151778       0.147281       0.152247       0.166588       0.16698        0.169229       0.164737       0.161035       0.165413       
0.060        0.223528       0.103468       0.1494         0.284884       0.163922       0.163229       0.158681       0.149266       0.16313        0.169605       0.165699       0.163538       0.173693       0.192062       0.197564       0.197579       0.169383       0.173411       0.191603       0.171948       0.188201       0.162006       0.172232       0.174376       0.166724       0.166706       0.175963       0.17646        0.167182       0.166055       0.171579       0.174563       0.193269       0.172928       0.177088       0.174143       0.175236       0.166034       0.171369       0.178867       0.18075        0.166477       0.16749        0.167906       0.168769       0.156893       0.168885       0.155471       0.15602        0.150797       0.145833       0.150544       0.156903       0.159008       0.165886       0.171212       0.159639       0.16105        0.108695       0.146964       0.124031       0.13417        0.149628       0.148351       0.145692       0.148722       0.145287       0.167726       0.114565       0.129629       0.152434       0.151776       0.14728        0.152242       0.166577       0.16697        0.169217       0.164729       0.161029       0.165401       
0.070        0.223372       0.103339       0.149344       0.284739       0.163938       0.163249       0.158719       0.149292       0.163142       0.169607       0.165711       0.163547       0.173693       0.192052       0.197553       0.197561       0.169392       0.173396       0.191587       0.171942       0.188181       0.162019       0.172233       0.17437        0.166714       0.166702       0.17595        0.176442       0.167172       0.166047       0.171569       0.174548       0.19325        0.172918       0.177073       0.174128       0.175222       0.166032       0.171364       0.178852       0.18073        0.16648        0.167493       0.167905       0.168768       0.156904       0.1689         0.155484       0.156039       0.150812       0.14585        0.150559       0.156909       0.159012       0.165884       0.171204       0.159645       0.161054       0.108737       0.146973       0.124059       0.134209       0.149631       0.148359       0.145699       0.148725       0.14529        0.167717       0.114571       0.129635       0.152431       0.151773       0.147279       0.152237       0.166565       0.166959       0.169202       0.164719       0.161022       0.165387       
0.080        0.223191       0.10319        0.149279       0.284572       0.163956       0.163272       0.158763       0.149322       0.163155       0.16961        0.165725       0.163558       0.173692       0.192041       0.197541       0.19754        0.169402       0.173379       0.191568       0.171935       0.188158       0.162034       0.172235       0.174362       0.166703       0.166698       0.175934       0.176422       0.167161       0.166039       0.171557       0.174532       0.193229       0.172907       0.177056       0.174112       0.175207       0.16603        0.171358       0.178834       0.180707       0.166485       0.167495       0.167904       0.168767       0.156916       0.168917       0.155499       0.156061       0.150829       0.145869       0.150578       0.156916       0.159017       0.165882       0.171195       0.159652       0.161057       0.108786       0.146983       0.124091       0.134255       0.149634       0.148369       0.145707       0.148729       0.145293       0.167707       0.114577       0.129642       0.152427       0.151769       0.147278       0.15223        0.16655        0.166945       0.169185       0.164708       0.161014       0.16537        
0.090        0.222987       0.103022       0.149205       0.284382       0.163976       0.163298       0.158813       0.149357       0.16317        0.169614       0.16574        0.16357        0.173692       0.192028       0.197527       0.197516       0.169413       0.17336        0.191548       0.171927       0.188132       0.16205        0.172236       0.174354       0.166691       0.166694       0.175916       0.176398       0.167149       0.166029       0.171544       0.174513       0.193204       0.172894       0.177036       0.174093       0.175189       0.166028       0.171352       0.178814       0.180681       0.16649        0.167499       0.167902       0.168766       0.156931       0.168937       0.155516       0.156085       0.150848       0.14589        0.150599       0.156925       0.159023       0.165879       0.171185       0.159659       0.161062       0.108841       0.146994       0.124128       0.134306       0.149637       0.14838        0.145716       0.148734       0.145297       0.167695       0.114585       0.12965        0.152423       0.151765       0.147277       0.152222       0.166533       0.16693        0.169165       0.164695       0.161004       0.165351       
