T_surf(Jup) = 10318.8694 SI s
J_day       = 35730.0000 SI s
k           = 7042.51
z           = 2.016253e-08

Scanning: what division D of Jupiter's day gives T = N^2 ticks?
tick = J_day / D,  T_in_ticks = T / tick = T * D / J_day

D           T_in_ticks      sqrt   nearest_N      err%    tick(SI_s)
69823         20164.97  142.0034         142    0.0048      0.511722
69824         20165.26  142.0044         142    0.0062      0.511715
69825         20165.55  142.0055         142    0.0077      0.511708
69826         20165.84  142.0065         142    0.0091      0.511701
70800         20447.13  142.9935         143    0.0091      0.504661
70801         20447.42  142.9945         143    0.0077      0.504654
70802         20447.71  142.9955         143    0.0063      0.504647
70803         20448.00  142.9965         143    0.0049      0.504640
70804         20448.29  142.9975         143    0.0035      0.504633
70805         20448.57  142.9985         143    0.0021      0.504625
70806         20448.86  142.9995         143    0.0007      0.504618
70807         20449.15  143.0005         143    0.0007      0.504611
70808         20449.44  143.0015         143    0.0022      0.504604
70809         20449.73  143.0025         143    0.0036      0.504597
70810         20450.02  143.0036         143    0.0050      0.504590
70811         20450.31  143.0046         143    0.0064      0.504583
70812         20450.60  143.0056         143    0.0078      0.504575
70813         20450.88  143.0066         143    0.0092      0.504568
71794         20734.20  143.9937         144    0.0087      0.497674
71795         20734.49  143.9947         144    0.0073      0.497667
71796         20734.78  143.9957         144    0.0059      0.497660
71797         20735.06  143.9968         144    0.0045      0.497653
71798         20735.35  143.9978         144    0.0031      0.497646
71799         20735.64  143.9988         144    0.0017      0.497639
71800         20735.93  143.9998         144    0.0003      0.497632
71801         20736.22  144.0008         144    0.0011      0.497625
71802         20736.51  144.0018         144    0.0025      0.497618
71803         20736.80  144.0028         144    0.0038      0.497612
71804         20737.09  144.0038         144    0.0052      0.497605
71805         20737.38  144.0048         144    0.0066      0.497598
71806         20737.66  144.0058         144    0.0080      0.497591
71807         20737.95  144.0068         144    0.0094      0.497584
72794         21023.00  144.9931         145    0.0095      0.490837
72795         21023.29  144.9941         145    0.0081      0.490830
72796         21023.58  144.9951         145    0.0068      0.490824
72797         21023.87  144.9961         145    0.0054      0.490817
72798         21024.15  144.9971         145    0.0040      0.490810
72799         21024.44  144.9981         145    0.0026      0.490803
72800         21024.73  144.9991         145    0.0013      0.490797
72801         21025.02  145.0001         145    0.0001      0.490790
72802         21025.31  145.0011         145    0.0015      0.490783
72803         21025.60  145.0021         145    0.0028      0.490776
72804         21025.89  145.0031         145    0.0042      0.490770
72805         21026.18  145.0041         145    0.0056      0.490763
72806         21026.47  145.0051         145    0.0070      0.490756
72807         21026.75  145.0060         145    0.0083      0.490750
72808         21027.04  145.0070         145    0.0097      0.490743
73802         21314.11  145.9935         146    0.0089      0.484133
73803         21314.40  145.9945         146    0.0075      0.484127
73804         21314.69  145.9955         146    0.0062      0.484120
73805         21314.98  145.9965         146    0.0048      0.484114
73806         21315.27  145.9975         146    0.0034      0.484107
73807         21315.56  145.9985         146    0.0021      0.484100
73808         21315.84  145.9995         146    0.0007      0.484094
73809         21316.13  146.0005         146    0.0006      0.484087
73810         21316.42  146.0014         146    0.0020      0.484081
73811         21316.71  146.0024         146    0.0033      0.484074
73812         21317.00  146.0034         146    0.0047      0.484068
73813         21317.29  146.0044         146    0.0060      0.484061
73814         21317.58  146.0054         146    0.0074      0.484055
73815         21317.87  146.0064         146    0.0088      0.484048
74816         21606.96  146.9930         147    0.0095      0.477572
74817         21607.24  146.9940         147    0.0081      0.477565
74818         21607.53  146.9950         147    0.0068      0.477559
74819         21607.82  146.9960         147    0.0055      0.477552
74820         21608.11  146.9970         147    0.0041      0.477546
74821         21608.40  146.9980         147    0.0028      0.477540
74822         21608.69  146.9989         147    0.0014      0.477533
74823         21608.98  146.9999         147    0.0001      0.477527
74824         21609.27  147.0009         147    0.0012      0.477521
74825         21609.55  147.0019         147    0.0026      0.477514
74826         21609.84  147.0029         147    0.0039      0.477508
74827         21610.13  147.0039         147    0.0052      0.477501
74828         21610.42  147.0048         147    0.0066      0.477495
74829         21610.71  147.0058         147    0.0079      0.477489
74830         21611.00  147.0068         147    0.0093      0.477482
75837         21901.82  147.9926         148    0.0099      0.471142
75838         21902.11  147.9936         148    0.0086      0.471136
75839         21902.40  147.9946         148    0.0073      0.471130
75840         21902.69  147.9956         148    0.0060      0.471123
75841         21902.98  147.9965         148    0.0047      0.471117
75842         21903.27  147.9975         148    0.0034      0.471111
75843         21903.55  147.9985         148    0.0020      0.471105
75844         21903.84  147.9995         148    0.0007      0.471099
75845         21904.13  148.0004         148    0.0006      0.471092
75846         21904.42  148.0014         148    0.0019      0.471086
75847         21904.71  148.0024         148    0.0032      0.471080
75848         21905.00  148.0034         148    0.0046      0.471074
75849         21905.29  148.0043         148    0.0059      0.471068
75850         21905.58  148.0053         148    0.0072      0.471061
75851         21905.87  148.0063         148    0.0085      0.471055
75852         21906.15  148.0073         148    0.0098      0.471049
76866         22199.00  148.9933         149    0.0090      0.464835
76867         22199.29  148.9943         149    0.0077      0.464829
76868         22199.58  148.9952         149    0.0064      0.464823
76869         22199.86  148.9962         149    0.0051      0.464817
76870         22200.15  148.9972         149    0.0038      0.464811
76871         22200.44  148.9981         149    0.0025      0.464805
76872         22200.73  148.9991         149    0.0012      0.464799
76873         22201.02  149.0001         149    0.0001      0.464793
76874         22201.31  149.0010         149    0.0014      0.464787
76875         22201.60  149.0020         149    0.0027      0.464780
76876         22201.89  149.0030         149    0.0040      0.464774
76877         22202.18  149.0039         149    0.0053      0.464768
76878         22202.46  149.0049         149    0.0066      0.464762
76879         22202.75  149.0059         149    0.0079      0.464756
76880         22203.04  149.0069         149    0.0092      0.464750
77901         22497.91  149.9930         150    0.0093      0.458659
77902         22498.20  149.9940         150    0.0080      0.458653
77903         22498.49  149.9950         150    0.0067      0.458647
77904         22498.77  149.9959         150    0.0054      0.458641
77905         22499.06  149.9969         150    0.0042      0.458636
77906         22499.35  149.9978         150    0.0029      0.458630
77907         22499.64  149.9988         150    0.0016      0.458624
77908         22499.93  149.9998         150    0.0003      0.458618
77909         22500.22  150.0007         150    0.0010      0.458612
77910         22500.51  150.0017         150    0.0023      0.458606
77911         22500.80  150.0027         150    0.0035      0.458600
77912         22501.08  150.0036         150    0.0048      0.458594
77913         22501.37  150.0046         150    0.0061      0.458588
77914         22501.66  150.0055         150    0.0074      0.458583
77915         22501.95  150.0065         150    0.0087      0.458577
77916         22502.24  150.0075         150    0.0100      0.458571
78943         22798.84  150.9928         151    0.0095      0.452605
78944         22799.13  150.9938         151    0.0082      0.452599
78945         22799.42  150.9948         151    0.0069      0.452594
78946         22799.71  150.9957         151    0.0057      0.452588
78947         22799.99  150.9967         151    0.0044      0.452582
78948         22800.28  150.9976         151    0.0031      0.452576
78949         22800.57  150.9986         151    0.0019      0.452571
78950         22800.86  150.9995         151    0.0006      0.452565
78951         22801.15  151.0005         151    0.0007      0.452559
78952         22801.44  151.0014         151    0.0019      0.452553
78953         22801.73  151.0024         151    0.0032      0.452548
78954         22802.02  151.0034         151    0.0045      0.452542
78955         22802.30  151.0043         151    0.0057      0.452536
78956         22802.59  151.0053         151    0.0070      0.452531
78957         22802.88  151.0062         151    0.0083      0.452525
78958         22803.17  151.0072         151    0.0095      0.452519
79992         23101.79  151.9927         152    0.0096      0.446670
79993         23102.08  151.9937         152    0.0083      0.446664
79994         23102.37  151.9946         152    0.0071      0.446658
79995         23102.66  151.9956         152    0.0058      0.446653
79996         23102.95  151.9965         152    0.0046      0.446647
79997         23103.24  151.9975         152    0.0033      0.446642
79998         23103.52  151.9984         152    0.0021      0.446636
79999         23103.81  151.9994         152    0.0008      0.446631
80000         23104.10  152.0003         152    0.0004      0.446625
80001         23104.39  152.0013         152    0.0017      0.446619
80002         23104.68  152.0022         152    0.0029      0.446614
80003         23104.97  152.0032         152    0.0042      0.446608
80004         23105.26  152.0041         152    0.0054      0.446603
80005         23105.55  152.0051         152    0.0067      0.446597
80006         23105.83  152.0060         152    0.0079      0.446592
80007         23106.12  152.0070         152    0.0092      0.446586
81048         23406.77  152.9927         153    0.0095      0.440850
81049         23407.05  152.9936         153    0.0083      0.440844
81050         23407.34  152.9946         153    0.0071      0.440839
81051         23407.63  152.9955         153    0.0058      0.440834
81052         23407.92  152.9965         153    0.0046      0.440828
81053         23408.21  152.9974         153    0.0034      0.440823
81054         23408.50  152.9984         153    0.0021      0.440817
81055         23408.79  152.9993         153    0.0009      0.440812
81056         23409.08  153.0002         153    0.0003      0.440806
81057         23409.36  153.0012         153    0.0016      0.440801
81058         23409.65  153.0021         153    0.0028      0.440795
81059         23409.94  153.0031         153    0.0040      0.440790
81060         23410.23  153.0040         153    0.0053      0.440785
81061         23410.52  153.0050         153    0.0065      0.440779
81062         23410.81  153.0059         153    0.0077      0.440774
81063         23411.10  153.0069         153    0.0090      0.440768
82111         23713.76  153.9927         154    0.0094      0.435143
82112         23714.05  153.9937         154    0.0082      0.435137
82113         23714.34  153.9946         154    0.0070      0.435132
82114         23714.63  153.9955         154    0.0058      0.435127
82115         23714.92  153.9965         154    0.0046      0.435121
82116         23715.21  153.9974         154    0.0034      0.435116
82117         23715.49  153.9984         154    0.0021      0.435111
82118         23715.78  153.9993         154    0.0009      0.435106
82119         23716.07  154.0002         154    0.0003      0.435100
82120         23716.36  154.0012         154    0.0015      0.435095
82121         23716.65  154.0021         154    0.0027      0.435090
82122         23716.94  154.0030         154    0.0040      0.435084
82123         23717.23  154.0040         154    0.0052      0.435079
82124         23717.52  154.0049         154    0.0064      0.435074
82125         23717.80  154.0059         154    0.0076      0.435068
82126         23718.09  154.0068         154    0.0088      0.435063
83181         24022.78  154.9928         155    0.0092      0.429545
83182         24023.07  154.9938         155    0.0080      0.429540
83183         24023.36  154.9947         155    0.0068      0.429535
83184         24023.64  154.9956         155    0.0056      0.429530
83185         24023.93  154.9966         155    0.0044      0.429525
83186         24024.22  154.9975         155    0.0032      0.429519
83187         24024.51  154.9984         155    0.0020      0.429514
83188         24024.80  154.9994         155    0.0008      0.429509
83189         24025.09  155.0003         155    0.0004      0.429504
83190         24025.38  155.0012         155    0.0016      0.429499
83191         24025.67  155.0021         155    0.0028      0.429494
83192         24025.96  155.0031         155    0.0040      0.429488
83193         24026.24  155.0040         155    0.0052      0.429483
83194         24026.53  155.0049         155    0.0064      0.429478
83195         24026.82  155.0059         155    0.0076      0.429473
83196         24027.11  155.0068         155    0.0088      0.429468
83197         24027.40  155.0077         155    0.0100      0.429463
84258         24333.82  155.9930         156    0.0090      0.424055
84259         24334.11  155.9939         156    0.0078      0.424050
84260         24334.39  155.9949         156    0.0066      0.424045
84261         24334.68  155.9958         156    0.0054      0.424040
84262         24334.97  155.9967         156    0.0042      0.424035
84263         24335.26  155.9976         156    0.0030      0.424030
84264         24335.55  155.9986         156    0.0018      0.424024
84265         24335.84  155.9995         156    0.0007      0.424019
84266         24336.13  156.0004         156    0.0005      0.424014
84267         24336.42  156.0013         156    0.0017      0.424009
84268         24336.71  156.0023         156    0.0029      0.424004
84269         24336.99  156.0032         156    0.0041      0.423999
84270         24337.28  156.0041         156    0.0053      0.423994
84271         24337.57  156.0050         156    0.0065      0.423989
84272         24337.86  156.0060         156    0.0076      0.423984
84273         24338.15  156.0069         156    0.0088      0.423979
85341         24646.59  156.9923         157    0.0098      0.418673
85342         24646.88  156.9932         157    0.0086      0.418668
85343         24647.17  156.9942         157    0.0074      0.418664
85344         24647.46  156.9951         157    0.0063      0.418659
85345         24647.74  156.9960         157    0.0051      0.418654
85346         24648.03  156.9969         157    0.0039      0.418649
85347         24648.32  156.9978         157    0.0028      0.418644
85348         24648.61  156.9988         157    0.0016      0.418639
85349         24648.90  156.9997         157    0.0004      0.418634
85350         24649.19  157.0006         157    0.0008      0.418629
85351         24649.48  157.0015         157    0.0019      0.418624
85352         24649.77  157.0024         157    0.0031      0.418619
85353         24650.05  157.0034         157    0.0043      0.418614
85354         24650.34  157.0043         157    0.0055      0.418610
85355         24650.63  157.0052         157    0.0066      0.418605
85356         24650.92  157.0061         157    0.0078      0.418600
85357         24651.21  157.0070         157    0.0090      0.418595
86432         24961.67  157.9926         158    0.0093      0.413389
86433         24961.96  157.9935         158    0.0082      0.413384
86434         24962.25  157.9945         158    0.0070      0.413379
86435         24962.54  157.9954         158    0.0059      0.413374
86436         24962.83  157.9963         158    0.0047      0.413369
86437         24963.12  157.9972         158    0.0035      0.413365
86438         24963.40  157.9981         158    0.0024      0.413360
86439         24963.69  157.9990         158    0.0012      0.413355
86440         24963.98  157.9999         158    0.0001      0.413350
86441         24964.27  158.0009         158    0.0011      0.413346
86442         24964.56  158.0018         158    0.0022      0.413341
86443         24964.85  158.0027         158    0.0034      0.413336
86444         24965.14  158.0036         158    0.0046      0.413331
86445         24965.43  158.0045         158    0.0057      0.413326
86446         24965.71  158.0054         158    0.0069      0.413322
86447         24966.00  158.0063         158    0.0080      0.413317
86448         24966.29  158.0073         158    0.0092      0.413312
87529         25278.49  158.9921         159    0.0099      0.408208
87530         25278.78  158.9930         159    0.0088      0.408203
87531         25279.06  158.9939         159    0.0077      0.408198
87532         25279.35  158.9948         159    0.0065      0.408194
87533         25279.64  158.9957         159    0.0054      0.408189
87534         25279.93  158.9966         159    0.0042      0.408184
87535         25280.22  158.9975         159    0.0031      0.408180
87536         25280.51  158.9985         159    0.0019      0.408175
87537         25280.80  158.9994         159    0.0008      0.408170
87538         25281.09  159.0003         159    0.0003      0.408166
87539         25281.37  159.0012         159    0.0015      0.408161
87540         25281.66  159.0021         159    0.0026      0.408156
87541         25281.95  159.0030         159    0.0038      0.408152
87542         25282.24  159.0039         159    0.0049      0.408147
87543         25282.53  159.0048         159    0.0061      0.408142
87544         25282.82  159.0057         159    0.0072      0.408138
87545         25283.11  159.0066         159    0.0083      0.408133
87546         25283.40  159.0075         159    0.0095      0.408128
88634         25597.61  159.9925         160    0.0093      0.403118
88635         25597.90  159.9934         160    0.0082      0.403114
88636         25598.19  159.9943         160    0.0071      0.403109
88637         25598.48  159.9952         160    0.0059      0.403105
88638         25598.77  159.9961         160    0.0048      0.403100
88639         25599.06  159.9970         160    0.0037      0.403096
88640         25599.34  159.9980         160    0.0026      0.403091
88641         25599.63  159.9989         160    0.0014      0.403087
88642         25599.92  159.9998         160    0.0003      0.403082
88643         25600.21  160.0007         160    0.0008      0.403078
88644         25600.50  160.0016         160    0.0020      0.403073
88645         25600.79  160.0025         160    0.0031      0.403068
88646         25601.08  160.0034         160    0.0042      0.403064
88647         25601.37  160.0043         160    0.0053      0.403059
88648         25601.65  160.0052         160    0.0065      0.403055
88649         25601.94  160.0061         160    0.0076      0.403050
88650         25602.23  160.0070         160    0.0087      0.403046
88651         25602.52  160.0079         160    0.0098      0.403041
89745         25918.47  160.9921         161    0.0098      0.398128
89746         25918.76  160.9930         161    0.0086      0.398124
89747         25919.05  160.9939         161    0.0075      0.398119
89748         25919.34  160.9948         161    0.0064      0.398115
89749         25919.63  160.9957         161    0.0053      0.398110
89750         25919.91  160.9966         161    0.0042      0.398106
89751         25920.20  160.9975         161    0.0031      0.398101
89752         25920.49  160.9984         161    0.0020      0.398097
89753         25920.78  160.9993         161    0.0008      0.398093
89754         25921.07  161.0002         161    0.0003      0.398088
89755         25921.36  161.0011         161    0.0014      0.398084
89756         25921.65  161.0020         161    0.0025      0.398079
89757         25921.94  161.0029         161    0.0036      0.398075
89758         25922.22  161.0038         161    0.0047      0.398070
89759         25922.51  161.0047         161    0.0058      0.398066
89760         25922.80  161.0056         161    0.0070      0.398061
89761         25923.09  161.0065         161    0.0081      0.398057
89762         25923.38  161.0074         161    0.0092      0.398053
90864         26241.64  161.9927         162    0.0090      0.393225
90865         26241.93  161.9936         162    0.0079      0.393221
90866         26242.22  161.9945         162    0.0068      0.393216
90867         26242.50  161.9954         162    0.0057      0.393212
90868         26242.79  161.9963         162    0.0046      0.393208
90869         26243.08  161.9972         162    0.0035      0.393203
90870         26243.37  161.9981         162    0.0024      0.393199
90871         26243.66  161.9990         162    0.0013      0.393195
90872         26243.95  161.9998         162    0.0002      0.393190
90873         26244.24  162.0007         162    0.0009      0.393186
90874         26244.53  162.0016         162    0.0020      0.393182
90875         26244.82  162.0025         162    0.0031      0.393177
90876         26245.10  162.0034         162    0.0042      0.393173
90877         26245.39  162.0043         162    0.0053      0.393169
90878         26245.68  162.0052         162    0.0064      0.393164
90879         26245.97  162.0061         162    0.0075      0.393160
90880         26246.26  162.0070         162    0.0086      0.393156
90881         26246.55  162.0079         162    0.0097      0.393151
91989         26566.54  162.9925         163    0.0093      0.388416
91990         26566.83  162.9933         163    0.0082      0.388412
91991         26567.12  162.9942         163    0.0071      0.388408
91992         26567.41  162.9951         163    0.0060      0.388403
91993         26567.70  162.9960         163    0.0049      0.388399
91994         26567.98  162.9969         163    0.0038      0.388395
91995         26568.27  162.9978         163    0.0027      0.388391
91996         26568.56  162.9987         163    0.0017      0.388386
91997         26568.85  162.9995         163    0.0006      0.388382
91998         26569.14  163.0004         163    0.0005      0.388378
91999         26569.43  163.0013         163    0.0016      0.388374
92000         26569.72  163.0022         163    0.0027      0.388370
92001         26570.01  163.0031         163    0.0038      0.388365
92002         26570.29  163.0040         163    0.0049      0.388361
92003         26570.58  163.0049         163    0.0060      0.388357
92004         26570.87  163.0057         163    0.0070      0.388353
92005         26571.16  163.0066         163    0.0081      0.388348
92006         26571.45  163.0075         163    0.0092      0.388344
93121         26893.46  163.9923         164    0.0094      0.383694
93122         26893.75  163.9931         164    0.0084      0.383690
93123         26894.04  163.9940         164    0.0073      0.383686
93124         26894.33  163.9949         164    0.0062      0.383682
93125         26894.62  163.9958         164    0.0051      0.383678
93126         26894.91  163.9967         164    0.0041      0.383674
93127         26895.20  163.9975         164    0.0030      0.383670
93128         26895.48  163.9984         164    0.0019      0.383665
93129         26895.77  163.9993         164    0.0008      0.383661
93130         26896.06  164.0002         164    0.0002      0.383657
93131         26896.35  164.0011         164    0.0013      0.383653
93132         26896.64  164.0020         164    0.0024      0.383649
93133         26896.93  164.0028         164    0.0035      0.383645
93134         26897.22  164.0037         164    0.0045      0.383641
93135         26897.51  164.0046         164    0.0056      0.383637
93136         26897.80  164.0055         164    0.0067      0.383633
93137         26898.08  164.0064         164    0.0077      0.383628
93138         26898.37  164.0072         164    0.0088      0.383624
93139         26898.66  164.0081         164    0.0099      0.383620
94260         27222.41  164.9921         165    0.0095      0.379058
94261         27222.70  164.9930         165    0.0085      0.379054
94262         27222.99  164.9939         165    0.0074      0.379050
94263         27223.27  164.9948         165    0.0063      0.379046
94264         27223.56  164.9956         165    0.0053      0.379042
94265         27223.85  164.9965         165    0.0042      0.379038
94266         27224.14  164.9974         165    0.0032      0.379034
94267         27224.43  164.9983         165    0.0021      0.379030
94268         27224.72  164.9991         165    0.0010      0.379026
94269         27225.01  165.0000         165    0.0000      0.379022
94270         27225.30  165.0009         165    0.0011      0.379018
94271         27225.58  165.0018         165    0.0021      0.379014
94272         27225.87  165.0026         165    0.0032      0.379010
94273         27226.16  165.0035         165    0.0043      0.379006
94274         27226.45  165.0044         165    0.0053      0.379002
94275         27226.74  165.0053         165    0.0064      0.378998
94276         27227.03  165.0061         165    0.0075      0.378994
94277         27227.32  165.0070         165    0.0085      0.378990
94278         27227.61  165.0079         165    0.0096      0.378986
95406         27553.37  165.9921         166    0.0095      0.374505
95407         27553.66  165.9930         166    0.0085      0.374501
95408         27553.95  165.9938         166    0.0074      0.374497
95409         27554.24  165.9947         166    0.0064      0.374493
95410         27554.53  165.9956         166    0.0053      0.374489
95411         27554.82  165.9964         166    0.0043      0.374485
95412         27555.11  165.9973         166    0.0032      0.374481
95413         27555.40  165.9982         166    0.0022      0.374477
95414         27555.68  165.9990         166    0.0011      0.374473
95415         27555.97  165.9999         166    0.0001      0.374469
95416         27556.26  166.0008         166    0.0010      0.374465
95417         27556.55  166.0017         166    0.0020      0.374462
95418         27556.84  166.0025         166    0.0030      0.374458
95419         27557.13  166.0034         166    0.0041      0.374454
95420         27557.42  166.0043         166    0.0051      0.374450
95421         27557.71  166.0051         166    0.0062      0.374446
95422         27557.99  166.0060         166    0.0072      0.374442
95423         27558.28  166.0069         166    0.0083      0.374438
95424         27558.57  166.0077         166    0.0093      0.374434
96559         27886.36  166.9921         167    0.0095      0.370033
96560         27886.65  166.9930         167    0.0084      0.370029
96561         27886.94  166.9938         167    0.0074      0.370025
96562         27887.23  166.9947         167    0.0064      0.370021
96563         27887.52  166.9956         167    0.0053      0.370018
96564         27887.81  166.9964         167    0.0043      0.370014
96565         27888.09  166.9973         167    0.0032      0.370010
96566         27888.38  166.9982         167    0.0022      0.370006
96567         27888.67  166.9990         167    0.0012      0.370002
96568         27888.96  166.9999         167    0.0001      0.369998
96569         27889.25  167.0007         167    0.0009      0.369995
96570         27889.54  167.0016         167    0.0019      0.369991
96571         27889.83  167.0025         167    0.0030      0.369987
96572         27890.12  167.0033         167    0.0040      0.369983
96573         27890.40  167.0042         167    0.0050      0.369979
96574         27890.69  167.0051         167    0.0061      0.369975
96575         27890.98  167.0059         167    0.0071      0.369972
96576         27891.27  167.0068         167    0.0081      0.369968
96577         27891.56  167.0077         167    0.0092      0.369964
97719         28221.37  167.9922         168    0.0093      0.365640
97720         28221.66  167.9930         168    0.0083      0.365637
97721         28221.95  167.9939         168    0.0073      0.365633
97722         28222.24  167.9948         168    0.0062      0.365629
97723         28222.53  167.9956         168    0.0052      0.365625
97724         28222.82  167.9965         168    0.0042      0.365622
97725         28223.10  167.9973         168    0.0032      0.365618
97726         28223.39  167.9982         168    0.0022      0.365614
97727         28223.68  167.9991         168    0.0011      0.365610
97728         28223.97  167.9999         168    0.0001      0.365607
97729         28224.26  168.0008         168    0.0009      0.365603
97730         28224.55  168.0016         168    0.0019      0.365599
97731         28224.84  168.0025         168    0.0030      0.365595
97732         28225.13  168.0034         168    0.0040      0.365592
97733         28225.41  168.0042         168    0.0050      0.365588
97734         28225.70  168.0051         168    0.0060      0.365584
97735         28225.99  168.0059         168    0.0071      0.365580
97736         28226.28  168.0068         168    0.0081      0.365577
97737         28226.57  168.0076         168    0.0091      0.365573
98886         28558.40  168.9923         169    0.0091      0.361325
98887         28558.69  168.9932         169    0.0081      0.361322
98888         28558.98  168.9940         169    0.0071      0.361318
98889         28559.27  168.9949         169    0.0061      0.361314
98890         28559.56  168.9957         169    0.0051      0.361311
98891         28559.85  168.9966         169    0.0040      0.361307
98892         28560.14  168.9974         169    0.0030      0.361303
98893         28560.42  168.9983         169    0.0020      0.361300
98894         28560.71  168.9992         169    0.0010      0.361296
98895         28561.00  169.0000         169    0.0000      0.361292
98896         28561.29  169.0009         169    0.0010      0.361289
98897         28561.58  169.0017         169    0.0020      0.361285
98898         28561.87  169.0026         169    0.0030      0.361281
98899         28562.16  169.0034         169    0.0041      0.361278
98900         28562.45  169.0043         169    0.0051      0.361274
98901         28562.73  169.0051         169    0.0061      0.361270
98902         28563.02  169.0060         169    0.0071      0.361267
98903         28563.31  169.0068         169    0.0081      0.361263
98904         28563.60  169.0077         169    0.0091      0.361259
