Galaxy_Name,M_bar_Msun,h_R_kpc,Sigma_0_Msun_pc2,v_flat_meas_km_s
NGC 6503,2.000e+10,2.100,300.0,116.00
NGC 3198,4.000e+10,3.100,200.0,150.00
NGC 2403,1.500e+10,2.100,250.0,131.00
UGC 128,3.000e+09,5.000,50.0,64.00
NGC 7331,1.200e+11,3.800,450.0,240.00
NGC 2998,8.000e+10,4.500,300.0,213.00
NGC 801,1.200e+11,7.000,200.0,218.00
DDO 154,1.000e+08,0.900,200.0,47.00
NGC 3741,3.000e+08,1.200,150.0,50.00
IC 2574,4.000e+09,3.700,100.0,67.00
