API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat Aug  8 06:03:36 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2002-Jun-06 05:00:00.0000 TDB
Stop  time      : A.D. 2002-Jun-10 08:00:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2452431.968750000, A.D. 2002-Jun-06 11:15:00.0000, -3.786992744394623E+07, -1.470075246240063E+08,  1.223711860358715E+03,  2.836828822835248E+01, -7.552092651584454E+00, -6.114358255020491E-04,
2452431.979166667, A.D. 2002-Jun-06 11:30:00.0000, -3.784439539161519E+07, -1.470143192439245E+08,  1.223160630986094E+03,  2.836960569097930E+01, -7.547062677759729E+00, -6.135178050667989E-04,
2452431.989583333, A.D. 2002-Jun-06 11:45:00.0000, -3.781886215397184E+07, -1.470211093367463E+08,  1.222607529193163E+03,  2.837092225568400E+01, -7.542032437415120E+00, -6.155968048746630E-04,
2452432.000000000, A.D. 2002-Jun-06 12:00:00.0000, -3.779332773182438E+07, -1.470278949022320E+08,  1.222052557647228E+03,  2.837223792232187E+01, -7.537001930725459E+00, -6.176728151050526E-04,
2452432.010416667, A.D. 2002-Jun-06 12:15:00.0000, -3.776779212598111E+07, -1.470346759401418E+08,  1.221495719015598E+03,  2.837355269074815E+01, -7.531971157865775E+00, -6.197458259311617E-04,
2452432.020833333, A.D. 2002-Jun-06 12:30:00.0000, -3.774225533725055E+07, -1.470414524502363E+08,  1.220937016069889E+03,  2.837486656081807E+01, -7.526940119011279E+00, -6.218158275292929E-04,
2452432.031250000, A.D. 2002-Jun-06 12:45:00.0000, -3.771671736644121E+07, -1.470482244322762E+08,  1.220376451447606E+03,  2.837617953238684E+01, -7.521908814337380E+00, -6.238828100721960E-04,
2452432.041666667, A.D. 2002-Jun-06 13:00:00.0000, -3.769117821436183E+07, -1.470549918860224E+08,  1.219814027912915E+03,  2.837749160530962E+01, -7.516877244019676E+00, -6.259467637343974E-04,
2452432.052083333, A.D. 2002-Jun-06 13:15:00.0000, -3.766563788182129E+07, -1.470617548112358E+08,  1.219249748185277E+03,  2.837880277944157E+01, -7.511845408233960E+00, -6.280076786886468E-04,
2452432.062500000, A.D. 2002-Jun-06 13:30:00.0000, -3.764009636962853E+07, -1.470685132076777E+08,  1.218683614999056E+03,  2.838011305463779E+01, -7.506813307156214E+00, -6.300655451050297E-04,
2452432.072916667, A.D. 2002-Jun-06 13:45:00.0000, -3.761455367859266E+07, -1.470752670751092E+08,  1.218115631110966E+03,  2.838142243075341E+01, -7.501780940962614E+00, -6.321203531576280E-04,
2452432.083333333, A.D. 2002-Jun-06 14:00:00.0000, -3.758900980952294E+07, -1.470820164132919E+08,  1.217545799277723E+03,  2.838273090764348E+01, -7.496748309829538E+00, -6.341720930129746E-04,
2452432.093750000, A.D. 2002-Jun-06 14:15:00.0000, -3.756346476322872E+07, -1.470887612219874E+08,  1.216974122270942E+03,  2.838403848516305E+01, -7.491715413933549E+00, -6.362207548433751E-04,
2452432.104166667, A.D. 2002-Jun-06 14:30:00.0000, -3.753791854051949E+07, -1.470955015009576E+08,  1.216400602847338E+03,  2.838534516316714E+01, -7.486682253451412E+00, -6.382663288175827E-04,
2452432.114583333, A.D. 2002-Jun-06 14:45:00.0000, -3.751237114220492E+07, -1.471022372499643E+08,  1.215825243808329E+03,  2.838665094151074E+01, -7.481648828560088E+00, -6.403088051025740E-04,
2452432.125000000, A.D. 2002-Jun-06 15:00:00.0000, -3.748682256909472E+07, -1.471089684687697E+08,  1.215248047940433E+03,  2.838795582004883E+01, -7.476615139436730E+00, -6.423481738679904E-04,
