tdb,r_m,r_rsun,speed_km_s,z_depth,c_far_m_s,dc_over_c,z_earth,z_spec,rr_geom_km_s,f_doppler_1way_frac
2024-Dec-24 11:42:00.0000,6.862560e+09,9.864252,190.770459,2.151712e-07,299792328.986631,4.303423e-07,1.003552e-08,2.051356e-07,154.044352,5.138366e-04
2024-Dec-24 11:43:00.0000,6.862563e+09,9.864257,190.770407,2.151711e-07,299792328.986697,4.303421e-07,1.003552e-08,2.051355e-07,154.144791,5.141717e-04
2024-Dec-24 11:44:00.0000,6.862576e+09,9.864275,190.770223,2.151707e-07,299792328.986931,4.303413e-07,1.003552e-08,2.051351e-07,154.244985,5.145059e-04
2024-Dec-24 11:45:00.0000,6.862597e+09,9.864306,190.769907,2.151700e-07,299792328.987334,4.303399e-07,1.003552e-08,2.051345e-07,154.344934,5.148393e-04
2024-Dec-24 11:46:00.0000,6.862628e+09,9.864349,190.769458,2.151690e-07,299792328.987905,4.303380e-07,1.003552e-08,2.051335e-07,154.444638,5.151719e-04
2024-Dec-24 11:47:00.0000,6.862667e+09,9.864406,190.768878,2.151678e-07,299792328.988644,4.303356e-07,1.003552e-08,2.051323e-07,154.544096,5.155036e-04
2024-Dec-24 11:48:00.0000,6.862715e+09,9.864475,190.768165,2.151663e-07,299792328.989551,4.303325e-07,1.003552e-08,2.051308e-07,154.643307,5.158345e-04
2024-Dec-24 11:49:00.0000,6.862772e+09,9.864557,190.767320,2.151645e-07,299792328.990626,4.303290e-07,1.003552e-08,2.051290e-07,154.742271,5.161647e-04
2024-Dec-24 11:50:00.0000,6.862839e+09,9.864652,190.766343,2.151624e-07,299792328.991869,4.303248e-07,1.003552e-08,2.051269e-07,154.840987,5.164939e-04
2024-Dec-24 11:51:00.0000,6.862914e+09,9.864760,190.765234,2.151601e-07,299792328.993281,4.303201e-07,1.003552e-08,2.051245e-07,154.939456,5.168224e-04
2024-Dec-24 11:52:00.0000,6.862998e+09,9.864881,190.763993,2.151574e-07,299792328.994860,4.303148e-07,1.003552e-08,2.051219e-07,155.037676,5.171500e-04
2024-Dec-24 11:53:00.0000,6.863091e+09,9.865015,190.762620,2.151545e-07,299792328.996608,4.303090e-07,1.003552e-08,2.051190e-07,155.135646,5.174768e-04
2024-Dec-24 11:54:00.0000,6.863193e+09,9.865161,190.761114,2.151513e-07,299792328.998524,4.303026e-07,1.003552e-08,2.051158e-07,155.233368,5.178028e-04
2024-Dec-24 11:55:00.0000,6.863304e+09,9.865321,190.759477,2.151479e-07,299792329.000608,4.302957e-07,1.003552e-08,2.051123e-07,155.330839,5.181279e-04
2024-Dec-24 11:56:00.0000,6.863423e+09,9.865493,190.757708,2.151441e-07,299792329.002860,4.302881e-07,1.003552e-08,2.051086e-07,155.428060,5.184522e-04
2024-Dec-24 11:57:00.0000,6.863552e+09,9.865678,190.755806,2.151401e-07,299792329.005279,4.302801e-07,1.003553e-08,2.051045e-07,155.525029,5.187757e-04
2024-Dec-24 11:58:00.0000,6.863690e+09,9.865876,190.753773,2.151357e-07,299792329.007867,4.302714e-07,1.003553e-08,2.051002e-07,155.621748,5.190983e-04
2024-Dec-24 11:59:00.0000,6.863836e+09,9.866087,190.751607,2.151311e-07,299792329.010623,4.302622e-07,1.003553e-08,2.050956e-07,155.718214,5.194201e-04
2024-Dec-24 12:00:00.0000,6.863992e+09,9.866310,190.749310,2.151263e-07,299792329.013546,4.302525e-07,1.003553e-08,2.050907e-07,155.814428,5.197410e-04
2024-Dec-24 12:01:00.0000,6.864156e+09,9.866547,190.746881,2.151211e-07,299792329.016638,4.302422e-07,1.003553e-08,2.050856e-07,155.910389,5.200611e-04
2024-Dec-24 12:02:00.0000,6.864330e+09,9.866796,190.744320,2.151157e-07,299792329.019897,4.302313e-07,1.003553e-08,2.050802e-07,156.006097,5.203803e-04
2024-Dec-24 12:03:00.0000,6.864512e+09,9.867058,190.741627,2.151100e-07,299792329.023324,4.302199e-07,1.003553e-08,2.050744e-07,156.101551,5.206987e-04
2024-Dec-24 12:04:00.0000,6.864704e+09,9.867333,190.738802,2.151040e-07,299792329.026918,4.302079e-07,1.003553e-08,2.050684e-07,156.196750,5.210163e-04
2024-Dec-24 12:05:00.0000,6.864904e+09,9.867621,190.735845,2.150977e-07,299792329.030681,4.301953e-07,1.003553e-08,2.050622e-07,156.291695,5.213330e-04
2024-Dec-24 12:06:00.0000,6.865113e+09,9.867922,190.732757,2.150911e-07,299792329.034611,4.301822e-07,1.003553e-08,2.050556e-07,156.386385,5.216488e-04
2024-Dec-24 12:07:00.0000,6.865331e+09,9.868235,190.729536,2.150843e-07,299792329.038708,4.301686e-07,1.003553e-08,2.050488e-07,156.480819,5.219638e-04
2024-Dec-24 12:08:00.0000,6.865558e+09,9.868562,190.726184,2.150772e-07,299792329.042973,4.301543e-07,1.003553e-08,2.050417e-07,156.574998,5.222780e-04
2024-Dec-24 12:09:00.0000,6.865794e+09,9.868901,190.722701,2.150698e-07,299792329.047406,4.301396e-07,1.003553e-08,2.050343e-07,156.668919,5.225913e-04
2024-Dec-24 12:10:00.0000,6.866039e+09,9.869253,190.719086,2.150621e-07,299792329.052005,4.301242e-07,1.003553e-08,2.050266e-07,156.762584,5.229037e-04
2024-Dec-24 12:11:00.0000,6.866293e+09,9.869618,190.715339,2.150542e-07,299792329.056772,4.301083e-07,1.003553e-08,2.050186e-07,156.855991,5.232153e-04
2024-Dec-24 12:12:00.0000,6.866556e+09,9.869995,190.711461,2.150459e-07,299792329.061707,4.300919e-07,1.003553e-08,2.050104e-07,156.949141,5.235260e-04
2024-Dec-24 12:13:00.0000,6.866827e+09,9.870386,190.707451,2.150374e-07,299792329.066809,4.300748e-07,1.003553e-08,2.050019e-07,157.042033,5.238358e-04
2024-Dec-24 12:14:00.0000,6.867108e+09,9.870789,190.703310,2.150287e-07,299792329.072077,4.300573e-07,1.003553e-08,2.049931e-07,157.134665,5.241448e-04
2024-Dec-24 12:15:00.0000,6.867398e+09,9.871205,190.699037,2.150196e-07,299792329.077513,4.300391e-07,1.003553e-08,2.049841e-07,157.227039,5.244530e-04
2024-Dec-24 12:16:00.0000,6.867696e+09,9.871634,190.694633,2.150102e-07,299792329.083116,4.300204e-07,1.003553e-08,2.049747e-07,157.319154,5.247602e-04
2024-Dec-24 12:17:00.0000,6.868003e+09,9.872076,190.690097,2.150006e-07,299792329.088886,4.300012e-07,1.003553e-08,2.049651e-07,157.411008,5.250666e-04
2024-Dec-24 12:18:00.0000,6.868320e+09,9.872531,190.685431,2.149907e-07,299792329.094822,4.299814e-07,1.003553e-08,2.049552e-07,157.502602,5.253721e-04
2024-Dec-24 12:19:00.0000,6.868645e+09,9.872998,190.680633,2.149805e-07,299792329.100926,4.299610e-07,1.003553e-08,2.049450e-07,157.593936,5.256768e-04
2024-Dec-24 12:20:00.0000,6.868979e+09,9.873479,190.675704,2.149701e-07,299792329.107196,4.299401e-07,1.003553e-08,2.049345e-07,157.685008,5.259806e-04
2024-Dec-24 12:21:00.0000,6.869322e+09,9.873972,190.670644,2.149593e-07,299792329.113633,4.299186e-07,1.003553e-08,2.049238e-07,157.775819,5.262835e-04
2024-Dec-24 12:22:00.0000,6.869674e+09,9.874478,190.665453,2.149483e-07,299792329.120236,4.298966e-07,1.003553e-08,2.049128e-07,157.866369,5.265855e-04
2024-Dec-24 12:23:00.0000,6.870035e+09,9.874996,190.660130,2.149370e-07,299792329.127005,4.298740e-07,1.003553e-08,2.049015e-07,157.956656,5.268867e-04
2024-Dec-24 12:24:00.0000,6.870405e+09,9.875528,190.654677,2.149255e-07,299792329.133941,4.298509e-07,1.003553e-08,2.048899e-07,158.046680,5.271870e-04
2024-Dec-24 12:25:00.0000,6.870783e+09,9.876072,190.649093,2.149136e-07,299792329.141044,4.298272e-07,1.003553e-08,2.048781e-07,158.136441,5.274864e-04
2024-Dec-24 12:26:00.0000,6.871171e+09,9.876629,190.643379,2.149015e-07,299792329.148312,4.298030e-07,1.003553e-08,2.048660e-07,158.225939,5.277849e-04
2024-Dec-24 12:27:00.0000,6.871567e+09,9.877199,190.637533,2.148891e-07,299792329.155747,4.297782e-07,1.003553e-08,2.048536e-07,158.315174,5.280826e-04
2024-Dec-24 12:28:00.0000,6.871973e+09,9.877782,190.631557,2.148764e-07,299792329.163347,4.297528e-07,1.003553e-08,2.048409e-07,158.404144,5.283793e-04
2024-Dec-24 12:29:00.0000,6.872387e+09,9.878377,190.625450,2.148635e-07,299792329.171113,4.297269e-07,1.003554e-08,2.048279e-07,158.492849,5.286752e-04
2024-Dec-24 12:30:00.0000,6.872810e+09,9.878986,190.619213,2.148502e-07,299792329.179045,4.297005e-07,1.003554e-08,2.048147e-07,158.581290,5.289702e-04
2024-Dec-24 12:31:00.0000,6.873242e+09,9.879607,190.612845,2.148367e-07,299792329.187143,4.296734e-07,1.003554e-08,2.048012e-07,158.669466,5.292644e-04
2024-Dec-24 12:32:00.0000,6.873683e+09,9.880240,190.606347,2.148230e-07,299792329.195406,4.296459e-07,1.003554e-08,2.047874e-07,158.757376,5.295576e-04
2024-Dec-24 12:33:00.0000,6.874133e+09,9.880887,190.599718,2.148089e-07,299792329.203835,4.296178e-07,1.003554e-08,2.047734e-07,158.845020,5.298500e-04
2024-Dec-24 12:34:00.0000,6.874592e+09,9.881546,190.592959,2.147946e-07,299792329.212429,4.295891e-07,1.003554e-08,2.047590e-07,158.932398,5.301414e-04
2024-Dec-24 12:35:00.0000,6.875059e+09,9.882219,190.586070,2.147800e-07,299792329.221189,4.295599e-07,1.003554e-08,2.047444e-07,159.019509,5.304320e-04
2024-Dec-24 12:36:00.0000,6.875536e+09,9.882903,190.579051,2.147651e-07,299792329.230113,4.295301e-07,1.003554e-08,2.047295e-07,159.106353,5.307217e-04
2024-Dec-24 12:37:00.0000,6.876021e+09,9.883601,190.571902,2.147499e-07,299792329.239202,4.294998e-07,1.003554e-08,2.047144e-07,159.192930,5.310105e-04
2024-Dec-24 12:38:00.0000,6.876515e+09,9.884311,190.564623,2.147345e-07,299792329.248457,4.294689e-07,1.003554e-08,2.046989e-07,159.279240,5.312984e-04
2024-Dec-24 12:39:00.0000,6.877019e+09,9.885035,190.557214,2.147188e-07,299792329.257876,4.294375e-07,1.003554e-08,2.046832e-07,159.365281,5.315854e-04
2024-Dec-24 12:40:00.0000,6.877531e+09,9.885771,190.549675,2.147028e-07,299792329.267460,4.294055e-07,1.003554e-08,2.046673e-07,159.451055,5.318715e-04
2024-Dec-24 12:41:00.0000,6.878051e+09,9.886519,190.542007,2.146865e-07,299792329.277208,4.293730e-07,1.003554e-08,2.046510e-07,159.536559,5.321567e-04
2024-Dec-24 12:42:00.0000,6.878581e+09,9.887281,190.534208,2.146700e-07,299792329.287120,4.293400e-07,1.003554e-08,2.046345e-07,159.621795,5.324410e-04
2024-Dec-24 12:43:00.0000,6.879120e+09,9.888055,190.526281,2.146532e-07,299792329.297197,4.293063e-07,1.003554e-08,2.046177e-07,159.706761,5.327244e-04
2024-Dec-24 12:44:00.0000,6.879667e+09,9.888842,190.518224,2.146361e-07,299792329.307438,4.292722e-07,1.003554e-08,2.046006e-07,159.791458,5.330069e-04
2024-Dec-24 12:45:00.0000,6.880223e+09,9.889641,190.510037,2.146188e-07,299792329.317843,4.292375e-07,1.003554e-08,2.045832e-07,159.875886,5.332886e-04
2024-Dec-24 12:46:00.0000,6.880788e+09,9.890453,190.501721,2.146011e-07,299792329.328412,4.292022e-07,1.003554e-08,2.045656e-07,159.960043,5.335693e-04
2024-Dec-24 12:47:00.0000,6.881362e+09,9.891279,190.493276,2.145832e-07,299792329.339145,4.291664e-07,1.003554e-08,2.045477e-07,160.043929,5.338491e-04
2024-Dec-24 12:48:00.0000,6.881945e+09,9.892116,190.484702,2.145651e-07,299792329.350041,4.291301e-07,1.003554e-08,2.045295e-07,160.127545,5.341280e-04
2024-Dec-24 12:49:00.0000,6.882537e+09,9.892967,190.475999,2.145466e-07,299792329.361100,4.290932e-07,1.003554e-08,2.045111e-07,160.210890,5.344060e-04
2024-Dec-24 12:50:00.0000,6.883137e+09,9.893830,190.467167,2.145279e-07,299792329.372323,4.290557e-07,1.003554e-08,2.044924e-07,160.293963,5.346831e-04
2024-Dec-24 12:51:00.0000,6.883747e+09,9.894706,190.458206,2.145089e-07,299792329.383709,4.290178e-07,1.003554e-08,2.044734e-07,160.376765,5.349593e-04
2024-Dec-24 12:52:00.0000,6.884365e+09,9.895594,190.449117,2.144896e-07,299792329.395258,4.289792e-07,1.003554e-08,2.044541e-07,160.459295,5.352346e-04
2024-Dec-24 12:53:00.0000,6.884992e+09,9.896496,190.439899,2.144701e-07,299792329.406970,4.289402e-07,1.003554e-08,2.044346e-07,160.541553,5.355090e-04
2024-Dec-24 12:54:00.0000,6.885628e+09,9.897410,190.430552,2.144503e-07,299792329.418845,4.289006e-07,1.003554e-08,2.044148e-07,160.623538,5.357825e-04
2024-Dec-24 12:55:00.0000,6.886272e+09,9.898336,190.421077,2.144302e-07,299792329.430882,4.288604e-07,1.003554e-08,2.043947e-07,160.705251,5.360550e-04
2024-Dec-24 12:56:00.0000,6.886926e+09,9.899275,190.411474,2.144099e-07,299792329.443081,4.288197e-07,1.003554e-08,2.043743e-07,160.786691,5.363267e-04
2024-Dec-24 12:57:00.0000,6.887588e+09,9.900227,190.401742,2.143893e-07,299792329.455443,4.287785e-07,1.003554e-08,2.043537e-07,160.867857,5.365974e-04
2024-Dec-24 12:58:00.0000,6.888259e+09,9.901192,190.391882,2.143684e-07,299792329.467966,4.287367e-07,1.003554e-08,2.043328e-07,160.948750,5.368672e-04
2024-Dec-24 12:59:00.0000,6.888939e+09,9.902169,190.381895,2.143472e-07,299792329.480652,4.286944e-07,1.003554e-08,2.043117e-07,161.029369,5.371362e-04
2024-Dec-24 13:00:00.0000,6.889628e+09,9.903159,190.371779,2.143258e-07,299792329.493500,4.286515e-07,1.003554e-08,2.042903e-07,161.109715,5.374042e-04
2024-Dec-24 13:01:00.0000,6.890326e+09,9.904162,190.361536,2.143041e-07,299792329.506509,4.286082e-07,1.003555e-08,2.042686e-07,161.189786,5.376713e-04
2024-Dec-24 13:02:00.0000,6.891032e+09,9.905177,190.351165,2.142821e-07,299792329.519679,4.285642e-07,1.003555e-08,2.042466e-07,161.269582,5.379374e-04
2024-Dec-24 13:03:00.0000,6.891747e+09,9.906205,190.340667,2.142599e-07,299792329.533011,4.285198e-07,1.003555e-08,2.042244e-07,161.349104,5.382027e-04
2024-Dec-24 13:04:00.0000,6.892471e+09,9.907246,190.330041,2.142374e-07,299792329.546503,4.284747e-07,1.003555e-08,2.042018e-07,161.428351,5.384670e-04
2024-Dec-24 13:05:00.0000,6.893204e+09,9.908299,190.319287,2.142146e-07,299792329.560157,4.284292e-07,1.003555e-08,2.041791e-07,161.507323,5.387304e-04
2024-Dec-24 13:06:00.0000,6.893945e+09,9.909365,190.308407,2.141916e-07,299792329.573971,4.283831e-07,1.003555e-08,2.041560e-07,161.586020,5.389929e-04
2024-Dec-24 13:07:00.0000,6.894695e+09,9.910443,190.297400,2.141683e-07,299792329.587946,4.283365e-07,1.003555e-08,2.041327e-07,161.664440,5.392545e-04
2024-Dec-24 13:08:00.0000,6.895454e+09,9.911534,190.286265,2.141447e-07,299792329.602081,4.282894e-07,1.003555e-08,2.041092e-07,161.742585,5.395152e-04
2024-Dec-24 13:09:00.0000,6.896222e+09,9.912638,190.275004,2.141209e-07,299792329.616377,4.282417e-07,1.003555e-08,2.040853e-07,161.820454,5.397749e-04
2024-Dec-24 13:10:00.0000,6.896999e+09,9.913754,190.263616,2.140967e-07,299792329.630832,4.281935e-07,1.003555e-08,2.040612e-07,161.898047,5.400338e-04
2024-Dec-24 13:11:00.0000,6.897784e+09,9.914883,190.252101,2.140724e-07,299792329.645448,4.281447e-07,1.003555e-08,2.040368e-07,161.975363,5.402917e-04
2024-Dec-24 13:12:00.0000,6.898578e+09,9.916024,190.240460,2.140477e-07,299792329.660222,4.280954e-07,1.003555e-08,2.040122e-07,162.052403,5.405486e-04
2024-Dec-24 13:13:00.0000,6.899381e+09,9.917178,190.228693,2.140228e-07,299792329.675157,4.280456e-07,1.003555e-08,2.039873e-07,162.129165,5.408047e-04
2024-Dec-24 13:14:00.0000,6.900193e+09,9.918345,190.216799,2.139977e-07,299792329.690250,4.279953e-07,1.003555e-08,2.039621e-07,162.205651,5.410598e-04
2024-Dec-24 13:15:00.0000,6.901013e+09,9.919524,190.204780,2.139722e-07,299792329.705503,4.279444e-07,1.003555e-08,2.039367e-07,162.281859,5.413140e-04
2024-Dec-24 13:16:00.0000,6.901842e+09,9.920716,190.192634,2.139465e-07,299792329.720914,4.278930e-07,1.003555e-08,2.039110e-07,162.357790,5.415673e-04
2024-Dec-24 13:17:00.0000,6.902680e+09,9.921920,190.180362,2.139205e-07,299792329.736484,4.278410e-07,1.003555e-08,2.038850e-07,162.433443,5.418196e-04
2024-Dec-24 13:18:00.0000,6.903526e+09,9.923137,190.167965,2.138943e-07,299792329.752213,4.277886e-07,1.003555e-08,2.038588e-07,162.508818,5.420711e-04
2024-Dec-24 13:19:00.0000,6.904382e+09,9.924366,190.155442,2.138678e-07,299792329.768100,4.277356e-07,1.003555e-08,2.038323e-07,162.583915,5.423216e-04
2024-Dec-24 13:20:00.0000,6.905246e+09,9.925608,190.142794,2.138411e-07,299792329.784145,4.276821e-07,1.003555e-08,2.038055e-07,162.658734,5.425711e-04
2024-Dec-24 13:21:00.0000,6.906118e+09,9.926863,190.130021,2.138140e-07,299792329.800347,4.276280e-07,1.003555e-08,2.037785e-07,162.733275,5.428198e-04
2024-Dec-24 13:22:00.0000,6.907000e+09,9.928130,190.117122,2.137867e-07,299792329.816708,4.275734e-07,1.003555e-08,2.037512e-07,162.807537,5.430675e-04
