Z,symbol,step,energy_eV,status,split,source
12,Mg,4,109.2655,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
12,Mg,5,141.27,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
12,Mg,6,186.76,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
12,Mg,7,225.02,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
12,Mg,8,265.96,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
12,Mg,9,328.06,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
12,Mg,10,367.5,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
12,Mg,11,1761.805,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
12,Mg,12,1962.665,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
13,Al,1,5.98577,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
13,Al,2,18.82856,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
13,Al,3,28.44765,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
13,Al,4,119.992,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
13,Al,5,153.825,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
13,Al,6,190.49,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
13,Al,7,241.76,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
13,Al,8,284.66,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
13,Al,9,330.13,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
13,Al,10,398.75,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
13,Al,11,442.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
13,Al,12,2085.98,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
13,Al,13,2304.141,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
14,Si,1,8.15169,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
14,Si,2,16.34585,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
14,Si,3,33.49302,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
14,Si,4,45.14181,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
14,Si,5,166.767,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
14,Si,6,205.27,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
14,Si,7,246.5,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
14,Si,8,303.54,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
14,Si,9,351.12,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
14,Si,10,401.37,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
14,Si,11,476.36,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
14,Si,12,523.42,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
14,Si,13,2437.63,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
14,Si,14,2673.182,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
15,P,1,10.48669,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
15,P,2,19.7694,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
15,P,3,30.2027,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
15,P,4,51.4439,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
15,P,5,65.0251,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
15,P,6,220.421,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
15,P,7,263.57,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
15,P,8,309.6,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
15,P,9,372.13,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
15,P,10,424.4,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
15,P,11,479.46,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
15,P,12,560.8,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
15,P,13,611.74,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
15,P,14,2816.91,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
15,P,15,3069.842,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
16,S,1,10.36001,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
16,S,2,23.3379,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
16,S,3,34.79,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
16,S,4,47.222,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
16,S,5,72.5945,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
16,S,6,88.053,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
16,S,7,280.948,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
16,S,8,328.75,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
16,S,9,379.55,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
16,S,10,447.5,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
16,S,11,504.8,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
16,S,12,564.44,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
16,S,13,652.2,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
16,S,14,707.01,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
16,S,15,3223.78,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
16,S,16,3494.1892,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
17,Cl,1,12.96764,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
17,Cl,2,23.814,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
17,Cl,3,39.61,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
17,Cl,4,53.4652,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
17,Cl,5,67.8,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
17,Cl,6,97.03,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
17,Cl,7,114.1958,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
17,Cl,8,348.28,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
17,Cl,9,400.06,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
17,Cl,10,455.63,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
17,Cl,11,529.28,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
17,Cl,12,591.99,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
17,Cl,13,656.71,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
17,Cl,14,749.76,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
17,Cl,15,809.4,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
17,Cl,16,3658.521,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
17,Cl,17,3946.296,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
18,Ar,1,15.75962,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
18,Ar,2,27.62967,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
18,Ar,3,40.74,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
18,Ar,4,59.81,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
18,Ar,5,75.02,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
18,Ar,6,91.009,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
