species,Z,lam_obs_nm,lam_stretch_from_H_nm,rel_D,lam_halfmc2_nm,rel_C,lam_LawV_nm,rel_LV,z1,dLV_over_E
H I,1,121.567,121.567,0.0,121.50227341122144,0.000532435519331357,121.50025146295955,0.0005490678970480415,5.3251354520669314e-05,1.6641515038218202e-05
He II,2,30.3785,30.39175,0.00043616373421990286,30.37556835280536,9.650401417579713e-05,30.3735463360629,0.00016306479704717908,0.00021300541808267725,6.657163836210067e-05
Li III,3,13.5006,13.507444444444443,0.0005069733526245573,13.500252601246824,2.5732097327223182e-05,13.498230470081747,0.00017551293411056704,0.0004792621906860239,0.00014980712987222589
Fe XXVI,26,0.178074,0.17983284023668636,0.009877018748870406,0.17973709084500208,0.009339324353931928,0.1776994266380447,0.002103470253688444,0.03599791565597246,0.011466914922060534
"Fe XXVI CALIBRATED(1) a from Z=1,2,3",26,0.178074,nan,nan,0.1827170559057045,0.026073744093491977,nan,nan,0.03599791565597246,-0.4530589646234057
