target,Z,n_high,n_low,lam_obs_nm,lam_A_frac_nm,rel_A,lam_B_clock_nm,rel_B,lam_B_cfar_nm,rel_B2,lam_D_stretch_nm,rel_D,lam_C_halfmc2_nm,rel_C,z_low,dZ
H I Lyβ 3→1,1.0,3,1,102.5722,121.567,0.18518467966954008,121.567,0.18518467966954008,121.567,0.18518467966954008,102.57215624999999,4.265288255807003e-07,102.51754319071809,0.0005328618210578367,5.3251354520669314e-05,4.733453735170606e-05
H I Hα 3→2,1.0,3,2,656.4614,121.56214505297123,0.8148220976085246,121.5621447298013,0.8148220981008155,121.55728965351746,0.8148294939298526,656.4618,6.09327524837376e-07,656.1122764205958,0.0005318265162342363,1.3312838630167328e-05,7.39602146120407e-06
