target,Z,n_high,n_low,lam_obs_nm,lam_A_frac_nm,rel_A,lam_B_clock_nm,rel_B,lam_B_cfar_nm,rel_B2,lam_D_stretch_nm,rel_D,lam_C_halfmc2_nm,rel_C,z_low,dZ
He II 2→1,2.0,2,1,30.3785,121.58641978811502,3.0023839158653334,121.58642495986673,3.0023840861091475,121.60585302361086,3.0030236194549063,30.39175,0.00043616373421990286,30.37556835280536,9.650401417579713e-05,0.00021300541808267725,0.00015975406356200794
Li III 2→1,3.0,2,1,13.5006,121.61878610164004,8.008398597220866,121.61881369166348,8.008400640835479,121.67064946710501,8.012240157260047,13.507444444444443,0.0005069733526245573,13.500252601246824,2.5732097327223182e-05,0.0004792621906860239,0.0003594466430145179
