left_out_Z,g,rss,n
1,0.6433536129861085,306.69860012030097,316
3,0.6433536129861085,306.3022982476441,314
6,0.6433536129861085,303.07347942622187,311
9,0.6433536129861085,298.8180778740563,308
12,0.6433536129861085,298.3776948497019,305
15,0.6433536129861085,295.5821592203134,302
20,0.6433536129861085,292.10088434739527,297
25,0.6433536129861085,278.7742768621901,292
30,0.7099099279498858,334.46766353016125,296
