Z,symbol,step,energy_eV,status,split,source,pred_eV,rel,r_outer_m,z_outer,koppa_outer_m,q_outer,force_residual,relaxation_eV,physical,converged,tag
2,He,1,24.58738,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,58.72141067487819,1.3882744186195597,2.205544560846403e-11,0.00022986113900512202,5.069689848827058e-15,1.7990763685381927,1.4465615177936156e-09,0.0,True,True,COMPUTED
2,He,2,54.41776,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,72.57002513599404,0.3335724428200286,1.983971549588355e-11,0.0002840706386933973,5.635880652410931e-15,2.0,6.098994352431252e-10,0.0,True,True,COMPUTED
10,Ne,1,21.5646,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,166.6992327461726,6.730226053169203,4.04865209275317e-12,0.006821443875961447,2.7617653024009606e-14,9.800652188117315,2.20055626442194e-09,0.0,False,False,COMPUTED
10,Ne,2,40.96328,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,167.59045629557212,3.091236255875314,4.048553788987416e-12,0.006821775145741722,2.7618323613912833e-14,9.800890159765252,1.0400593422730644e-09,0.0,True,True,COMPUTED
10,Ne,3,63.45,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,188.79454829627423,1.9754853947403344,4.048149403661119e-12,0.006823138120907932,2.7621082515250894e-14,9.801869208651562,1.0555455654617522e-09,0.0,True,True,COMPUTED
10,Ne,4,97.12,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,209.0600145753272,1.152594878246779,4.048968207537152e-12,0.0068203787774128105,2.7615496833105583e-14,9.799887022551538,1.3120883254771228e-09,0.0,True,True,COMPUTED
10,Ne,5,126.21,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,211.4516626120808,0.6753954727207101,4.047132120582429e-12,0.006826568666339336,2.7628025322903485e-14,9.804332996684272,1.2968292206838546e-09,0.0,True,True,COMPUTED
10,Ne,6,157.93,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,239.85172711150992,0.5187217571804591,4.0471706030006946e-12,0.006826438846449071,2.7627762622530653e-14,9.804239772434492,1.1463793282566305e-09,0.0,True,True,COMPUTED
10,Ne,7,207.2759,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,276.24562570794177,0.3327435833492546,4.0477428165381514e-12,0.00682450892906209,2.7623856994011548e-14,9.802853785484102,1.1202673458294346e-09,0.0,True,True,COMPUTED
10,Ne,8,239.0989,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,283.630109494514,0.18624598228814104,4.043155094973659e-12,0.0068400050992538835,2.765520146669415e-14,9.81397697087987,1.140535713535586e-09,0.0,True,True,COMPUTED
10,Ne,9,1195.8286,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,1742.2675024001087,0.4569542009616668,4.049303165217584e-12,0.006819250462898718,2.7613212483827257e-14,9.799076377536423,1.6770547203464613e-09,0.0,True,True,COMPUTED
10,Ne,10,1362.1995,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,1814.448101276977,0.3319988014068256,3.96794309917671e-12,0.007101765967334933,2.817940326205466e-14,10.0,6.09899380327923e-10,0.0,True,True,COMPUTED
11,Na,1,5.13908,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,28.749255365599204,4.594241647454253,3.673438624585528e-12,0.008286128263259545,3.0438583610527415e-14,10.80171333915892,1.1313989161093655e-09,0.0,True,True,COMPUTED
11,Na,2,47.2864,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,217.8801575871231,3.6076706534462994,3.673741845942943e-12,0.008284760487582277,3.0436071286845667e-14,10.80082179306819,1.201330443128999e-09,0.0,True,True,COMPUTED
11,Na,3,71.62,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,220.09456850878178,2.073088083060343,3.673666089571858e-12,0.008285102178876916,3.043669892317804e-14,10.801044521820295,1.2071705494874485e-09,0.0,True,True,COMPUTED
11,Na,4,98.91,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,244.27050611827377,1.469623962372599,3.673302358249979e-12,0.008286743045908703,3.043971277274805e-14,10.802114043960984,1.0865450456203332e-09,0.0,True,True,COMPUTED
11,Na,5,138.4,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,267.2677747564207,0.9311255401475482,3.674004816773619e-12,0.008283574548811696,3.043389279243753e-14,10.800048712677565,1.063535881347326e-09,0.0,True,True,COMPUTED
11,Na,6,172.18,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,269.89433542993584,0.5675126927049357,3.672437106355381e-12,0.008290648335272738,3.0446884582199074e-14,10.804659097660071,1.4390987662258117e-09,0.0,True,True,COMPUTED
11,Na,7,208.5,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,301.9451802587916,0.44817832258413237,3.672471308216807e-12,0.008290493913761273,3.044660102923434e-14,10.804558473469385,1.3864299063065912e-09,0.0,True,True,COMPUTED
11,Na,8,264.25,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,345.7401065357488,0.30838261697539754,3.672941820554719e-12,0.008288369986939164,3.0442700749259426e-14,10.803174384552154,1.0903919504778143e-09,0.0,True,True,COMPUTED
11,Na,9,299.864,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,354.05000661514464,0.18070194026340164,3.669154935154323e-12,0.008305487445840198,3.047412025076684e-14,10.814324195360857,1.57537011723383e-09,0.0,True,True,COMPUTED
11,Na,10,1465.121,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,2116.017805859328,0.4442614677281451,3.674335619507777e-12,0.008282083065158145,3.0431152810032724e-14,10.799076377536423,1.5800404835583053e-09,0.0,True,True,COMPUTED
11,Na,11,1648.702,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,2195.489996569343,0.3316475606685399,3.6072209992515544e-12,0.008593136820475267,3.099734358826012e-14,11.0,6.098992449649572e-10,0.0,True,True,COMPUTED
18,Ar,1,15.75962,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,129.17543340402312,7.196608382944711,2.228972495997573e-12,0.022505455565125666,5.0164041464560625e-14,17.801669183005615,8.704044487065348e-10,0.0,True,True,COMPUTED
18,Ar,2,27.62967,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,137.7396341252974,3.985207355907523,2.2290199182242947e-12,0.022504497971651834,5.016297422845018e-14,17.8012904538677,8.253751801587942e-10,0.0,True,True,COMPUTED
18,Ar,3,40.74,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,154.4871711895341,2.7920267842300954,2.228971427855839e-12,0.022505477134735573,5.0164065503588485e-14,17.80167771371424,8.811056868493558e-10,0.0,True,True,COMPUTED
18,Ar,4,59.81,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,155.50834626698608,1.600039228673902,2.229033437118397e-12,0.022504224996830316,5.0162669994370427e-14,17.801182490587955,1.4568014555545354e-09,0.0,True,True,COMPUTED
18,Ar,5,75.02,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,164.00693350803473,1.186176133138293,2.22903222968686e-12,0.022504249377203092,5.0162697166696146e-14,17.801192133207227,1.137434213147853e-09,0.0,True,True,COMPUTED
18,Ar,6,91.009,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,174.75718096055093,0.9202186702474582,2.2289924651111644e-12,0.02250505232286034,5.0163592054588204e-14,17.801509701284793,1.4851172338042636e-09,0.0,True,True,COMPUTED
18,Ar,7,124.323,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,195.71684519030052,0.5742609588756749,2.229167283972989e-12,0.022501522616148975,5.01596580554976e-14,17.800113646494687,1.2217814474098174e-09,0.0,True,True,COMPUTED
18,Ar,8,143.46,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,209.24855641859565,0.45858466763275924,2.228741607539893e-12,0.022510118751797724,5.0169238252795545e-14,17.80351336266641,1.1531896121377496e-09,0.0,True,True,COMPUTED
18,Ar,9,422.45,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,779.4665968396353,0.8451097096452487,2.2289656543535326e-12,0.022505593722976548,5.016419543934918e-14,17.801723823903124,1.1922987052316123e-09,0.0,True,True,COMPUTED
18,Ar,10,478.69,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,786.6788292723786,0.643399338345022,2.2289506091659117e-12,0.02250589754489296,5.0164534042514764e-14,17.80184398371008,1.1607097547621666e-09,0.0,True,True,COMPUTED
18,Ar,11,538.96,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,832.0766762818588,0.543856086317832,2.2287868477449914e-12,0.022509204934440336,5.0168219911077284e-14,17.80315198463835,1.3011487352494105e-09,0.0,True,True,COMPUTED
18,Ar,12,618.26,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,873.9405907128689,0.4135486538234221,2.229081922836349e-12,0.022503246009357592,5.0161578884598224e-14,17.800795289424727,1.4824668633944275e-09,0.0,True,True,COMPUTED
18,Ar,13,686.1,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,877.9129074431119,0.2795698986198977,2.2284280351078556e-12,0.02251645420368763,5.0176297798719645e-14,17.80601857750664,1.1809374899740506e-09,0.0,True,True,COMPUTED
18,Ar,14,755.74,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,935.803756775824,0.23826151424540715,2.228446107053602e-12,0.02251608900348151,5.017589088588079e-14,17.805874176706155,1.1864578999182247e-09,0.0,True,True,COMPUTED
