Z,symbol,step,energy_eV,status,split,source,pred_eV,rel,r_outer_m,z_outer,koppa_outer_m,q_outer,force_residual,relaxation_eV,physical,converged,tag
7,N,7,667.046,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,666.6530472727378,0.0005890938964662719,7.559674441471429e-12,0.002609316371512797,1.972558228343826e-14,7.0,6.098992251888794e-10,0.0,True,True,COMPUTED
8,O,1,13.61806,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,217.6836854307383,14.984926298660623,6.6147151362875e-12,0.003408086689322837,2.2543522609643725e-14,8.0,6.098992584414043e-10,0.0,True,True,COMPUTED
8,O,2,35.1173,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,217.6836854307383,5.198759170857051,6.6147151362875e-12,0.003408086689322837,2.2543522609643725e-14,8.0,6.098992584414043e-10,0.0,True,True,COMPUTED
8,O,3,54.9355,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,217.6836854307383,2.962532159181919,6.6147151362875e-12,0.003408086689322837,2.2543522609643725e-14,8.0,6.098992584414043e-10,0.0,True,True,COMPUTED
8,O,4,77.41353,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,217.6836854307383,1.811959168258292,6.6147151362875e-12,0.003408086689322837,2.2543522609643725e-14,8.0,6.098992584414043e-10,0.0,True,True,COMPUTED
8,O,5,113.899,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,217.6836854307383,0.911199268042198,6.6147151362875e-12,0.003408086689322837,2.2543522609643725e-14,8.0,6.098992584414043e-10,0.0,True,True,COMPUTED
8,O,6,138.1197,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,217.6836854307383,0.5760509574719487,6.6147151362875e-12,0.003408086689322837,2.2543522609643725e-14,8.0,6.098992584414043e-10,0.0,True,True,COMPUTED
8,O,7,739.29,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,870.7347417229532,0.17779861992310633,6.6147151362875e-12,0.003408086689322837,2.2543522609643725e-14,8.0,6.098992584414043e-10,0.0,True,True,COMPUTED
8,O,8,871.4101,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,870.7347417229532,0.0007750177293639649,6.6147151362875e-12,0.003408086689322837,2.2543522609643725e-14,8.0,6.098992584414043e-10,0.0,True,True,COMPUTED
9,F,1,17.42282,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,275.50739430644245,14.813019609135743,5.879746787811111e-12,0.0043133597161742155,2.5361462935849188e-14,9.0,6.0989931992186e-10,0.0,True,True,COMPUTED
9,F,2,34.97082,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,275.50739430644245,6.878208011892269,5.879746787811111e-12,0.0043133597161742155,2.5361462935849188e-14,9.0,6.0989931992186e-10,0.0,True,True,COMPUTED
9,F,3,62.7084,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,275.50739430644245,3.393468726780503,5.879746787811111e-12,0.0043133597161742155,2.5361462935849188e-14,9.0,6.0989931992186e-10,0.0,True,True,COMPUTED
9,F,4,87.1398,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,275.50739430644245,2.161671180177628,5.879746787811111e-12,0.0043133597161742155,2.5361462935849188e-14,9.0,6.0989931992186e-10,0.0,True,True,COMPUTED
