Z,symbol,step,energy_eV,status,split,source,pred_eV,rel,r_outer_m,z_outer,koppa_outer_m,q_outer,force_residual,relaxation_eV,physical,converged,tag
26,Fe,22,1799.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,2035.8527165909582,0.13165798587601898,2.0479182573704747e-12,0.03555557361435472,7.281490835611695e-14,25.83976235372124,1.685790840813553e-09,0.0,True,True,COMPUTED
26,Fe,23,1950.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,2040.6794638215295,0.046502289139245874,2.0478701999855715e-12,0.035557242399745295,7.281661710410184e-14,25.840368735612657,1.4619190214713097e-09,0.0,True,True,COMPUTED
26,Fe,24,2023.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,2057.4948784824883,0.017051348730839484,2.046962040460785e-12,0.03558880020200316,7.28489230790436e-14,25.851833128467717,1.4204303067682913e-09,0.0,True,True,COMPUTED
26,Fe,25,8828.0,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,9077.90362373656,0.02830806793572269,2.0486443696316044e-12,0.035530373767036,7.278910016874477e-14,25.830603825014236,1.7629976809417931e-09,0.0,True,True,COMPUTED
26,Fe,26,9277.69,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,9197.359170015183,0.008658494731427508,2.0352969650115383e-12,0.03599791565597246,7.32664484813421e-14,26.0,6.098992136194469e-10,0.0,True,True,COMPUTED
29,Cu,1,7.72638,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,103.34434052158312,12.375518745076365,1.8352754439501485e-12,0.044272130045557426,8.125155312397911e-14,28.83366704694895,2.096921098907106e-09,0.0,False,False,COMPUTED
29,Cu,2,20.2924,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,493.23423552283083,23.306352896790465,1.835303091645253e-12,0.044270796191613455,8.125032912006508e-14,28.833232685758748,2.076715700526607e-09,0.0,False,False,COMPUTED
29,Cu,3,36.841,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,519.1457138759484,13.091520693682268,1.8352940175907783e-12,0.0442712339597373,8.125073083766757e-14,28.83337524293028,1.1321931849957158e-09,0.0,True,True,COMPUTED
29,Cu,4,57.38,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,532.69317036482,8.283603526748346,1.8352861778495445e-12,0.04427161218495779,8.12510779141685e-14,28.833498409662276,1.0923359474093557e-09,0.0,True,True,COMPUTED
29,Cu,5,79.8,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json,546.4028711718444,5.847153774083263,1.835317445957294e-12,0.04427010369632971,8.12496936482124e-14,28.833007176422456,1.0606263452399873e-09,0.0,True,True,COMPUTED
