kind,formula,families,pred,obs,rel,origin
path_Δr/a0,He II 3→2,He II,1.250170075601468,1.3163461168401311,0.05027252361067296,COMPUTED Rydberg+μ
lambda_nm,He II 3→2,He II,164.05038684284102,670.776,0.7554319372743792,COMPUTED Rydberg+μ
path_ratio,He II 3→2,He II,2.25,1.5216460828175944,0.47866184220297187,COMPUTED Rydberg+μ
r_lower/a0,He II 3→2 r_lo,He II,1.0001360604811742,2.5234467586339027,0.6036627057578146,COMPUTED Rydberg+μ
r_upper/a0,He II 3→2 r_hi,He II,2.250306136082642,3.839792875474034,0.4139511663621087,COMPUTED Rydberg+μ
energy,H I 4→1,H I,12.748394310268905,1.8483696261225844,5.897102251681033,COMPUTED Rydberg+μ
path_Δr/a0,H I 4→1,H I,15.00816925532227,1.3163461168401311,10.401385291696041,COMPUTED Rydberg+μ
lambda_nm,H I 4→1,H I,97.2547564937886,670.776,0.8550115739176884,COMPUTED Rydberg+μ
path_ratio,H I 4→1,H I,16.0,1.5216460828175944,9.514928655665576,COMPUTED Rydberg+μ
r_lower/a0,H I 4→1 r_lo,H I,1.0005446170214847,2.5234467586339027,0.6035008015928416,COMPUTED Rydberg+μ
r_upper/a0,H I 4→1 r_hi,H I,16.008713872343755,3.839792875474034,3.1691607832798616,COMPUTED Rydberg+μ
energy,He II 4→1,He II,51.01440816630557,1.8483696261225844,26.59967889827372,COMPUTED Rydberg+μ
path_Δr/a0,He II 4→1,He II,3.750510226804403,1.3163461168401311,1.8491824291679804,COMPUTED Rydberg+μ
lambda_nm,He II 4→1,He II,24.303761013754226,670.776,0.9637676944110192,COMPUTED Rydberg+μ
path_ratio,He II 4→1,He II,16.0,1.5216460828175944,9.514928655665576,COMPUTED Rydberg+μ
r_lower/a0,He II 4→1 r_lo,He II,0.25003401512029355,2.5234467586339027,0.9009156764394537,COMPUTED Rydberg+μ
r_upper/a0,He II 4→1 r_hi,He II,4.000544241924697,3.839792875474034,0.04186459313402882,COMPUTED Rydberg+μ
energy,H I 4→2,H I,2.549678862053781,1.8483696261225844,0.37942045033620647,COMPUTED Rydberg+μ
path_Δr/a0,H I 4→2,H I,12.006535404257816,1.3163461168401311,8.121108233356832,COMPUTED Rydberg+μ
lambda_nm,H I 4→2,H I,486.27378246894307,670.776,0.2750578695884422,COMPUTED Rydberg+μ
path_ratio,H I 4→2,H I,4.0,1.5216460828175944,1.6287321639163945,COMPUTED Rydberg+μ
r_lower/a0,H I 4→2 r_lo,H I,4.002178468085939,2.5234467586339027,0.5859967936286339,COMPUTED Rydberg+μ
r_upper/a0,H I 4→2 r_hi,H I,16.008713872343755,3.839792875474034,3.1691607832798616,COMPUTED Rydberg+μ
energy,He II 4→2,He II,10.202881633261114,1.8483696261225844,4.519935779654743,COMPUTED Rydberg+μ
path_Δr/a0,He II 4→2,He II,3.0004081814435226,1.3163461168401311,1.2793459433343846,COMPUTED Rydberg+μ
lambda_nm,He II 4→2,He II,121.51880506877113,670.776,0.8188384720550956,COMPUTED Rydberg+μ
path_ratio,He II 4→2,He II,4.0,1.5216460828175944,1.6287321639163945,COMPUTED Rydberg+μ
r_lower/a0,He II 4→2 r_lo,He II,1.0001360604811742,2.5234467586339027,0.6036627057578146,COMPUTED Rydberg+μ
r_upper/a0,He II 4→2 r_hi,He II,4.000544241924697,3.839792875474034,0.04186459313402882,COMPUTED Rydberg+μ
