model,split,n,logit_rmse,fraction_mae,fraction_max,beta_coefficient,parameters,multipolarity_classes
controls_only,train,347,1.327043882873009,0.012531289473616992,0.8884338175915464,,-4.68830326866;1.47237535828;0.154402099572;1.1197910131;0.736487613388;1.56418361025,E1;E2;MIXED
controls_only,test,292,2.625416450775001,0.09102730997300341,0.933146819854044,,-4.68830326866;1.47237535828;0.154402099572;1.1197910131;0.736487613388;1.56418361025,E1;E2;MIXED
controls_plus_beta,train,347,1.239248195339815,0.011666612348750032,0.7487728155503196,-60.804836526839175,-42.4445713925;1.36957954752;-43.376420673;-60.8048365268;0.484279559481;0.173130241105;1.02629198554,E1;E2;MIXED
controls_plus_beta,test,292,2.222642614106082,0.09494605789258366,0.6776052864153006,-60.804836526839175,-42.4445713925;1.36957954752;-43.376420673;-60.8048365268;0.484279559481;0.173130241105;1.02629198554,E1;E2;MIXED
