Z,A,symbol,radius_fm,unc_radius_fm,c_boundary_q1_fm,c_boundary_q2_fm,beta_q1,beta_q2,inside_q1,inside_q2
6,12,C,2.4702,0.0022,16.9076419572,33.8152839144,0.14609961615304273,0.07304980807652137,1,1
6,13,C,2.4614,0.0034,16.9076419572,33.8152839144,0.14557914144567216,0.07278957072283608,1,1
6,14,C,2.5025,0.0087,16.9076419572,33.8152839144,0.14800999490850514,0.07400499745425257,1,1
7,14,N,2.5582,0.0070,19.7255822834,39.4511645668,0.12968945419435576,0.06484472709717788,1,1
7,15,N,2.6058,0.0080,19.7255822834,39.4511645668,0.13210256420125566,0.06605128210062783,1,1
8,16,O,2.6991,0.0052,22.5435226096,45.0870452192,0.11972840477249139,0.05986420238624569,1,1
8,17,O,2.6932,0.0075,22.5435226096,45.0870452192,0.11946668879747833,0.05973334439873917,1,1
8,18,O,2.7726,0.0056,22.5435226096,45.0870452192,0.12298876480019623,0.061494382400098115,1,1
9,19,F,2.8976,0.0025,25.3614629358,50.7229258716,0.1142520842482543,0.05712604212412715,1,1
10,17,Ne,3.0413,0.0088,28.179403262,56.358806524,0.10792634505859822,0.05396317252929911,1,1
10,18,Ne,2.9714,0.0076,28.179403262,56.358806524,0.10544580991915257,0.05272290495957629,1,1
10,19,Ne,3.0082,0.0040,28.179403262,56.358806524,0.10675172827582781,0.053375864137913905,1,1
10,20,Ne,3.0055,0.0021,28.179403262,56.358806524,0.10665591361378914,0.05332795680689457,1,1
10,21,Ne,2.9695,0.0033,28.179403262,56.358806524,0.10537838478660684,0.05268919239330342,1,1
10,22,Ne,2.9525,0.0040,28.179403262,56.358806524,0.10477510728488186,0.05238755364244093,1,1
10,23,Ne,2.9104,0.0071,28.179403262,56.358806524,0.1032811082953159,0.05164055414765795,1,1
10,24,Ne,2.9007,0.0078,28.179403262,56.358806524,0.102936885250214,0.051468442625107,1,1
10,25,Ne,2.9316,0.0088,28.179403262,56.358806524,0.1040334308268788,0.0520167154134394,1,1
10,26,Ne,2.9251,0.0100,28.179403262,56.358806524,0.10380276589974867,0.051901382949874335,1,1
10,28,Ne,2.9642,0.0134,28.179403262,56.358806524,0.10519030415371611,0.052595152076858054,1,1
11,20,Na,2.9718,0.0420,30.9973435882,61.9946871764,0.09587273153081731,0.047936365765408655,1,1
11,21,Na,3.0136,0.0284,30.9973435882,61.9946871764,0.09722123418173197,0.04861061709086598,1,1
11,22,Na,2.9852,0.0169,30.9973435882,61.9946871764,0.09630502663900525,0.04815251331950263,1,1
11,23,Na,2.9936,0.0021,30.9973435882,61.9946871764,0.09657601760234696,0.04828800880117348,1,1
11,24,Na,2.9735,0.0169,30.9973435882,61.9946871764,0.09592757494006504,0.04796378747003252,1,1
11,25,Na,2.9769,0.0252,30.9973435882,61.9946871764,0.09603726175856049,0.048018630879280245,1,1
11,26,Na,2.9928,0.0331,30.9973435882,61.9946871764,0.09655020893917156,0.04827510446958578,1,1
11,27,Na,3.0136,0.0467,30.9973435882,61.9946871764,0.09722123418173197,0.04861061709086598,1,1
11,28,Na,3.04,0.0581,30.9973435882,61.9946871764,0.09807292006652017,0.049036460033260086,1,1
11,29,Na,3.0922,0.0723,30.9973435882,61.9946871764,0.09975693533871502,0.04987846766935751,1,1
11,30,Na,3.118,0.0884,30.9973435882,61.9946871764,0.10058926472612167,0.05029463236306084,1,1
11,31,Na,3.1704,0.0893,30.9973435882,61.9946871764,0.10227973216411038,0.05113986608205519,1,1
12,24,Mg,3.057,0.0016,33.8152839144,67.6305678288,0.09040290797908097,0.04520145398954049,1,1
