held_out_nuclide,n_test,beta_coefficient,test_logit_rmse,test_fraction_mae
119sn,15,-71.43834926667105,3.0807911250109323,0.10734353930477927
24mg,30,-81.66622883344587,1.8641908616698284,0.002809633876365832
57fe,3,-61.90938856747369,2.9842088044951507,0.3099696556937806
60ni,264,-43.61945552758949,1.601243110679281,0.001210651120703331
90zr,35,-62.24530968753328,1.5564967350536176,0.0468736994761499
