Z,N,A,symbol,radius_fm,unc_radius_fm,source
55,88,143,Cs,4.8965,0.0151,IAEA LiveChart
55,89,144,Cs,4.9055,0.0161,IAEA LiveChart
55,90,145,Cs,4.9188,0.0191,IAEA LiveChart
55,91,146,Cs,4.9281,0.0193,IAEA LiveChart
56,64,120,Ba,4.8092,0.0058,IAEA LiveChart
56,65,121,Ba,4.8176,0.0052,IAEA LiveChart
56,66,122,Ba,4.8153,0.0054,IAEA LiveChart
56,67,123,Ba,4.8135,0.0055,IAEA LiveChart
56,68,124,Ba,4.8185,0.0052,IAEA LiveChart
56,69,125,Ba,4.8177,0.0052,IAEA LiveChart
56,70,126,Ba,4.8221,0.0050,IAEA LiveChart
56,71,127,Ba,4.8204,0.0051,IAEA LiveChart
56,72,128,Ba,4.8255,0.0048,IAEA LiveChart
56,73,129,Ba,4.8248,0.0049,IAEA LiveChart
56,74,130,Ba,4.8283,0.0047,IAEA LiveChart
56,75,131,Ba,4.8276,0.0048,IAEA LiveChart
56,76,132,Ba,4.8303,0.0047,IAEA LiveChart
56,77,133,Ba,4.8286,0.0047,IAEA LiveChart
56,78,134,Ba,4.8322,0.0047,IAEA LiveChart
56,79,135,Ba,4.8294,0.0047,IAEA LiveChart
56,80,136,Ba,4.8334,0.0046,IAEA LiveChart
56,81,137,Ba,4.8314,0.0047,IAEA LiveChart
56,82,138,Ba,4.8378,0.0046,IAEA LiveChart
56,83,139,Ba,4.8513,0.0049,IAEA LiveChart
56,84,140,Ba,4.8684,0.0059,IAEA LiveChart
56,85,141,Ba,4.8807,0.0069,IAEA LiveChart
56,86,142,Ba,4.8953,0.0083,IAEA LiveChart
56,87,143,Ba,4.9087,0.0096,IAEA LiveChart
56,88,144,Ba,4.9236,0.0112,IAEA LiveChart
56,89,145,Ba,4.9345,0.0123,IAEA LiveChart
56,90,146,Ba,4.9479,0.0138,IAEA LiveChart
56,92,148,Ba,4.9731,0.0167,IAEA LiveChart
57,78,135,La,4.8488,0.0060,IAEA LiveChart
57,80,137,La,4.8496,0.0053,IAEA LiveChart
57,81,138,La,4.8473,0.0051,IAEA LiveChart
57,82,139,La,4.8550,0.0049,IAEA LiveChart
58,78,136,Ce,4.8739,0.0018,IAEA LiveChart
