nuclide,Z,A,start_level_keV,end_level_keV,gamma_energy_keV,relative_intensity,multipolarity,tot_conv_coeff,gamma_fraction_from_icc,radius_fm_measured,source,extraction_date
24mg,12,24,13050,5235.16,7813.5,1.58,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13050,4122.853,8925.4,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13050,1368.667,11678.3,0.09,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13057,10333.6,2723.0,16.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13057,8358.1,4698.0,15.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13057,7616.41,5440.0,16.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13057,4122.853,8932.0,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13088.8,9284.4,3804.1,27.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13088.8,8654.9,4433.5,6.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13088.8,8358.1,4730.2,67.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13088.8,6010.34,7077.3,10.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13088.8,5235.16,7852.3,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13088.8,4238.35,8848.7,40.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13088.8,4122.853,8964.2,63.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13088.8,1368.667,11717.1,20.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13088.8,0,13085.0,0.7,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13212.8,8113.2,5099.0,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13345.7,11522,1824.0,1.9,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13345.7,10659.8,2685.7,19.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13345.7,9457.81,3887.6,19.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13345.7,9299.8,4045.5,28.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13345.7,9003.5,4341.8,2.8,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13345.7,8439.29,4905.9,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13345.7,7616.41,5728.6,33.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13345.7,7348.6,5996.3,6.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13345.7,5235.16,8109.1,2.8,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13345.7,4238.35,9105.5,25.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13345.7,4122.853,9220.9,31.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13345.7,1368.667,11973.8,8.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13345.7,0,13341.7,0.8,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13366.9,10581.26,2785.0,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13366.9,7812.4,5554.0,35.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13366.9,1368.667,11995.0,9.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13366.9,0,13363.0,9.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13446.8,11391,2056.0,65.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13446.8,8438.4,5008.0,21.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13446.8,1368.667,12075.0,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13446.8,0,13443.0,23.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13474.9,6010.34,7463.0,60.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13474.9,5235.16,8238.0,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13474.9,4122.853,9350.0,15.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13474.9,1368.667,12103.0,7.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13771,8358.1,5412.0,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,13771,4122.853,9646.0,72.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,14081,11012,3069.0,40.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,14081,9301.07,4779.0,2.2,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,14081,6010.34,8069.0,80.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,14081,4122.853,9956.0,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,14150,9527.6,4620.0,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,14150,,6040.0,33.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,16904,11860,5043.0,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,19110,13212.8,5856.0,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,3736.69,0,3736.5,100.0,E3,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,3904.38,3352.62,551.8,0.1,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,3904.38,0,3903.9,100.0,E2,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,4491.43,3736.69,754.8,100.0,E2,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,5211.56,3904.38,1307.7,100.0,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,5248.79,3904.38,1344.4,19.4,M1+E2,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,5248.79,3352.62,1896.1,6.3,(E2),,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,5248.79,0,5248.9,100.0,E2,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,5278.8,4491.43,787.4,3.1,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,5278.8,3904.38,1374.0,100.0,E2,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,5613.52,4491.43,1122.7,41.4,M1+E2,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,5613.52,3736.69,1877.0,100.0,M1+E2,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,5629.41,3352.62,2277.0,14.0,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,5629.41,0,5628.5,100.0,E2,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,5902.63,0,5902.0,100.0,E1,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6025.47,3904.38,2121.0,23.0,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6025.47,3736.69,2289.0,100.0,M1+E2,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6029.71,5278.8,750.9,1.2,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6029.71,5248.79,780.7,20.0,E2(+M1),,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6029.71,3904.38,2124.4,100.0,E2(+M1),,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6029.71,3736.69,2293.0,8.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6285.15,5613.52,671.6,1.3,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6285.15,4491.43,1793.4,100.0,E2,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6285.15,3904.38,2380.0,27.4,E1,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6285.15,3736.69,2548.4,4.4,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6285.15,0,6284.6,5.8,[E3],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6422.4,0,6420.6,100.0,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6507.87,5278.8,1229.0,4.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6507.87,5248.79,1259.0,17.0,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6507.87,3904.38,2603.2,100.0,E2,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6542.8,5629.41,913.3,32.0,E2,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6542.8,5278.8,1264.0,14.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6542.8,5248.79,1294.0,24.0,(E2),,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6542.8,3904.38,2638.1,100.0,E2(+M3),,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6582.47,5613.52,969.0,26.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6582.47,4491.43,2091.0,1.1,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6582.47,3904.38,2678.1,24.7,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6582.47,3736.69,2845.1,100.0,M1+E2,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6750.41,3904.38,2848.4,10.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6750.41,3736.69,3014.0,100.0,M1+E2,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6908.7,0,6907.6,100.0,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6930.2,5278.8,1651.8,100.0,E2,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6931.29,5629.41,1301.8,7.0,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6931.29,5613.52,1317.7,2.4,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6931.29,5248.79,1682.4,7.4,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6931.29,4491.43,2439.8,1.7,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6931.29,3904.38,3026.8,2.4,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6931.29,3736.69,3194.5,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6938,3736.69,3201.0,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,6950.48,0,6949.7,100.0,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7113.1,5629.41,1485.0,5.0,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7113.1,5211.56,1899.8,22.0,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7113.1,3904.38,3206.8,28.0,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7113.1,0,7112.9,100.0,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7113.73,6025.47,1088.2,1.7,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7113.73,5613.52,1500.2,10.3,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7113.73,5278.8,1834.9,2.6,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7113.73,4491.43,2623.2,40.7,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7113.73,3736.69,3378.5,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7239.07,5613.52,1624.5,50.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7239.07,4491.43,2746.0,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7239.07,3736.69,3501.4,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7277.82,3736.69,3541.0,100.0,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7300.67,5629.41,1671.3,5.3,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7300.67,5248.79,2050.3,100.0,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7421.9,3736.69,3684.9,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7446.23,5629.41,1816.8,30.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7446.23,5613.52,1831.5,48.5,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7446.23,5278.8,2167.4,56.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7446.23,5248.79,2198.0,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7466.35,5248.79,2217.5,24.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7466.35,3904.38,3561.8,36.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7466.35,3352.62,4113.5,21.0,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7466.35,0,7465.6,100.0,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7532.26,6285.15,1247.1,23.1,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7532.26,6025.47,1506.8,11.3,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7532.26,5902.63,1629.6,8.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7532.26,5613.52,1917.6,57.0,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7532.26,3904.38,3627.7,36.0,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7532.26,3736.69,3795.4,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7561.17,6029.71,1531.4,44.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7561.17,5248.79,2312.1,100.0,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7561.17,3736.69,3824.3,14.0,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7623.11,5629.41,1993.6,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7623.11,5613.52,2009.5,90.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7623.11,5248.79,2374.2,31.5,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7623.11,3736.69,3886.2,57.4,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7658.23,6285.15,1373.1,33.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7658.23,5613.52,2045.6,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7658.23,4491.43,3167.9,52.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7658.23,3736.69,3920.0,59.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7676.6,5278.8,2399.2,100.0,(E2),,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7694.08,5613.52,2080.6,10.1,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7694.08,3736.69,3957.5,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7701.8,3904.38,3797.2,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7769.4,5613.52,2155.8,52.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7769.4,3736.69,4032.5,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7814.7,5248.79,2565.0,43.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7814.7,3904.38,3908.0,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7872.18,0,7871.1,100.0,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7928.42,5613.52,2314.8,100.0,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7928.42,4491.43,3436.8,100.0,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7928.42,3736.69,4191.5,14.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7976.55,5278.8,2699.0,20.0,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7976.55,3904.38,4072.1,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7976.55,3352.62,4624.0,60.0,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,7976.55,0,7977.0,20.0,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8018.8,5248.79,2770.0,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8091.61,0,8090.6,100.0,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8100.1,6930.2,1168.8,100.0,E2,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8113.2,0,8111.0,100.0,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8134.77,5629.41,2505.3,82.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8134.77,5613.52,2521.2,24.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8134.77,4491.43,3643.1,15.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8134.77,3904.38,4229.4,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8187.5,3736.69,4451.6,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8271,6950.48,1321.0,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8271,5902.63,2368.0,67.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8276,5629.41,2646.0,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8323.16,6750.41,1572.7,12.5,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8323.16,6285.15,2038.0,2.2,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8323.16,6025.47,2297.6,26.3,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8323.16,5902.63,2420.5,1.9,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8323.16,5248.79,3074.2,4.5,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8323.16,3736.69,4586.2,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8323.16,0,8322.2,3.4,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8338,6542.8,1795.2,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8338,6507.87,1830.1,42.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8358.9,,1405.0,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8364,4491.43,3872.0,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8373.94,3904.38,4469.3,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8424.81,6025.47,2399.3,19.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8424.81,5902.63,2522.1,24.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8424.81,3736.69,4687.8,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8439,5629.41,2809.5,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8484.02,5902.63,2581.3,59.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8484.02,3736.69,4747.0,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8540,3352.62,5188.0,67.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8540,0,8540.0,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8578.8,0,8577.7,100.0,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8587,6025.47,2562.0,25.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8587,5278.8,3308.0,25.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8587,3904.38,4682.0,17.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8587,3736.69,4850.0,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8665.3,0,8665.0,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8678.29,6285.15,2393.1,20.0,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8678.29,3736.69,4941.3,100.0,[E1],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8748.22,0,8748.4,100.0,[E2],,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8764.18,6029.71,2734.4,47.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8764.18,5629.41,3134.6,56.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8764.18,5278.8,3485.2,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8764.18,3904.38,4859.5,65.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8934.81,7532.26,1402.5,12.2,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8934.81,7277.82,1657.0,3.5,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8934.81,7113.1,1821.0,1.7,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8934.81,6950.48,1984.3,5.6,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8934.81,6750.41,2184.3,5.6,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8934.81,6582.47,2352.2,1.9,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8934.81,6029.71,2905.0,3.2,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8934.81,6025.47,2909.2,17.6,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8934.81,5902.63,3032.1,1.7,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8934.81,5629.41,3305.2,2.9,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8934.81,5248.79,3685.8,5.6,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8934.81,5211.56,3722.9,3.5,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8934.81,3904.38,5030.1,100.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8934.81,3736.69,5197.8,2.9,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8934.81,3352.62,5581.8,21.8,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
40ca,20,40,8934.81,0,8933.7,77.0,,,,3.4776,IAEA LiveChart ENSDF adopted gammas,2026-08-13
