nuclide,Z,A,start_level_keV,end_level_keV,gamma_energy_keV,relative_intensity,multipolarity,tot_conv_coeff,gamma_fraction_from_icc,radius_fm_measured,source,extraction_date
16o,8,16,11096.7,6917.1,4179.0,81.0,[E2],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,11096.7,6129.89,4966.0,100.0,[E1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,11520,7116.85,4402.0,0.9,[E1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,11520,6917.1,4602.0,4.4,[M1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,11520,6049.4,5470.0,4.6,[E2],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,11520,0,11516.0,100.0,[E2],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,12440,6049.4,6389.2,1.2,[E1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,12440,0,12434.8,100.0,[E1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,12530,8871.9,3657.7,67.0,[M1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,12530,7116.85,5412.1,24.5,[M1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,12530,6917.1,5611.8,2.0,[E1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,12530,6129.89,6398.7,100.0,[M1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,12530,0,12524.7,12.2,[M2],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,12796,7116.85,5678.0,100.0,[M1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,12968.6,8871.9,4096.1,84.0,[M1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,12968.6,7116.85,5850.7,12.0,[M1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,12968.6,6129.89,6837.1,100.0,[M1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,12968.6,0,12963.0,4.2,[M2],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,13020,0,13014.0,100.0,,,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,13090,7116.85,5972.0,3.1,[M1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,13090,6049.4,7039.0,0.58,[E1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,13090,0,13084.0,100.0,[E1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
