z_daughter,a_daughter,element_daughter,z_parent,a_parent,element_parent,daughter_level_idx,cumulative_thermal_fy,unc_ct,cumulative_fast_fy,unc_cf,cumulative_14mev_fy,unc_c14,Extraction_date
46,104,Pd,92,233,U,0,0.000000028244,0.0000000085654,0.0000000029547,0.0000000010624,0.0000000000044559,0.0000000000017756,2026-07-25
45,104,Rh,92,233,U,0,0.000000028342,0.0000000086041,0.000000002965,0.0000000010668,0.0000000000044711,0.0000000000017833,2026-07-25
45,104,Rh,92,233,U,3,0.000000021309,0.0000000081736,0.0000000023061,0.00000000096034,0.0000000000038037,0.0000000000017249,2026-07-25
44,104,Ru,92,233,U,0,0.009758,0.00013649,0.010122,0.0021838,0.022578,0.0034501,2026-07-25
38,104,Sr,92,233,U,0,0.000000000015372,0.0000000000058967,0.0000000000058036,0.0000000000024167,,,2026-07-25
43,104,Tc,92,233,U,0,0.009732,0.00013626,0.010113,0.0021838,0.022576,0.0034501,2026-07-25
39,104,Y,92,233,U,0,0.000000089919,0.000000034487,0.000000096852,0.000000040329,0.0000000000039788,0.0000000000018043,2026-07-25
40,104,Zr,92,233,U,0,0.000087291,0.00003296,0.000093397,0.000038547,0.0000021275,0.00000096476,2026-07-25
42,105,Mo,92,233,U,0,0.0043299,0.00012218,0.004928,0.00095928,0.016561,0.0013021,2026-07-25
41,105,Nb,92,233,U,0,0.00060205,0.00018736,0.00058271,0.00022346,0.0018017,0.0006627,2026-07-25
46,105,Pd,92,233,U,0,0.0050058,0.00012507,0.005537,0.0010736,0.018367,0.0014297,2026-07-25
45,105,Rh,92,233,U,0,0.0050058,0.00012507,0.005537,0.0010736,0.018367,0.0014297,2026-07-25
45,105,Rh,92,233,U,1,0.001421,0.00010487,0.0015718,0.00034092,0.0052139,0.0005514,2026-07-25
44,105,Ru,92,233,U,0,0.0050058,0.00012507,0.005537,0.0010736,0.018367,0.0014297,2026-07-25
43,105,Tc,92,233,U,0,0.0050021,0.00012505,0.0055365,0.0010736,0.018365,0.0014297,2026-07-25
39,105,Y,92,233,U,0,0.0000000002448,0.000000000095045,0.0000000000011482,0.00000000000049514,0.0000000000037135,0.0000000000015494,2026-07-25
40,105,Zr,92,233,U,0,0.0000043832,0.0000016994,0.00000048657,0.0000002098,0.0000015572,0.00000064973,2026-07-25
42,106,Mo,92,233,U,0,0.0021467,0.000073069,0.0025912,0.00026357,0.010954,0.0020189,2026-07-25
41,106,Nb,92,233,U,0,0.00028176,0.000088471,0.00027958,0.000097848,0.0014106,0.00056652,2026-07-25
46,106,Pd,92,233,U,0,0.0025045,0.000077641,0.0029074,0.00029365,0.014599,0.0026132,2026-07-25
45,106,Rh,92,233,U,0,0.0025045,0.000077641,0.0029074,0.00029365,0.014599,0.0026132,2026-07-25
45,106,Rh,92,233,U,1,0.00000000010453,0.000000000040262,,,0.000000083565,0.000000037869,2026-07-25
44,106,Ru,92,233,U,0,0.0025045,0.000077641,0.0029074,0.00029365,0.014599,0.0026132,2026-07-25
43,106,Tc,92,233,U,0,0.0025026,0.000077584,0.0029072,0.00029362,0.014507,0.0025968,2026-07-25
39,106,Y,92,233,U,0,0.00000000011609,0.000000000044713,,,0.0000000056447,0.0000000025581,2026-07-25
40,106,Zr,92,233,U,0,0.0000025455,0.00000097879,0.00000029482,0.00000011865,0.000017333,0.0000078465,2026-07-25
42,107,Mo,92,233,U,0,0.0008438,0.000039319,0.0011933,0.00020556,0.0049769,0.0014832,2026-07-25
41,107,Nb,92,233,U,0,0.00012898,0.000038056,0.00019701,0.000069644,0.00017094,0.000080215,2026-07-25
46,107,Pd,92,233,U,0,0.001149,0.000034481,0.0015975,0.00026519,0.013574,0.0031628,2026-07-25
46,107,Pd,92,233,U,2,0.0000000000015992,0.00000000000058812,,,0.0000000013237,0.00000000062989,2026-07-25
45,107,Rh,92,233,U,0,0.001149,0.000034481,0.0015975,0.00026519,0.013574,0.0031628,2026-07-25
44,107,Ru,92,233,U,0,0.001149,0.00003448,0.0015975,0.00026519,0.013568,0.0031613,2026-07-25
43,107,Tc,92,233,U,0,0.0011388,0.000034229,0.0015885,0.00026372,0.012575,0.002935,2026-07-25
39,107,Y,92,233,U,0,0.0000000018415,0.00000000067725,0.00000000091626,0.00000000038361,0.000000000018661,0.0000000000088798,2026-07-25
40,107,Zr,92,233,U,0,0.0000028317,0.0000010365,0.0000020425,0.00000085345,0.00000028414,0.0000001352,2026-07-25
47,108,Ag,92,233,U,0,,,,,0.0000000000061122,0.0000000000025717,2026-07-25
47,108,Ag,92,233,U,2,,,,,0.000000000019816,0.0000000000099096,2026-07-25
48,108,Cd,92,233,U,0,,,,,0.0000000000059349,0.0000000000024971,2026-07-25
42,108,Mo,92,233,U,0,0.00029644,0.000046581,0.00036736,0.000090438,0.00088335,0.0004051,2026-07-25
41,108,Nb,92,233,U,0,0.000011198,0.000003949,0.00001327,0.0000054532,0.0000046621,0.0000023302,2026-07-25
46,108,Pd,92,233,U,0,0.000797,0.000025504,0.0010092,0.00016648,0.013133,0.0034663,2026-07-25
45,108,Rh,92,233,U,-2,0.00000046422,0.00000016859,0.00000028764,0.0000001204,0.00015884,0.000078107,2026-07-25
45,108,Rh,92,233,U,0,0.00079653,0.000025489,0.0010089,0.00016646,0.012974,0.0034251,2026-07-25
