z_daughter,a_daughter,element_daughter,z_parent,a_parent,element_parent,daughter_level_idx,cumulative_thermal_fy,unc_ct,cumulative_fast_fy,unc_cf,cumulative_14mev_fy,unc_c14,Extraction_date
46,115,Pd,94,239,Pu,0,0.00018139,0.000017362,0.00034364,0.000040757,,,2026-07-25
46,116,Pd,94,239,Pu,0,0.00032233,0.000021223,0.00041754,0.000057593,,,2026-07-25
46,117,Pd,94,239,Pu,0,0.00019429,0.000021537,0.00020681,0.000051965,,,2026-07-25
46,118,Pd,94,239,Pu,0,0.00010243,0.000025243,0.000094162,0.000033872,,,2026-07-25
46,119,Pd,94,239,Pu,0,0.000045038,0.000014249,0.000036702,0.000013979,,,2026-07-25
46,120,Pd,94,239,Pu,0,0.000013999,0.0000054504,0.000011325,0.0000045841,,,2026-07-25
46,121,Pd,94,239,Pu,0,0.00000062691,0.00000026124,0.00000028736,0.00000012023,,,2026-07-25
46,122,Pd,94,239,Pu,0,0.000000067089,0.000000024537,0.000000021022,0.0000000087912,,,2026-07-25
46,123,Pd,94,239,Pu,0,0.0000000048498,0.0000000020348,0.0000000010979,0.00000000046451,,,2026-07-25
46,124,Pd,94,239,Pu,0,0.00000000019588,0.000000000071747,0.000000000029823,0.000000000012481,,,2026-07-25
47,107,Ag,94,239,Pu,0,0.000000000032676,0.000000000010911,0.0000000000022415,0.00000000000097278,,,2026-07-25
47,108,Ag,94,239,Pu,0,0.00000000079396,0.00000000025343,0.00000000009406,0.000000000047615,,,2026-07-25
47,109,Ag,94,239,Pu,0,0.016732,0.0027437,0.014303,0.0028892,,,2026-07-25
47,110,Ag,94,239,Pu,0,0.0000000068297,0.0000000025258,,,,,2026-07-25
47,111,Ag,94,239,Pu,0,0.0030639,0.000073551,0.0040699,0.00019536,,,2026-07-25
47,112,Ag,94,239,Pu,0,0.0012817,0.000076901,0.0014282,0.0001671,,,2026-07-25
47,113,Ag,94,239,Pu,0,0.00053089,0.000032864,0.00084227,0.00012103,,,2026-07-25
47,114,Ag,94,239,Pu,0,0.00053922,0.0000275,0.00095683,0.00012821,,,2026-07-25
47,115,Ag,94,239,Pu,0,0.00018501,0.000014581,0.00036746,0.000036563,,,2026-07-25
47,116,Ag,94,239,Pu,0,0.00036679,0.000020881,0.00047908,0.000062648,,,2026-07-25
47,117,Ag,94,239,Pu,0,0.00014674,0.000014282,0.00016155,0.000038111,,,2026-07-25
47,118,Ag,94,239,Pu,0,0.00024193,0.000022918,0.00025473,0.000056266,,,2026-07-25
47,119,Ag,94,239,Pu,0,0.00026684,0.000027451,0.00029179,0.000060565,,,2026-07-25
