z_daughter,a_daughter,element_daughter,z_parent,a_parent,element_parent,daughter_level_idx,cumulative_thermal_fy,unc_ct,cumulative_fast_fy,unc_cf,cumulative_14mev_fy,unc_c14,Extraction_date
41,105,Nb,93,237,Np,0,0.0028266,0.00085238,0.005119,0.0013547,,,2026-07-25
46,105,Pd,93,237,Np,0,0.026796,0.0032692,0.02974,0.002409,,,2026-07-25
45,105,Rh,93,237,Np,0,0.026796,0.0032692,0.02974,0.002409,,,2026-07-25
45,105,Rh,93,237,Np,1,0.0076068,0.0011408,0.0084425,0.00097422,,,2026-07-25
44,105,Ru,93,237,Np,0,0.026796,0.0032691,0.02974,0.0024089,,,2026-07-25
38,105,Sr,93,237,Np,0,,,0.0000000000010246,0.00000000000037168,,,2026-07-25
43,105,Tc,93,237,Np,0,0.026637,0.0032497,0.029646,0.0024014,,,2026-07-25
39,105,Y,93,237,Np,0,0.000000012006,0.0000000042944,0.000000045523,0.000000016514,,,2026-07-25
40,105,Zr,93,237,Np,0,0.000037392,0.000013347,0.000071968,0.000026002,,,2026-07-25
42,106,Mo,93,237,Np,0,0.0062381,0.0015514,0.012356,0.0019251,,,2026-07-25
41,106,Nb,93,237,Np,0,0.00023452,0.000094633,0.00076014,0.00027588,,,2026-07-25
46,106,Pd,93,237,Np,0,0.01374,0.0028441,0.022792,0.0029858,,,2026-07-25
45,106,Rh,93,237,Np,0,0.013738,0.0028438,0.022791,0.0029856,,,2026-07-25
45,106,Rh,93,237,Np,1,0.0000014524,0.0000005994,0.0000011295,0.00000043265,,,2026-07-25
44,106,Ru,93,237,Np,0,0.013738,0.0028437,0.022791,0.0029856,,,2026-07-25
43,106,Tc,93,237,Np,0,0.013224,0.0027385,0.02227,0.0029183,,,2026-07-25
39,106,Y,93,237,Np,0,0.000000000067284,0.000000000027774,0.00000000045812,0.00000000017546,,,2026-07-25
40,106,Zr,93,237,Np,0,0.0000010645,0.00000043933,0.0000036715,0.0000014057,,,2026-07-25
42,107,Mo,93,237,Np,0,0.0011818,0.00039214,0.0029835,0.00092504,,,2026-07-25
41,107,Nb,93,237,Np,0,0.000014848,0.0000061817,0.000066988,0.000028625,,,2026-07-25
46,107,Pd,93,237,Np,0,0.0061137,0.0011738,0.012877,0.0024595,,,2026-07-25
46,107,Pd,93,237,Np,2,0.0000000063684,0.0000000026606,0.0000000048814,0.0000000021022,,,2026-07-25
45,107,Rh,93,237,Np,0,0.0061137,0.0011738,0.012877,0.0024595,,,2026-07-25
44,107,Ru,93,237,Np,0,0.0060986,0.0011709,0.012861,0.0024565,,,2026-07-25
43,107,Tc,93,237,Np,0,0.0050992,0.00098865,0.011563,0.002216,,,2026-07-25
39,107,Y,93,237,Np,0,,,0.0000000000025255,0.0000000000010876,,,2026-07-25
40,107,Zr,93,237,Np,0,0.000000013636,0.000000005697,0.000000065897,0.000000028378,,,2026-07-25
42,108,Mo,93,237,Np,0,0.0003466,0.00012819,0.00073511,0.00028248,,,2026-07-25
41,108,Nb,93,237,Np,0,0.00000017586,0.000000076703,0.00000049648,0.00000022183,,,2026-07-25
46,108,Pd,93,237,Np,0,0.0026696,0.00046423,0.0065558,0.0011859,,,2026-07-25
45,108,Rh,93,237,Np,-2,0.00000017027,0.000000074267,0.00000042737,0.00000019096,,,2026-07-25
45,108,Rh,93,237,Np,0,0.0026694,0.00046423,0.0065554,0.0011859,,,2026-07-25
44,108,Ru,93,237,Np,0,0.0026694,0.00046423,0.0065553,0.0011859,,,2026-07-25
43,108,Tc,93,237,Np,0,0.0023975,0.00041881,0.0059339,0.0010772,,,2026-07-25
40,108,Zr,93,237,Np,0,,,0.0000000000014295,0.00000000000063879,,,2026-07-25
47,109,Ag,93,237,Np,0,0.0012452,0.00020172,0.0031858,0.00046194,,,2026-07-25
47,109,Ag,93,237,Np,1,0.0012446,0.00020163,0.0031842,0.00046171,,,2026-07-25
42,109,Mo,93,237,Np,0,0.00014906,0.000055533,0.00033082,0.00012309,,,2026-07-25
41,109,Nb,93,237,Np,0,0.000000095681,0.000000041842,0.00000028492,0.00000012313,,,2026-07-25
46,109,Pd,93,237,Np,0,0.0012452,0.00020172,0.0031858,0.00046194,,,2026-07-25
46,109,Pd,93,237,Np,2,0.0006226,0.00011039,0.0015929,0.00025325,,,2026-07-25
45,109,Rh,93,237,Np,0,0.0012452,0.00020172,0.0031858,0.00046194,,,2026-07-25
44,109,Ru,93,237,Np,0,0.0012451,0.00020171,0.0031855,0.0004619,,,2026-07-25
43,109,Tc,93,237,Np,0,0.0011178,0.00018196,0.0028693,0.00041793,,,2026-07-25
47,110,Ag,93,237,Np,0,,,0.0000000000013737,0.00000000000055887,,,2026-07-25
47,110,Ag,93,237,Np,2,0.0000000000010557,0.00000000000044042,0.0000000000036106,0.0000000000015152,,,2026-07-25
48,110,Cd,93,237,Np,0,0.000000000001505,0.00000000000049802,0.0000000000049311,0.0000000000016624,,,2026-07-25
42,110,Mo,93,237,Np,0,0.000049124,0.000018421,0.000096565,0.000037027,,,2026-07-25
41,110,Nb,93,237,Np,0,0.00000016264,0.000000067806,0.00000039726,0.00000016661,,,2026-07-25
46,110,Pd,93,237,Np,0,0.00064452,0.00010119,0.001594,0.0002391,,,2026-07-25
45,110,Rh,93,237,Np,0,0.00000025807,0.00000010678,0.00000063512,0.00000026458,,,2026-07-25
