z_daughter,a_daughter,element_daughter,z_parent,a_parent,element_parent,daughter_level_idx,independent_thermal_fy,unc_it,independent_fast_fy,unc_if,independent_14mev_fy,unc_i14,Extraction_date
27,68,Co,94,241,Pu,-2,0.0000000056253,0.0000000021747,0.000000017684,0.000000006343,,,2026-07-25
27,69,Co,94,241,Pu,0,0.000000015114,0.0000000064838,0.000000065036,0.000000026143,,,2026-07-25
27,70,Co,94,241,Pu,0,0.0000000047306,0.000000002198,0.000000025794,0.000000011721,,,2026-07-25
27,70,Co,94,241,Pu,1,0.0000000047306,0.000000002198,0.000000025794,0.000000011721,,,2026-07-25
27,71,Co,94,241,Pu,0,0.0000000052363,0.0000000024321,0.000000035715,0.000000016497,,,2026-07-25
27,72,Co,94,241,Pu,0,0.0000000013708,0.00000000063676,0.000000012187,0.0000000056887,,,2026-07-25
27,73,Co,94,241,Pu,0,0.00000000025535,0.00000000011949,0.0000000030984,0.0000000014579,,,2026-07-25
27,74,Co,94,241,Pu,0,0.000000000021701,0.000000000010346,0.00000000038706,0.00000000018226,,,2026-07-25
27,75,Co,94,241,Pu,0,0.0000000000015006,0.00000000000071244,0.000000000038532,0.00000000001816,,,2026-07-25
28,61,Ni,94,241,Pu,0,0,0,0,0,,,2026-07-25
28,62,Ni,94,241,Pu,0,0,0,0,0,,,2026-07-25
28,63,Ni,94,241,Pu,0,0,0,0,0,,,2026-07-25
28,64,Ni,94,241,Pu,0,0.000000000002256,0.0000000000010829,0.0000000000020979,0.00000000000099683,,,2026-07-25
28,65,Ni,94,241,Pu,0,0.000000000038954,0.000000000018243,0.000000000043476,0.000000000020385,,,2026-07-25
28,66,Ni,94,241,Pu,0,0.00000000051297,0.00000000023022,0.00000000068381,0.00000000031323,,,2026-07-25
28,67,Ni,94,241,Pu,0,0.0000000032784,0.000000001376,0.0000000053439,0.0000000023578,,,2026-07-25
28,68,Ni,94,241,Pu,0,0.000000016427,0.0000000057681,0.00000003465,0.000000013117,,,2026-07-25
28,69,Ni,94,241,Pu,0,0.000000021926,0.000000007133,0.00000005756,0.000000019602,,,2026-07-25
28,69,Ni,94,241,Pu,1,0.000000021926,0.000000007133,0.00000005756,0.000000019602,,,2026-07-25
28,70,Ni,94,241,Pu,0,0.000000095599,0.000000030776,0.00000031406,0.00000010111,,,2026-07-25
28,71,Ni,94,241,Pu,0,0.00000012161,0.000000045501,0.00000049126,0.00000018012,,,2026-07-25
28,72,Ni,94,241,Pu,0,0.00000012308,0.000000051398,0.00000063752,0.00000026174,,,2026-07-25
28,73,Ni,94,241,Pu,0,0.000000058217,0.00000002656,0.00000040613,0.00000018457,,,2026-07-25
28,74,Ni,94,241,Pu,0,0.000000020729,0.0000000098332,0.00000021051,0.000000098286,,,2026-07-25
28,75,Ni,94,241,Pu,0,0.0000000038623,0.0000000018326,0.000000056078,0.000000026399,,,2026-07-25
28,76,Ni,94,241,Pu,0,0.00000000051092,0.00000000024017,0.000000011185,0.0000000052594,,,2026-07-25
28,77,Ni,94,241,Pu,0,0.000000000030204,0.000000000011606,0.0000000011219,0.00000000052609,,,2026-07-25
28,78,Ni,94,241,Pu,0,0.0000000000065928,0.0000000000030603,0.000000000081177,0.000000000037731,,,2026-07-25
29,63,Cu,94,241,Pu,0,0,0,0,0,,,2026-07-25
29,65,Cu,94,241,Pu,0,0,0,0,0,,,2026-07-25
29,66,Cu,94,241,Pu,0,0.0000000000022297,0.0000000000010395,0.0000000000024554,0.0000000000011492,,,2026-07-25
29,67,Cu,94,241,Pu,0,0.000000000057222,0.000000000026784,0.000000000078046,0.000000000036847,,,2026-07-25
29,68,Cu,94,241,Pu,0,0.00000000020605,0.000000000095831,0.00000000033155,0.00000000015412,,,2026-07-25
29,68,Cu,94,241,Pu,3,0.00000000048263,0.00000000022446,0.00000000090374,0.0000000004201,,,2026-07-25
29,69,Cu,94,241,Pu,0,0.0000000066653,0.0000000030327,0.000000015138,0.0000000068878,,,2026-07-25
29,70,Cu,94,241,Pu,0,0.0000000023974,0.0000000010372,0.0000000061435,0.0000000026858,,,2026-07-25
29,70,Cu,94,241,Pu,1,0.000000026709,0.000000011555,0.000000078459,0.0000000343,,,2026-07-25
