obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"158.7596"	"158.7591"	"5.0e+07"	D	"3.55240+x"	"11.36199+x"	"2s.2p2"	"4P"	"3/2"	"2s.2p.(3P*).3d"	"4P*"	"5/2"	4	6		
"158.7653"	"158.7658"	"7.5e+07"	D	"3.55319+x"	"11.36244+x"	"2s.2p2"	"4P"	"5/2"	"2s.2p.(3P*).3d"	"4P*"	"3/2"	6	4		
"158.7747"	"158.7750"	"1.2e+08"	D	"3.55319+x"	"11.36199+x"	"2s.2p2"	"4P"	"5/2"	"2s.2p.(3P*).3d"	"4P*"	"5/2"	6	6		
"160.0373"	"160.0371"	"4.67e+07"	B	"0.00000000"	"7.747215"	"2s2.2p"	"2P*"	"1/2"	"2s2.5d"	"2D"	"3/2"	2	4		
"160.0455"	"160.0457"	"2.7e+07"	D+	"0.00000000"	"7.746801"	"2s2.2p"	"2P*"	"1/2"	"2s2.6s"	"2S"	"1/2"	2	2		
"160.0761"	"160.0763"	"5.60e+07"	B	"0.0018953"	"7.747215"	"2s2.2p"	"2P*"	"3/2"	"2s2.5d"	"2D"	"5/2"	4	6		
"160.0761"	"160.0763"	"9.32e+06"	B	"0.0018953"	"7.747215"	"2s2.2p"	"2P*"	"3/2"	"2s2.5d"	"2D"	"3/2"	4	4		
"160.0850"	"160.0848"	"5.7e+07"	D+	"0.0018953"	"7.746801"	"2s2.2p"	"2P*"	"3/2"	"2s2.6s"	"2S"	"1/2"	4	2		
"166.2608"	"166.26095"	"2.0e+07"	C	"0.00000000"	"7.4572049"	"2s2.2p"	"2P*"	"1/2"	"2s2.5s"	"2S"	"1/2"	2	2		
"166.3031"	"166.30322"	"3.94e+07"	C	"0.0018953"	"7.4572049"	"2s2.2p"	"2P*"	"3/2"	"2s2.5s"	"2S"	"1/2"	4	2		
"166.6850"	"166.6849"	"8.66e+07"	B+	"0.00000000"	"7.438240"	"2s2.2p"	"2P*"	"1/2"	"2s2.4d"	"2D"	"3/2"	2	4		
"166.7272"	"166.7273"	"1.04e+08"	B+	"0.0018953"	"7.438240"	"2s2.2p"	"2P*"	"3/2"	"2s2.4d"	"2D"	"5/2"	4	6		
"166.7272"	"166.7273"	"1.73e+07"	B+	"0.0018953"	"7.438240"	"2s2.2p"	"2P*"	"3/2"	"2s2.4d"	"2D"	"3/2"	4	4		
"181.784370"	"181.784357"	"3.12e+07"	B+	"0.00000000"	"6.8203997"	"2s2.2p"	"2P*"	"1/2"	"2s2.4s"	"2S"	"1/2"	2	2		
"181.834891"	"181.834888"	"6.22e+07"	B+	"0.0018953"	"6.8203997"	"2s2.2p"	"2P*"	"3/2"	"2s2.4s"	"2S"	"1/2"	4	2		
"182.589390"	"182.589392"	"1.70e+08"	A	"0.00000000"	"6.79032869"	"2s2.2p"	"2P*"	"1/2"	"2s2.3d"	"2D"	"3/2"	2	4		
"182.639952"	"182.639890"	"2.04e+08"	A	"0.0018953"	"6.7903466"	"2s2.2p"	"2P*"	"3/2"	"2s2.3d"	"2D"	"5/2"	4	6		
""	"182.640371"	"3.39e+07"	A	"0.0018953"	"6.79032869"	"2s2.2p"	"2P*"	"3/2"	"2s2.3d"	"2D"	"3/2"	4	4		
"206.7037"	"206.7039"	"6.9e+07"	D	"3.55240+x"	"9.55056+x"	"2s.2p2"	"4P"	"3/2"	"2s.2p.(3P*).3s"	"4P*"	"5/2"	4	6		
"206.7314"	"206.7310"	"1.6e+08"	D	"3.55319+x"	"9.55056+x"	"2s.2p2"	"4P"	"5/2"	"2s.2p.(3P*).3s"	"4P*"	"5/2"	6	6		
""	"206.7388"	"9.2e+07"	D	"3.55183+x"	"9.54897+x"	"2s.2p2"	"4P"	"1/2"	"2s.2p.(3P*).3s"	"4P*"	"3/2"	2	4		
"206.7590"	"206.7587"	"3.0e+07"	D	"3.55240+x"	"9.54897+x"	"2s.2p2"	"4P"	"3/2"	"2s.2p.(3P*).3s"	"4P*"	"3/2"	4	4		
"206.7680"	"206.7663"	"3.8e+07"	D	"3.55183+x"	"9.54817+x"	"2s.2p2"	"4P"	"1/2"	"2s.2p.(3P*).3s"	"4P*"	"1/2"	2	2		
"206.7853"	"206.7857"	"1.0e+08"	D	"3.55319+x"	"9.54897+x"	"2s.2p2"	"4P"	"5/2"	"2s.2p.(3P*).3s"	"4P*"	"3/2"	6	4		
"206.7853"	"206.7862"	"1.8e+08"	D	"3.55240+x"	"9.54817+x"	"2s.2p2"	"4P"	"3/2"	"2s.2p.(3P*).3s"	"4P*"	"1/2"	4	2		
"208.955294"	"208.955302"	"3.61e+07"	B+	"0.00000000"	"5.9335273"	"2s2.2p"	"2P*"	"1/2"	"2s.2p2"	"2D"	"3/2"	2	4		
""	"209.022070"	"7.16e+06"	B+	"0.0018953"	"5.9335273"	"2s2.2p"	"2P*"	"3/2"	"2s.2p2"	"2D"	"3/2"	4	4		
"209.023460"	"209.023450"	"4.33e+07"	B+	"0.0018953"	"5.9334881"	"2s2.2p"	"2P*"	"3/2"	"2s.2p2"	"2D"	"5/2"	4	6		
""	"213.4944"	"4.2e+05"	D+	"6.0271033"	"11.83448"	"2s2.3p"	"2P*"	"1/2"	"2s.2p.(3P*).4p"	"2P"	"3/2"	2	4		
""	"213.5025"	"2.1e+06"	D+	"6.0273243"	"11.83448"	"2s2.3p"	"2P*"	"3/2"	"2s.2p.(3P*).4p"	"2P"	"3/2"	4	4		
""	"213.5131"	"1.7e+06"	D+	"6.0271033"	"11.83397"	"2s2.3p"	"2P*"	"1/2"	"2s.2p.(3P*).4p"	"2P"	"1/2"	2	2		
""	"213.5212"	"8.3e+05"	D+	"6.0273243"	"11.83397"	"2s2.3p"	"2P*"	"3/2"	"2s.2p.(3P*).4p"	"2P"	"1/2"	4	2		
"238.93"	"238.9390"	"5.9e+06"	D	"5.9334881"	"11.12244"	"2s.2p2"	"2D"	"5/2"	"2s.2p.(3P*).3d"	"2D*"	"5/2"	6	6		
"238.93"	"238.9597"	"5.6e+06"	D	"5.9335273"	"11.12203"	"2s.2p2"	"2D"	"3/2"	"2s.2p.(3P*).3d"	"2D*"	"3/2"	4	4		
""	"238.9408"	"4.2e+05"	D	"5.9335273"	"11.12244"	"2s.2p2"	"2D"	"3/2"	"2s.2p.(3P*).3d"	"2D*"	"5/2"	4	6		
""	"238.9579"	"6.3e+05"	D	"5.9334881"	"11.12203"	"2s.2p2"	"2D"	"5/2"	"2s.2p.(3P*).3d"	"2D*"	"3/2"	6	4		
"249.75216"	"249.752179"	"8.40e+07"	A	"0.00000000"	"4.9642890"	"2s2.2p"	"2P*"	"1/2"	"2s2.3s"	"2S"	"1/2"	2	2		
"249.84755"	"249.847570"	"1.68e+08"	A	"0.0018953"	"4.9642890"	"2s2.2p"	"2P*"	"3/2"	"2s2.3s"	"2S"	"1/2"	4	2		
""	"261.417"	"5.7e+05"	D+	"6.0271033"	"10.76987"	"2s2.3p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2P"	"3/2"	2	4		
""	"261.429"	"2.8e+06"	D+	"6.0273243"	"10.76987"	"2s2.3p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2P"	"3/2"	4	4		
