obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"250.527"	"250.5274"	"1.8e+07"	D	"0.431815"	"5.380743"	"3p6.3d8.(3F).4s"	"b 4F"	"9/2"	"3p6.3d7.(4P).4s.4p.(3P*)"	"w 4D*"	"7/2"	10	8		
""	"251.1774"	"9.2e+07"	C	"0.431815"	"5.367936"	"3p6.3d8.(3F).4s"	"b 4F"	"9/2"	"3p6.3d7.(2G).4s.4p.(3P*)"	"w 4F*"	"9/2"	10	10		
"252.212"	"252.2122"	"3.0e+08"	D	"0.000000"	"4.915869"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4D*"	"7/2"	10	8		
"252.973"	"252.9727"	"2.8e+08"	D	"0.101171"	"5.002260"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4D*"	"5/2"	8	6		
"253.089"	"253.0893"	"7.1e+06"	D	"0.581508"	"5.480340"	"3p6.3d8.(3F).4s"	"b 4F"	"5/2"	"3p6.3d7.(2G).4s.4p.(3P*)"	"*"	"5/2"	6	6		
"253.672"	"253.6724"	"1.9e+08"	C	"0.174426"	"5.061998"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4D*"	"3/2"	6	4		
"253.725"	"253.7262"	"3.0e+07"	D	"0.513624"	"5.400159"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d8.(1D).4p"	"x 2F*"	"7/2"	8	8		
"254.501"	"254.5017"	"3.0e+08"	D	"0.224328"	"5.095974"	"3p6.3d7.4s2"	"a 4F"	"3/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4D*"	"1/2"	4	2		
"256.292"	"256.2891"	"3.9e+07"	C	"0.224328"	"5.061998"	"3p6.3d7.4s2"	"a 4F"	"3/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4D*"	"3/2"	4	4		
"256.812"	"256.8112"	"3.0e+07"	C	"0.174426"	"5.002260"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4D*"	"5/2"	6	6		
"257.512"	"257.5119"	"1.7e+07"	C	"0.101171"	"4.915869"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4D*"	"7/2"	8	8		
""	"268.6134"	"5.5e+06"	D	"0.581508"	"5.197220"	"3p6.3d8.(3F).4s"	"b 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4F*"	"7/2"	6	8		
""	"269.6646"	"4.5e+06"	C	"0.513624"	"5.111343"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4F*"	"9/2"	8	10		
"276.501"	"276.5002"	"4.3e+06"	C	"0.431815"	"4.915869"	"3p6.3d8.(3F).4s"	"b 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4D*"	"7/2"	10	8		
"281.639"	"281.6386"	"3.2e+06"	C	"0.513624"	"4.915869"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4D*"	"7/2"	8	8		
""	"286.3441"	"6.6e+05"	C	"0.174426"	"4.504329"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d8.(3F).4p"	"y 2F*"	"5/2"	6	6		
"288.729"	"288.7289"	"1.6e+06"	C	"0.101171"	"4.395309"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d8.(3F).4p"	"y 2F*"	"7/2"	8	8		
""	"292.9665"	"2.5e+05"	C	"0.000000"	"4.232026"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d8.(3F).4p"	"y 2G*"	"7/2"	10	8		
"298.803"	"298.8030"	"4.9e+06"	B	"0.000000"	"4.149363"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d8.(3F).4p"	"*"	"7/2"	10	8		
"299.046"	"299.0456"	"3.8e+06"	C+	"0.000000"	"4.145997"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d8.(3F).4p"	"y 2G*"	"9/2"	10	10		
""	"300.1418"	"7.0e+05"	C	"0.101171"	"4.232026"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d8.(3F).4p"	"y 2G*"	"7/2"	8	8		
""	"301.4467"	"1.4e+06"	C+	"0.000000"	"4.112972"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d8.(3F).4p"	"*"	"7/2"	10	8		
""	"301.8421"	"6.9e+06"	C+	"0.101171"	"4.208755"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d8.(3F).4p"	"*"	"5/2"	8	6		
""	"303.5309"	"1.4e+06"	C	"0.174426"	"4.259157"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2D*"	"3/2"	6	4		
""	"304.3364"	"1.9e+06"	C+	"0.101171"	"4.175091"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d8.(3F).4p"	"y 4G*"	"5/2"	8	6		
"304.489"	"304.4882"	"1.9e+07"	C+	"0.000000"	"4.071888"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d8.(3F).4p"	"y 4F*"	"9/2"	10	10		
""	"304.9769"	"7.5e+06"	C+	"0.174426"	"4.239790"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d8.(3F).4p"	"y 4F*"	"3/2"	6	4		
""	"305.5014"	"2.2e+04"	E	"0.000000"	"4.058383"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2G*"	"7/2"	10	8		
""	"305.5604"	"1.6e+05"	C	"0.174426"	"4.232026"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d8.(3F).4p"	"y 2G*"	"7/2"	6	8		
"306.271"	"306.2706"	"1.6e+07"	C+	"0.101171"	"4.149363"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d8.(3F).4p"	"*"	"7/2"	8	8		
""	"306.3085"	"4.0e+05"	C	"0.101171"	"4.148862"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2D*"	"5/2"	8	6		
""	"306.5254"	"5.5e+05"	C+	"0.101171"	"4.145997"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d8.(3F).4p"	"y 2G*"	"9/2"	8	10		
""	"307.2849"	"1.1e+06"	C	"0.224328"	"4.259157"	"3p6.3d7.4s2"	"a 4F"	"3/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2D*"	"3/2"	4	4		
""	"307.3230"	"1.5e+07"	C+	"0.174426"	"4.208755"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d8.(3F).4p"	"*"	"5/2"	6	6		
""	"308.3509"	"2.7e+06"	C+	"0.000000"	"4.020881"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d8.(3F).4p"	"y 4G*"	"11/2"	10	12		
""	"308.7670"	"1.9e+07"	C+	"0.224328"	"4.239790"	"3p6.3d7.4s2"	"a 4F"	"3/2"	"3p6.3d8.(3F).4p"	"y 4F*"	"3/2"	4	4		
