obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"403.2515"	"403.25133"	"2.9e+07"	B+	"1.9535607"	"5.0281742"	"3d.4s.(3D).4p"	"4F*"	"5/2"	"3d.4s.(3D).4d"	"4F"	"5/2"	6	6		
"403.7999"	"403.8001"	"7.9e+06"	B+	"1.9535607"	"5.0239961"	"3d.4s.(3D).4p"	"4F*"	"5/2"	"3d.4s.(3D).4d"	"4F"	"3/2"	6	4		
"404.4945"	"404.4943"	"3.11e+07"	B+	"1.9690809"	"5.0342461"	"3d.4s.(3D).4p"	"4F*"	"7/2"	"3d.4s.(3D).4d"	"4F"	"7/2"	8	8		
"404.8940"	"404.89379"	"1.54e+07"	B+	"0.0208711"	"3.0830124"	"3d.4s2"	"2D"	"5/2"	"3d.4s.(3D).4p"	"2D*"	"3/2"	6	4		
"405.2971"	"405.29721"	"7.7e+06"	B+	"1.9690809"	"5.0281742"	"3d.4s.(3D).4p"	"4F*"	"7/2"	"3d.4s.(3D).4d"	"4F"	"5/2"	8	6		
"405.5689"	"405.56908"	"4.46e+07"	C	"0.00000000"	"3.0570427"	"3d.4s2"	"2D"	"3/2"	"3d.4s.(1D).4p"	"2P*"	"1/2"	4	2		
"406.8149"	"406.8148"	"1.91e+07"	B+	"1.9865643"	"5.0342461"	"3d.4s.(1D).4p"	"2D*"	"5/2"	"3d.4s.(3D).4d"	"4F"	"7/2"	6	8		
"406.8781"	"406.8782"	"4.1e+06"	B	"1.9870393"	"5.0342461"	"3d.4s.(3D).4p"	"4F*"	"9/2"	"3d.4s.(3D).4d"	"4F"	"7/2"	10	8		
"407.6113"	"407.61122"	"3.7e+07"	B+	"1.9864474"	"5.0281742"	"3d.4s.(3D).4p"	"4D*"	"3/2"	"3d.4s.(3D).4d"	"4F"	"5/2"	4	6		
"407.9716"	"407.9715"	"4.3e+07"	B+	"1.9849552"	"5.0239961"	"3d.4s.(3D).4p"	"4D*"	"1/2"	"3d.4s.(3D).4d"	"4F"	"3/2"	2	4		
"408.1719"	"408.1719"	"6.6e+06"	B	"1.9864474"	"5.0239961"	"3d.4s.(3D).4p"	"4D*"	"3/2"	"3d.4s.(3D).4d"	"4F"	"3/2"	4	4		
"408.3540"	"408.35446"	"2.73e+07"	B+	"0.0208711"	"3.0570618"	"3d.4s2"	"2D"	"5/2"	"3d.4s.(1D).4p"	"2P*"	"3/2"	6	4		
"408.7818"	"408.7817"	"3.7e+07"	B+	"2.0012291"	"5.0342461"	"3d.4s.(3D).4p"	"4D*"	"5/2"	"3d.4s.(3D).4d"	"4F"	"7/2"	6	8		
"408.8628"	"408.86289"	"1.12e+07"	B+	"1.9957592"	"5.0281742"	"3d.4s.(1D).4p"	"2D*"	"3/2"	"3d.4s.(3D).4d"	"4F"	"5/2"	4	6		
"409.4274"	"409.4270"	"1.23e+07"	B+	"1.9957592"	"5.0239961"	"3d.4s.(1D).4p"	"2D*"	"3/2"	"3d.4s.(3D).4d"	"4F"	"3/2"	4	4		
"409.6017"	"409.60174"	"1.44e+07"	B+	"2.0012291"	"5.0281742"	"3d.4s.(3D).4p"	"4D*"	"5/2"	"3d.4s.(3D).4d"	"4F"	"5/2"	6	6		
"409.9517"	"409.9517"	"8.7e+06"	B+	"2.0098848"	"5.0342461"	"3d.4s.(3D).4p"	"4D*"	"7/2"	"3d.4s.(3D).4d"	"4F"	"7/2"	8	8		
"413.4150"	"413.4147"	"1.19e+08"	B+	"1.9431497"	"4.942177"	"3d.4s.(3D).4p"	"4F*"	"3/2"	"3d.4s.(3D).4d"	""	"5/2"	4	6		
"414.1440"	"414.1444"	"1.17e+08"	B+	"1.9535607"	"4.947304"	"3d.4s.(3D).4p"	"4F*"	"5/2"	"3d.4s.(3D).4d"	"4G"	"7/2"	6	8		
"414.8548"	"414.8548"	"1.74e+07"	B+	"1.9535607"	"4.942177"	"3d.4s.(3D).4p"	"4F*"	"5/2"	"3d.4s.(3D).4d"	""	"5/2"	6	6		
"416.3020"	"416.3026"	"1.77e+07"	B+	"1.9690809"	"4.947304"	"3d.4s.(3D).4p"	"4F*"	"7/2"	"3d.4s.(3D).4d"	"4G"	"7/2"	8	8		
"417.2710"	"417.2713"	"1.36e+07"	B+	"1.9535607"	"4.9248700"	"3d.4s.(3D).4p"	"4F*"	"5/2"	"3d.4s.(3D).4d"	"4D"	"3/2"	6	4		
"418.7601"	"418.7609"	"8.4e+06"	B	"1.9865643"	"4.947304"	"3d.4s.(1D).4p"	"2D*"	"5/2"	"3d.4s.(3D).4d"	"4G"	"7/2"	6	8		
"418.8785"	"418.8784"	"1.28e+07"	B+	"1.9690809"	"4.9289897"	"3d.4s.(3D).4p"	"4F*"	"7/2"	"3d.4s.(3D).4d"	"4D"	"5/2"	8	6		
"419.4710"	"419.4707"	"6.1e+06"	B	"1.9864474"	"4.942177"	"3d.4s.(3D).4p"	"4D*"	"3/2"	"3d.4s.(3D).4d"	""	"5/2"	4	6		
"420.5703"	"420.5703"	"3.5e+06"	C+	"1.9865643"	"4.934566"	"3d.4s.(1D).4p"	"2D*"	"5/2"	"3d.4s.(3D).4d"	"4D"	"7/2"	6	8		
"420.6382"	"420.6381"	"1.12e+07"	B+	"1.9870393"	"4.934566"	"3d.4s.(3D).4p"	"4F*"	"9/2"	"3d.4s.(3D).4d"	"4D"	"7/2"	10	8		
"421.3505"	"421.3506"	"1.58e+07"	B+	"1.9864474"	"4.9289897"	"3d.4s.(3D).4p"	"4D*"	"3/2"	"3d.4s.(3D).4d"	"4D"	"5/2"	4	6		
"421.3668"	"421.3674"	"8.6e+06"	B	"1.9865643"	"4.9289897"	"3d.4s.(1D).4p"	"2D*"	"5/2"	"3d.4s.(3D).4d"	"4D"	"5/2"	6	6		
