obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"394.51222"	"394.51224"	"4.99e+07"	B+	"0.0000000"	"3.1427212"	"3s2.3p"	"2P*"	"1/2"	"3s2.4s"	"2S"	"1/2"	2	2		
"396.26409"	"396.26410"	"9.85e+07"	B+	"0.0138938"	"3.1427212"	"3s2.3p"	"2P*"	"3/2"	"3s2.4s"	"2S"	"1/2"	4	2		
"555.8606"	"555.8603"	"2.30e+05"	C	"3.1427212"	"5.3732134"	"3s2.4s"	"2S"	"1/2"	"3s2.6p"	"2P*"	"3/2"	2	4		
"555.9491"	"555.9488"	"2.29e+05"	C	"3.1427212"	"5.3728582"	"3s2.4s"	"2S"	"1/2"	"3s2.6p"	"2P*"	"1/2"	2	2		
"669.7864"	"669.7867"	"1.00e+06"	C+	"3.1427212"	"4.9938210"	"3s2.4s"	"2S"	"1/2"	"3s2.5p"	"2P*"	"3/2"	2	4		
"670.0522"	"670.0517"	"1.00e+06"	C+	"3.1427212"	"4.9930889"	"3s2.4s"	"2S"	"1/2"	"3s2.5p"	"2P*"	"1/2"	2	2		
""	"690.7543"	"1.08e+06"	D	"4.0214836"	"[5.816394]"	"3s2.3d"	"2D"	"3/2"	"3s2.9f"	"2F*"	"5/2"	4	6		
""	"690.8184"	"7.69e+04"	E	"4.0216502"	"[5.816394]"	"3s2.3d"	"2D"	"5/2"	"3s2.9f"	"2F*"	"5/2"	6	6		
"690.83"	"690.8184"	"1.15e+06"	C	"4.0216502"	"[5.816394]"	"3s2.3d"	"2D"	"5/2"	"3s2.9f"	"2F*"	"7/2"	6	8		
"708.5921"	"708.5922"	"1.54e+06"	C+	"4.0214836"	"5.7712093"	"3s2.3d"	"2D"	"3/2"	"3s2.8f"	"2F*"	"5/2"	4	6		
""	"708.6597"	"1.10e+05"	E	"4.0216502"	"5.7712093"	"3s2.3d"	"2D"	"5/2"	"3s2.8f"	"2F*"	"5/2"	6	6		
"708.6597"	"708.6597"	"1.65e+06"	C+	"4.0216502"	"5.7712093"	"3s2.3d"	"2D"	"5/2"	"3s2.8f"	"2F*"	"7/2"	6	8		
""	"732.9491"	"3.66e+05"	D	"4.0852554"	"5.776835"	"3s2.4p"	"2P*"	"1/2"	"3s2.8d"	"2D"	"3/2"	2	4		
""	"733.7666"	"4.37e+05"	C	"4.0872183"	"5.776914"	"3s2.4p"	"2P*"	"3/2"	"3s2.8d"	"2D"	"5/2"	4	6		
""	"733.8006"	"7.28e+04"	E	"4.0872183"	"5.776835"	"3s2.4p"	"2P*"	"3/2"	"3s2.8d"	"2D"	"3/2"	4	4		
"736.3596"	"736.3596"	"2.32e+06"	C+	"4.0214836"	"5.7052289"	"3s2.3d"	"2D"	"3/2"	"3s2.7f"	"2F*"	"5/2"	4	6		
""	"736.4324"	"1.66e+05"	D	"4.0216502"	"5.7052289"	"3s2.3d"	"2D"	"5/2"	"3s2.7f"	"2F*"	"5/2"	6	6		
"736.4325"	"736.4324"	"2.49e+06"	C+	"4.0216502"	"5.7052289"	"3s2.3d"	"2D"	"5/2"	"3s2.7f"	"2F*"	"7/2"	6	8		
"760.8253"	"760.8256"	"4.36e+05"	D	"4.0852554"	"5.7148562"	"3s2.4p"	"2P*"	"1/2"	"3s2.7d"	"2D"	"3/2"	2	4		
"761.6916"	"761.6916"	"5.20e+05"	C	"4.0872183"	"5.7149663"	"3s2.4p"	"2P*"	"3/2"	"3s2.7d"	"2D"	"5/2"	4	6		
"761.7435"	"761.7431"	"8.68e+04"	E	"4.0872183"	"5.7148562"	"3s2.4p"	"2P*"	"3/2"	"3s2.7d"	"2D"	"3/2"	4	4		
"783.7465"	"783.7465"	"3.71e+06"	B	"4.0214836"	"5.6034263"	"3s2.3d"	"2D"	"3/2"	"3s2.6f"	"2F*"	"5/2"	4	6		
"783.8290"	"783.8290"	"2.65e+05"	C+	"4.0216502"	"5.6034263"	"3s2.3d"	"2D"	"5/2"	"3s2.6f"	"2F*"	"5/2"	6	6		
"783.8290"	"783.8290"	"3.97e+06"	B+	"4.0216502"	"5.6034263"	"3s2.3d"	"2D"	"5/2"	"3s2.6f"	"2F*"	"7/2"	6	8		
"806.8186"	"806.8187"	"4.42e+05"	C+	"4.0852554"	"5.6219600"	"3s2.4p"	"2P*"	"1/2"	"3s2.6d"	"2D"	"3/2"	2	4		
"807.7574"	"807.7574"	"5.28e+05"	C+	"4.0872183"	"5.6221371"	"3s2.4p"	"2P*"	"3/2"	"3s2.6d"	"2D"	"5/2"	4	6		
"807.8510"	"807.8506"	"8.81e+04"	C	"4.0872183"	"5.6219600"	"3s2.4p"	"2P*"	"3/2"	"3s2.6d"	"2D"	"3/2"	4	4		
"877.5275"	"877.5280"	"6.47e+06"	B+	"4.0214836"	"5.4343639"	"3s2.3d"	"2D"	"3/2"	"3s2.5f"	"2F*"	"5/2"	4	6		
"877.6305"	"877.6311"	"6.95e+06"	B+	"4.0216502"	"5.4343644"	"3s2.3d"	"2D"	"5/2"	"3s2.5f"	"2F*"	"7/2"	6	8		
"877.6305"	"877.6314"	"4.62e+05"	C+	"4.0216502"	"5.4343639"	"3s2.3d"	"2D"	"5/2"	"3s2.5f"	"2F*"	"5/2"	6	6		
"883.1333"	"883.1327"	"6.72e+05"	C	"4.0852554"	"5.4891689"	"3s2.4p"	"2P*"	"1/2"	"3s2.7s"	"2S"	"1/2"	2	2		
"884.3705"	"884.3693"	"1.34e+06"	C	"4.0872183"	"5.4891689"	"3s2.4p"	"2P*"	"3/2"	"3s2.7s"	"2S"	"1/2"	4	2		
"891.5347"	"891.5365"	"2.28e+05"	C+	"4.0852554"	"5.4759355"	"3s2.4p"	"2P*"	"1/2"	"3s2.5d"	"2D"	"3/2"	2	4		
"892.6005"	"892.6015"	"2.73e+05"	C+	"4.0872183"	"5.4762391"	"3s2.4p"	"2P*"	"3/2"	"3s2.5d"	"2D"	"5/2"	4	6		
"892.7954"	"892.7966"	"4.54e+04"	C	"4.0872183"	"5.4759355"	"3s2.4p"	"2P*"	"3/2"	"3s2.5d"	"2D"	"3/2"	4	4		
"1077.1313"	"1077.1295"	"1.37e+05"	C+	"4.0852554"	"5.2363166"	"3s2.4p"	"2P*"	"1/2"	"3s2.4d"	"2D"	"3/2"	2	4		
"1078.5000"	"1078.4992"	"1.64e+05"	C+	"4.0872183"	"5.2368177"	"3s2.4p"	"2P*"	"3/2"	"3s2.4d"	"2D"	"5/2"	4	6		
"1078.9725"	"1078.9695"	"2.73e+04"	C	"4.0872183"	"5.2363166"	"3s2.4p"	"2P*"	"3/2"	"3s2.4d"	"2D"	"3/2"	4	4		
"1087.5953"	"1087.5944"	"1.33e+06"	C+	"4.0852554"	"5.2252410"	"3s2.4p"	"2P*"	"1/2"	"3s2.6s"	"2S"	"1/2"	2	2		
"1089.4716"	"1089.4704"	"2.64e+06"	B	"4.0872183"	"5.2252410"	"3s2.4p"	"2P*"	"3/2"	"3s2.6s"	"2S"	"1/2"	4	2		
"1125.6270"	"1125.6271"	"1.30e+07"	A	"4.0214836"	"5.1229514"	"3s2.3d"	"2D"	"3/2"	"3s2.4f"	"2F*"	"5/2"	4	6		
"1125.8008"	"1125.7962"	"1.39e+07"	A	"4.0216502"	"5.1229524"	"3s2.3d"	"2D"	"5/2"	"3s2.4f"	"2F*"	"7/2"	6	8		
"1125.8008"	"1125.7973"	"9.26e+05"	B	"4.0216502"	"5.1229514"	"3s2.3d"	"2D"	"5/2"	"3s2.4f"	"2F*"	"5/2"	6	6		
"1275.1158"	"1275.1150"	"6.32e+03"	D	"4.0214836"	"4.9938210"	"3s2.3d"	"2D"	"3/2"	"3s2.5p"	"2P*"	"3/2"	4	4		
"1275.3397"	"1275.3334"	"5.67e+04"	C+	"4.0216502"	"4.9938210"	"3s2.3d"	"2D"	"5/2"	"3s2.5p"	"2P*"	"3/2"	6	4		
"1276.0765"	"1276.0758"	"6.29e+04"	C+	"4.0214836"	"4.9930889"	"3s2.3d"	"2D"	"3/2"	"3s2.5p"	"2P*"	"1/2"	4	2		
""	"1312.5893"	"1.05e+05"	C	"4.8266321"	"5.7712093"	"3s2.nd"	"y 2D"	"3/2"	"3s2.8f"	"2F*"	"5/2"	4	6		
"1312.7005"	"1312.7007"	"1.60e+07"	A	"3.1427212"	"4.0872183"	"3s2.4s"	"2S"	"1/2"	"3s2.4p"	"2P*"	"3/2"	2	4		
""	"1313.3746"	"7.46e+03"	E	"4.8271968"	"5.7712093"	"3s2.nd"	"y 2D"	"5/2"	"3s2.8f"	"2F*"	"5/2"	6	6		
""	"1313.3746"	"1.12e+05"	C	"4.8271968"	"5.7712093"	"3s2.nd"	"y 2D"	"5/2"	"3s2.8f"	"2F*"	"7/2"	6	8		
"1315.4350"	"1315.4345"	"1.59e+07"	A	"3.1427212"	"4.0852554"	"3s2.4s"	"2S"	"1/2"	"3s2.4p"	"2P*"	"1/2"	2	2		
"1382.7639"	"1382.766"	"1.11e+05"	C	"4.6728909"	"5.5695298"	"3s2.5s"	"2S"	"1/2"	"3s2.7p"	"2P*"	"3/2"	2	4		
""	"1383.076"	"1.11e+05"	D	"4.6728909"	"5.5693288"	"3s2.5s"	"2S"	"1/2"	"3s2.7p"	"2P*"	"1/2"	2	2		
""	"1411.162"	"1.22e+05"	C	"4.8266321"	"5.7052289"	"3s2.nd"	"y 2D"	"3/2"	"3s2.7f"	"2F*"	"5/2"	4	6		
""	"1412.069"	"1.30e+05"	C+	"4.8271968"	"5.7052289"	"3s2.nd"	"y 2D"	"5/2"	"3s2.7f"	"2F*"	"7/2"	6	8		
""	"1412.069"	"8.70e+03"	E	"4.8271968"	"5.7052289"	"3s2.nd"	"y 2D"	"5/2"	"3s2.7f"	"2F*"	"5/2"	6	6		
""	"1581.943"	"6.45e+04"	C	"4.9930889"	"5.776835"	"3s2.5p"	"2P*"	"1/2"	"3s2.8d"	"2D"	"3/2"	2	4		
""	"1583.264"	"7.72e+04"	C	"4.9938210"	"5.776914"	"3s2.5p"	"2P*"	"3/2"	"3s2.8d"	"2D"	"5/2"	4	6		
""	"1583.422"	"1.28e+04"	E	"4.9938210"	"5.776835"	"3s2.5p"	"2P*"	"3/2"	"3s2.8d"	"2D"	"3/2"	4	4		
"1596.0982"	"1596.101"	"1.12e+05"	C+	"4.8266321"	"5.6034263"	"3s2.nd"	"y 2D"	"3/2"	"3s2.6f"	"2F*"	"5/2"	4	6		
"1597.261"	"1597.262"	"1.20e+05"	C+	"4.8271968"	"5.6034263"	"3s2.nd"	"y 2D"	"5/2"	"3s2.6f"	"2F*"	"7/2"	6	8		
""	"1597.262"	"7.97e+03"	C	"4.8271968"	"5.6034263"	"3s2.nd"	"y 2D"	"5/2"	"3s2.6f"	"2F*"	"5/2"	6	6		
""	"1668.927"	"7.16e+03"	E	"4.8266321"	"5.5695298"	"3s2.nd"	"y 2D"	"3/2"	"3s2.7p"	"2P*"	"3/2"	4	4		
""	"1669.379"	"7.13e+04"	D	"4.8266321"	"5.5693288"	"3s2.nd"	"y 2D"	"3/2"	"3s2.7p"	"2P*"	"1/2"	4	2		
""	"1670.197"	"6.42e+04"	C	"4.8271968"	"5.5695298"	"3s2.nd"	"y 2D"	"5/2"	"3s2.7p"	"2P*"	"3/2"	6	4		
"1672.3541"	"1672.351"	"9.89e+06"	A	"4.0852554"	"4.8266321"	"3s2.4p"	"2P*"	"1/2"	"3s2.nd"	"y 2D"	"3/2"	2	4		
"1675.5095"	"1675.511"	"1.18e+07"	A	"4.0872183"	"4.8271968"	"3s2.4p"	"2P*"	"3/2"	"3s2.nd"	"y 2D"	"5/2"	4	6		
"1676.7948"	"1676.791"	"1.96e+06"	B+	"4.0872183"	"4.8266321"	"3s2.4p"	"2P*"	"3/2"	"3s2.nd"	"y 2D"	"3/2"	4	4		
""	"1717.786"	"6.04e+04"	C	"4.9930889"	"5.7148562"	"3s2.5p"	"2P*"	"1/2"	"3s2.7d"	"2D"	"3/2"	2	4		
""	"1719.268"	"7.22e+04"	C	"4.9938210"	"5.7149663"	"3s2.5p"	"2P*"	"3/2"	"3s2.7d"	"2D"	"5/2"	4	6		
""	"1719.530"	"1.20e+04"	D	"4.9938210"	"5.7148562"	"3s2.5p"	"2P*"	"3/2"	"3s2.7d"	"2D"	"3/2"	4	4		
"1770.3885"	"1770.387"	"3.30e+05"	B	"4.6728909"	"5.3732134"	"3s2.5s"	"2S"	"1/2"	"3s2.6p"	"2P*"	"3/2"	2	4		
"1771.2872"	"1771.286"	"3.30e+05"	C+	"4.6728909"	"5.3728582"	"3s2.5s"	"2S"	"1/2"	"3s2.6p"	"2P*"	"1/2"	2	2		
"1928.541"	"1928.541"	"1.83e+05"	C+	"4.9930889"	"5.6359800"	"3s2.5p"	"2P*"	"1/2"	"3s2.8s"	"2S"	"1/2"	2	2		
"1930.740"	"1930.740"	"3.65e+05"	C+	"4.9938210"	"5.6359800"	"3s2.5p"	"2P*"	"3/2"	"3s2.8s"	"2S"	"1/2"	4	2		
""	"1971.536"	"2.93e+04"	C+	"4.9930889"	"5.6219600"	"3s2.5p"	"2P*"	"1/2"	"3s2.6d"	"2D"	"3/2"	2	4		
""	"1973.277"	"3.51e+04"	C+	"4.9938210"	"5.6221371"	"3s2.5p"	"2P*"	"3/2"	"3s2.6d"	"2D"	"5/2"	4	6		
""	"1973.834"	"5.84e+03"	C	"4.9938210"	"5.6219600"	"3s2.5p"	"2P*"	"3/2"	"3s2.6d"	"2D"	"3/2"	4	4		
"2040.113"	"2040.114"	"1.72e+04"	C+	"4.8266321"	"5.4343639"	"3s2.nd"	"y 2D"	"3/2"	"3s2.5f"	"2F*"	"5/2"	4	6		
"2042.000"	"2042.009"	"1.84e+04"	C+	"4.8271968"	"5.4343644"	"3s2.nd"	"y 2D"	"5/2"	"3s2.5f"	"2F*"	"7/2"	6	8		
"2042.02"	"2042.011"	"1.23e+03"	C	"4.8271968"	"5.4343639"	"3s2.nd"	"y 2D"	"5/2"	"3s2.5f"	"2F*"	"5/2"	6	6		
"2109.884"	"2109.883"	"3.00e+06"	B+	"4.0852554"	"4.6728909"	"3s2.4p"	"2P*"	"1/2"	"3s2.5s"	"2S"	"1/2"	2	2		
"2116.958"	"2116.954"	"6.00e+06"	B+	"4.0872183"	"4.6728909"	"3s2.4p"	"2P*"	"3/2"	"3s2.5s"	"2S"	"1/2"	4	2		
"2121.396"	"2121.394"	"6.40e+05"	B	"5.1229514"	"5.7073982"	"3s2.4f"	"2F*"	"5/2"	"3s2.7g"	"2G"	"7/2"	6	8		
"2121.396"	"2121.398"	"7.32e+05"	B	"5.1229524"	"5.7073982"	"3s2.4f"	"2F*"	"7/2"	"3s2.7g"	"2G"	"9/2"	8	10		
""	"2121.398"	"4.57e+04"	C+	"5.1229524"	"5.7073982"	"3s2.4f"	"2F*"	"7/2"	"3s2.7g"	"2G"	"7/2"	8	8		
"2268.364"	"2268.358"	"1.16e+04"	C+	"4.8266321"	"5.3732134"	"3s2.nd"	"y 2D"	"3/2"	"3s2.6p"	"2P*"	"3/2"	4	4		
"2269.833"	"2269.833"	"1.15e+05"	C+	"4.8266321"	"5.3728582"	"3s2.nd"	"y 2D"	"3/2"	"3s2.6p"	"2P*"	"1/2"	4	2		
"2270.708"	"2270.704"	"1.04e+05"	B	"4.8271968"	"5.3732134"	"3s2.nd"	"y 2D"	"5/2"	"3s2.6p"	"2P*"	"3/2"	6	4		
""	"2317.927"	"4.22e+04"	C+	"5.2363166"	"5.7712093"	"3s2.4d"	"2D"	"3/2"	"3s2.8f"	"2F*"	"5/2"	4	6		
""	"2320.100"	"3.01e+03"	E	"5.2368177"	"5.7712093"	"3s2.4d"	"2D"	"5/2"	"3s2.8f"	"2F*"	"5/2"	6	6		
""	"2320.100"	"4.51e+04"	C+	"5.2368177"	"5.7712093"	"3s2.4d"	"2D"	"5/2"	"3s2.8f"	"2F*"	"7/2"	6	8		
"2499.275"	"2499.278"	"3.37e+05"	C+	"4.9930889"	"5.4891689"	"3s2.5p"	"2P*"	"1/2"	"3s2.7s"	"2S"	"1/2"	2	2		
"2502.969"	"2502.972"	"6.73e+05"	C+	"4.9938210"	"5.4891689"	"3s2.5p"	"2P*"	"3/2"	"3s2.7s"	"2S"	"1/2"	4	2		
"2562.576"	"2562.573"	"1.34e+06"	A	"5.1229514"	"5.6067785"	"3s2.4f"	"2F*"	"5/2"	"3s2.6g"	"2G"	"7/2"	6	8		
"2562.576"	"2562.578"	"1.54e+06"	A	"5.1229524"	"5.6067785"	"3s2.4f"	"2F*"	"7/2"	"3s2.6g"	"2G"	"9/2"	8	10		
""	"2562.578"	"9.58e+04"	B	"5.1229524"	"5.6067785"	"3s2.4f"	"2F*"	"7/2"	"3s2.6g"	"2G"	"7/2"	8	8		
"2567.773"	"2567.776"	"1.38e+04"	C+	"4.9930889"	"5.4759355"	"3s2.5p"	"2P*"	"1/2"	"3s2.5d"	"2D"	"3/2"	2	4		
"2570.052"	"2570.057"	"1.65e+04"	C+	"4.9938210"	"5.4762391"	"3s2.5p"	"2P*"	"3/2"	"3s2.5d"	"2D"	"5/2"	4	6		
""	"2571.676"	"2.75e+03"	C	"4.9938210"	"5.4759355"	"3s2.5p"	"2P*"	"3/2"	"3s2.5d"	"2D"	"3/2"	4	4		
""	"2635.03"	"1.28e-07"	C	"3.1427212"	"3.613244"	"3s2.4s"	"2S"	"1/2"	"3s.3p2"	"4P"	"5/2"	2	6	E2	
""	"2644.081"	"9.80e+04"	C+	"5.2363166"	"5.7052289"	"3s2.4d"	"2D"	"3/2"	"3s2.7f"	"2F*"	"5/2"	4	6		
""	"2646.909"	"6.96e+03"	D	"5.2368177"	"5.7052289"	"3s2.4d"	"2D"	"5/2"	"3s2.7f"	"2F*"	"5/2"	6	6		
""	"2646.909"	"1.04e+05"	C+	"5.2368177"	"5.7052289"	"3s2.4d"	"2D"	"5/2"	"3s2.7f"	"2F*"	"7/2"	6	8		
