obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
""	"268.8793"	"4.1e+04"	E	"2.324457"	"6.9356043"	"3s2.3p3"	"2P*"	"3/2"	"3s2.3p2.(3P).4s"	"4P"	"1/2"	4	2		
""	"497.9539"	"1.1e+06"	E	"6.9356043"	"9.4254773"	"3s2.3p2.(3P).4s"	"4P"	"1/2"	"3s2.3p2.(3P).5p"	"4S*"	"3/2"	2	4		
""	"501.7316"	"2.0e+06"	E	"6.9543513"	"9.4254773"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	"3s2.3p2.(3P).5p"	"4S*"	"3/2"	4	4		
""	"504.6813"	"1.6e+06"	E	"6.9543513"	"9.4110345"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	"3s2.3p2.(3P).5p"	"4P*"	"5/2"	4	6		
""	"506.0624"	"6.3e+05"	E	"6.9356043"	"9.3855829"	"3s2.3p2.(3P).4s"	"4P"	"1/2"	"3s2.3p2.(3P).5p"	"4P*"	"1/2"	2	2		
""	"506.3327"	"1.5e+06"	E	"6.9356043"	"9.3842750"	"3s2.3p2.(3P).4s"	"4P"	"1/2"	"3s2.3p2.(3P).5p"	"4P*"	"3/2"	2	4		
"508.0797"	"508.0799"	"2.9e+06"	E	"6.9852271"	"9.4254773"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	"3s2.3p2.(3P).5p"	"4S*"	"3/2"	6	4		
"509.9642"	"509.9646"	"2.9e+06"	E	"6.9543513"	"9.3855829"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	"3s2.3p2.(3P).5p"	"4P*"	"1/2"	4	2		
"510.2396"	"510.2391"	"4.6e+05"	E	"6.9543513"	"9.3842750"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	"3s2.3p2.(3P).5p"	"4P*"	"3/2"	4	4		
"511.1052"	"511.1049"	"3.4e+06"	E	"6.9852271"	"9.4110345"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	"3s2.3p2.(3P).5p"	"4P*"	"5/2"	6	6		
"515.6280"	"515.6278"	"1.5e+06"	E	"6.9543513"	"9.3588801"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	"3s2.3p2.(3P).5p"	"4D*"	"5/2"	4	6		
""	"516.3704"	"3.2e+06"	E	"6.9852271"	"9.3862983"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	"3s2.3p2.(3P).5p"	"4D*"	"7/2"	6	8		
""	"516.8059"	"1.4e+06"	E	"6.9852271"	"9.3842750"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	"3s2.3p2.(3P).5p"	"4P*"	"3/2"	6	4		
""	"519.1869"	"7.5e+05"	E	"6.9543513"	"9.3423968"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	"3s2.3p2.(3P).5p"	"4D*"	"3/2"	4	4		
""	"522.3350"	"5.8e+05"	E	"6.9852271"	"9.3588801"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	"3s2.3p2.(3P).5p"	"4D*"	"5/2"	6	6		
""	"525.9876"	"5.7e+04"	E	"6.9852271"	"9.3423968"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	"3s2.3p2.(3P).5p"	"4D*"	"3/2"	6	4		
""	"526.3525"	"1.5e+06"	E	"7.1757806"	"9.5313163"	"3s2.3p2.(3P).4s"	"2P"	"1/2"	"3s2.3p2.(3P).5p"	"2P*"	"3/2"	2	4		
"529.5012"	"529.5010"	"5.8e+06"	E	"7.1757806"	"9.5173096"	"3s2.3p2.(3P).4s"	"2P"	"1/2"	"3s2.3p2.(3P).5p"	"2P*"	"1/2"	2	2		
""	"533.3899"	"1.08e-01"	C	"0.000000"	"2.324457"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p3"	"2P*"	"3/2"	4	4	M1	
