obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"494.3381"	"494.338808"	"2.69e+05"	AA	"1.60995784350"	"4.11803927"	"3p6.4p"	"2P*"	"1/2"	"3p6.10s"	"2S"	"1/2"	2	2		
"495.2197"	"495.219972"	"2.69e+05"	B+	"1.60995784350"	"4.11357655"	"3p6.4p"	"2P*"	"1/2"	"3p6.8d"	"2D"	"3/2"	2	4		
"495.75292"	"495.753114"	"5.322e+05"	AA	"1.6171130092"	"4.11803927"	"3p6.4p"	"2P*"	"3/2"	"3p6.10s"	"2S"	"1/2"	4	2		
""	"496.639332"	"5.56e+04"	B+	"1.6171130092"	"4.11357655"	"3p6.4p"	"2P*"	"3/2"	"3p6.8d"	"2D"	"3/2"	4	4		
"496.6416"	"496.641761"	"3.36e+05"	A	"1.6171130092"	"4.11356434"	"3p6.4p"	"2P*"	"3/2"	"3p6.8d"	"2D"	"5/2"	4	6		
"508.5643"	"508.565117"	"4.074e+05"	AA	"1.60995784350"	"4.04787964"	"3p6.4p"	"2P*"	"1/2"	"3p6.9s"	"2S"	"1/2"	2	2		
"509.8592"	"509.859199"	"3.39e+05"	B+	"1.60995784350"	"4.04169191"	"3p6.4p"	"2P*"	"1/2"	"3p6.7d"	"2D"	"3/2"	2	4		
"510.0621"	"510.062121"	"8.064e+05"	A+	"1.6171130092"	"4.04787964"	"3p6.4p"	"2P*"	"3/2"	"3p6.9s"	"2S"	"1/2"	4	2		
""	"511.363842"	"7.01e+04"	A	"1.6171130092"	"4.04169191"	"3p6.4p"	"2P*"	"3/2"	"3p6.7d"	"2D"	"3/2"	4	4		
"511.3674"	"511.367911"	"4.22e+05"	B+	"1.6171130092"	"4.04167262"	"3p6.4p"	"2P*"	"3/2"	"3p6.7d"	"2D"	"5/2"	4	6		
"532.4757"	"532.47595"	"6.62e+05"	A+	"1.60995784350"	"3.9384048"	"3p6.4p"	"2P*"	"1/2"	"3p6.8s"	"2S"	"1/2"	2	2		
"534.1173"	"534.11726"	"1.311e+06"	AA	"1.6171130092"	"3.9384048"	"3p6.4p"	"2P*"	"3/2"	"3p6.8s"	"2S"	"1/2"	4	2		
"534.4456"	"534.44554"	"3.86e+05"	A	"1.60995784350"	"3.9298237"	"3p6.4p"	"2P*"	"1/2"	"3p6.6d"	"2D"	"3/2"	2	4		
""	"536.09903"	"8.10e+04"	A	"1.6171130092"	"3.9298237"	"3p6.4p"	"2P*"	"3/2"	"3p6.6d"	"2D"	"3/2"	4	4		
"536.1065"	"536.10666"	"4.86e+05"	A	"1.6171130092"	"3.9297908"	"3p6.4p"	"2P*"	"3/2"	"3p6.6d"	"2D"	"5/2"	4	6		
"578.3988"	"578.40035"	"1.186e+06"	AA	"1.60995784350"	"3.7535285"	"3p6.4p"	"2P*"	"1/2"	"3p6.7s"	"2S"	"1/2"	2	2		
"580.3361"	"580.33749"	"2.348e+06"	AA	"1.6171130092"	"3.7535285"	"3p6.4p"	"2P*"	"3/2"	"3p6.7s"	"2S"	"1/2"	4	2		
"581.3759"	"581.37636"	"2.86e+05"	A	"1.60995784350"	"3.7425557"	"3p6.4p"	"2P*"	"1/2"	"3p6.5d"	"2D"	"3/2"	2	4		
""	"583.33352"	"6.13e+04"	A	"1.6171130092"	"3.7425557"	"3p6.4p"	"2P*"	"3/2"	"3p6.5d"	"2D"	"3/2"	4	4		
"583.3504"	"583.35066"	"3.71e+05"	A	"1.6171130092"	"3.7424933"	"3p6.4p"	"2P*"	"3/2"	"3p6.5d"	"2D"	"5/2"	4	6		
"691.2991"	"691.29881"	"2.500e+06"	AA	"1.60995784350"	"3.4034543"	"3p6.4p"	"2P*"	"1/2"	"3p6.6s"	"2S"	"1/2"	2	2		
"693.8197"	"693.81995"	"1.9e+04"	C	"1.60995784350"	"3.3969373"	"3p6.4p"	"2P*"	"1/2"	"3p6.4d"	"2D"	"3/2"	2	4		
"694.0681"	"694.06780"	"4.956e+06"	AA	"1.6171130092"	"3.4034543"	"3p6.4p"	"2P*"	"3/2"	"3p6.6s"	"2S"	"1/2"	4	2		
"696.610"	"696.60921"	"2.4e+03"	D+	"1.6171130092"	"3.3969373"	"3p6.4p"	"2P*"	"3/2"	"3p6.4d"	"2D"	"3/2"	4	4		
"696.6593"	"696.66113"	"1.37e+04"	D+	"1.6171130092"	"3.3968046"	"3p6.4p"	"2P*"	"3/2"	"3p6.4d"	"2D"	"5/2"	4	6		
""	"754.3488"	"4.9e+03"	E	"2.6069601"	"4.2505525"	"3p6.5s"	"2S"	"1/2"	"3p6.14p"	"2P*"	"3/2"	2	4		
""	"754.3693"	"4.9e+03"	E	"2.6069601"	"4.2505078"	"3p6.5s"	"2S"	"1/2"	"3p6.14p"	"2P*"	"1/2"	2	2		
""	"762.0827"	"6.5e+03"	C	"2.6069601"	"4.2338727"	"3p6.5s"	"2S"	"1/2"	"3p6.13p"	"2P*"	"3/2"	2	4		
""	"762.1093"	"6.5e+03"	E	"2.6069601"	"4.2338159"	"3p6.5s"	"2S"	"1/2"	"3p6.13p"	"2P*"	"1/2"	2	2		
"766.7008906"	"766.70089"	"3.779e+07"	AAA	"0.00000000"	"1.6171130092"	"3p6.4s"	"2S"	"1/2"	"3p6.4p"	"2P*"	"3/2"	2	4		
"770.1083536"	"770.10835"	"3.734e+07"	AAA	"0.00000000"	"1.60995784350"	"3p6.4s"	"2S"	"1/2"	"3p6.4p"	"2P*"	"1/2"	2	2		
""	"772.4236"	"8.9e+03"	C	"2.6069601"	"4.2120922"	"3p6.5s"	"2S"	"1/2"	"3p6.12p"	"2P*"	"3/2"	2	4		
""	"772.4599"	"8.9e+03"	E	"2.6069601"	"4.2120168"	"3p6.5s"	"2S"	"1/2"	"3p6.12p"	"2P*"	"1/2"	2	2		
""	"786.7339"	"1.3e+04"	C	"2.6069601"	"4.1828956"	"3p6.5s"	"2S"	"1/2"	"3p6.11p"	"2P*"	"3/2"	2	4		
""	"786.7853"	"1.3e+04"	C	"2.6069601"	"4.1827927"	"3p6.5s"	"2S"	"1/2"	"3p6.11p"	"2P*"	"1/2"	2	2		
""	"803.9791"	"2.0e+04"	C	"2.6699600"	"4.2120922"	"3p6.3d"	"2D"	"5/2"	"3p6.12p"	"2P*"	"3/2"	6	4		
""	"804.1283"	"2.3e+03"	E	"2.6702462"	"4.2120922"	"3p6.3d"	"2D"	"3/2"	"3p6.12p"	"2P*"	"3/2"	4	4		
""	"804.1676"	"2.3e+04"	C	"2.6702462"	"4.2120168"	"3p6.3d"	"2D"	"3/2"	"3p6.12p"	"2P*"	"1/2"	4	2		
""	"807.4383"	"1.601e+04"	B+	"2.6069601"	"4.1424855"	"3p6.5s"	"2S"	"1/2"	"3p6.10p"	"2P*"	"3/2"	2	4		
""	"807.5144"	"1.456e+04"	A	"2.6069601"	"4.1423407"	"3p6.5s"	"2S"	"1/2"	"3p6.10p"	"2P*"	"1/2"	2	2		
""	"819.4942"	"2.8e+04"	C	"2.6699600"	"4.1828956"	"3p6.3d"	"2D"	"5/2"	"3p6.11p"	"2P*"	"3/2"	6	4		
""	"819.6493"	"3.1e+03"	E	"2.6702462"	"4.1828956"	"3p6.3d"	"2D"	"3/2"	"3p6.11p"	"2P*"	"3/2"	4	4		
""	"819.7051"	"3.1e+04"	C	"2.6702462"	"4.1827927"	"3p6.3d"	"2D"	"3/2"	"3p6.11p"	"2P*"	"1/2"	4	2		
"825.245"	"825.243"	"9.6e+05"	B+	"2.6699600"	"4.172356"	"3p6.3d"	"2D"	"5/2"	"3p6.9f"	"2F*"	"7/2"	6	8		
"825.245"	"825.243"	"6.4e+04"	C+	"2.6699600"	"4.172356"	"3p6.3d"	"2D"	"5/2"	"3p6.9f"	"2F*"	"5/2"	6	6		
"825.401"	"825.400"	"8.9e+05"	C+	"2.6702462"	"4.172356"	"3p6.3d"	"2D"	"3/2"	"3p6.9f"	"2F*"	"5/2"	4	6		
"839.253"	"839.2518"	"2.71e+04"	B+	"2.6069601"	"4.0842783"	"3p6.5s"	"2S"	"1/2"	"3p6.9p"	"2P*"	"3/2"	2	4		
""	"839.3732"	"2.47e+04"	B+	"2.6069601"	"4.0840647"	"3p6.5s"	"2S"	"1/2"	"3p6.9p"	"2P*"	"1/2"	2	2		
"841.985"	"841.9834"	"4.81e+04"	A	"2.6699600"	"4.1424855"	"3p6.3d"	"2D"	"5/2"	"3p6.10p"	"2P*"	"3/2"	6	4		
""	"842.1471"	"5.29e+03"	A	"2.6702462"	"4.1424855"	"3p6.3d"	"2D"	"3/2"	"3p6.10p"	"2P*"	"3/2"	4	4		
"842.231"	"842.2299"	"5.25e+04"	A	"2.6702462"	"4.1423407"	"3p6.3d"	"2D"	"3/2"	"3p6.10p"	"2P*"	"1/2"	4	2		
"850.579"	"850.577"	"1.32e+06"	B+	"2.6699600"	"4.127608"	"3p6.3d"	"2D"	"5/2"	"3p6.8f"	"2F*"	"7/2"	6	8		
"850.579"	"850.577"	"8.80e+04"	B+	"2.6699600"	"4.127608"	"3p6.3d"	"2D"	"5/2"	"3p6.8f"	"2F*"	"5/2"	6	6		
"850.745"	"850.744"	"1.23e+06"	B+	"2.6702462"	"4.127608"	"3p6.3d"	"2D"	"3/2"	"3p6.8f"	"2F*"	"5/2"	4	6		
"876.637"	"876.6358"	"7.13e+04"	A	"2.6699600"	"4.0842783"	"3p6.3d"	"2D"	"5/2"	"3p6.9p"	"2P*"	"3/2"	6	4		
""	"876.8132"	"7.97e+03"	A+	"2.6702462"	"4.0842783"	"3p6.3d"	"2D"	"3/2"	"3p6.9p"	"2P*"	"3/2"	4	4		
"876.946"	"876.9457"	"7.81e+04"	A	"2.6702462"	"4.0840647"	"3p6.3d"	"2D"	"3/2"	"3p6.9p"	"2P*"	"1/2"	4	2		
"890.463"	"890.462"	"2.052e+06"	AA	"2.6699600"	"4.062317"	"3p6.3d"	"2D"	"5/2"	"3p6.7f"	"2F*"	"7/2"	6	8		
"890.463"	"890.462"	"1.369e+05"	AA	"2.6699600"	"4.062317"	"3p6.3d"	"2D"	"5/2"	"3p6.7f"	"2F*"	"5/2"	6	6		
"890.646"	"890.645"	"1.914e+06"	AA	"2.6702462"	"4.062317"	"3p6.3d"	"2D"	"3/2"	"3p6.7f"	"2F*"	"5/2"	4	6		
"892.576"	"892.574"	"5.23e+04"	A	"2.6069601"	"3.996024"	"3p6.5s"	"2S"	"1/2"	"3p6.8p"	"2P*"	"3/2"	2	4		
"892.789"	"892.786"	"4.77e+04"	B+	"2.6069601"	"3.995693"	"3p6.5s"	"2S"	"1/2"	"3p6.8p"	"2P*"	"1/2"	2	2		
"934.980"	"934.979"	"1.135e+05"	A+	"2.6699600"	"3.996024"	"3p6.3d"	"2D"	"5/2"	"3p6.8p"	"2P*"	"3/2"	6	4		
"935.182"	"935.181"	"1.266e+04"	A+	"2.6702462"	"3.996024"	"3p6.3d"	"2D"	"3/2"	"3p6.8p"	"2P*"	"3/2"	4	4		
"935.416"	"935.414"	"1.244e+05"	A+	"2.6702462"	"3.995693"	"3p6.3d"	"2D"	"3/2"	"3p6.8p"	"2P*"	"1/2"	4	2		
"959.833"	"959.832"	"3.449e+06"	AA	"2.6699600"	"3.961688"	"3p6.3d"	"2D"	"5/2"	"3p6.6f"	"2F*"	"7/2"	6	8		
"959.833"	"959.832"	"2.294e+05"	AA	"2.6699600"	"3.961688"	"3p6.3d"	"2D"	"5/2"	"3p6.6f"	"2F*"	"5/2"	6	6		
"960.046"	"960.045"	"3.207e+06"	AA	"2.6702462"	"3.961688"	"3p6.3d"	"2D"	"3/2"	"3p6.6f"	"2F*"	"5/2"	4	6		
"995.240"	"995.238"	"1.24e+05"	B+	"2.6069601"	"3.852735"	"3p6.5s"	"2S"	"1/2"	"3p6.7p"	"2P*"	"3/2"	2	4		
"995.687"	"995.684"	"1.15e+05"	B+	"2.6069601"	"3.852177"	"3p6.5s"	"2S"	"1/2"	"3p6.7p"	"2P*"	"1/2"	2	2		
"1048.250"	"1048.249"	"1.992e+05"	A	"2.6699600"	"3.852735"	"3p6.3d"	"2D"	"5/2"	"3p6.7p"	"2P*"	"3/2"	6	4		
