obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"391.646"	"391.6453"	"9.924e+05"	AA	"1.847860"	"5.013587"	"1s2.2p"	"2P*"	"3/2"	"1s2.6d"	"2D"	"3/2"	4	4		
"398.661"	"398.6608"	"8.62e+05"	A	"1.847818"	"4.957835"	"1s2.2p"	"2P*"	"1/2"	"1s2.6s"	"2S"	"1/2"	2	2		
"398.667"	"398.6662"	"1.73e+06"	A	"1.847860"	"4.957835"	"1s2.2p"	"2P*"	"3/2"	"1s2.6s"	"2S"	"1/2"	4	2		
"413.373"	"413.3723"	"9.04e+06"	A	"1.847818"	"4.847154"	"1s2.2p"	"2P*"	"1/2"	"1s2.5d"	"2D"	"3/2"	2	4		
"413.379"	"413.3779"	"1.09e+07"	A	"1.847860"	"4.847155"	"1s2.2p"	"2P*"	"3/2"	"1s2.5d"	"2D"	"5/2"	4	6		
"413.379"	"413.3781"	"1.81e+06"	A	"1.847860"	"4.847154"	"1s2.2p"	"2P*"	"3/2"	"1s2.5d"	"2D"	"3/2"	4	4		
"427.427"	"427.426"	"1.58e+06"	A	"1.847818"	"4.748533"	"1s2.2p"	"2P*"	"1/2"	"1s2.5s"	"2S"	"1/2"	2	2		
"427.433"	"427.433"	"3.17e+06"	A	"1.847860"	"4.748533"	"1s2.2p"	"2P*"	"3/2"	"1s2.5s"	"2S"	"1/2"	4	2		
"460.412"	"460.411"	"1.935e+07"	AA	"1.847818"	"4.540720"	"1s2.2p"	"2P*"	"1/2"	"1s2.4d"	"2D"	"3/2"	2	4		
"460.418"	"460.418"	"2.322e+07"	AA	"1.847860"	"4.540723"	"1s2.2p"	"2P*"	"3/2"	"1s2.4d"	"2D"	"5/2"	4	6		
"460.418"	"460.418"	"3.871e+06"	AA	"1.847860"	"4.540720"	"1s2.2p"	"2P*"	"3/2"	"1s2.4d"	"2D"	"3/2"	4	4		
"497.305"	"497.305"	"3.460e+06"	AA	"1.847818"	"4.340942"	"1s2.2p"	"2P*"	"1/2"	"1s2.4s"	"2S"	"1/2"	2	2		
"497.314"	"497.313"	"6.919e+06"	AA	"1.847860"	"4.340942"	"1s2.2p"	"2P*"	"3/2"	"1s2.4s"	"2S"	"1/2"	4	2		
"610.523"	"610.522"	"5.7138e+07"	AAA	"1.847818"	"3.878608"	"1s2.2p"	"2P*"	"1/2"	"1s2.3d"	"2D"	"3/2"	2	4		
""	"610.533"	"6.8562e+07"	AAA	"1.847860"	"3.878613"	"1s2.2p"	"2P*"	"3/2"	"1s2.3d"	"2D"	"5/2"	4	6		
"610.534"	"610.535"	"1.1427e+07"	AAA	"1.847860"	"3.878608"	"1s2.2p"	"2P*"	"3/2"	"1s2.3d"	"2D"	"3/2"	4	4		
"670.961"	"670.961"	"3.6891e+07"	AAA	"0.000000"	"1.847860"	"1s2.2s"	"2S"	"1/2"	"1s2.2p"	"2P*"	"3/2"	2	4		
"670.976"	"670.976"	"3.6890e+07"	AAA	"0.000000"	"1.847818"	"1s2.2s"	"2S"	"1/2"	"1s2.2p"	"2P*"	"1/2"	2	2		
""	"687.497"	"2.78e+04"	B	"3.373129"	"5.176542"	"1s2.3s"	"2S"	"1/2"	"1s2.8p"	"2P*"	"1/2"	2	2		
""	"687.497"	"2.79e+04"	B	"3.373129"	"5.176542"	"1s2.3s"	"2S"	"1/2"	"1s2.8p"	"2P*"	"3/2"	2	4		
""	"713.713"	"3.59e+04"	B	"3.373129"	"5.110300"	"1s2.3s"	"2S"	"1/2"	"1s2.7p"	"2P*"	"1/2"	2	2		
""	"713.713"	"3.61e+04"	B	"3.373129"	"5.110300"	"1s2.3s"	"2S"	"1/2"	"1s2.7p"	"2P*"	"3/2"	2	4		
""	"758.454"	"4.37e+04"	B	"3.373129"	"5.007826"	"1s2.3s"	"2S"	"1/2"	"1s2.6p"	"2P*"	"1/2"	2	2		
""	"758.454"	"4.38e+04"	B	"3.373129"	"5.007826"	"1s2.3s"	"2S"	"1/2"	"1s2.6p"	"2P*"	"3/2"	2	4		
"812.846"	"812.846"	"1.1156e+07"	AAA	"1.847818"	"3.373129"	"1s2.2p"	"2P*"	"1/2"	"1s2.3s"	"2S"	"1/2"	2	2		
"812.868"	"812.868"	"2.2309e+07"	AAA	"1.847860"	"3.373129"	"1s2.2p"	"2P*"	"3/2"	"1s2.3s"	"2S"	"1/2"	4	2		
""	"846.780"	"4.04e+04"	B	"3.373129"	"4.837313"	"1s2.3s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"1/2"	2	2		
""	"846.780"	"4.04e+04"	B	"3.373129"	"4.837313"	"1s2.3s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"3/2"	2	4		
""	"922.01"	"6.72e+05"	A	"3.834258"	"5.17898"	"1s2.3p"	"2P*"	"1/2"	"1s2.8d"	"2D"	"3/2"	2	4		
""	"922.01"	"1.35e+05"	A	"3.834258"	"5.17898"	"1s2.3p"	"2P*"	"3/2"	"1s2.8d"	"2D"	"3/2"	4	4		
""	"922.01"	"8.10e+05"	A	"3.834258"	"5.17898"	"1s2.3p"	"2P*"	"3/2"	"1s2.8d"	"2D"	"5/2"	4	6		
""	"937.93"	"1.84e+05"	B	"3.834258"	"5.15614"	"1s2.3p"	"2P*"	"1/2"	"1s2.8s"	"2S"	"1/2"	2	2		
""	"937.93"	"3.70e+05"	B	"3.834258"	"5.15614"	"1s2.3p"	"2P*"	"3/2"	"1s2.8s"	"2S"	"1/2"	4	2		
""	"955.242"	"4.57e+03"	B	"3.878608"	"5.176542"	"1s2.3d"	"2D"	"3/2"	"1s2.8p"	"2P*"	"3/2"	4	4		
""	"955.242"	"4.57e+04"	B	"3.878608"	"5.176542"	"1s2.3d"	"2D"	"3/2"	"1s2.8p"	"2P*"	"1/2"	4	2		
""	"955.246"	"4.11e+04"	B	"3.878613"	"5.176542"	"1s2.3d"	"2D"	"5/2"	"1s2.8p"	"2P*"	"3/2"	6	4		
""	"968.89"	"2.04e+05"	A	"3.834258"	"5.11391"	"1s2.3p"	"2P*"	"3/2"	"1s2.7d"	"2D"	"3/2"	4	4		
""	"968.89"	"1.23e+06"	A	"3.834258"	"5.11391"	"1s2.3p"	"2P*"	"3/2"	"1s2.7d"	"2D"	"5/2"	4	6		
""	"968.89"	"1.02e+06"	A	"3.834258"	"5.11391"	"1s2.3p"	"2P*"	"1/2"	"1s2.7d"	"2D"	"3/2"	2	4		
""	"995.77"	"2.87e+05"	B	"3.834258"	"5.07937"	"1s2.3p"	"2P*"	"1/2"	"1s2.7s"	"2S"	"1/2"	2	2		
""	"995.77"	"5.75e+05"	B	"3.834258"	"5.07937"	"1s2.3p"	"2P*"	"3/2"	"1s2.7s"	"2S"	"1/2"	4	2		
""	"1006.616"	"7.10e+03"	A	"3.878608"	"5.110300"	"1s2.3d"	"2D"	"3/2"	"1s2.7p"	"2P*"	"3/2"	4	4		
""	"1006.616"	"7.09e+04"	A	"3.878608"	"5.110300"	"1s2.3d"	"2D"	"3/2"	"1s2.7p"	"2P*"	"1/2"	4	2		
""	"1006.621"	"6.36e+04"	A	"3.878613"	"5.110300"	"1s2.3d"	"2D"	"5/2"	"1s2.7p"	"2P*"	"3/2"	6	4		
""	"1051.310"	"1.97e+06"	A	"3.834258"	"5.013589"	"1s2.3p"	"2P*"	"3/2"	"1s2.6d"	"2D"	"5/2"	4	6		
""	"1051.311"	"3.28e+05"	A	"3.834258"	"5.013587"	"1s2.3p"	"2P*"	"3/2"	"1s2.6d"	"2D"	"3/2"	4	4		
""	"1051.311"	"1.64e+06"	A	"3.834258"	"5.013587"	"1s2.3p"	"2P*"	"1/2"	"1s2.6d"	"2D"	"3/2"	2	4		
""	"1079.514"	"6.9e+02"	D	"3.373129"	"4.521648"	"1s2.3s"	"2S"	"1/2"	"1s2.4p"	"2P*"	"1/2"	2	2		
""	"1079.514"	"6.8e+02"	D	"3.373129"	"4.521648"	"1s2.3s"	"2S"	"1/2"	"1s2.4p"	"2P*"	"3/2"	2	4		
""	"1097.965"	"1.19e+04"	A	"3.878608"	"5.007826"	"1s2.3d"	"2D"	"3/2"	"1s2.6p"	"2P*"	"3/2"	4	4		
""	"1097.965"	"1.19e+05"	A	"3.878608"	"5.007826"	"1s2.3d"	"2D"	"3/2"	"1s2.6p"	"2P*"	"1/2"	4	2		
""	"1097.970"	"1.07e+05"	A	"3.878613"	"5.007826"	"1s2.3d"	"2D"	"5/2"	"1s2.6p"	"2P*"	"3/2"	6	4		
""	"1103.477"	"4.86e+05"	A	"3.834258"	"4.957835"	"1s2.3p"	"2P*"	"1/2"	"1s2.6s"	"2S"	"1/2"	2	2		
""	"1103.477"	"9.73e+05"	A	"3.834258"	"4.957835"	"1s2.3p"	"2P*"	"3/2"	"1s2.6s"	"2S"	"1/2"	4	2		
"1223.5"	"1224.056"	"3.48e+06"	A	"3.834258"	"4.847155"	"1s2.3p"	"2P*"	"3/2"	"1s2.5d"	"2D"	"5/2"	4	6		
"1223.5"	"1224.058"	"5.81e+05"	A	"3.834258"	"4.847154"	"1s2.3p"	"2P*"	"3/2"	"1s2.5d"	"2D"	"3/2"	4	4		
"1223.5"	"1224.058"	"2.90e+06"	A	"3.834258"	"4.847154"	"1s2.3p"	"2P*"	"1/2"	"1s2.5d"	"2D"	"3/2"	2	4		
"1278.5"	"1278.54"	"4.274e+06"	AA	"3.878608"	"4.84834"	"1s2.3d"	"2D"	"3/2"	"1s2.5f"	"2F*"	"5/2"	4	6		
"1278.5"	"1278.55"	"4.578e+06"	AA	"3.878613"	"4.84834"	"1s2.3d"	"2D"	"5/2"	"1s2.5f"	"2F*"	"7/2"	6	8		
"1278.5"	"1278.55"	"3.052e+05"	AA	"3.878613"	"4.84834"	"1s2.3d"	"2D"	"5/2"	"1s2.5f"	"2F*"	"5/2"	6	6		
