obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"127.9057"	"127.9055754"	"4.0e+06"	D	"0.0020354130"	"9.69545167"	"2s2.2p2"	"3P"	"1"	"2s2.2p.3d"	"3F*"	"2"	3	5		
"127.9228"	"127.9228342"	"1.1e+07"	D	"0.0053825826"	"9.697491047"	"2s2.2p2"	"3P"	"2"	"2s2.2p.3d"	"3F*"	"3"	5	7		
"127.9498"	"127.9497569"	"2.2e+06"	D	"0.0053825826"	"9.69545167"	"2s2.2p2"	"3P"	"2"	"2s2.2p.3d"	"3F*"	"2"	5	5		
"127.9890"	"127.9890375"	"3.43e+07"	B+	"0.0020354130"	"9.689130559"	"2s2.2p2"	"3P"	"1"	"2s2.2p.4s"	"3P*"	"2"	3	5		
"128.0134"	"128.0134799"	"3.55e+07"	B+	"0.0000000000"	"9.685245529"	"2s2.2p2"	"3P"	"0"	"2s2.2p.4s"	"3P*"	"1"	1	3		
"128.0330"	"128.0332767"	"6.4e+07"	B+	"0.0053825826"	"9.689130559"	"2s2.2p2"	"3P"	"2"	"2s2.2p.4s"	"3P*"	"2"	5	5		
"128.0410"	"128.0403884"	"1.87e+07"	B+	"0.0020354130"	"9.685245529"	"2s2.2p2"	"3P"	"1"	"2s2.2p.4s"	"3P*"	"1"	3	3		
"128.0595"	"128.0596920"	"8.8e+07"	B+	"0.0020354130"	"9.68378589"	"2s2.2p2"	"3P"	"1"	"2s2.2p.4s"	"3P*"	"0"	3	1		
"128.0845"	"128.0846631"	"3.6e+07"	B+	"0.0053825826"	"9.685245529"	"2s2.2p2"	"3P"	"2"	"2s2.2p.4s"	"3P*"	"1"	5	3		
"128.7609"	"128.7607533"	"1.49e+05"	B	"0.0020354130"	"9.631071843"	"2s2.2p2"	"3P"	"1"	"2s2.2p.3d"	"1D*"	"2"	3	5		
"128.8040"	"128.8055277"	"6.6e+04"	C	"0.0053825826"	"9.631071843"	"2s2.2p2"	"3P"	"2"	"2s2.2p.3d"	"1D*"	"2"	5	5		
"128.8422"	"128.84225"	"3.5e+07"	B	"1.2637284"	"10.886674"	"2s2.2p2"	"1D"	"2"	"2s2.2p.6d"	"1F*"	"3"	5	7		
"128.8918"	"128.89169"	"2.1e+05"	E	"1.2637284"	"10.882983"	"2s2.2p2"	"1D"	"2"	"2s2.2p.6d"	"3D*"	"3"	5	7		
"128.9975"	"128.99770"	"7.e+06"	E	"1.2637284"	"10.875078"	"2s2.2p2"	"1D"	"2"	"2s2.2p.6d"	"3F*"	"3"	5	7		
"131.0150"	"131.015496"	"3.5e+05"	E	"1.2637284"	"10.7270516"	"2s2.2p2"	"1D"	"2"	"2s2.2p.5d"	"3P*"	"1"	5	3		
"131.0636"	"131.063688"	"3.5e+07"	E	"1.2637284"	"10.7235720"	"2s2.2p2"	"1D"	"2"	"2s2.2p.5d"	"1P*"	"1"	5	3		
"131.1362"	"131.13627"	"5.9e+07"	B	"1.2637284"	"10.718336"	"2s2.2p2"	"1D"	"2"	"2s2.2p.5d"	"1F*"	"3"	5	7		
