obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"309.1962"	"309.19614"	"3.09e+07"	B	"2.7091049"	"6.7189932"	"3s.3p"	"3P*"	"0"	"3s.4d"	"3D"	"1"	1	3		
""	"309.38803"	"2.08e+07"	C	"2.7115919"	"6.7189932"	"3s.3p"	"3P*"	"1"	"3s.4d"	"3D"	"1"	3	3		
"309.3882"	"309.38842"	"3.74e+07"	C	"2.7115919"	"6.7189881"	"3s.3p"	"3P*"	"1"	"3s.4d"	"3D"	"2"	3	5		
""	"309.77824"	"1.38e+06"	D	"2.7166398"	"6.7189932"	"3s.3p"	"3P*"	"2"	"3s.4d"	"3D"	"1"	5	3		
""	"309.77863"	"1.24e+07"	C	"2.7166398"	"6.7189881"	"3s.3p"	"3P*"	"2"	"3s.4d"	"3D"	"2"	5	5		
"309.7789"	"309.77900"	"4.96e+07"	C+	"2.7166398"	"6.7189834"	"3s.3p"	"3P*"	"2"	"3s.4d"	"3D"	"3"	5	7		
"333.0877"	"333.08773"	"3.09e+06"	D+	"2.7091049"	"6.4313736"	"3s.3p"	"3P*"	"0"	"3s.5s"	"3S"	"1"	1	3		
"333.3104"	"333.31042"	"1.02e+07"	B	"2.7115919"	"6.4313736"	"3s.3p"	"3P*"	"1"	"3s.5s"	"3S"	"1"	3	3		
"333.7634"	"333.76335"	"1.70e+07"	B	"2.7166398"	"6.4313736"	"3s.3p"	"3P*"	"2"	"3s.5s"	"3S"	"1"	5	3		
""	"362.8662"	"5.62e+06"	C	"6.5878560"	"10.004658"	"3s.4d"	"1D"	"2"	"3p.3d"	"1D*"	"2"	5	5		
""	"363.68498"	"9.89e-05"	D	"2.7091049"	"6.1182146"	"3s.3p"	"3P*"	"0"	"3s.4p"	"1P*"	"1"	1	3	M1	
""	"363.95049"	"7.38e-05"	D	"2.7115919"	"6.1182146"	"3s.3p"	"3P*"	"1"	"3s.4p"	"1P*"	"1"	3	3	M1	
""	"363.95049"	"2.12e-04"	C	"2.7115919"	"6.1182146"	"3s.3p"	"3P*"	"1"	"3s.4p"	"1P*"	"1"	3	3	E2	
""	"364.49058"	"1.22e-04"	D	"2.7166398"	"6.1182146"	"3s.3p"	"3P*"	"2"	"3s.4p"	"1P*"	"1"	5	3	M1	
""	"364.49058"	"2.80e-04"	C	"2.7166398"	"6.1182146"	"3s.3p"	"3P*"	"2"	"3s.4p"	"1P*"	"1"	5	3	E2	
"383.04414"	"383.04412"	"8.99e+07"	B+	"2.7091049"	"5.9459174"	"3s.3p"	"3P*"	"0"	"3s.3d"	"3D"	"1"	1	3		
""	"383.04458"	"2.11e-05"	B	"2.7091049"	"5.9459136"	"3s.3p"	"3P*"	"0"	"3s.3d"	"3D"	"2"	1	5	M2	
""	"383.33866"	"7.17e-05"	B	"2.7115919"	"5.9459174"	"3s.3p"	"3P*"	"1"	"3s.3d"	"3D"	"1"	3	3	M2	
"383.33869"	"383.33866"	"6.74e+07"	B+	"2.7115919"	"5.9459174"	"3s.3p"	"3P*"	"1"	"3s.3d"	"3D"	"1"	3	3		
""	"383.33885"	"2.20e-05"	B	"2.7115919"	"5.9459158"	"3s.3p"	"3P*"	"1"	"3s.3d"	"3D"	"3"	3	7	M2	
