obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"731.3033"	"731.303+"	"4.50e+07"	C+	"12.984995"	"14.680382"	"2s2.2p4.(3P).3s"	"2P"	"3/2"	"2s2.2p4.(3P).3p"	"2S*"	"1/2"	4	2		
"731.6318"	"731.6318+"	"5.27e+07"	C+	"15.3642647"	"17.0588903"	"2s2.2p4.(1D).3s"	"2D"	"3/2"	"2s2.2p4.(1D).3p"	"2F*"	"5/2"	4	6		
"733.3977"	"733.398+"	"2.42e+07"	C	"12.696690"	"14.387235"	"2s2.2p4.(3P).3s"	"4P"	"5/2"	"2s2.2p4.(3P).3p"	"4P*"	"3/2"	6	4		
"740.0726"	"740.072+"	"3.53e+07"	C	"12.696690"	"14.371989"	"2s2.2p4.(3P).3s"	"4P"	"5/2"	"2s2.2p4.(3P).3p"	"4P*"	"5/2"	6	6		
"742.7690"	"742.769+"	"3.93e+07"	C	"12.730752"	"14.399969"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"4P*"	"1/2"	4	2		
"747.860"	"747.857+"	"5.15e+05"	C	"13.025319"	"14.683178"	"2s2.2p4.(3P).3s"	"2P"	"1/2"	"2s2.2p4.(3P).3p"	"4S*"	"3/2"	2	4		
"748.4784"	"748.478+"	"6.49e+06"	C+	"12.730752"	"14.387235"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"4P*"	"3/2"	4	4		
"749.1217"	"749.120+"	"5.48e+06"	C+	"13.025319"	"14.680382"	"2s2.2p4.(3P).3s"	"2P"	"1/2"	"2s2.2p4.(3P).3p"	"2S*"	"1/2"	2	2		
"751.6988"	"751.699+"	"6.54e+06"	C	"12.750582"	"14.399969"	"2s2.2p4.(3P).3s"	"4P"	"1/2"	"2s2.2p4.(3P).3p"	"4P*"	"1/2"	2	2		
"755.4314"	"755.431+"	"8.9e+06"	C+	"12.730752"	"14.371989"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"4P*"	"5/2"	4	6		
