API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat Aug  8 06:03:35 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Cassini (spacecraft) (-82)      {source: cassini_merge}
Center body name: Sun (10)                        {source: cassini_merge}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2002-Jun-06 05:00:00.0000 TDB
Stop  time      : A.D. 2002-Jun-10 08:00:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2452431.968750000, A.D. 2002-Jun-06 11:15:00.0000,  9.014660769965477E+06,  1.102627834288573E+09, -9.661972842181683E+06, -6.371592704184353E+00,  5.909958496139488E+00,  2.175460094122617E-02,
2452431.979166667, A.D. 2002-Jun-06 11:30:00.0000,  9.008926336182741E+06,  1.102633153206865E+09, -9.661953262657642E+06, -6.371593479584561E+00,  5.909859931400431E+00,  2.175545235360321E-02,
2452431.989583333, A.D. 2002-Jun-06 11:45:00.0000,  9.003191901702389E+06,  1.102638472036449E+09, -9.661933682367384E+06, -6.371594254442508E+00,  5.909761367623608E+00,  2.175630375090565E-02,
2452432.000000000, A.D. 2002-Jun-06 12:00:00.0000,  8.997457466524906E+06,  1.102643790777327E+09, -9.661914101310909E+06, -6.371595028758212E+00,  5.909662804808991E+00,  2.175715513313348E-02,
2452432.010416667, A.D. 2002-Jun-06 12:15:00.0000,  8.991723030650787E+06,  1.102649109429498E+09, -9.661894519488156E+06, -6.371595802531692E+00,  5.909564242956562E+00,  2.175800650028803E-02,
2452432.020833333, A.D. 2002-Jun-06 12:30:00.0000,  8.985988594080513E+06,  1.102654427992965E+09, -9.661874936899245E+06, -6.371596575762966E+00,  5.909465682066296E+00,  2.175885785236975E-02,
2452432.031250000, A.D. 2002-Jun-06 12:45:00.0000,  8.980254156814575E+06,  1.102659746467726E+09, -9.661855353543997E+06, -6.371597348452052E+00,  5.909367122138173E+00,  2.175970918937820E-02,
2452432.041666667, A.D. 2002-Jun-06 13:00:00.0000,  8.974519718853462E+06,  1.102665064853785E+09, -9.661835769422710E+06, -6.371598120598968E+00,  5.909268563172171E+00,  2.176056051131425E-02,
2452432.052083333, A.D. 2002-Jun-06 13:15:00.0000,  8.968785280197661E+06,  1.102670383151140E+09, -9.661816184535205E+06, -6.371598892203732E+00,  5.909170005168267E+00,  2.176141181817837E-02,
2452432.062500000, A.D. 2002-Jun-06 13:30:00.0000,  8.963050840847658E+06,  1.102675701359794E+09, -9.661796598881423E+06, -6.371599663266363E+00,  5.909071448126440E+00,  2.176226310997231E-02,
2452432.072916667, A.D. 2002-Jun-06 13:45:00.0000,  8.957316400803942E+06,  1.102681019479747E+09, -9.661777012461543E+06, -6.371600433786880E+00,  5.908972892046666E+00,  2.176311438669565E-02,
2452432.083333333, A.D. 2002-Jun-06 14:00:00.0000,  8.951581960067004E+06,  1.102686337511000E+09, -9.661757425275505E+06, -6.371601203765301E+00,  5.908874336928925E+00,  2.176396564834837E-02,
2452432.093750000, A.D. 2002-Jun-06 14:15:00.0000,  8.945847518637329E+06,  1.102691655453554E+09, -9.661737837323368E+06, -6.371601973201642E+00,  5.908775782773194E+00,  2.176481689493137E-02,
2452432.104166667, A.D. 2002-Jun-06 14:30:00.0000,  8.940113076515403E+06,  1.102696973307410E+09, -9.661718248605072E+06, -6.371602742095924E+00,  5.908677229579451E+00,  2.176566812644598E-02,
2452432.114583333, A.D. 2002-Jun-06 14:45:00.0000,  8.934378633701719E+06,  1.102702291072568E+09, -9.661698659120798E+06, -6.371603510448163E+00,  5.908578677347673E+00,  2.176651934289220E-02,
2452432.125000000, A.D. 2002-Jun-06 15:00:00.0000,  8.928644190196760E+06,  1.102707608749029E+09, -9.661679068870306E+06, -6.371604278258379E+00,  5.908480126077840E+00,  2.176737054427091E-02,
2452432.135416667, A.D. 2002-Jun-06 15:15:00.0000,  8.922909746001016E+06,  1.102712926336795E+09, -9.661659477853775E+06, -6.371605045526589E+00,  5.908381575769927E+00,  2.176822173058124E-02,
2452432.145833333, A.D. 2002-Jun-06 15:30:00.0000,  8.917175301114975E+06,  1.102718243835866E+09, -9.661639886071205E+06, -6.371605812252812E+00,  5.908283026423915E+00,  2.176907290182495E-02,
2452432.156250000, A.D. 2002-Jun-06 15:45:00.0000,  8.911440855539124E+06,  1.102723561246243E+09, -9.661620293522656E+06, -6.371606578437067E+00,  5.908184478039781E+00,  2.176992405800293E-02,
