5234.6236 5234.6235 Fe 2 3.22 -2.28  82.5 0.4 430.9 11.1 -148.2 697.5  2.3
5339.9294 5339.9292 Fe 1 3.27 -0.65 128.2 1.6 537.9 46.5   36.0 632.2  3.5
5364.8713 5364.8711 Fe 1 4.45  0.23 115.9 4.1 505.6 14.6  -17.9 644.7  9.0
5365.3991 5365.3989 Fe 1 3.57 -1.02  73.5 1.6 337.4  7.5 -192.8 630.2  5.4
5369.9619 5369.9614 Fe 1 4.37  0.54 147.8 0.8 560.8 22.7   62.1 656.4  3.2
5373.7086 5373.7080 Fe 1 4.47 -0.86  60.1 0.7 312.3  9.2 -313.8 639.8  9.9
5379.5740 5379.5737 Fe 1 3.69 -1.51  60.2 1.2 363.3 18.4 -294.6 661.7  2.9
5383.3692 5383.3687 Fe 1 4.31  0.64 154.9 1.1 594.7  7.6   80.4 635.9  5.8
5389.4792 5389.4790 Fe 1 4.41 -0.41  84.6 0.4 390.4  8.9 -153.0 639.7  9.0
5398.2794 5398.2793 Fe 1 4.45 -0.67  70.0 1.8 331.0 36.4 -235.2 625.5  7.9
5409.1336 5409.1333 Fe 1 4.37 -1.30  56.7 0.4 319.7 12.4 -338.8 744.6 14.6
5410.9098 5410.9097 Fe 1 4.47  0.40 173.1 0.5 530.1 13.1  118.6 643.9  1.0
5434.5238 5434.5234 Fe 1 1.01 -2.12 162.6 2.6 593.5 36.6  161.3 618.7  4.3
5445.0424 5445.0420 Fe 1 4.39 -0.02 111.5 4.2 504.7 17.2  -30.6 646.7  9.3
5462.9595 5462.9590 Fe 1 4.47 -0.05  96.9 1.0 431.4 31.3  -87.3 710.5  8.4
5463.2762 5463.2759 Fe 1 4.43  0.11 104.0 1.5 483.0 12.1  -58.6 605.1  2.1
5466.3962 5466.3960 Fe 1 4.37 -0.63  75.0 0.9 347.2 10.7 -199.0 598.9  5.1
5473.9005 5473.8999 Fe 1 4.15 -0.76  75.2 0.5 299.5  1.1 -192.2 510.2  2.9
5483.0988 5483.0986 Fe 1 4.15 -1.41  46.3 0.2 217.7 22.2 -393.8 662.1  8.6
5501.4653 5501.4648 Fe 1 0.96 -3.05 108.6 2.6 525.3 20.2   14.5 722.8  4.3
5506.7791 5506.7788 Fe 1 0.99 -2.80 118.7 1.8 493.3 10.3   51.1 611.8  3.3
5522.4465 5522.4463 Fe 1 4.21 -1.55  41.8 0.4 189.6 15.9 -416.3 554.9  5.9
5525.5443 5525.5439 Fe 1 4.23 -1.08  46.6 0.6 219.5  3.2 -386.9 590.4  3.5
5543.9357 5543.9351 Fe 1 4.22 -1.14  59.0 1.8 319.0 35.0 -305.6 658.7  9.9
5546.5058 5546.5054 Fe 1 4.37 -1.31  51.3 0.4 278.2 25.1 -363.2 704.2  3.2
5560.2116 5560.2114 Fe 1 4.43 -1.19  52.2 0.2 222.9 14.0 -356.5 616.9  2.2
5587.5740 5587.5737 Fe 1 4.14 -1.85  34.7 0.1 236.1 43.5 -447.8 643.2  6.4
5618.6327 5618.6323 Fe 1 4.21 -1.28  49.8 0.1 235.9 25.2 -366.8 630.9  4.0
5624.5422 5624.5420 Fe 1 3.42 -0.75 125.5 9.6 542.6 35.8   28.9 688.7  8.4
5633.9465 5633.9463 Fe 1 4.99 -0.27  62.9 1.8 239.1 14.0 -283.9 506.8  2.1
5635.8226 5635.8223 Fe 1 4.26 -1.89  34.1 0.3 158.5 25.1 -456.6 604.9 14.5
5638.2621 5638.2617 Fe 1 4.22 -0.87  76.4 2.2 288.2 13.0 -183.7 539.2  3.7
5649.9873 5649.9868 Fe 1 5.10 -0.92  35.6 0.2 177.1 47.6 -473.2 599.1 12.4
5653.8668 5653.8662 Fe 1 4.39 -1.64  35.1 0.2 110.0 23.5 -450.8 607.0 11.4
5661.3455 5661.3452 Fe 1 4.28 -1.74  23.1 0.1  87.0 10.6 -486.3 589.4  8.4
5679.0229 5679.0225 Fe 1 4.65 -0.92  59.8 0.5 272.4 40.7 -308.1 614.9  3.9
5691.4970 5691.4966 Fe 1 4.30 -1.52  41.1 0.1 238.4  5.9 -421.5 645.5  2.2
5701.5446 5701.5444 Fe 1 2.56 -2.22  84.5 0.4 465.0 17.1 -113.8 668.3  7.7
5705.4646 5705.4644 Fe 1 4.30 -1.36  38.2 0.1 247.0 21.7 -429.3 621.4  5.6
5717.8329 5717.8325 Fe 1 4.28 -1.13  57.0 0.8 242.1  5.0 -309.9 540.5  3.0
5731.7623 5731.7617 Fe 1 4.26 -1.30  57.8 0.2 274.8 13.8 -307.7 602.3 12.0
5741.8484 5741.8481 Fe 1 4.26 -1.85  31.9 0.1 199.1 32.5 -455.5 607.0  5.9
5752.0320 5752.0317 Fe 1 4.55 -1.18  54.6 0.4 293.3 15.5 -338.4 651.7 11.0
5753.1227 5753.1221 Fe 1 4.26 -0.69  76.3 0.3 299.8 27.5 -180.3 617.4  5.2
5775.0806 5775.0801 Fe 1 4.22 -1.30  57.8 1.4 197.7 45.9 -304.6 565.4  5.0
5784.6584 5784.6582 Fe 1 3.40 -2.53  27.6 0.2 305.2 18.1 -436.2 669.7 24.6
5806.7249 5806.7246 Fe 1 4.61 -1.05  53.5 1.1 215.1 16.2 -343.5 509.8  9.2
