4779.4394 4779.4391 0.7 4779.4389 0.5 Fe 1 3.42 -2.02  40.9  0.5 189.1 25.0
4786.8070 4786.8067 0.7 4786.8067 0.3 Fe 1 3.02 -1.61  84.2  0.2 332.4 11.1
4788.7569 4788.7566 0.7 4788.7565 0.5 Fe 1 3.24 -1.76  64.2  1.0 342.7  5.7
4789.6508 4789.6505 0.7 4789.6508 0.3 Fe 1 3.55 -0.96  86.1  0.7 347.7 15.9
4798.2649 4798.2646 0.7 4798.2647 0.3 Fe 1 4.19 -1.17  43.3  0.1 183.7  2.8
4799.4061 4799.4058 0.7 4799.4059 0.3 Fe 1 3.64 -2.23  34.6  0.1 286.2 19.5
4807.7088 4807.7084 0.7 4807.7081 0.3 Fe 1 3.37 -2.20  51.0  0.2 238.4 37.5
4835.8679 4835.8676 0.7 4835.8672 0.3 Fe 1 4.10 -1.50  51.1  0.3 207.8  3.2
4839.5445 4839.5442 0.7 4839.5443 0.3 Fe 1 3.27 -1.82  60.4  0.2 326.2 20.1
4844.0138 4844.0135 0.7 4844.0133 0.3 Fe 1 3.55 -2.05  48.2  0.3 305.6  6.3
4845.6482 4845.6478 0.7 4845.6463 0.5 Fe 1 3.27 -3.04  41.6  0.7 303.4 19.3
4871.3182 4871.3179 0.7 4871.3178 0.3 Fe 1 2.87 -0.36 146.8  7.5 595.0 22.7
4872.1378 4872.1375 0.7 4872.1373 0.3 Fe 1 2.88 -0.57 160.9  3.4 565.2 19.3
4875.8776 4875.8773 0.7 4875.8769 0.3 Fe 1 3.33 -2.02  57.5  5.4 259.8  4.8
4882.1434 4882.1431 0.7 4882.1429 0.3 Fe 1 3.42 -1.64  71.0  0.2 369.0  6.5
4885.4306 4885.4303 0.7 4885.4301 0.3 Fe 1 3.88 -0.97  71.4  0.6 304.2  7.1
4886.3318 4886.3315 0.7 4886.3311 0.3 Fe 1 4.15 -0.61  77.3  0.2 261.0  5.2
