API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API

*******************************************************************************
Revised: April 12, 2021         Earth Barycenter                              3
 
 Dynamical point:
 ---------------
 The common point about which the Earth and Moon revolve (center of mass). This
 is approximately 4671 km from the center of the Earth, or about 3/4 of the way 
 to the surface. See 399 for Earth center, or 301 for Moon center ephemeris.
*******************************************************************************


*******************************************************************************
Ephemeris / API_USER Fri Aug  7 01:37:10 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth-Moon Barycenter (3)       {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: Caussols
*******************************************************************************
Start time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Jan-01 00:00:00.0000 TDB
Step-size       : 20160 minutes
*******************************************************************************
Center geodetic : 6.9212, 43.7509454, 1.26963     {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 6.9212, 4615.57302, 4389.02201  {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260806.p261102
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-06. PREDICTS-> 2026-NOV-01
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000, -3.171886025996855E+03, -3.784465619589177E+03, -1.962950076961838E+03,  3.177705067394212E-01,  7.664813661657739E-02, -3.938394462777363E-02,
2460324.500000000, A.D. 2024-Jan-15 00:00:00.0000,  6.523083980350502E+03, -6.751655562977763E+03, -2.679946779884826E+03,  2.949801243454045E-01,  1.677574897889670E-01, -6.722643967874233E-02,
2460338.500000000, A.D. 2024-Jan-29 00:00:00.0000, -1.530370297533082E+03, -3.425656358260078E+03, -2.472879329540879E+03,  2.384635481121206E-01,  2.033029663173948E-01, -9.450990731576950E-02,
