API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat Aug  8 03:30:33 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Cassini (spacecraft) (-82)      {source: cassini_merge}
Center body name: Earth (399)                     {source: cassini_merge}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2002-Jun-06 20:30:00.0000 TDB
Stop  time      : A.D. 2002-Jun-06 23:00:00.0000 TDB
Step-size       : 5 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260807.p261103
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-07. PREDICTS-> 2026-NOV-02
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2452432.354166667, A.D. 2002-Jun-06 20:30:00.0000,  4.572694463717063E+07,  1.250080483854796E+09, -9.662449980351627E+06, -3.478805623622144E+01,  1.327211973059046E+01,  2.247250134078094E-02,
2452432.357638889, A.D. 2002-Jun-06 20:35:00.0000,  4.571650815603728E+07,  1.250084465233808E+09, -9.662443238460541E+06, -3.478848463606347E+01,  1.327040701062392E+01,  2.247344039202837E-02,
2452432.361111111, A.D. 2002-Jun-06 20:40:00.0000,  4.570607154639903E+07,  1.250088446098999E+09, -9.662436496287525E+06, -3.478891293549015E+01,  1.326869426187078E+01,  2.247437907081817E-02,
2452432.364583333, A.D. 2002-Jun-06 20:45:00.0000,  4.569563480828603E+07,  1.250092426450362E+09, -9.662429753833055E+06, -3.478934113449610E+01,  1.326698148433778E+01,  2.247531737678798E-02,
2452432.368055556, A.D. 2002-Jun-06 20:50:00.0000,  4.568519794172838E+07,  1.250096406287887E+09, -9.662423011097133E+06, -3.478976923307593E+01,  1.326526867803168E+01,  2.247625530957098E-02,
