Z,lower_n,upper_n,path_ratio,path_expected,period_ratio,period_expected,angular_rate_ratio,angular_rate_expected,lower_action_residual,upper_action_residual
1,1,2,4.0,4.0,8.0,8.0,0.125,0.125,6.098992422209903e-10,6.098992422209903e-10
1,1,3,9.0,9.0,27.0,27.0,0.037037037037037035,0.03703703703703703,6.098992422209903e-10,6.098990201763854e-10
1,2,3,2.25,2.25,3.375,3.375,0.2962962962962963,0.2962962962962962,6.098992422209903e-10,6.098990201763854e-10
2,1,2,4.0,4.0,8.0,8.0,0.125,0.125,6.098992422209903e-10,6.098992422209903e-10
2,1,3,9.0,9.0,27.0,27.0,0.037037037037037035,0.03703703703703703,6.098992422209903e-10,6.098990201763854e-10
2,2,3,2.25,2.25,3.375,3.375,0.2962962962962963,0.2962962962962962,6.098992422209903e-10,6.098990201763854e-10
3,1,2,4.0,4.0,8.0,8.0,0.125,0.125,6.098992422209903e-10,6.098992422209903e-10
3,1,3,9.000000000000002,9.0,27.000000000000007,27.0,0.03703703703703703,0.03703703703703703,6.098992422209903e-10,6.098994642655953e-10
3,2,3,2.2500000000000004,2.25,3.375000000000001,3.375,0.2962962962962962,0.2962962962962962,6.098992422209903e-10,6.098994642655953e-10
