draw,eta,rho
0,-0.3074460987376128,3.2081599986687275e-15
1,-0.336577103543871,7.090954783370924e-13
2,-0.3525790642028614,6.085619974195752e-11
3,-0.2695934214257362,0.03957899396526199
4,-0.2704473678083051,3.7431624902922905e-14
5,-0.381906283838269,3.8439065623491195e-14
6,-0.3159005055373036,3.360772810079618e-14
7,-0.3089280732156546,1.1047942344853695e-13
