line_index,Z,symbol,split,transition,level,seat_index,n,subshell,occupancy_index,direction_x,direction_y,direction_z,phase_rad,r_m,v_m_s,k,z,koppa_felt_m,n_eff,q_effective,static_screening,swept_screening_mean,swept_screening_variance,force_residual,path_length_m,period_s,angular_rate_rad_s,action_closure_residual
0,1,H,CALIBRATION,1s→2p,lower,0,1,s,0,0.0,0.0,1.0,0.0,5.29177210903e-11,2187691.2636430627,137.03599908369577,5.325135452066933e-05,2.8179403262054656e-15,1.0,1.0,0.0,0.0,0.0,6.098992584414043e-10,3.3249184764400027e-10,1.519829846055685e-16,4.134137333521859e+16,6.098992422209903e-10
0,1,H,CALIBRATION,1s→2p,upper,0,2,p,0,0.8660254037844387,0.49999999999999994,0.0,0.0,2.116708843612e-10,1093845.6318215313,274.07199816739154,1.3312838630167332e-05,2.8179403262054656e-15,2.0,1.0,0.0,0.0,0.0,6.098992584414043e-10,1.329967390576001e-09,1.215863876844548e-15,5167671666902324.0,6.098992422209903e-10
1,2,He,CALIBRATION,1s²→1s2p ¹P,lower,0,1,s,0,0.0,0.0,1.0,0.0,2.7963571310356892e-11,4139944.602793728,72.41460617557377,0.0001906986654395654,5.332615729809179e-15,1.0,1.8923806441955007,0.10761935755342415,0.5445854421607914,1.2555183081794623,1.4515431934471173e-09,1.7570030039350304e-10,4.244025397705479e-17,1.4804777819135043e+17,6.098992422209903e-10
1,2,He,CALIBRATION,1s²→1s2p ¹P,lower,1,1,s,1,0.0,0.0,-1.0,0.0,2.7963571310356892e-11,4139944.602793728,72.41460617557377,0.0001906986654395654,5.332615729809179e-15,1.0,1.8923806441955007,0.10761935755342415,0.5445854421607896,1.2555183081794308,1.4515431934471173e-09,1.7570030039350304e-10,4.244025397705479e-17,1.4804777819135043e+17,6.098992422209903e-10
1,2,He,CALIBRATION,1s²→1s2p ¹P,upper,0,1,s,0,0.0,0.0,1.0,0.0,2.6498036112491024e-11,4368913.8179782815,68.61944878984342,0.00021237605524285861,5.627548381253656e-15,1.0,1.9970431342779733,0.0029568655989882374,0.0006448703335548627,7.184493059365269e-05,5.474782021480245e-10,1.664920711711177e-10,3.810834411198389e-17,1.648768912319053e+17,6.098992422209903e-10
1,2,He,CALIBRATION,1s²→1s2p ¹P,upper,1,2,p,0,0.8660254037844387,0.49999999999999994,0.0,0.0,1.6561298346003588e-10,1398050.2458502655,214.43611121263555,2.174724036270991e-05,3.601625358490901e-15,2.0,1.2781056167149984,0.7218943843776904,0.6372863522894376,0.010931965435395359,9.36102385700255e-10,1.0405770643542732e-09,7.443059127831387e-16,8441670554094144.0,6.098992422209903e-10
2,3,Li,HOLDOUT,2s→2p,lower,0,1,s,0,0.0,0.0,1.0,0.0,1.8164143070580972e-11,6373415.782473617,47.03795707545164,0.0004519632231034817,8.209524647092548e-15,1.0,2.9133067761400016,0.0866932265631328,-0.4007749498094386,10.617521124083508,1.4933193622864575e-09,1.1412867685858226e-10,1.790698751718458e-17,3.5087896839989856e+17,6.098992422209903e-10
2,3,Li,HOLDOUT,2s→2p,lower,1,1,s,1,0.0,0.0,-1.0,0.0,1.836573155200354e-11,6303459.015141725,47.5599916299701,0.00044209587322118415,8.11941412782886e-15,1.0,2.8813293355868055,0.11867066313196428,1.4913612785889352,25.507801708792616,1.5869677505379738e-10,1.1539529464315319e-10,1.8306662162149186e-17,3.4321850982593024e+17,6.098990201763854e-10
2,3,Li,HOLDOUT,2s→2p,lower,2,2,s,0,0.0,0.0,1.0,0.0,1.0298422355631143e-10,2248259.6289682793,133.344233974247,5.624080371200558e-05,5.791915502463813e-15,2.0,2.0553719497186775,0.9446280526155493,1.3179871420880827,0.05689812712726168,1.1959320320271026e-09,6.470689603203138e-10,2.878088242047259e-16,2.183110724468334e+16,6.098992422209903e-10
2,3,Li,HOLDOUT,2s→2p,upper,0,1,s,0,0.0,0.0,1.0,0.0,1.8306467198831567e-11,6323865.487740778,47.40652036023964,0.000444962940444425,8.14569947394151e-15,1.0,2.8906571931955027,0.10934280675622907,0.5449633213420046,0.8667835398159126,5.71580595841902e-10,1.1502292573006354e-10,1.8188705302641702e-17,3.4544434046479526e+17,6.098992422209903e-10
2,3,Li,HOLDOUT,2s→2p,upper,1,1,s,1,0.0,0.0,-1.0,0.0,1.8306467198831567e-11,6323865.487740778,47.40652036023964,0.000444962940444425,8.14569947394151e-15,1.0,2.8906571931955027,0.10934280675622907,0.544963321342003,0.8667835398159007,5.71580595841902e-10,1.1502292573006354e-10,1.8188705302641702e-17,3.4544434046479526e+17,6.098992422209903e-10
2,3,Li,HOLDOUT,2s→2p,upper,2,2,p,0,0.8660254037844387,0.49999999999999994,0.0,0.0,1.3750016706319163e-10,1683890.8430990581,178.03556520816838,3.154906295458658e-05,4.338001426942805e-15,2.0,1.5394227431296237,1.4605772583429464,1.2782594112311767,0.029986097459558395,8.038210441237526e-10,8.639390294261841e-10,5.130611838450155e-16,1.2246463979386906e+16,6.098992422209903e-10
3,4,Be,CALIBRATION,2s²→2s2p ¹P,lower,0,1,s,0,0.0,0.0,1.0,0.0,1.3552475337469833e-11,8542176.483514832,35.09555891037327,0.0008118871612853456,1.1003080730128038e-14,1.0,3.9046535612570556,0.09534644088706966,0.6111166904951534,1.9499005502640763,1.1313924769482628e-09,8.515271391630416e-11,9.968503235754566e-18,6.303037836857341e+17,6.098992422209903e-10
3,4,Be,CALIBRATION,2s²→2s2p ¹P,lower,1,1,s,1,0.0,0.0,-1.0,0.0,1.3552475337469833e-11,8542176.483514832,35.09555891037327,0.0008118871612853456,1.1003080730128038e-14,1.0,3.9046535612570556,0.09534644088706966,0.6111166904951314,1.9499005502636981,1.1313924769482628e-09,8.515271391630416e-11,9.968503235754566e-18,6.303037836857341e+17,6.098992422209903e-10
3,4,Be,CALIBRATION,2s²→2s2p ¹P,lower,2,2,s,0,0.0,0.0,1.0,0.0,7.212938565833472e-11,3209999.2274860675,93.39331157247177,0.0001146485192435091,8.269527259672077e-15,2.0,2.9345998503834605,1.0654001524522942,36.003203143603,208554.77595042993,1.156391176131026e-09,4.532022961843387e-10,1.4118454992254535e-16,4.450334906069097e+16,6.098992422209903e-10
3,4,Be,CALIBRATION,2s²→2s2p ¹P,lower,3,2,s,1,0.0,0.0,-1.0,0.0,7.212938565833472e-11,3209999.2274860675,93.39331157247177,0.0001146485192435091,8.269527259672077e-15,2.0,2.9345998503834605,1.0654001524522942,-32.270145386900445,208629.74880569152,1.156391176131026e-09,4.532022961843387e-10,1.4118454992254535e-16,4.450334906069097e+16,6.098992422209903e-10
3,4,Be,CALIBRATION,2s²→2s2p ¹P,upper,0,1,s,0,0.0,0.0,1.0,0.0,1.3522119757891204e-11,8561352.672060914,35.01694994744715,0.0008155364365012247,1.1027781361293396e-14,1.0,3.913419052469078,0.08658094741543729,-2.250439611368363,277.329763939488,5.678266308408446e-10,8.49619841847048e-11,9.923897243711196e-18,6.331368768616845e+17,6.098990201763854e-10
3,4,Be,CALIBRATION,2s²→2s2p ¹P,upper,1,1,s,1,0.0,0.0,-1.0,0.0,1.3642533347669011e-11,8485787.292646041,35.32877359061384,0.0008012035722257495,1.0930446452361325e-14,1.0,3.878877899121399,0.12112210089679856,3.4902950812896685,374.66434726007196,5.959804876235358e-10,8.571856508278146e-11,1.01014274959575e-17,6.220096426662529e+17,6.098990201763854e-10
3,4,Be,CALIBRATION,2s²→2s2p ¹P,upper,2,2,s,0,0.0,0.0,1.0,0.0,7.334483324741761e-11,3156804.126355434,94.96707619490913,0.00011088016545485592,8.132487245732483e-15,2.0,2.8859685814154155,1.1140314171586239,1.4304519055273666,0.06448939235125212,8.354736716232092e-11,4.6083917861771114e-10,1.4598282318825882e-16,4.30405795007596e+16,6.098992422209903e-10
3,4,Be,CALIBRATION,2s²→2s2p ¹P,upper,3,2,p,0,0.8660254037844387,0.49999999999999994,0.0,0.0,9.812192468632963e-11,2359669.0849925475,127.0485170597329,6.19527800495718e-05,6.07892601813283e-15,2.0,2.1572231184605983,1.8427768841544596,1.7795273864964452,0.08565249997378253,9.826867130870172e-10,6.165182355013283e-10,2.612731757272124e-16,2.4048336725311884e+16,6.098992422209903e-10
4,5,B,CALIBRATION,2s²2p→2s²3s,lower,0,1,s,0,0.0,0.0,1.0,0.0,1.0791560576574187e-11,10727608.42138555,27.945880034394428,0.001280455291554782,1.3818110844408392e-14,1.0,4.903620816916073,0.09637918304938572,0.5402362929923246,0.8679222918148976,5.912345855435597e-10,6.780537485626939e-11,6.320642233836479e-18,9.940738733073083e+17,6.098990201763854e-10
4,5,B,CALIBRATION,2s²2p→2s²3s,lower,1,1,s,1,0.0,0.0,-1.0,0.0,1.0791560576574187e-11,10727608.42138555,27.945880034394428,0.001280455291554782,1.3818110844408392e-14,1.0,4.903620816916073,0.09637918304938572,0.5402362929923256,0.8679222928396652,5.912345855435597e-10,6.780537485626939e-11,6.320642233836479e-18,9.940738733073083e+17,6.098990201763854e-10
4,5,B,CALIBRATION,2s²2p→2s²3s,lower,2,2,s,0,0.0,0.0,1.0,0.0,5.605305512983664e-11,4130645.005985669,72.57763801187812,0.00018984289124714658,1.064127404908389e-14,2.0,3.776259543229234,1.2237404560154352,3.4494268840849838,8059.744718020846,3.0956138656028926e-10,3.521917324143169e-10,8.526313248995254e-17,7.369170148563331e+16,6.098990201763854e-10
4,5,B,CALIBRATION,2s²2p→2s²3s,lower,3,2,s,1,0.0,0.0,-1.0,0.0,5.605305512983664e-11,4130645.005985669,72.57763801187812,0.00018984289124714658,1.064127404908389e-14,2.0,3.776259543229234,1.2237404560154352,-0.09868108267305617,8071.507545244814,3.0956138656028926e-10,3.521917324143169e-10,8.526313248995254e-17,7.369170148563331e+16,6.098990201763854e-10
4,5,B,CALIBRATION,2s²2p→2s²3s,lower,4,2,p,0,0.8660254037844387,0.49999999999999994,0.0,0.0,7.691103443885088e-11,3010429.828848346,99.58460254650313,0.00010083600037951724,7.755401097865031e-15,2.0,2.7521523524623985,2.2478476501027496,3.5114608722413747,4.979533819859213,8.487366515688781e-10,4.83246281546171e-10,1.6052401451623907e-16,3.914171550041793e+16,6.098992422209903e-10
4,5,B,CALIBRATION,2s²2p→2s²3s,upper,0,1,s,0,0.0,0.0,1.0,0.0,1.0774416672920096e-11,10744677.845262323,27.90148409448946,0.0012845333715988262,1.3840097775876658e-14,1.0,4.911423299908279,0.08857670243474429,0.31240405519016495,0.02721596918144246,1.0676991763904719e-09,6.76976565327223e-11,6.3005757369051695e-18,9.972398665690628e+17,6.098990201763854e-10
4,5,B,CALIBRATION,2s²2p→2s²3s,upper,1,1,s,1,0.0,0.0,-1.0,0.0,1.0789694279730369e-11,10729463.979218746,27.941047062616548,0.0012808982913806782,1.3820500967426506e-14,1.0,4.904468997765004,0.09553100252792705,0.3161396990585521,0.02848090387473772,6.568323340921076e-10,6.779364856736148e-11,6.318456234036195e-18,9.944177935954337e+17,6.098990201763854e-10
4,5,B,CALIBRATION,2s²2p→2s²3s,upper,2,2,s,0,0.0,0.0,1.0,0.0,5.266877144058103e-11,4396063.661813503,68.19565890370363,0.00021502380376687872,1.1325039574882081e-14,2.0,4.018906812740056,0.9810931914180718,-28.648439831584326,17343.736044979854,1.3218509823180355e-09,3.3092765086265853e-10,7.527817527695705e-17,8.346622754952582e+16,6.098992422209903e-10
4,5,B,CALIBRATION,2s²2p→2s²3s,upper,3,2,s,1,0.0,0.0,-1.0,0.0,5.4387753088875394e-11,4257121.485859983,70.42140070368201,0.00020164649700091117,1.096709989012221e-14,2.0,3.8918850722755023,1.10811492768652,33.92074532687126,19673.592205533245,4.671357528330943e-10,3.4172833109853305e-10,8.027215860143591e-17,7.827353115513693e+16,6.098990201763854e-10
4,5,B,CALIBRATION,2s²2p→2s²3s,upper,4,3,s,0,0.0,0.0,1.0,0.0,1.6194297372510633e-10,2144600.0426853076,139.78944886367825,5.117421798392372e-05,8.287305038373424e-15,3.0,2.9409086350429576,2.0590913683579495,2.695278850124513,0.25701388399914493,1.0389131575746222e-09,1.0175177131105578e-09,4.744556993650426e-16,1.3242933567008014e+16,6.098990201763854e-10
5,6,C,CALIBRATION,2p²→2p3s,lower,0,1,s,0,0.0,0.0,1.0,0.0,8.968347871941625e-12,12908468.513285507,23.224479161989745,0.001853992759103502,1.6627252015701074e-14,1.0,5.900498268567212,0.09950173131792715,0.38779285571859573,41.31972703074076,5.806412979868882e-10,5.634979157865893e-11,4.365335168975564e-18,1.4393362855237745e+18,6.098990201763854e-10
5,6,C,CALIBRATION,2p²→2p3s,lower,1,1,s,1,0.0,0.0,-1.0,0.0,8.968347871941625e-12,12908468.513285507,23.224479161989745,0.001853992759103502,1.6627252015701074e-14,1.0,5.900498268567212,0.09950173131792714,0.41007684285247353,41.32678936525729,5.806412979868882e-10,5.634979157865893e-11,4.365335168975564e-18,1.4393362855237745e+18,6.098990201763854e-10
5,6,C,CALIBRATION,2p²→2p3s,lower,2,2,s,0,0.0,0.0,1.0,0.0,4.637383979345336e-11,4992799.243572346,60.04496543415966,0.0002773618987281104,1.2862336256425426e-14,2.0,4.564445931239918,1.4355540659790291,10.615744868635705,157393.39079720608,4.664973854606733e-13,2.913754288277262e-10,5.835913174414904e-17,1.076641327483342e+17,6.098992422209903e-10
5,6,C,CALIBRATION,2p²→2p3s,lower,3,2,s,1,0.0,0.0,-1.0,0.0,4.637383979345336e-11,4992799.243572346,60.04496543415966,0.0002773618987281104,1.2862336256425426e-14,2.0,4.564445931239918,1.4355540659790291,-6.745727367459835,157351.86147728976,4.664973854606733e-13,2.913754288277262e-10,5.835913174414904e-17,1.076641327483342e+17,6.098992422209903e-10
5,6,C,CALIBRATION,2p²→2p3s,lower,4,2,p,0,0.8660254037844387,0.49999999999999994,0.0,0.0,5.810173368296439e-11,3984997.6509424876,75.23027220081207,0.00017669112405378797,1.0266060633916812e-14,2.0,3.6431078892790865,2.356892114949436,3.2386485205536095,1.1906732907846194,1.0750751912862454e-09,3.6506395939846313e-10,9.160957957205376e-17,6.858655324618827e+16,6.098992422209903e-10
5,6,C,CALIBRATION,2p²→2p3s,lower,5,2,p,1,-0.8660254037844385,0.5000000000000002,0.0,0.0,5.81017336829644e-11,3984997.650942487,75.23027220081207,0.00017669112405378792,1.026606063391681e-14,2.0,3.643107889279086,2.356892114949436,2.6632471036116545,0.5158099240669517,1.0750751912862456e-09,3.650639593984632e-10,9.160957957205378e-17,6.858655324618826e+16,6.098992422209903e-10
5,6,C,CALIBRATION,2p²→2p3s,upper,0,1,s,0,0.0,0.0,1.0,0.0,8.957030718380949e-12,12924778.284345934,23.195172203696426,0.0018586807358849993,1.6648260446984847e-14,1.0,5.907953512061336,0.09204648787550722,0.33932083169436633,0.051878891898661676,5.900166170194479e-10,5.627868380568739e-11,4.3543248918900435e-18,1.4429757685013484e+18,6.098990201763854e-10
5,6,C,CALIBRATION,2p²→2p3s,upper,1,1,s,1,0.0,0.0,-1.0,0.0,8.966042896591757e-12,12911787.000835795,23.218510186126373,0.0018549461243635415,1.6631526521910142e-14,1.0,5.902015158818335,0.0979848411244139,0.3438954758453099,0.05489547270671678,5.903975784697724e-10,5.6335308991407224e-11,4.36309156801925e-18,1.4400764249905526e+18,6.098992422209903e-10
5,6,C,CALIBRATION,2p²→2p3s,upper,2,2,s,0,0.0,0.0,1.0,0.0,4.3842666957079784e-11,5281048.9943269845,56.767596422991616,0.0003103122979461455,1.360491873153897e-14,2.0,4.827965519716611,1.172034479198159,1.0278707756248933,5.352355550228493,3.0989049194298627e-10,2.754716008522916e-10,5.216228842947852e-17,1.2045455627726571e+17,6.098990201763854e-10
5,6,C,CALIBRATION,2p²→2p3s,upper,3,2,s,1,0.0,0.0,-1.0,0.0,4.496515765499711e-11,5149215.177199938,58.221000226877756,0.0002950126749575081,1.326529143968677e-14,2.0,4.707442281983779,1.2925577169015294,2.584715217292747,12.17149128418993,2.9272917009416175e-10,2.8252441791289155e-10,5.4867471680708407e-17,1.145156704822026e+17,6.098992422209903e-10
5,6,C,CALIBRATION,2p²→2p3s,upper,4,2,p,0,0.8660254037844387,0.49999999999999994,0.0,0.0,5.5647717806567547e-11,4160732.5757207116,72.052806217201,0.00019261859042631331,1.0718784964342296e-14,2.0,3.803765773413597,2.196234230426765,2.9388927164217318,1.2900533281150193,1.0267125751638608e-09,3.4964492290030103e-10,8.403446184948246e-17,7.476915028543474e+16,6.098992422209903e-10
5,6,C,CALIBRATION,2p²→2p3s,upper,5,3,s,0,0.0,0.0,1.0,0.0,1.412454037048714e-10,2458861.6638395474,121.92327141001898,6.727082997616013e-05,9.501695537544503e-15,3.0,3.3718583211941664,2.628141677954366,3.292031858688583,0.5002061356630294,2.0083765177689092e-10,8.874710452650972e-10,3.609276025229083e-16,1.7408436659484332e+16,6.098992422209903e-10
6,7,N,HOLDOUT,2p³→2p²3s,lower,0,1,s,0,0.0,0.0,1.0,0.0,7.673341141194363e-12,15086991.962295348,19.870923160112117,0.0025325843105602577,1.9433383383765387e-14,1.0,6.8963076339993545,0.10369236582532425,1.1172485792158824,22.25663031745236,5.75818895531132e-10,4.821302431532906e-11,3.1956684563643056e-18,1.9661568128778703e+18,6.098992422209903e-10
