line_index,Z,symbol,transition,level,seat_i,seat_j,static_distance_m,static_radial_projection_m,lane_cosine,swept_mean_inverse_distance_m-1,swept_min_distance_m,swept_max_distance_m,swept_distance_variance_m2
3,4,Be,2s²→2s2p ¹P,upper,1,2,8.698736659508662e-11,8.698736659508662e-11,-1.0,13754506502.594893,5.970229989974859e-11,8.698736659508662e-11,9.245214820823789e-23
3,4,Be,2s²→2s2p ¹P,upper,1,3,9.90657903632329e-11,1.3642533347669011e-11,0.0,10166974373.636745,8.463566944520822e-11,1.1164616024810462e-10,4.6206703335204357e-23
3,4,Be,2s²→2s2p ¹P,upper,2,3,1.2250459855956935e-10,7.334483324741761e-11,0.0,10272922133.962965,6.49020212488753e-11,1.364028766934866e-10,6.235980310700148e-22
4,5,B,2s²2p→2s²3s,lower,0,1,2.1583121153148374e-11,2.1583121153148374e-11,-1.0,156879116582.99542,7.532400655139216e-13,2.1583121153148374e-11,4.404461934500251e-23
4,5,B,2s²2p→2s²3s,lower,0,2,4.526149455326246e-11,-4.526149455326246e-11,1.0,18009093177.19019,4.526149455326246e-11,6.684461570641083e-11,5.782168013531475e-23
4,5,B,2s²2p→2s²3s,lower,0,3,6.684461570641083e-11,6.684461570641083e-11,-1.0,18009093177.190254,4.526149455326245e-11,6.684461570641084e-11,5.782168013531477e-23
4,5,B,2s²2p→2s²3s,lower,0,4,7.766443843955853e-11,1.0791560576574187e-11,0.0,12970301025.632133,6.612903074976379e-11,8.769538920810345e-11,2.890863096809261e-23
4,5,B,2s²2p→2s²3s,lower,1,2,6.684461570641083e-11,6.684461570641083e-11,-1.0,18009093177.190254,4.526149455326245e-11,6.684461570641083e-11,5.782168013531478e-23
4,5,B,2s²2p→2s²3s,lower,1,3,4.526149455326246e-11,-4.526149455326246e-11,1.0,18009093177.19019,4.526149455326245e-11,6.684461570641083e-11,5.782168013531475e-23
4,5,B,2s²2p→2s²3s,lower,1,4,7.766443843955853e-11,1.0791560576574187e-11,0.0,12970301025.632113,6.617483597744413e-11,8.766082979086108e-11,2.89086309680923e-23
4,5,B,2s²2p→2s²3s,lower,2,3,1.1210611025967329e-10,1.1210611025967329e-10,-1.0,514835778506354.3,1.0791560576574186e-17,1.121061102596733e-10,1.1906192003224286e-21
4,5,B,2s²2p→2s²3s,lower,2,4,9.51695970772316e-11,5.605305512983664e-11,0.0,19396852373.042377,2.141662786857863e-11,9.529359294437651e-11,6.269804307896208e-22
4,5,B,2s²2p→2s²3s,lower,3,4,9.51695970772316e-11,5.605305512983664e-11,0.0,15051681799.07414,3.9273187373977165e-11,1.008195425178019e-10,4.557685811778261e-22
4,5,B,2s²2p→2s²3s,upper,0,1,2.1564110952650465e-11,2.1564110952650465e-11,-1.0,92229688660.349,6.663692593814641e-12,2.156411095265047e-11,3.7719067889436844e-23
4,5,B,2s²2p→2s²3s,upper,0,2,4.189435476766093e-11,-4.189435476766093e-11,1.0,19190039939.998524,4.189435476766093e-11,6.344318811350113e-11,5.758535591611672e-23
4,5,B,2s²2p→2s²3s,upper,0,3,6.516216976179549e-11,6.516216976179549e-11,-1.0,18570981292.39327,4.361333641595529e-11,6.51621697617955e-11,5.761408183294159e-23
4,5,B,2s²2p→2s²3s,upper,0,4,1.5116855705218622e-10,-1.5116855705218622e-10,1.0,6181863733.568449,1.5116855705218622e-10,1.726927799752267e-10,5.799581668210842e-23
4,5,B,2s²2p→2s²3s,upper,1,2,6.34584657203114e-11,6.34584657203114e-11,-1.0,19190631454.771065,4.187907716085066e-11,6.34584657203114e-11,5.77474635564297e-23
4,5,B,2s²2p→2s²3s,upper,1,3,4.3598058809145025e-11,-4.3598058809145025e-11,1.0,18571516837.84853,4.359805880914502e-11,6.517744736860578e-11,5.777635388746616e-23
4,5,B,2s²2p→2s²3s,upper,1,4,1.727326680048367e-10,1.727326680048367e-10,-1.0,6181883223.529329,1.5118143613220478e-10,1.727326680048367e-10,5.816026656089516e-23
4,5,B,2s²2p→2s²3s,upper,2,3,1.0705652452945642e-10,1.0705652452945642e-10,-1.0,47610544421.877266,1.7189816482943604e-12,1.0705652452945644e-10,1.0918722562454354e-21
4,5,B,2s²2p→2s²3s,upper,2,4,1.092742022845253e-10,-1.092742022845253e-10,1.0,6348795742.022698,1.092742022845253e-10,2.1461174516568737e-10,1.3589886407389443e-21
4,5,B,2s²2p→2s²3s,upper,3,4,2.1633072681398174e-10,2.1633072681398174e-10,-1.0,6361130993.554434,1.0756769218151867e-10,2.163245257679211e-10,1.4471234441977966e-21
5,6,C,2p²→2p3s,lower,0,1,1.793669574388325e-11,1.793669574388325e-11,-1.0,2477989726371060.0,8.968347871941625e-18,1.7925769193469377e-11,3.0578174160504236e-23
5,6,C,2p²→2p3s,lower,0,2,3.740549192151174e-11,-3.740549192151174e-11,1.0,21769862619.967842,3.740549192151174e-11,5.534218766539499e-11,3.993183459630916e-23
5,6,C,2p²→2p3s,lower,0,3,5.534218766539498e-11,5.534218766539498e-11,-1.0,21769862619.967842,3.740549192151173e-11,5.534218766539499e-11,3.99318345963092e-23
5,6,C,2p²→2p3s,lower,0,4,5.878981817048152e-11,8.968347871941625e-12,0.0,17160439911.880512,4.916565405779451e-11,6.7046430942339e-11,1.993582394635871e-23
5,6,C,2p²→2p3s,lower,0,5,5.878981817048152e-11,8.968347871941625e-12,0.0,17160439911.880527,4.9165654057794517e-11,6.7046430942339e-11,1.9935823946358716e-23
5,6,C,2p²→2p3s,lower,1,2,5.534218766539498e-11,5.534218766539498e-11,-1.0,21769862619.967842,3.740549192151173e-11,5.534218766539499e-11,3.9931834596309177e-23
5,6,C,2p²→2p3s,lower,1,3,3.740549192151174e-11,-3.740549192151174e-11,1.0,21769862619.967842,3.740549192151174e-11,5.534218766539498e-11,3.9931834596309136e-23
5,6,C,2p²→2p3s,lower,1,4,5.878981817048152e-11,8.968347871941625e-12,0.0,17160439911.88052,4.9165654057794517e-11,6.704643094233899e-11,1.9935823946358704e-23
5,6,C,2p²→2p3s,lower,1,5,5.878981817048152e-11,8.968347871941625e-12,0.0,17160439911.88051,4.916565405779453e-11,6.7046430942339e-11,1.9935823946358716e-23
5,6,C,2p²→2p3s,lower,2,3,9.274767958690672e-11,9.274767958690672e-11,-1.0,619499047110896.9,8.968347871941625e-18,9.274767958690672e-11,8.149302135323915e-22
5,6,C,2p²→2p3s,lower,2,4,7.43393870983276e-11,4.637383979345336e-11,0.0,22041898245.73542,2.2327666978710157e-11,7.672891040399018e-11,3.4784033535161196e-22
