hostname,pl_name,sy_pnum,pl_orbper,pl_ratdor,pl_orbeccen
"Kepler-248","Kepler-248 c",2,16.23949400000,32.020000,0.000000
"Kepler-1047","Kepler-1047 b",2,56.18868870000,32.400000,0.000000
"Kepler-55","Kepler-55 b",5,27.94814490000,12.460000,0.000000
"TOI-1266","TOI-1266 c",3,18.80270000000,51.630000,0.071000
"Kepler-1488","Kepler-1488 c",2,6.15826988200,7.170000,0.000000
"K2-154","K2-154 b",2,3.67626000000,14.500000,
"Kepler-79","Kepler-79 e",4,81.06590000000,63.680000,0.012000
"K2-165","K2-165 c",3,4.38274500000,10.510761,
"KOI-1599","KOI-1599.01",2,20.44150000000,32.630000,0.014000
"Kepler-32","Kepler-32 f",5,0.74296000000,2.370000,0.000000
"Kepler-968","Kepler-968 b",3,3.69298372800,16.400000,0.000000
"Kepler-116","Kepler-116 b",2,5.96873400000,12.593000,0.000000
"Kepler-364","Kepler-364 c",2,59.98062700000,66.160000,0.000000
"Kepler-119","Kepler-119 b",2,2.42208200000,7.519700,0.000000
"Kepler-1518","Kepler-1518 b",2,5.11177904000,4.130000,0.000000
"K2-270","K2-270 c",2,4.40002800000,20.940000,
"Kepler-763","Kepler-763 d",3,6.50327035000,19.470000,0.000000
"Kepler-184","Kepler-184 b",3,10.68757600000,25.360000,0.000000
"Kepler-343","Kepler-343 b",2,8.96855000000,13.190000,0.000000
"Kepler-229","Kepler-229 c",3,16.06863800000,36.850000,0.000000
"Kepler-561","Kepler-561 b",2,58.36204950000,75.657000,0.000000
"Kepler-161","Kepler-161 b",2,4.92135500000,20.480000,0.000000
"Kepler-292","Kepler-292 e",5,11.97901000000,24.920000,0.000000
"Kepler-176","Kepler-176 b",4,5.43307400000,17.720000,0.000000
"Kepler-238","Kepler-238 d",5,13.23354900000,9.460000,0.000000
"Kepler-404","Kepler-404 c",2,14.75116600000,41.000000,0.000000
"Kepler-224","Kepler-224 e",4,18.64357700000,82.950000,0.000000
"Kepler-716","Kepler-716 b",2,10.37168453000,23.470000,0.000000
"Kepler-170","Kepler-170 b",2,7.93059200000,9.500000,0.000000
"Kepler-357","Kepler-357 c",3,16.85837000000,32.400000,0.000000
"Kepler-312","Kepler-312 c",2,19.74741200000,44.990000,0.000000
"Kepler-1987","Kepler-1987 b",4,2.34586300200,10.850000,0.000000
"Kepler-28","Kepler-28 c",2,8.99000000000,24.640000,0.017000
"Kepler-173","Kepler-173 c",2,8.00577700000,20.020000,0.000000
"Kepler-127","Kepler-127 c",3,29.39319500000,32.190000,0.030000
"Kepler-381","Kepler-381 d",3,8.25629997300,12.800000,0.000000
"Kepler-1254","Kepler-1254 d",3,5.72717226000,19.640000,0.000000
"Kepler-180","Kepler-180 b",2,13.81712400000,25.400000,0.000000
"Kepler-1921","Kepler-1921 c",2,3.15722086000,6.480000,0.000000
"Kepler-234","Kepler-234 c",2,7.21205000000,14.003000,0.000000
"Kepler-310","Kepler-310 d",3,92.87612500000,44.300000,0.000000
"Kepler-161","Kepler-161 c",2,7.06424000000,39.980000,0.000000
"Kepler-879","Kepler-879 c",2,0.64671600000,3.100000,
"Kepler-784","Kepler-784 c",2,17.15723600000,11.410000,0.000000
"Kepler-149","Kepler-149 c",3,55.32832800000,60.800000,0.000000
"Kepler-920","Kepler-920 c",2,100.82741130000,83.400000,0.000000
"Kepler-348","Kepler-348 b",2,7.05677000000,9.200000,0.000000
"Kepler-129","Kepler-129 c",3,82.20000000000,59.910000,0.200000
"Kepler-880","Kepler-880 b",2,7.71468975000,13.917000,0.000000
"Kepler-313","Kepler-313 c",2,32.27327300000,21.600000,0.000000
"TOI-4342","TOI-4342 c",2,10.68866200000,29.400000,0.000000
"Kepler-215","Kepler-215 e",4,68.16101000000,82.454000,0.000000
"Kepler-417","Kepler-417 b",2,12.33100000000,31.540000,0.000000
"Kepler-193","Kepler-193 b",2,11.38848000000,24.374000,0.000000
"Kepler-549","Kepler-549 c",3,117.04049800000,132.100000,0.000000
"Kepler-327","Kepler-327 c",3,5.21233300000,19.020000,0.000000
"Kepler-1600","Kepler-1600 b",2,386.37054800000,278.500000,0.000000
"Kepler-340","Kepler-340 b",2,14.84438700000,16.560000,0.000000
"Kepler-299","Kepler-299 b",4,2.92712800000,8.902000,0.000000
"Kepler-228","Kepler-228 d",3,11.09428600000,10.900000,0.000000
"Kepler-235","Kepler-235 d",4,20.06054800000,46.760000,0.000000
"Kepler-202","Kepler-202 b",2,4.06942700000,15.491000,0.000000
"Kepler-963","Kepler-963 c",2,0.91978300000,5.200000,
"K2-75","K2-75 b",2,7.81420000000,10.300000,
"Kepler-181","Kepler-181 c",2,4.30214900000,16.820000,0.000000
"Kepler-268","Kepler-268 c",2,83.44639300000,99.761000,0.000000
"K2-268","K2-268 b",5,2.15167600000,7.760000,
"EPIC 206317286","EPIC 206317286 c",2,17.51547200000,34.540000,
"Kepler-953","Kepler-953 c",2,9.10967112000,12.490000,0.000000
"Kepler-92","Kepler-92 c",3,26.72300000000,24.311700,0.040000
"Kepler-164","Kepler-164 c",4,10.94572300000,27.700000,0.000000
"K2-80","K2-80 b",3,19.09180000000,29.258083,
"Kepler-246","Kepler-246 c",2,11.18716100000,24.720000,0.000000
"Kepler-384","Kepler-384 c",2,45.34826900000,73.800000,0.000000
"Kepler-191","Kepler-191 b",3,9.93963200000,9.140000,0.000000
"Kepler-179","Kepler-179 c",2,6.40013000000,11.700000,0.000000
"Kepler-311","Kepler-311 c",3,19.73828600000,14.100000,0.000000
"Kepler-298","Kepler-298 d",3,77.47363300000,95.000000,0.000000
"Kepler-375","Kepler-375 b",2,12.12593400000,17.590000,0.000000
"Kepler-239","Kepler-239 b",2,11.76305100000,31.870000,0.000000
"Kepler-205","Kepler-205 b",2,2.75564000000,6.800000,0.000000
"Kepler-783","Kepler-783 b",2,4.29264638000,9.700000,0.000000
"Kepler-407","Kepler-407 b",2,0.66931240000,3.193300,0.000000
"Kepler-130","Kepler-130 b",3,8.45745800000,16.300000,0.150000
"KOI-7892","KIC 8540376 c",3,75.20000000000,103.900000,
"Kepler-122","Kepler-122 f",5,56.26800000000,53.860000,0.000000
"Kepler-123","Kepler-123 b",2,17.23236600000,29.070000,0.000000
"Kepler-332","Kepler-332 d",3,34.21154000000,53.580000,0.000000
"Kepler-224","Kepler-224 d",4,11.34939300000,28.710000,0.000000
"Kepler-57","Kepler-57 c",2,11.60000000000,8.180000,0.072500
"Kepler-1038","Kepler-1038 c",2,7.12765979800,22.380000,0.000000
"XO-2 N","XO-2 N b",4,2.61585906000,7.986000,0.000000
"Kepler-229","Kepler-229 b",3,6.25297200000,18.940000,0.000000
"Kepler-1802","Kepler-1802 c",2,33.13610077000,59.300000,0.000000
"Kepler-338","Kepler-338 b",4,13.72697600000,14.474700,0.040000
"Kepler-1471","Kepler-1471 b",2,3.63899398000,11.890000,0.000000
"EPIC 206042996","EPIC 206042996 b",2,5.29860000000,16.000000,
"Kepler-301","Kepler-301 c",3,5.41902600000,18.428000,0.000000
"Kepler-619","Kepler-619 b",3,5.40427219700,16.907000,0.000000
"Kepler-81","Kepler-81 b",3,5.95500000000,19.882000,0.000000
"Kepler-322","Kepler-322 c",2,4.33723400000,13.488000,0.000000
"Kepler-317","Kepler-317 b",2,5.52424200000,15.160000,0.000000
"Kepler-65","Kepler-65 c",4,5.85994400000,10.309000,0.020000
"Kepler-416","Kepler-416 d",3,3.07644709000,6.540000,0.000000
"EPIC 201595106","EPIC 201595106 b",2,0.87724000000,5.800000,0.000000
"Kepler-1154","Kepler-1154 c",2,8.45808312000,21.110000,0.000000
"Kepler-374","Kepler-374 d",3,5.02821900000,10.550000,0.000000
"Kepler-186","Kepler-186 b",5,3.88679070000,16.715000,0.000000
"Kepler-150","Kepler-150 e",5,30.82655700000,16.690000,0.000000
"K2-183","K2-183 d",3,22.62034400000,49.000000,
"Kepler-301","Kepler-301 b",3,2.50855300000,8.366000,0.000000
"Kepler-282","Kepler-282 e",4,44.34700000000,54.150000,0.000000
"Kepler-589","Kepler-589 c",2,3.52466011000,13.180000,0.000000
"Kepler-372","Kepler-372 b",3,6.84969200000,3.770000,0.000000
"EPIC 212624936","EPIC 212624936 c",2,11.81143700000,41.000000,
"Kepler-244","Kepler-244 b",3,4.31179200000,12.250000,0.000000
"Kepler-238","Kepler-238 f",5,50.44700000000,23.090000,0.000000
"K2-195","K2-195 c",2,28.48278600000,27.673288,
"K2-187","K2-187 b",4,0.77401000000,3.900000,
"Kepler-156","Kepler-156 b",2,4.97345600000,12.890000,0.000000
"Kepler-80","Kepler-80 f",6,0.98678730000,5.570000,0.186000
"Kepler-220","Kepler-220 e",4,45.90273300000,69.576000,0.000000
"Kepler-50","Kepler-50 c",2,9.37647000000,11.904800,0.000000
"K2-343","K2-343 c",2,7.67697200000,26.110000,
"TOI-1346","TOI-1346 b",2,1.76225380000,7.420000,
"Kepler-363","Kepler-363 d",3,11.93212500000,14.769000,0.000000
"Kepler-27","Kepler-27 b",3,15.33480000000,34.230000,0.000000
"Kepler-228","Kepler-228 b",3,2.56654600000,4.120000,0.000000
"Kepler-384","Kepler-384 b",2,22.59705300000,28.190000,0.000000
"Kepler-221","Kepler-221 d",4,10.04156000000,30.730000,0.000000
"Kepler-296","Kepler-296 f",5,63.33627000000,115.100000,0.330000
"Kepler-230","Kepler-230 c",2,91.77324200000,52.900000,0.000000
"Kepler-220","Kepler-220 b",4,4.15980700000,19.910000,0.000000
"Kepler-444","Kepler-444 b",5,3.60010530000,11.951000,0.160000
"Kepler-402","Kepler-402 d",4,8.92109900000,16.900000,0.000000
"Kepler-414","Kepler-414 b",2,4.70000000000,14.190000,0.000000
"Kepler-24","Kepler-24 d",4,4.24438400000,10.896600,0.000000
"HAT-P-2","HAT-P-2 b",2,5.63351580000,10.280000,0.517200
"Kepler-1321","Kepler-1321 b",3,11.12830484000,23.200000,0.000000
"Kepler-219","Kepler-219 c",3,22.71461300000,29.400000,0.000000
"Kepler-112","Kepler-112 c",2,28.57426300000,45.220000,0.000000
"Kepler-165","Kepler-165 b",2,8.18084800000,11.460000,0.000000
"Kepler-350","Kepler-350 c",3,17.84900000000,25.190000,0.000000
"Kepler-196","Kepler-196 c",3,47.42773700000,71.800000,0.000000
"55 Cnc","55 Cnc e",7,0.73654740000,3.520000,0.050000
"HAT-P-13","HAT-P-13 b",2,2.91625000000,5.892800,0.013300
"HAT-P-17","HAT-P-17 b",2,10.33852000000,22.720000,0.350000
"WASP-47","WASP-47 b",4,4.15915100000,9.700000,0.000600
"WASP-94 A","WASP-94 A b",2,3.95019000000,8.440000,0.000000
