2,3,He,stable,2.573,1/2+,0.000134,,0
3,6,Li,stable,5.332,,7.59,100,1
3,7,Li,stable,5.606,,92.41,,1
4,9,Be,stable,6.463,,100,,0
5,10,B,stable,6.475,3+,19.9000,100,1
5,11,B,stable,6.928,3/2-,80.1000,57,1
6,12,C,stable,7.680,,98.93,100,2
6,13,C,stable,7.470,1/2-,1.0700,57,2
7,14,N,stable,7.476,1+,99.6320,100,3
7,15,N,stable,7.699,1/2-,0.3680,57,3
8,16,O,stable,7.976,,99.757,100,2
8,17,O,stable,7.751,5/2+,0.0380,57,2
8,18,O,stable,7.767,0+,0.2050,74,2
9,19,F,stable,7.779,1/2+,100.0000,57,1
10,20,Ne,stable,8.032,,90.48,100,0
10,21,Ne,stable,7.972,3/2+,0.2700,57,0
10,22,Ne,stable,8.080,0+,9.2500,74,0
11,23,Na,stable,8.111,3/2+,100.0000,57,1
12,24,Mg,stable,8.261,0+,78.9900,100,0
12,25,Mg,stable,8.224,5/2+,10.0000,57,0
12,26,Mg,stable,8.334,0+,11.0100,74,0
13,27,Al,stable,8.332,5/2+,100.0000,57,1
14,28,Si,stable,8.448,0+,92.2230,100,2
14,29,Si,stable,8.449,1/2+,4.6850,57,2
14,30,Si,stable,8.521,0+,3.0920,74,2
15,31,P,stable,8.481,1/2+,100.0000,57,3
16,32,S,stable,8.493,0+,94.9900,100,2
16,33,S,stable,8.498,3/2+,0.7500,57,2
16,34,S,stable,8.584,0+,4.2500,74,2
16,36,S,stable,8.575,0+,0.0100,70,2
17,35,Cl,stable,8.520,3/2+,75.7600,57,1
17,37,Cl,stable,8.570,3/2+,24.2400,53,1
18,36,Ar,stable,8.520,0+,0.3336,100,0
18,38,Ar,stable,8.614,0+,0.0629,74,0
18,40,Ar,stable,8.595,0+,99.6035,70,0
19,39,K,stable,8.557,3/2+,93.2581,57,1
19,40,K,1.25e9,8.538,4-,0.0117,74,1
19,41,K,stable,8.576,3/2+,6.7302,53,1
20,40,Ca,stable,8.551,0+,96.9410,100,0
20,42,Ca,stable,8.617,0+,0.6470,74,0
20,43,Ca,stable,8.601,7/2-,0.1350,53,0
20,44,Ca,stable,8.658,0+,2.0860,70,0
20,46,Ca,stable,8.669,0+,0.0040,66,0
20,48,Ca,4.3e19,8.666,0+,0.1870,62,0
21,45,Sc,stable,8.619,7/2-,100.0000,53,1
22,46,Ti,stable,8.656,0+,8.2500,74,2
22,47,Ti,stable,8.661,5/2-,7.4400,53,2
22,48,Ti,stable,8.723,0+,73.7200,70,2
22,49,Ti,stable,8.711,7/2-,5.4100,49,2
22,50,Ti,stable,8.756,0+,5.1800,66,2
23,50,V,1.4e17,8.696,6+,0.2500,70,3
23,51,V,stable,8.742,7/2-,99.7500,49,3
24,50,Cr,stable,8.701,0+,4.3450,74,6
24,52,Cr,stable,8.776,0+,83.7890,70,6
24,53,Cr,stable,8.760,3/2-,9.5010,49,6
24,54,Cr,stable,8.778,0+,2.3650,66,6
25,55,Mn,stable,8.765,5/2-,100.0000,49,5
26,54,Fe,stable,8.736,0+,5.8450,74,4
26,56,Fe,stable,8.790,0+,91.7540,70,4
26,57,Fe,stable,8.770,1/2-,2.1190,49,4
26,58,Fe,stable,8.792,0+,0.2820,66,4
27,59,Co,stable,8.768,7/2-,100.0000,49,3
28,58,Ni,stable,8.732,0+,68.0770,74,2
28,60,Ni,stable,8.781,0+,26.2230,70,2
28,61,Ni,stable,8.765,3/2-,1.1400,49,2
28,62,Ni,stable,8.795,0+,3.6340,66,2
28,64,Ni,stable,8.777,0+,0.9260,62,2
29,63,Cu,stable,8.752,3/2-,69.1500,49,1
29,65,Cu,stable,8.757,3/2-,30.8500,45,1
30,64,Zn,stable,8.736,0+,49.1700,70,0
30,66,Zn,stable,8.760,0+,27.7300,66,0
30,67,Zn,stable,8.734,5/2-,4.0400,45,0
30,68,Zn,stable,8.756,0+,18.4500,62,0
30,70,Zn,stable,8.730,0+,0.6100,58,0
31,69,Ga,stable,8.725,3/2-,60.1080,45,1
31,71,Ga,stable,8.718,3/2-,39.8920,41,1
32,70,Ge,stable,8.722,0+,20.5700,66,2
32,72,Ge,stable,8.732,0+,27.4500,62,2
32,73,Ge,stable,8.705,9/2+,7.7500,41,2
32,74,Ge,stable,8.725,0+,36.5000,58,2
32,76,Ge,1.9e21,8.705,0+,7.7300,54,2
33,75,As,stable,8.701,3/2-,100.0000,41,3
34,74,Se,stable,8.688,0+,0.8900,66,2
34,76,Se,stable,8.711,0+,9.3700,62,2
34,77,Se,stable,8.695,1/2-,7.6300,41,2
34,78,Se,stable,8.718,0+,23.7700,58,2
34,80,Se,stable,8.711,0+,49.6100,54,2
34,82,Se,1.0e20,8.693,0+,8.7300,50,2
35,79,Br,stable,8.688,3/2-,50.6900,41,1
35,81,Br,stable,8.696,3/2-,49.3100,37,1
36,78,Kr,stable,8.661,0+,0.3550,66,0
36,80,Kr,stable,8.693,0+,2.2860,62,0
36,82,Kr,stable,8.711,0+,11.5930,58,0
36,83,Kr,stable,8.690,9/2+,11.5000,37,0
36,84,Kr,stable,8.717,0+,56.9870,54,0
36,86,Kr,stable,8.712,0+,17.2790,50,0
37,85,Rb,stable,8.697,5/2-,72.1700,37,1
37,87,Rb,4.9e10,8.711,3/2-,27.8300,33,1
38,84,Sr,stable,8.677,0+,0.5600,62,0
38,86,Sr,stable,8.708,0+,9.8600,58,0
38,87,Sr,stable,8.705,9/2+,7.0000,37,0
38,88,Sr,stable,8.733,0+,82.5800,54,0
39,89,Y,stable,8.714,1/2-,100.0000,37,1
40,90,Zr,stable,8.710,0+,51.4500,58,2
40,91,Zr,stable,8.693,5/2+,11.2200,37,2
40,92,Zr,stable,8.693,0+,17.1500,54,2
40,94,Zr,stable,8.667,0+,17.3800,50,2
40,96,Zr,2.0e19,8.635,0+,2.8000,46,2
41,93,Nb,stable,8.664,9/2+,100.0000,37,5
42,100,Mo,7.1e18,8.605,0+,9.8200,46,6
42,92,Mo,stable,8.658,0+,14.5300,62,6
42,94,Mo,stable,8.662,0+,9.1500,58,6
42,95,Mo,stable,8.649,5/2+,15.8400,37,6
42,96,Mo,stable,8.654,0+,16.6700,54,6
42,97,Mo,stable,8.635,5/2+,9.6000,33,6
42,98,Mo,stable,8.635,0+,24.3900,50,6
44,100,Ru,stable,8.619,0+,12.6000,54,4
44,101,Ru,stable,8.601,5/2+,17.0600,33,4
44,102,Ru,stable,8.609,0+,31.5500,50,4
44,104,Ru,stable,8.587,0+,18.6200,46,4
44,96,Ru,stable,8.609,0+,5.5400,62,4
44,98,Ru,stable,8.610,0+,1.8700,58,4
44,99,Ru,stable,8.608,5/2+,12.7600,37,4
45,103,Rh,stable,8.584,1/2-,100.0000,33,3
46,102,Pd,stable,8.581,0+,1.0200,58,0
46,104,Pd,stable,8.585,0+,11.1400,54,0
46,105,Pd,stable,8.571,5/2+,22.3300,33,0
46,106,Pd,stable,8.580,0+,27.3300,50,0
46,108,Pd,stable,8.567,0+,26.4600,46,0
46,110,Pd,stable,8.547,0+,11.7200,42,0
47,107,Ag,stable,8.554,1/2-,51.8390,33,1
47,109,Ag,stable,8.548,1/2-,48.1610,29,1
48,106,Cd,stable,8.539,0+,1.2500,58,0
48,108,Cd,stable,8.550,0+,0.8900,54,0
48,110,Cd,stable,8.551,0+,12.4900,50,0
48,111,Cd,stable,8.537,1/2+,12.8000,29,0
48,112,Cd,stable,8.545,0+,24.1300,46,0
48,113,Cd,7.7e15,8.527,1/2+,12.2200,25,0
48,114,Cd,stable,8.532,0+,28.7300,42,0
48,116,Cd,2.9e19,8.521,0+,7.4900,38,0
49,113,In,stable,8.523,9/2+,4.2900,29,1
49,115,In,4.4e14,8.517,9/2+,95.7100,25,1
50,112,Sn,stable,8.514,0+,0.9700,54,2
50,114,Sn,stable,8.523,0+,0.6600,50,2
50,115,Sn,stable,8.514,1/2+,0.3400,29,2
50,116,Sn,stable,8.523,0+,14.5400,46,2
50,117,Sn,stable,8.510,1/2+,7.6800,25,2
50,118,Sn,stable,8.517,0+,24.2200,42,2
50,119,Sn,stable,8.499,1/2+,8.5900,21,2
50,120,Sn,stable,8.505,0+,32.5800,38,2
50,122,Sn,stable,8.488,0+,4.6300,34,2
50,124,Sn,stable,8.467,0+,5.7900,30,2
51,121,Sb,stable,8.482,5/2+,57.2100,21,3
51,123,Sb,stable,8.475,7/2+,42.7900,17,3
52,120,Te,stable,8.477,0+,0.0900,46,2
52,122,Te,stable,8.478,0+,2.5500,42,2
52,123,Te,stable,8.466,1/2+,0.8900,21,2
52,124,Te,stable,8.473,0+,4.7400,38,2
52,125,Te,stable,8.458,1/2+,7.0700,17,2
52,126,Te,stable,8.463,0+,18.8400,34,2
52,128,Te,2.2e24,8.449,0+,31.7400,30,2
52,130,Te,8.2e20,8.430,0+,34.0800,26,2
53,127,I,stable,8.446,5/2+,100.0000,17,1
54,124,Xe,1.8e22,8.438,0+,0.0952,46,0
