scale,class,type,id,xi,B,sigmaB
C,HSB,T,ESO079-G014@0.410000,0.304462,2.60002,1.81688
C,HSB,T,ESO079-G014@0.980000,0.346232,2.20437,1.03221
C,HSB,T,ESO079-G014@1.780000,0.326405,1.47237,0.532677
C,HSB,T,ESO079-G014@2.690000,0.319818,1.56407,0.235998
C,HSB,T,ESO079-G014@3.360000,0.303525,1.9272,0.238718
C,HSB,T,ESO079-G014@4.390000,0.258871,2.69568,0.282783
C,HSB,T,ESO079-G014@5.650000,0.226361,3.09801,0.343986
C,HSB,T,ESO079-G014@6.340000,0.219712,3.68317,0.507831
C,HSB,T,ESO079-G014@6.890000,0.221975,3.61357,0.276952
C,HSB,T,ESO079-G014@8.340000,0.239137,3.50143,0.190987
C,HSB,T,ESO079-G014@10.040000,0.260184,2.99487,0.12053
C,HSB,T,ESO079-G014@11.650000,0.248824,2.9356,0.0832328
C,HSB,T,ESO079-G014@13.360000,0.223785,3.01617,0.0751457
C,HSB,T,ESO079-G014@15.060000,0.191832,3.19314,0.0804599
C,HSB,T,ESO079-G014@16.670000,0.165261,3.38649,0.0772425
C,HSB,T,ESO116-G012@0.250000,0.176809,2.90982,0.946734
C,HSB,T,ESO116-G012@0.830000,0.215647,2.63218,0.432994
C,HSB,T,ESO116-G012@1.380000,0.28069,2.01616,0.231761
C,HSB,T,ESO116-G012@1.850000,0.30725,2.38832,0.242701
C,HSB,T,ESO116-G012@2.680000,0.218288,3.23743,0.236551
C,HSB,T,ESO116-G012@3.190000,0.209851,3.05215,0.225705
C,HSB,T,ESO116-G012@3.680000,0.202377,3.30294,0.204537
C,HSB,T,ESO116-G012@4.130000,0.19228,3.85775,0.408468
C,HSB,T,ESO116-G012@5.230000,0.15417,4.0262,0.322863
C,HSB,T,ESO116-G012@6.050000,0.124089,4.65994,0.179557
C,HSB,T,ESO116-G012@6.810000,0.102488,4.92092,0.191369
C,HSB,F,ESO116-G012@7.560000,0.0926792,4.99305,0.192393
C,HSB,F,ESO116-G012@8.320000,0.0868556,4.93039,0.188251
C,HSB,F,ESO116-G012@9.090000,0.0798156,5.00048,0.20993
C,HSB,F,ESO116-G012@9.860000,0.0660606,5.67067,0.479981
C,HSB,T,ESO563-G021@0.450000,1.39039,0.168109,0.17398
C,HSB,T,ESO563-G021@1.340000,1.58663,0.470733,0.169561
C,HSB,T,ESO563-G021@2.230000,1.24785,0.581015,0.0892301
C,HSB,T,ESO563-G021@3.120000,1.00834,1.3254,0.0951172
C,HSB,T,ESO563-G021@4.010000,0.914929,1.5956,0.0850987
C,HSB,T,ESO563-G021@4.900000,0.928495,2.461,0.114594
C,HSB,T,ESO563-G021@5.790000,1.00889,2.59745,0.096117
C,HSB,T,ESO563-G021@6.690000,1.04461,2.5498,0.0878954
C,HSB,T,ESO563-G021@7.580000,1.01545,2.74762,0.114006
C,HSB,T,ESO563-G021@8.470000,1.01595,2.74053,0.0573283
C,HSB,T,ESO563-G021@10.230000,0.979926,2.48734,0.167703
C,HSB,T,ESO563-G021@12.060000,0.923489,2.54075,0.0776977
C,HSB,T,ESO563-G021@13.440000,0.846481,2.48728,0.327358
C,HSB,T,ESO563-G021@15.180000,0.772839,2.41202,0.250538
C,HSB,T,ESO563-G021@16.830000,0.706276,2.44241,0.210016
C,HSB,T,ESO563-G021@18.560000,0.614652,2.59375,0.207828
C,HSB,T,ESO563-G021@20.300000,0.553177,2.66832,0.173985
C,HSB,T,ESO563-G021@21.940000,0.515292,2.63379,0.178899
C,HSB,T,ESO563-G021@23.680000,0.477324,2.61783,0.153601
C,HSB,T,ESO563-G021@25.410000,0.420019,2.77244,0.126465
C,HSB,T,ESO563-G021@27.060000,0.371492,2.85135,0.153351
C,HSB,T,ESO563-G021@28.800000,0.323041,3.08089,0.165302
C,HSB,T,ESO563-G021@30.530000,0.283315,3.29262,0.243505
C,HSB,T,ESO563-G021@32.180000,0.256254,3.43151,0.321012
C,HSB,T,ESO563-G021@33.910000,0.233909,3.6369,0.3695
C,HSB,T,ESO563-G021@35.650000,0.211401,4.00084,0.220796
C,HSB,T,ESO563-G021@37.300000,0.193757,4.19818,0.206116
C,HSB,T,ESO563-G021@39.030000,0.175957,4.39048,0.219524
C,HSB,T,ESO563-G021@40.760000,0.160439,4.46782,0.278565
C,HSB,T,ESO563-G021@42.410000,0.148123,4.56285,0.265289
C,dwarf,F,F561-1@1.610000,0.0798153,1.25469,1.07239
C,dwarf,F,F561-1@3.230000,0.0745573,2.01547,0.496422
C,dwarf,F,F561-1@4.840000,0.0615195,2.0473,0.449956
C,dwarf,F,F561-1@6.450000,0.0642286,1.72052,0.349699
C,dwarf,F,F561-1@8.060000,0.0676417,1.37192,0.272206
C,dwarf,F,F561-1@9.660000,0.0633504,1.22223,0.242505
C,LSB,F,F563-1@1.070000,0.0471582,2.85011,1.84935
C,LSB,F,F563-1@1.780000,0.0523749,5.75877,2.87534
C,LSB,F,F563-1@2.490000,0.0491719,8.83174,2.24146
C,LSB,F,F563-1@2.970000,0.0456461,12.8109,3.70315
C,LSB,F,F563-1@3.040000,0.044728,14.4193,6.18476
C,LSB,F,F563-1@3.190000,0.0432518,16.1533,3.31607
C,LSB,F,F563-1@6.950000,0.0319917,10.727,5.91179
C,LSB,F,F563-1@8.580000,0.0324079,10.1288,1.94705
C,LSB,F,F563-1@9.260000,0.0328547,8.49745,4.5888
C,LSB,F,F563-1@9.890000,0.0334707,9.43692,4.36114
C,LSB,F,F563-1@10.080000,0.033843,8.18853,1.84957
C,LSB,F,F563-1@11.840000,0.0332734,8.47749,1.50923
C,LSB,F,F563-1@14.560000,0.0254333,9.97447,1.95927
C,LSB,F,F563-1@15.430000,0.0240018,9.88455,1.66663
C,LSB,F,F563-1@17.930000,0.0228033,8.87332,3.88507
C,LSB,F,F563-1@19.020000,0.0223437,8.76913,1.20819
C,LSB,F,F563-1@20.100000,0.0218637,7.52852,1.51991
C,dwarf,F,F563-V2@0.280000,0.0212919,6.99423,9.2747
C,dwarf,F,F563-V2@0.870000,0.0555637,7.37676,3.34498
C,dwarf,F,F563-V2@1.460000,0.0803224,8.5929,2.54996
C,dwarf,F,F563-V2@2.050000,0.0962294,9.9145,3.45487
C,dwarf,F,F563-V2@2.350000,0.0975983,10.8191,4.12494
C,dwarf,F,F563-V2@4.760000,0.0798877,10.0633,1.53245
C,dwarf,F,F563-V2@7.860000,0.0758845,6.6429,0.994144
C,dwarf,F,F563-V2@8.700000,0.0801926,5.77744,1.63941
C,dwarf,F,F563-V2@10.180000,0.0662947,6.07512,5.34405
C,dwarf,F,F563-V2@10.470000,0.0641063,6.10849,4.17241
C,LSB,F,F568-V1@0.390000,0.0557191,4.10249,14.3351
C,LSB,T,F568-V1@1.180000,0.102957,5.19566,8.32652
C,LSB,F,F568-V1@1.950000,0.0902852,7.98587,3.02793
C,LSB,F,F568-V1@2.740000,0.0738781,10.5592,1.53678
C,LSB,F,F568-V1@3.530000,0.0720257,10.0597,1.33842
C,LSB,F,F568-V1@4.300000,0.0710952,9.63183,2.38869
C,LSB,F,F568-V1@5.090000,0.0651801,10.3522,1.18859
C,LSB,F,F568-V1@5.870000,0.0580593,10.8379,1.19991
C,LSB,F,F568-V1@6.400000,0.0554047,10.6035,4.67303
C,LSB,F,F568-V1@7.440000,0.0529555,9.54312,2.61802
C,LSB,F,F568-V1@8.210000,0.0521222,8.63153,2.01916
C,LSB,F,F568-V1@9.000000,0.0497155,8.10829,3.85692
C,LSB,F,F568-V1@9.720000,0.0495488,7.53293,2.63313
C,LSB,F,F568-V1@11.790000,0.0500194,6.37561,1.41053
C,LSB,F,F568-V1@17.630000,0.0308421,7.54023,1.86589
C,HSB,T,F571-8@0.220000,0.982283,0.209508,0.236542
C,HSB,T,F571-8@0.780000,1.38866,0.382287,0.0815546
C,HSB,T,F571-8@1.330000,1.20067,0.588627,0.0833455
C,HSB,T,F571-8@2.330000,0.831285,0.725885,0.0840388
C,HSB,T,F571-8@3.440000,0.497239,1.25842,0.220776
C,HSB,T,F571-8@3.780000,0.422985,1.39713,0.269481
C,HSB,T,F571-8@4.770000,0.26579,2.56058,0.195092
C,HSB,T,F571-8@5.440000,0.206496,3.28808,0.393395
C,HSB,T,F571-8@6.110000,0.164042,3.9531,0.272628
C,HSB,T,F571-8@7.220000,0.122966,5.09962,0.329008
C,HSB,F,F571-8@9.330000,0.0779511,7.37872,0.437258
C,HSB,F,F571-8@11.100000,0.05843,8.89846,0.508483
C,HSB,F,F571-8@15.550000,0.0314996,12.4654,0.865655
C,dwarf,F,F571-V1@1.950000,0.0521438,2.96538,1.85336
C,dwarf,F,F571-V1@3.880000,0.0653128,3.85507,1.33857
C,dwarf,F,F571-V1@5.830000,0.0497874,5.09944,1.00694
C,dwarf,F,F571-V1@7.780000,0.0450458,4.98156,0.776346
C,dwarf,F,F571-V1@9.720000,0.0418443,4.92746,0.716721
C,dwarf,F,F571-V1@11.660000,0.0346496,5.17936,0.737275
C,dwarf,F,F571-V1@13.590000,0.0256253,5.95187,0.851281
C,HSB,F,F574-1@0.470000,0.0528968,2.77251,1.59465
C,HSB,T,F574-1@1.410000,0.113046,3.10536,0.660458
C,HSB,T,F574-1@2.350000,0.106426,4.33789,0.628888
C,HSB,F,F574-1@3.290000,0.0816041,6.15281,0.722893
C,HSB,F,F574-1@4.220000,0.0707411,6.795,1.02826
C,HSB,F,F574-1@5.170000,0.0655441,6.54686,0.663737
C,HSB,F,F574-1@6.110000,0.0627536,6.1378,0.604168
C,HSB,F,F574-1@7.050000,0.0580613,6.15495,0.585552
C,HSB,F,F574-1@7.990000,0.0558599,5.91658,0.549798
C,HSB,F,F574-1@8.920000,0.0517963,5.91025,0.540086
C,HSB,F,F574-1@9.870000,0.0513606,5.55582,0.49991
C,HSB,F,F574-1@10.790000,0.0516196,5.16054,0.482625
C,HSB,F,F574-1@11.800000,0.0513594,4.81019,0.425424
C,HSB,F,F574-1@12.600000,0.0504946,4.60036,0.47434
C,HSB,F,F579-V1@0.420000,0.0810001,11.0311,5.6237
C,HSB,T,F579-V1@1.470000,0.162201,8.56912,1.91339
C,HSB,T,F579-V1@2.110000,0.163471,7.57521,1.67266
C,HSB,T,F579-V1@2.840000,0.148869,6.63428,1.23713
C,HSB,T,F579-V1@3.900000,0.127919,6.0209,1.08495
C,HSB,T,F579-V1@4.740000,0.130481,5.24894,1.66966
C,HSB,T,F579-V1@5.690000,0.128575,4.5223,0.77647
C,HSB,T,F579-V1@6.320000,0.123975,4.38344,0.93351
C,HSB,T,F579-V1@7.370000,0.117484,4.11488,1.72077
C,HSB,T,F579-V1@8.210000,0.10995,4.0918,1.43944
C,HSB,T,F579-V1@9.160000,0.104661,3.92188,0.631666
C,HSB,F,F579-V1@10.850000,0.0919173,3.83707,0.612586
C,HSB,F,F579-V1@12.210000,0.0783576,3.99973,0.638553
C,HSB,F,F579-V1@15.160000,0.0604488,4.17581,0.820509
C,dwarf,F,F583-1@0.260000,0.0142151,16.9824,30.2427
C,dwarf,F,F583-1@0.440000,0.0218397,3.06421,4.28989
C,dwarf,F,F583-1@0.770000,0.0320945,1.36416,1.81803
C,dwarf,F,F583-1@0.890000,0.0339723,2.9485,3.25351
C,dwarf,F,F583-1@1.220000,0.0346508,3.84663,3.66658
C,dwarf,F,F583-1@1.550000,0.0303664,6.01196,2.01692
C,dwarf,F,F583-1@1.800000,0.0255879,6.66985,0.995315
C,dwarf,F,F583-1@2.210000,0.0225412,9.8877,2.85269
C,dwarf,F,F583-1@2.310000,0.0222549,10.9882,2.13744
C,dwarf,F,F583-1@2.540000,0.021628,10.7578,2.16116
C,dwarf,F,F583-1@3.100000,0.0207929,12.2102,5.9988
C,dwarf,F,F583-1@3.430000,0.022035,12.0871,1.95303
