species,A,Z,n_d,n_t,n_t_minus_n_d,landmark,valid
Ca,40,20,18,0,-18,nt0,True
Ca,42,20,16,2,-14,none,True
Ca,44,20,14,4,-10,none,True
Ca,46,20,12,6,-6,none,True
Ca,48,20,10,8,-2,none,True
Yb,168,70,40,28,-12,none,True
Yb,170,70,38,30,-8,none,True
Yb,172,70,36,32,-4,none,True
Yb,174,70,34,34,0,ntd,True
Yb,176,70,32,36,4,none,True
