pair,Z,A,Ap,line,mu,mup,lam_pred_A,lam_pred_Ap,dlam_pred,dlam_obs,rel_on_shift,tag
H-D,1,1,2,Lyα,0.9994556794247658,0.9997276305767994,121.56844561747029,121.53537593146238,0.03306968600790583,0.03309999999999036,0.0009158305765721602,COMPUTED
He4-He3,2,4,3,2->1,0.99986292542222,0.9998180787932051,30.37973264183031,30.38109531832942,-0.0013626764991130358,,,COMPUTED
