pair,Z,RA_fm,RAp_fm,Theta,Thetap,dTheta,sign_dTheta,sign_dr2,agree,tag
40-42,20,3.1806652549366166,3.2328165773651647,1.4112166710741497e-09,1.457873687457321e-09,4.665701638317126e-11,1,1,1,COMPUTED
42-44,20,3.2328165773651647,3.2833374965940263,1.457873687457321e-09,1.5037956412589442e-09,4.592195380162323e-11,1,1,1,COMPUTED
44-46,20,3.2833374965940263,3.3323497597331273,1.5037956412589442e-09,1.5490267768942674e-09,4.523113563532315e-11,1,-1,0,COMPUTED
46-48,20,3.3323497597331273,3.3799611888597894,1.5490267768942674e-09,1.5936068784459863e-09,4.4580101551718964e-11,1,-1,0,COMPUTED
