corpus,species,Z,A,n_high,n_low,koppa_fm,r_high_a0,r_low_a0,z_high,z_low,dZ,k_low,E_lead_eV,E_LV_eV,dLV_over_E,lam_pred_nm,lam_dz_nm,two_route_rel,lam_obs_nm,dppm,zk2,mu_me,msrc,tag
C-EXC-H,H I,1,1,2,1,2.8179403262,4.0,1.0,1.3312838630167328e-05,5.3251354520669314e-05,3.9938515890501985e-05,137.0359990836958,10.19871544819545,10.198885170271954,1.66415150383621e-05,121.56844561747029,121.56844561747027,1.1689591524364936e-16,121.567,11.891528706768296,1.0,0.9994556794247658,m_p,COMPUTED
C-EXC-H,H I,1,1,3,1,2.8179403262,9.0,1.0,5.916817168963258e-06,5.3251354520669314e-05,4.733453735170606e-05,137.0359990836958,12.087366457120535,12.087545258752277,1.4792439062439548e-05,102.57337598974057,102.57337598974053,4.156299208663088e-16,102.5722,11.464994809255026,1.0,0.9994556794247658,m_p,COMPUTED
C-EXC-H,H I,1,1,4,1,2.8179403262,16.0,1.0,3.328209657541832e-06,5.3251354520669314e-05,4.992314486312748e-05,137.0359990836958,12.748394310244313,12.748574639703996,1.4145268438867544e-05,97.25475649397623,97.25475649397622,1.461198940545617e-16,97.2537,10.863277965116842,1.0,0.9994556794247658,m_p,COMPUTED
C-EXC-H,H I,1,1,5,1,2.8179403262,25.0,1.0,2.1300541808267727e-06,5.3251354520669314e-05,5.112130033984254e-05,137.0359990836958,13.054355773690176,13.05453652067255,1.3845722110425028e-05,94.97534813864867,94.97534813864866,1.4962677151187117e-16,94.9743,11.036023941953355,1.0,0.9994556794247658,m_p,COMPUTED
C-EXC-H,H I,1,1,6,1,2.8179403262,36.0,1.0,1.4792042922408145e-06,5.3251354520669314e-05,5.17721502284285e-05,137.0359990836958,13.220557062475585,13.22073795939291,1.3683002650330734e-05,93.78137233347707,93.78137233347705,1.5153174198250845e-16,93.7803,11.434528115913574,1.0,0.9994556794247658,m_p,COMPUTED
C-EXC-H,H I,1,1,3,2,2.8179403262,9.0,4.0,5.916817168963258e-06,1.3312838630167328e-05,7.39602146120407e-06,274.0719981673916,1.8886510089250834,1.8886600884803229,4.807428792575352e-06,656.4696063343395,656.4696063343395,0.0,656.4614,12.500863477172993,1.0,0.9994556794247658,m_p,COMPUTED
C-EXC-H,H I,1,1,4,2,2.8179403262,16.0,4.0,3.328209657541832e-06,1.3312838630167328e-05,9.984628972625496e-06,274.0719981673916,2.5496788620488626,2.549689469432042,4.160282040715153e-06,486.27378246988116,486.2737824698811,1.1689591524364936e-16,486.2712,5.310760499765193,1.0,0.9994556794247658,m_p,COMPUTED
C-EXC-H,H I,1,1,5,2,2.8179403262,25.0,4.0,2.1300541808267727e-06,1.3312838630167328e-05,1.1182784449340555e-05,274.0719981673916,2.855640325494726,2.855651350400596,3.860747367792631e-06,434.1730200623939,434.17302006239385,1.3092342507288729e-16,434.1692,8.798556861963732,1.0,0.9994556794247658,m_p,COMPUTED
C-EXC-H,H I,1,1,6,2,2.8179403262,36.0,4.0,1.4792042922408145e-06,1.3312838630167328e-05,1.1833634337926514e-05,274.0719981673916,3.0218416142801336,3.0218527891209557,3.6980233408718484e-06,410.2935039589623,410.2935039589621,4.156299208663088e-16,410.2892,10.490061552393275,1.0,0.9994556794247658,m_p,COMPUTED
C-EXC-H,H I,1,1,7,2,2.8179403262,49.0,4.0,1.0867623371565168e-06,1.3312838630167328e-05,1.2226076293010812e-05,274.0719981673916,3.1220557494475867,3.122066988605816,3.599922336881533e-06,397.12358901706955,397.12358901706955,0.0,397.1233,0.7277766617481339,1.0,0.9994556794247658,m_p,COMPUTED
C-EXC-H,H I,1,1,4,3,2.8179403262,16.0,9.0,3.328209657541832e-06,5.916817168963258e-06,2.588607511421426e-06,411.10799725108734,0.6610278531237794,0.6610293809517193,2.3112913209466284e-06,1875.6274466695415,1875.6274466695406,4.84901574344027e-16,1875.62,3.9702442614444338,1.0,0.9994556794247658,m_p,COMPUTED
C-EXC-H,H I,1,1,5,3,2.8179403262,25.0,9.0,2.1300541808267727e-06,5.916817168963258e-06,3.7867629881364853e-06,411.10799725108734,0.9669893165696429,0.9669912619202733,2.011760209784252e-06,1282.167199871757,1282.1671998717563,5.320062987088753e-16,1282.17,-2.1838978006444645,1.0,0.9994556794247658,m_p,COMPUTED
C-EXC-H,H I,1,1,6,3,2.8179403262,36.0,9.0,1.4792042922408145e-06,5.916817168963258e-06,4.437612876722444e-06,411.10799725108734,1.1331906053550502,1.1331927006406326,1.8490142545033962e-06,1094.1160105572326,1094.1160105572324,2.0781496043315441e-16,1094.12,-3.64625705343671,1.0,0.9994556794247658,m_p,COMPUTED
C-EXC-H,H I,1,1,7,3,2.8179403262,49.0,9.0,1.0867623371565168e-06,5.916817168963258e-06,4.830054831806741e-06,411.10799725108734,1.2334047405225037,1.2334069001254933,1.7509280762403204e-06,1005.2190846994574,1005.2190846994571,3.392897313194358e-16,1005.22,-0.9105474847311747,1.0,0.9994556794247658,m_p,COMPUTED
C-EXC-He,He II,2,4,2,1,5.6358806524,2.0,0.5,5.3251354520669314e-05,0.00021300541808267725,0.00015975406356200794,68.5179995418479,40.811484384982556,40.814201272362055,6.657163836213934e-05,30.37973264183031,30.37973264183031,0.0,30.3785,40.576125559513756,1.0,0.99986292542222,2mp+2mn-B_alpha/c^2,COMPUTED
C-EXC-He,He II,2,4,3,1,5.6358806524,4.5,0.5,2.3667268675853032e-05,0.00021300541808267725,0.00018933814940682423,68.5179995418479,48.36916667849785,48.37202890189381,5.917454429161341e-05,25.632899416544323,25.632899416544323,0.0,25.6317,46.79426430256653,1.0,0.99986292542222,2mp+2mn-B_alpha/c^2,COMPUTED
C-EXC-He,He II,2,4,4,1,5.6358806524,8.0,0.5,1.3312838630167328e-05,0.00021300541808267725,0.0001996925794525099,68.5179995418479,51.01435548122819,51.01724215984048,5.658561369744186e-05,24.303786113464245,24.30378611346425,1.4617943320494848e-16,24.3034,15.88722006982093,1.0,0.99986292542222,2mp+2mn-B_alpha/c^2,COMPUTED
C-EXC-Z,Li III,3,7,2,1,8.4538209786,1.3333333333333333,0.3333333333333333,0.00011981554767150597,0.0004792621906860239,0.0003594466430145179,45.67866636123193,91.83128388284558,91.84504086391657,0.00014980712987236475,13.501302953726967,13.501302953726965,1.3156928968177077e-16,13.5006,52.06833229384406,1.0,0.9999222036211067,A*m_p,COMPUTED
C-EXC-Z,Li III,3,7,3,1,8.4538209786,3.0,0.3333333333333333,5.3251354520669314e-05,0.0004792621906860239,0.00042601083616535456,45.67866636123193,108.83707719448365,108.8515700106742,0.00013316065227148832,11.391724367207129,11.391724367207127,1.5593397295617275e-16,11.3921,-32.97309476484245,1.0,0.9999222036211067,A*m_p,COMPUTED
C-EXC-Z,Li III,3,7,4,1,8.4538209786,5.333333333333333,0.3333333333333333,2.9953886917876492e-05,0.0004792621906860239,0.0004493083037681474,45.67866636123193,114.78910485355698,114.8037214836703,0.00012733464671556375,10.801042362981574,10.801042362981573,1.6446161210221343e-16,10.7982,263.2256284913049,1.0,0.9999222036211067,A*m_p,COMPUTED
C-EXC-Z,H I,1,1,2,1,2.8179403262,4.0,1.0,1.3312838630167328e-05,5.3251354520669314e-05,3.9938515890501985e-05,137.0359990836958,10.19871544819545,10.198885170271954,1.66415150383621e-05,121.56844561747029,121.56844561747027,1.1689591524364936e-16,121.567,11.891528706768296,1.0,0.9994556794247658,m_p,COMPUTED
C-EXC-Z,He II,2,4,2,1,5.6358806524,2.0,0.5,5.3251354520669314e-05,0.00021300541808267725,0.00015975406356200794,68.5179995418479,40.811484384982556,40.814201272362055,6.657163836213934e-05,30.37973264183031,30.37973264183031,0.0,30.3785,40.576125559513756,1.0,0.99986292542222,2mp+2mn-B_alpha/c^2,COMPUTED
C-EXC-Z,Li III,3,7,2,1,8.4538209786,1.3333333333333333,0.3333333333333333,0.00011981554767150597,0.0004792621906860239,0.0003594466430145179,45.67866636123193,91.83128388284558,91.84504086391657,0.00014980712987236475,13.501302953726967,13.501302953726965,1.3156928968177077e-16,13.5006,52.06833229384406,1.0,0.9999222036211067,A*m_p,COMPUTED
C-EXC-Z,Z=4 H-like,4,8,2,1,11.2717613048,1.0,0.25,0.00021300541808267725,0.000852021672330709,0.0006390162542480318,34.25899977092395,163.257203394132,163.30069118453525,0.0002663759362474211,7.59440905856266,7.5944090585626585,2.3390323403733654e-16,,nan,1.0,0.9999319275064942,A*m_p,COMPUTED
C-EXC-Z,Z=5 H-like,5,10,2,1,14.089701630999999,0.8,0.2,0.0003328209657541832,0.001331283863016733,0.0009984628972625497,27.40719981673916,255.09285326465073,255.199052812916,0.00041631722294896114,4.8603556252738525,4.8603556252738525,0.0,,nan,1.0,0.999945541263767,A*m_p,COMPUTED
C-EXC-Z,Z=6 H-like,6,12,2,1,16.9076419572,0.6666666666666666,0.16666666666666666,0.0004792621906860239,0.0019170487627440955,0.0014377865720580716,22.839333180615967,367.33704281961764,367.55732801634485,0.0005996814125696278,3.37521632671506,3.37521632671506,0.0,,nan,1.0,0.9999546173078918,A*m_p,COMPUTED
C-EXC-Z,Z=7 H-like,7,14,2,1,19.725582283399998,0.5714285714285714,0.14285714285714285,0.000652329092878199,0.002609316371512796,0.001956987278634597,19.576571297670828,499.98977205903407,500.3980288264232,0.0008165302376243445,2.479734693824124,2.4797346938241245,1.7908738824200996e-16,,nan,1.0,0.9999611002974254,A*m_p,COMPUTED
C-EXC-Z,Z=8 H-like,8,16,2,1,22.5435226096,0.5,0.125,0.000852021672330709,0.003408086689322836,0.002556065016992127,17.129499885461975,653.0510409829012,653.7478051725135,0.0010669368026174307,1.8985376433454995,1.8985376433454997,1.169555977482524e-16,,nan,1.0,0.9999659625947417,A*m_p,COMPUTED
C-EXC-Z,Z=9 H-like,9,18,2,1,25.361462935800002,0.4444444444444444,0.1111111111111111,0.0010783399290435534,0.004313359716174214,0.0032350197871306606,15.226222120410645,826.520849591219,827.6374674050327,0.0013509856579733903,1.5000734524061965,1.5000734524061965,0.0,,nan,1.0,0.9999697444142347,A*m_p,COMPUTED
C-EXC-Z,Z=10 H-like,10,20,2,1,28.179403261999997,0.4,0.1,0.001331283863016733,0.005325135452066932,0.003993851589050199,13.70359990836958,1020.399197883988,1022.1020123995714,0.0016687728872333341,1.2150558202153385,1.2150558202153385,0.0,,nan,1.0,0.9999727698904249,A*m_p,COMPUTED
C-EXC-Z,Z=11 H-like,11,22,2,1,30.997343588199996,0.36363636363636365,0.09090909090909091,0.001610853474250247,0.006443413897000988,0.00483256042275074,12.4578180985178,1234.6860858612079,1237.180653289892,0.0020204062046622643,1.0041758780064312,1.0041758780064314,2.2112122964540008e-16,,nan,1.0,0.9999752452936523,A*m_p,COMPUTED
C-EXC-Z,Z=12 H-like,12,24,2,1,33.8152839144,0.3333333333333333,0.08333333333333333,0.0019170487627440955,0.007668195050976382,0.0057511462882322865,11.419666590307983,1469.3815135228795,1472.916852888807,0.0024060050663434703,0.8437849346283458,0.8437849346283457,1.3157654030812559e-16,,nan,1.0,0.9999773081390371,A*m_p,COMPUTED
C-EXC-Z,Z=13 H-like,13,26,2,1,36.6332242406,0.3076923076923077,0.07692307692307693,0.002249869728498279,0.008999478913993116,0.006749609185494837,10.54123069874583,1724.4854808690025,1729.358360860077,0.0028257007931542736,0.7189634230537111,0.7189634230537109,3.0883991842300327e-16,,nan,1.0,0.999979053630241,A*m_p,COMPUTED
C-EXC-Z,Z=14 H-like,14,28,2,1,39.451164566799996,0.2857142857142857,0.07142857142857142,0.002609316371512796,0.010437265486051185,0.007827949114538388,9.788285648835414,1999.997987899576,2006.5572547141799,0.003279636706781162,0.6199216158382743,0.6199216158382743,0.0,,nan,1.0,0.9999805497704086,A*m_p,COMPUTED
C-EXC-Z,Z=15 H-like,15,30,2,1,42.269104893,0.26666666666666666,0.06666666666666667,0.0029953886917876487,0.011981554767150595,0.008986166075362945,9.135733272246387,2295.919034614602,2304.569984707425,0.0037679682786703277,0.5400199073396876,0.5400199073396876,0.0,,nan,1.0,0.999981846428842,A*m_p,COMPUTED
C-EXC-Z,Z=16 H-like,16,32,2,1,45.0870452192,0.25,0.0625,0.003408086689322836,0.013632346757291344,0.010224260067968508,8.564749942730987,2612.2486210140787,2623.457422732804,0.004290863292474034,0.47462633317447944,0.47462633317447944,0.0,,nan,1.0,0.9999829810077295,A*m_p,COMPUTED
C-EXC-Z,Z=17 H-like,17,34,2,1,47.904985545399995,0.23529411764705882,0.058823529411764705,0.003847410364118358,0.015389641456473433,0.011542231092355075,8.060941122570341,2948.9867470980084,2963.2849152984027,0.004848502020046222,0.42042982578747995,0.42042982578747984,2.640685690045109e-16,,nan,1.0,0.9999839821088862,A*m_p,COMPUTED
C-EXC-Z,Z=18 H-like,18,36,2,1,50.722925871600005,0.2222222222222222,0.05555555555555555,0.004313359716174214,0.017253438864696855,0.012940079148522642,7.6131110602053225,3306.133412866388,3324.122340699567,0.005441077411810383,0.37501268990142494,0.37501268990142494,0.0,,nan,1.0,0.9999848719782637,A*m_p,COMPUTED
C-EXC-Z,Z=19 H-like,19,38,2,1,53.5408661978,0.21052631578947367,0.05263157894736842,0.004805934745490405,0.01922373898196162,0.014417804236471215,7.2124210044050425,3683.68861831922,3706.0441704981836,0.006068795301477964,0.3365762182411914,0.3365762182411914,0.0,,nan,1.0,0.9999856681785229,A*m_p,COMPUTED
C-EXC-Z,Z=20 H-like,20,40,2,1,56.358806523999995,0.2,0.05,0.005325135452066932,0.021300541808267726,0.015975406356200796,6.85179995418479,4081.6523634565037,4109.129535434341,0.006731874626032229,0.30375981929094414,0.30375981929094414,0.0,,nan,1.0,0.9999863847598401,A*m_p,COMPUTED
C-EXC-Z,Z=21 H-like,21,42,2,1,59.176746850200004,0.19047619047619047,0.047619047619047616,0.005870961835903792,0.02348384734361517,0.017612885507711378,6.525523765890276,4500.0246482782395,4533.462295902538,0.007430547660909448,0.27551893183660237,0.2755189318366023,2.014785367423642e-16,,nan,1.0000000000000002,0.9999870330962026,A*m_p,COMPUTED
C-EXC-Z,Z=22 H-like,22,44,2,1,61.99468717639999,0.18181818181818182,0.045454545454545456,0.006443413897000988,0.02577365558800395,0.01933024169100296,6.2289090492589,4938.805472784425,4979.131117138718,0.008165060271458358,0.2510408622417352,0.25104086224173516,2.2112396657482946e-16,,nan,1.0,0.9999876224936253,A*m_p,COMPUTED
