hostname,hd_name,hip_name,sy_pnum
"K2-89",,,1
"nu Oph","HD 163917","HIP 88048",2
"Kepler-1502",,,1
"Kepler-1685",,,1
"Kepler-36",,,2
"HD 4313","HD 4313","HIP 3574",1
"HD 25171","HD 25171","HIP 18387",1
"WASP-50",,,1
"HAT-P-60",,,1
"GJ 3341",,,1
"Kepler-782",,,1
"Kepler-1223",,,1
"K2-100",,,1
"Kepler-1770",,,1
"Kepler-1062",,,1
"HD 118203","HD 118203","HIP 66192",2
"Kepler-373",,,2
"Kepler-678",,,1
"Kepler-1769",,,1
"Kepler-712",,,2
"HATS-17",,,1
"Kepler-279",,,4
"Kepler-718",,,1
"GJ 832","HD 204961","HIP 106440",1
"Kepler-1212",,,1
"TOI-1814",,,1
"HD 12661","HD 12661","HIP 9683",2
"TOI-4633",,,1
"WASP-195",,,1
"Kepler-1017",,,1
"EPIC 211945201",,,1
"KOI-3680",,,1
"Kepler-218",,,3
"Kepler-1445",,,1
"Kepler-941",,,1
"Kepler-1206",,,1
"K2-185",,,2
"Kepler-1909",,,1
"Kepler-1012",,,1
"Qatar-8",,,1
"Kepler-219",,,3
"HD 135872","HD 135872",,1
"HD 30562","HD 30562","HIP 22336",1
"Kepler-1622",,,1
"Kepler-1365",,,2
"Kepler-447",,,1
"Kepler-97",,,2
"Kepler-1992",,,1
"Kepler-1217",,,1
"Kepler-530",,,1
"eps Ind C",,,1
"K2-107",,,1
"K2-218",,,1
"GJ 143","HD 21749","HIP 16069",2
"TOI-1117",,,3
"TIC 142589416",,,1
"GJ 229","HD 42581","HIP 29295",2
"Kepler-1315",,,2
"HD 73344","HD 73344","HIP 42403",3
"Kepler-1325",,,1
"Kepler-129",,,3
"K2-221",,,1
"HATS-46",,,1
"Kepler-536",,,1
"Kepler-1111",,,1
"HATS-53",,,1
"Kepler-1556",,,1
"K2-294",,,1
"Kepler-937",,,2
"Kepler-1013",,,1
"K2-226",,,1
"HAT-P-44",,,2
"TIC 183374187",,,1
"Kepler-1068",,,1
"Kepler-1406",,,1
"Kepler-1849",,,1
"Kepler-1923",,,1
"TOI-4914",,,1
"Kepler-1619",,,1
"HD 7199","HD 7199","HIP 5529",1
"TOI-712",,,3
"Kepler-1146",,,1
"HATS-12",,,1
"K2-407",,,2
"Kepler-1841",,,1
"K2-388",,,1
"Kepler-1599",,,1
"Kepler-1924",,,1
"Kepler-1864",,,1
"Kepler-1451",,,1
"HD 7449","HD 7449","HIP 5806",1
"TOI-1739",,,1
"HD 25015","HD 25015","HIP 18527",1
"HD 149143","HD 149143","HIP 81022",1
"Kepler-539",,,2
"K2-121",,,1
"Kepler-1822",,,1
"TOI-2382",,,1
"USco CTIO 108",,,1
"Kepler-571",,,1
"Kepler-1058",,,1
"HD 290327","HD 290327","HIP 25191",1
"Kepler-833",,,1
"HD 217107","HD 217107","HIP 113421",2
"GJ 685",,"HIP 86087",1
"HD 160691","HD 160691","HIP 86796",4
"Kepler-721",,,1
"PZ Tel","HD 174429","HIP 92680",1
"HD 10975","HD 10975",,1
"TOI-1107",,,1
"Kepler-863",,,1
"Kepler-877",,,1
"Kepler-323",,,2
"Kepler-1216",,,1
"Kepler-1696",,,1
"Kepler-1847",,,1
"K2-48",,,1
"K2-320",,,1
"Kepler-1096",,,1
"GJ 251","HD 265866","HIP 33226",2
"Kepler-855",,,1
"Kepler-1824",,,1
"Kepler-1766",,,1
"TOI-1036",,,1
"TOI-3664",,,1
"TOI-1710",,,1
"WASP-26",,,1
"HD 120084","HD 120084","HIP 66903",1
"TOI-1135",,"HIP 62908",1
"TOI-1518",,,1
"Kepler-581",,,1
"HD 9446","HD 9446","HIP 7245",2
"Kepler-844",,,1
"HD 87646","HD 87646","HIP 49522 A",1
"Kepler-1489",,,2
"TOI-1994",,,1
"Kepler-1516",,,1
"Kepler-1090",,,2
"TOI-2104",,,1
"HD 125136","HD 125136","HIP 70175",1
"TOI-2459",,,1
"TOI-5335",,,1
"TOI-5292 A",,,1
"HIP 57274",,"HIP 57274",3
"Kepler-788",,,1
"OGLE-TR-10",,,1
"Kepler-1521",,,1
"K2-63",,,2
"TOI-2120",,,1
"Kepler-594",,,1
"K2-188",,,2
"HD 28192","HD 28192",,1
"WASP-161",,,1
"WASP-124",,,1
"2MASS J12073346-3932539",,,1
"Kepler-115",,,2
"Kepler-1592",,,1
"HIP 67851","HD 121056","HIP 67851",2
"HD 48265","HD 48265","HIP 31895",2
"TrES-1 B",,,1
"Kepler-1024",,,1
"WASP-188",,,1
"Kepler-728",,,1
"KOI-1599",,,2
"TOI-2094",,,1
"HD 6718","HD 6718","HIP 5301",1
"TOI-260",,"HIP 1532",1
"Kepler-567",,,1
"K2-108",,,1
"TOI-1794",,,1
"K2-207",,,1
"TOI-771",,,2
"K2-393",,,1
"Kepler-1284",,,1
"NGTS-33",,,1
"Kepler-34",,,1
"WASP-45",,,1
"TOI-2374",,,1
"TOI-5634 B",,,1
"K2-378",,,1
"TOI-5027",,,1
"Kepler-1450",,,1
"HD 180617","HD 180617","HIP 94761",1
"HD 181342","HD 181342","HIP 95124",1
"Kepler-1591",,,1
"Kepler-1382",,,1
"K2-36",,,2
"TIC 67686059",,,1
"TOI-6223",,,1
"BEBOP-3",,,1
"HD 212301","HD 212301","HIP 110852",1
"Kepler-1507",,,1
"HD 28109","HD 28109","HIP 20295",3
"HD 175541","HD 175541","HIP 92895",1
"HD 141399","HD 141399","HIP 77301",4
"HIP 71135",,"HIP 71135",1
"KOI-7892",,,3
"TOI-220",,,1
"Kepler-1940",,,1
"WASP-121",,,1
"WASP-85 A",,,1
"TOI-2719",,,1
"TOI-1266",,,3
"TOI-122",,,1
"HD 12648","HD 12648","HIP 10800",1
"WASP-184",,,1
"HATS-55",,,1
"TOI-5795",,,1
"HATS-65 B",,,1
"TOI-2266",,,1
"WASP-156",,,1
"Kepler-1688",,,1
"eps CrB","HD 143107","HIP 78159",1
"HAT-P-59",,,1
"WASP-81",,,1
"Kepler-1969",,,1
"Kepler-329",,,2
"CoRoT-1",,,1
"Kepler-1290",,,1
"K2-39",,,1
"Kepler-1097",,,1
"Kepler-1357",,,1
"Kepler-1236",,,1
"Kepler-1385",,,1
"TOI-1260",,,3
"KELT-2 B",,,1
"Kepler-957",,,1
"K2-27 C",,,1
"Kepler-1618",,,1
"Kepler-466",,,2
"K2-264",,,2
"Kepler-693",,,1
"K2-411",,,1
"TOI-3912",,,1
"HATS-7",,,1
"1RXS J160929.1-210524",,,1
"Kepler-915",,,1
"Kepler-932",,,1
"K2-163",,,1
"HD 102272","HD 102272","HIP 57428",1
"Kepler-1380",,,1
"TOI-1846",,,1
"HD 133131 A","HD 133131 A","HIP 73674 A",3
"GJ 328",,"HIP 43790",2
"V2376 Ori",,,1
"CoRoT-19",,,1
"TOI-4479",,,1
"TOI-139",,,1
"HAT-P-28",,,1
"TOI-3457",,,1
"KIC 10068024",,,1
"HD 75289","HD 75289","HIP 43177",1
"TOI-4527",,"HIP 6069",1
"Kepler-1910",,,1
"Kepler-993",,,1
"TOI-2443",,"HIP 12493",1
"Gaia-4",,,1
"K2-239",,,3
"TOI-4379",,,1
"Kepler-463",,,1
"TIC 294329732",,,1
"Kepler-710",,,1
"CoRoT-18",,,1
"Kepler-1354",,,1
"24 Sex","HD 90043","HIP 50887",2
"K2-318",,,1
"TOI-1259 A",,,1
"WASP-77 B",,,1
"CoRoT-21",,,1
"K2-354",,,1
"TIC 365102760",,,1
"NGTS-17",,,1
"K2-122 B",,,1
"HD 147379","HD 147379","HIP 79755",1
"Kepler-1503",,,1
"K2-118",,,1
"HIP 74890","HD 135760","HIP 74890",1
"HAT-P-56","HD 262389","HIP 32209",1
"HD 148156","HD 148156","HIP 80680",1
"Kepler-1858",,,1
"Kepler-438",,,1
"Kepler-818",,,1
"TOI-251",,,1
"TOI-1753",,,1
"GJ 508.2",,"HIP 65143",1
"K2-223",,,2
"GJ 1252",,,1
"Kepler-1239",,,1
"WASP-53",,,2
"V0391 Peg",,,1
"HIP 19976",,"HIP 19976",1
"WASP-49",,,1
"TOI-1279",,,1
"Kepler-1327",,,1
"TOI-912",,,1
"Kepler-824",,,1
"HATS-39",,,1
"Kepler-636",,,1
"Kepler-437",,,1
"KMT-2019-BLG-1953L",,,1
"Kepler-795 B",,,1
"HD 1237 B","HD 1237 B",,1
"HAT-P-35",,,1
"HD 95872","HD 95872",,1
"TOI-3980",,,1
"TOI-2158",,,1
"OGLE-2016-BLG-1227L",,,1
"HAT-P-67 B",,,1
"OGLE-2008-BLG-092L B",,,1
"TOI-329",,,1
"GJ 414 A","HD 97101","HIP 54646",2
"HD 11755","HD 11755","HIP 9242",1
"PSR B1620-26 B",,,1
"ITG 15 C",,,1
"TOI-393",,,1
"K2-282",,,2
"WASP-64",,,1
"TOI-4336 C",,,2
"TOI-3353",,,1
"Kepler-132",,,4
"NGTS-4",,,1
"K2-184",,,1
"TOI-4529",,,1
"WASP-104 B",,,1
"LHS 3154",,,1
"Kepler-449",,,2
"TOI-1472",,,2
"HD 85628 B","HD 85628 B",,1
"TIC 393818340",,,1
"HD 156846 B","HD 156846 B",,1
"HD 13189","HD 13189","HIP 10085",1
"GJ 900 C",,"HIP 116384 C",1
"WASP-102",,,1
"HD 62509","HD 62509","HIP 37826",1
"HAT-P-8 B",,,1
"TOI-929",,,1
"HAT-P-18",,,1
"KMT-2016-BLG-1337L B",,,1
"NGTS-31",,,1
"WASP-29",,,1
"TOI-2421",,,1
"HD 95544","HD 95544","HIP 54203",1
"K2-196",,,1
"Kepler-1410",,,1
"HD 11964 B","HD 11964 B",,2
"TOI-1235",,,1
"SR 12 B",,,1
"Luhman 16 A",,,1
"gam1 Leo","HD 89484","HIP 50583 A",1
"Kepler-1795",,,1
"K2-414",,,2
"HAT-P-52",,,1
"K2-231",,,1
"HAT-P-33 B",,,1
"TOI-5634 A",,,1
"Kepler-1338",,,1
"TOI-1630",,,1
"HD 87646 B","HD 87646 B",,1
"HD 6860","HD 6860","HIP 5447",1
"OGLE-2016-BLG-1093L",,,1
"TOI-2152 B",,,1
"UZ For Ab",,,2
"GJ 3512",,,2
"HD 65216 B","HD 65216 B",,2
"WASP-149",,,1
"HATS-31",,,1
"WASP-26 B",,,1
"HAT-P-7 C",,,1
"HIP 94235 B",,"HIP 94235 B",1
"OGLE-2023-BLG-0836L B",,,1
"K2-293",,,1
"Kepler-413",,,1
"TOI-871",,,1
"TIC 206466666",,,1
"EPIC 201170410",,,1
"bet Cnc B",,,1
"TWA 7",,,1
"HD 166724","HD 166724","HIP 89354",1
"mu2 Sco","HD 151985",,1
"RR Cae Ab",,,1
"HD 27969","HD 27969","HIP 20753",1
"HD 124330","HD 124330",,1
"HD 12235","HD 12235",,2
"BD+05 4868 B",,,1
"TOI-3288 B",,,1
"TOI-2133",,,1
"Kepler-988",,,1
"Kepler-888",,,1
"NGTS-6",,,1
"K2-386",,,1
"Wolf 327",,,1
"HATS-67",,,1
"HD 75302","HD 75302","HIP 43297",1
"HD 164595 B","HD 164595 B",,1
"HD 25723","HD 25723","HIP 19011",1
"BD-14 3065 A",,,1
"HD 205158","HD 205158",,1
"NGC 2682 Sand 1429",,,1
"CoRoT-32",,,1
"Qatar-4",,,1
"HD 219139","HD 219139",,1
"TOI-1648",,,1
"K2-372",,,1
"TYC 4282-00605-1",,,1
"TOI-4155",,,1
"TOI-4562",,,2
"HD 2567","HD 2567",,1
"TIC 241249530",,,1
"WASP-55 B",,,1
"WASP-64 A",,,1
"WASP-142",,,1
"ZTF J1828+2308",,,1
"LP 789-76",,,1
"LkCa 15",,,2
"GJ 160.2",,"HIP 19165",1
"HS Psc",,,1
"TOI-833",,,1
"alf Cen A","HD 128620","HIP 71683",2
"KELT-19 B",,,1
"bet UMi","HD 131873","HIP 72607",1
"MOA-2009-BLG-319L",,,1
"psi1 Dra C",,,1
"KELT-24 B",,,1
"OGLE-2016-BLG-1190L",,,1
"MOA-2010-BLG-117L",,,1
"OGLE-2017-BLG-1140L",,,1
"MOA-2011-BLG-291L",,,1
"OGLE-2015-BLG-1670L",,,1
"SWEEPS-4",,,1
"OGLE-2003-BLG-235L",,,1
"OGLE-2006-BLG-109L",,,2
"MOA-2008-BLG-379L",,,1
"MOA-bin-1L",,,1
"MOA-2010-BLG-328L",,,1
"KMT-2017-BLG-1057L",,,1
"OGLE-2017-BLG-0364L",,,1
"OGLE-2019-BLG-1053L",,,1
"OGLE-2017-BLG-0406L",,,1
"KMT-2019-BLG-0253L",,,1
"OGLE-2017-BLG-1375L",,,1
"KMT-2023-BLG-0949L",,,1
"OGLE-2018-BLG-0567L",,,1
"KMT-2025-BLG-1616L",,,1
"KMT-2020-BLG-0202L",,,1
"OGLE-2019-BLG-0960L",,,1
"KMT-2021-BLG-0322L",,,1
"OGLE-2018-BLG-0532L",,,1
"KMT-2017-BLG-2509L",,,1
"KMT-2021-BLG-0852L",,,1
"OGLE-2014-BLG-0319L",,,1
"KMT-2021-BLG-1689L",,,1
"MOA-2022-BLG-249L",,,1
"M62H",,,1
"OGLE-2015-BLG-1609L",,,1
"KMT-2018-BLG-1990L",,,1
"KMT-2019-BLG-0335L",,,1
"KMT-2023-BLG-1642L",,,1
"KMT-2023-BLG-1431L",,,1
"OGLE-2014-BLG-0221L",,,1
"KMT-2017-BLG-0673L",,,1
"WASP-20 B",,,1
"HD 181720","HD 181720","HIP 95262",1
"NGTS-18",,,1
"HD 66428","HD 66428","HIP 39417",2
"TOI-2211",,"HIP 101503",1
"Kepler-230",,,2
"Kepler-691",,,1
"Kepler-1175",,,1
"Kepler-616",,,3
"Kepler-809",,,1
"K2-201",,,2
"Kepler-203",,,3
"HD 174205","HD 174205",,1
"K2-260",,,1
"Kepler-402",,,4
"CoRoT-12",,,1
"Kepler-237",,,2
"Gl 49",,"HIP 4872",1
"HD 97658","HD 97658","HIP 54906",1
"HD 181433","HD 181433","HIP 95467",3
"Kepler-10",,,3
"Kepler-930",,,1
"Kepler-783",,,2
"Kepler-1857",,,1
"Kepler-1794",,,1
"WASP-77 A",,,1
"Kepler-676",,,1
"K2-180",,,1
"HD 3765","HD 3765","HIP 3206",1
"Kepler-1185",,,1
"Kepler-874",,,1
"HD 156411","HD 156411","HIP 84787",1
"Kepler-962",,,1
"Kepler-48",,,5
"Kepler-885",,,1
"K2-252",,,1
"GJ 463",,"HIP 60398",1
"TOI-4930",,,1
"Kepler-1401",,,1
"Kepler-1300",,,1
"Kepler-224",,,4
"Kepler-391",,,2
"Kepler-1056",,,1
"HD 219415","HD 219415",,1
"Kepler-1252",,,1
"Kepler-1596",,,1
"Kepler-314",,,2
"XO-2 S",,,4
"Kepler-1219",,,1
"Kepler-856",,,1
"Kepler-1210",,,1
"Kepler-286",,,4
"HD 103774 B","HD 103774 B",,1
"Kepler-1982",,,1
"Kepler-2000",,,2
"Kepler-868",,,1
"Kepler-1269",,,1
"Kepler-464",,,1
"K2-148",,,3
"HD 220842","HD 220842","HIP 115714",1
"HD 210193","HD 210193","HIP 109381",1
"HD 113996","HD 113996","HIP 64022",1
"WASP-141",,,1
"GJ 3138",,"HIP 10037",3
"HD 141937","HD 141937","HIP 77740",1
"Kepler-1142",,,1
"Kepler-481",,,1
"TOI-5789","HD 191785","HIP 99452",4
"Kepler-1656",,,2
"Kepler-1562",,,1
"Kepler-692",,,1
"HD 164604","HD 164604","HIP 88414",2
"Kepler-1848",,,1
"tau Boo","HD 120136","HIP 67275",1
"Kepler-780",,,1
"Qatar-2",,,1
"Kepler-75",,,1
"HD 102843","HD 102843","HIP 57735",1
"Kepler-1932",,,1
"Kepler-1167",,,1
"TOI-6448",,,1
"HD 195019","HD 195019","HIP 100970",1
"Kepler-1413",,,1
"Kepler-913",,,2
"HIP 55846","HD 99491","HIP 55846",2
"Kepler-1789",,,1
"Kepler-158",,,3
"Kepler-535",,,1
"HD 147018","HD 147018","HIP 80250",2
"K2-277",,,1
"HD 89307","HD 89307","HIP 50473",1
"Kepler-583",,,1
"Kepler-1370",,,2
"Kepler-1915",,,1
"TOI-216",,,2
"HD 26161","HD 26161","HIP 19428",1
"TOI-2411",,,1
"Kepler-570",,,1
"HD 32963","HD 32963","HIP 23884",1
"K2-72",,,4
"Kepler-405",,,2
"Kepler-1078",,,1
"K2-202",,,1
"Kepler-805",,,1
"HD 6434","HD 6434","HIP 5054",1
"Kepler-428",,,1
"Kepler-904",,,1
"WASP-71",,,1
"Kepler-17",,,1
"CoRoT-36",,,1
"Kepler-106",,,4
"K2-412",,,1
"Kepler-243",,,2
"Kepler-250",,,3
"K2-346",,,1
"HD 164922","HD 164922","HIP 88348",4
"HIP 12961",,"HIP 12961",1
"TIC 237913194",,,1
"Kepler-290",,,3
"Kepler-1955",,,1
"Kepler-1218",,,1
"Kepler-152",,,2
"Kepler-1412",,,1
"Kepler-1475",,,1
"Kepler-1566",,,1
"HD 40307","HD 40307","HIP 27887",5
"Kepler-1678",,,1
"Kepler-143",,,2
"Kepler-1088",,,1
"DMPP-3 B",,,1
"NGTS-14 A",,,1
"Kepler-1786",,,1
"Kepler-1419",,,1
"TOI-1782",,,2
"HD 142415","HD 142415","HIP 78169",1
"HD 27894","HD 27894","HIP 20277",3
"HD 98649","HD 98649","HIP 55409",1
"HD 111591","HD 111591","HIP 62653",1
"WASP-57",,,1
"K2-30",,,1
