hostname,hd_name,hip_name,sy_pnum
"GJ 581",,"HIP 74995",3
"Kepler-74",,,1
"Kepler-99",,,1
"Kepler-1802",,,2
"GJ 338 B","HD 79211","HIP 120005",1
"K2-205",,,1
"HD 13908","HD 13908","HIP 10743",2
"Kepler-611",,,1
"K2-326",,,1
"Kepler-1156",,,1
"K2-165",,,3
"K2-10",,,1
"Kepler-1267",,,1
"TOI-2194",,,1
"Kepler-541",,,1
"TOI-4030",,,1
"Kepler-1584",,,1
"Kepler-586",,,1
"Kepler-1867",,,1
"51 Eri","HD 29391","HIP 21547",1
"HD 222237","HD 222237","HIP 116745",1
"HD 29985","HD 29985","HIP 21865",1
"HD 97037","HD 97037",,1
"HD 147513","HD 147513","HIP 80337",1
"gam Psc",,,1
"TOI-1246",,,4
"TOI-6420",,,1
"Kepler-1467",,,1
"HD 150706","HD 150706","HIP 80902",1
"TOI-205",,,1
"HD 149806","HD 149806","HIP 81375",1
"TOI-1301",,,1
"Kepler-1875",,,1
"Kepler-482",,,1
"HD 51608","HD 51608","HIP 33229",2
"Kepler-1345",,,1
"HD 72659","HD 72659","HIP 42030",2
"Kepler-1294",,,1
"TOI-1295",,,1
"TOI-1680",,,1
"TOI-1716",,,1
"HD 196885 A","HD 196885 A","HIP 101966",1
"TOI-1269",,,2
"TOI-480",,"HIP 27849",1
"HD 99706","HD 99706","HIP 55994",2
"51 Peg","HD 217014","HIP 113357",1
"K2-178",,,1
"Kepler-171",,,3
"K2-330",,,1
"TOI-1194",,,1
"Kepler-946",,,1
"Kepler-592",,,1
"FU Tau",,,1
"NGTS-8",,,1
"HIP 8541 B",,"HIP 8541 B",2
"HD 14787","HD 14787","HIP 11130",1
"HD 18143","HD 18143","HIP 13642 A",2
"HD 102195","HD 102195","HIP 57370",1
"Ross 128",,"HIP 57548",1
"Kepler-609",,,1
"Kepler-1654",,,1
"HD 21693","HD 21693","HIP 16085",2
"TOI-1774","HD 85426","HIP 48443",2
"Kepler-1233",,,1
"Kepler-498",,,1
"Kepler-1807",,,1
"TOI-2453",,,1
"TOI-5630",,,1
"Kepler-1456",,,1
"TOI-733",,,1
"HATS-2",,,1
"WASP-170",,,1
"Kepler-1333",,,1
"TIC 139270665",,,2
"KELT-16 B",,,1
"K2-278",,,1
"K2-210",,,1
"HD 45652","HD 45652","HIP 30905",1
"HD 135344 A","HD 135344 A",,1
"Kepler-585",,,1
"TOI-7510",,,3
"GJ 720 B",,,1
"WASP-89",,,1
"Kepler-418",,,2
"Kepler-1979",,,1
"KIC 8121913",,,1
"TOI-2529",,,1
"Kepler-1183",,,1
"Kepler-1996",,,2
"K2-283",,,1
"TOI-3523 C",,,1
"AU Mic","HD 197481","HIP 102409",4
"HAT-P-30",,,1
"Kepler-1951",,,1
"HIP 5763",,"HIP 5763",1
"Kepler-1455",,,1
"TOI-2081",,,1
"Kepler-1214",,,1
"Kepler-1861",,,1
"K2-334",,,1
"HD 23596 B","HD 23596 B",,1
"K2-338",,,1
"Wolf 1061",,"HIP 80824",3
"Kepler-1868",,,1
"Kepler-545",,,1
"Kepler-1361",,,1
"L 363-38",,,1
"Kepler-1535",,,1
"TOI-1054",,"HIP 99212",1
"WASP-31",,,1
"Kepler-479",,,1
"WASP-3 C",,,1
"HATS-5",,,1
"Kepler-519 B",,,1
"HATS-4",,,1
"Kepler-1462",,,1
"Kepler-1182",,,1
"WASP-37",,,1
"Kepler-878",,,1
"CoRoT-30",,,1
"TOI-4794",,,1
"EPIC 206042996",,,2
"TOI-1444",,,1
"Kepler-1086 A",,,2
"Kepler-697",,,1
"HATS-64",,,1
"bet Cnc","HD 69267","HIP 40526",1
"TOI-1811",,,1
"Kepler-1104",,,1
"K2-276",,,1
"Kepler-1809",,,1
"K2-391",,,1
"HD 81040","HD 81040","HIP 46076",1
"Kepler-563",,,1
"Kepler-860",,,1
"TOI-3362",,,1
"HD 180053","HD 180053","HIP 94465",1
"Kepler-1152",,,1
"HD 106515 A","HD 106515 A","HIP 59743 A",1
"HD 95338","HD 95338","HIP 53719",1
"TOI-941",,,1
"Kepler-908 C",,,1
"24 Boo","HD 127243","HIP 70791",1
"Kepler-1887",,,1
"Kepler-1834",,,2
"ome Ser","HD 141680","HIP 77578",1
"TOI-5777",,,1
"HD 150010","HD 150010",,1
"K2-331",,,2
"GJ 667 C",,,5
"TOI-2407",,,1
"HD 64121","HD 64121",,1
"TOI-5319",,,1
"TOI-2485",,,1
"TOI-858 B",,,1
"HIP 113103",,"HIP 113103",2
"Kepler-273",,,2
"TIC 52059926",,,1
"Kepler-900",,,1
"WASP-114",,,1
"CI Tau",,,1
"Kepler-1944",,,1
"IC 4651 9122",,,1
"WASP-148",,,2
"HD 8326","HD 8326","HIP 6390",1
"DMPP-1","HD 38677","HIP 27305",4
"TIC 117642575",,,1
"Kepler-564",,,1
"WASP-44",,,1
"HD 62364","HD 62364","HIP 36941",2
"NGTS-26",,,1
"HD 154857","HD 154857","HIP 84069",2
"Kepler-1048",,,1
"TOI-178",,,6
"EPIC 212424622",,,1
"K2-357",,,1
"TOI-2981",,,1
"TOI-4641",,"HIP 13224",1
"HATS-24",,,1
"WASP-6",,,1
"Kepler-1339",,,1
"TOI-4600",,,2
"LSPM J2116+0234",,,1
"psi1 Dra B","HD 162004","HIP 86620",1
"OGLE-TR-113",,,1
"HD 43691 C","HD 43691 C",,1
"WASP-147",,,1
"TOI-6086",,,1
"HIP 111909",,"HIP 111909",2
"TOI-5181 B",,,1
"Kepler-400",,,2
"DS Tuc A","HD 222259 A","HIP 116748 A",1
"OGLE-2014-BLG-0676L",,,1
"Kepler-530 B",,,1
"K2-57",,,1
"HD 233832","HD 233832","HIP 55806",1
"Kepler-694",,,1
"BD+20 274",,,1
"Kepler-515",,,1
"K2-150",,,1
"Kepler-1006",,,1
"HD 190228","HD 190228","HIP 98714",1
"Kepler-1796",,,1
"WASP-159",,,1
"Kepler-1341 B",,,1
"Kepler-650",,,1
"TOI-1466",,,1
"TOI-762 B",,,1
"WASP-165",,,1
"TOI-4640",,,1
"omi UMa B",,,1
"LP 890-9",,,2
"Ross 458 B",,,1
"TOI-3884",,,1
"WASP-189","HD 133112","HIP 73608",1
"HD 132563","HD 132563","HIP 73261 A",1
"TOI-1807",,"HIP 65469",1
"TAP 26",,,1
"TOI-6383 B",,,1
"Kepler-1988",,,1
"HD 212301 B","HD 212301 B",,1
"WASP-177",,,1
"HD 137388","HD 137388","HIP 76351",1
"Kepler-1697",,,1
"HAT-P-57 C",,,1
"HIP 94235",,"HIP 94235",1
"Kepler-1651 B",,,1
"WD 1620-391","HD 147513 B",,1
"PH1 Ba",,,1
"HD 332231","HD 332231",,1
"WASP-85 B",,,1
"Kepler-1076",,,1
"Kepler-632",,,1
"WASP-68 B",,,1
"KMT-2023-BLG-0469L",,,1
"Kepler-1248",,,1
"TOI-1105",,,1
"K2-131",,,1
"TOI-4463 B",,,1
"K2-159",,,1
"HD 18599 B","HD 18599 B",,1
"Kepler-16 B",,,1
"NSVS 14256825 Ab",,,1
"Kepler-108 A",,,2
"HAT-P-39 B",,,1
"HD 202206 B","HD 202206 B",,1
"Kepler-35 B",,,1
"Kepler-1647 B",,,1
"TOI-6692",,,1
"HD 20781","HD 20781","HIP 15526",5
"ADS 16402 A",,,1
"TOI-2169 A",,,1
"K2-394",,,1
"CFBDSIR J145829+101343",,,1
"HD 8673 B","HD 8673 B",,1
"HATS-15",,,1
"TOI-286",,,2
"TOI-5938",,,1
"Kepler-1646",,,1
"K2-157",,,3
"K2-373",,,1
"K2-316",,,2
"TIC 34085383",,,1
"TOI-682",,,1
"HD 100546","HD 100546","HIP 56379",1
"TOI-4513",,,1
"BD+15 2375",,,1
"TOI-3593",,,1
"WASP-98",,,1
"Kepler-104 B",,,3
"HATS-57",,,1
"Ross 176",,,1
"WASP-24 Ba",,,1
"TIC 349520724",,,1
"HD 114729 B","HD 114729 B",,1
"TOI-2257",,,1
"HD 5388","HD 5388","HIP 4311",1
"b Cen A",,,1
"HD 213240 C","HD 213240 C",,1
"TOI-1742",,,1
"HD 143105","HD 143105","HIP 77838",1
"2MASS J22501512+2325342",,,1
"HD 128717","HD 128717","HIP 71425",1
"TOI-3331 B",,,1
"TIC 437041147",,,1
"TOI-4582",,,1
"WASP-173 B",,,1
"WASP-1 B",,,1
"TOI-6029",,,1
"TIC 160113658",,,1
"HD 87816","HD 87816","HIP 49477",2
"2MASS J04372171+2651014",,,1
"CoRoT-31",,,1
"G 264-012",,,2
"TOI-159",,,1
"KMT-2023-BLG-0332L",,,1
"TOI-1232",,,2
"HD 224018","HD 224018",,3
"2MASS J0249-0557 A",,,1
"alf Cen B","HD 128621","HIP 71681",2
"HD 41004 A","HD 41004 A","HIP 28393 A",2
"Kepler-1319 B",,,1
"HIP 94076","HD 178911 A","HIP 94076",1
"Kepler-1063",,,1
"HD 196050 Bb","HD 196050 Bb",,1
"MOA-2013-BLG-605L",,,1
"MOA-2012-BLG-006L",,,1
"OGLE-2017-BLG-1522L",,,1
"OGLE-2013-BLG-1761L",,,1
"MOA-2015-BLG-337L",,,1
"OGLE-2018-BLG-0740L",,,1
"OGLE-2018-BLG-1011L",,,2
"OGLE-2016-BLG-1067L",,,1
"PSR J1719-1438",,,1
"OGLE-2011-BLG-0251L",,,1
"MOA-2011-BLG-322L",,,1
"KMT-2016-BLG-1836L",,,1
"KMT-2018-BLG-0029L",,,1
"OGLE-2018-BLG-0516L",,,1
"KMT-2016-BLG-2397L",,,1
"KMT-2019-BLG-0953L",,,1
"KMT-2021-BLG-1253L",,,1
"KMT-2022-BLG-1551L",,,1
"KMT-2016-BLG-1337L",,,1
"KMT-2021-BLG-2478L",,,1
"KMT-2021-BLG-1105L",,,1
"KMT-2024-BLG-1005L",,,1
"MOA-bin-29",,,1
"KMT-2017-BLG-1194L",,,1
"MOA-2016-BLG-526L",,,1
"KMT-2016-BLG-2321L",,,1
"KMT-2019-BLG-0578L",,,1
"WASP-193 B",,,1
"Kepler-154",,,5
"HD 85390","HD 85390","HIP 48235",1
"55 Cnc","HD 75732","HIP 43587",7
"Kepler-1604",,,1
"Kepler-1513",,,2
"GJ 740","HD 176029","HIP 93101",1
"Kepler-1242",,,1
"TIC 154870955",,,1
"Kepler-974",,,2
"TOI-2589",,,1
"Kepler-1293",,,1
"Kepler-1838",,,1
"TOI-2048",,,1
"TOI-1752",,,2
"CoRoT-9",,,1
"Kepler-1081",,,1
"Kepler-791",,,1
"Kepler-832",,,1
"Kepler-325",,,3
"Kepler-598",,,2
"TOI-1442",,,1
"Kepler-332",,,3
"Kepler-398",,,3
"Kepler-222",,,3
"Kepler-945",,,1
"Kepler-40",,,1
"Kepler-340",,,2
"Kepler-1733",,,1
"HD 96167","HD 96167","HIP 54195",1
"EPIC 229004835",,,1
"Kepler-1201",,,1
"Kepler-1845",,,1
"Kepler-607",,,2
"TOI-2803 A",,,1
"Kepler-231",,,2
"BD+55 362",,,1
"HD 205739","HD 205739","HIP 106824",1
"Kepler-431",,,3
"HD 63765","HD 63765","HIP 38041",1
"HD 89839","HD 89839","HIP 50653",1
"Kepler-1196",,,1
"Kepler-1675",,,1
"Kepler-436",,,2
"Kepler-363",,,3
"Kepler-971",,,1
"Kepler-1735",,,1
"K2-261",,,1
"Kepler-293",,,2
"Kepler-560 A",,,1
"K2-213",,,1
"TOI-4342",,,2
"Kepler-1585",,,1
"Kepler-989",,,1
"WASP-116",,,1
"Kepler-1815",,,1
"Kepler-141",,,2
"Kepler-668",,,1
"Kepler-487",,,3
"Kepler-182",,,2
"TOI-1080",,,1
"Kepler-1608",,,1
"HD 134987","HD 134987","HIP 74500",2
"gam Cep B",,,1
"Kepler-523",,,1
"Kepler-1630",,,1
"LHS 1815",,"HIP 28754",1
"Kepler-333",,,2
"Kepler-719",,,1
"Kepler-1086",,,2
"Kepler-1714",,,1
"Kepler-1680",,,1
"Kepler-1224",,,1
"Kepler-210",,,2
"K2-308",,,1
"Kepler-1517",,,1
"K2-183",,,3
"Kepler-1886",,,1
"Kepler-1961",,,1
"Kepler-212",,,2
"Kepler-1872",,,1
"Kepler-1978",,,1
"Kepler-193",,,2
"HD 87883","HD 87883","HIP 49699",1
"Kepler-146",,,2
"Kepler-1004",,,1
"K2-230",,,1
"WASP-22",,,1
"Kepler-562",,,1
"Kepler-1225",,,1
"WASP-87",,,1
"Kepler-195",,,2
"HD 135625","HD 135625","HIP 74856",1
"HD 24040","HD 24040","HIP 17960",2
"Kepler-1590",,,1
"Kepler-1530",,,3
"TOI-206",,,1
"Kepler-443",,,1
"Kepler-1747",,,1
"Kepler-588",,,1
"Kepler-1720",,,1
"Kepler-1386",,,1
"HATS-70",,,1
"Kepler-180",,,2
"K2-379",,,1
"Kepler-803",,,1
"HD 128311","HD 128311","HIP 71395",2
"TOI-5076",,"HIP 15683",1
"Kepler-1199",,,1
"Kepler-55",,,5
"Kepler-1967",,,1
"Kepler-1814",,,2
"Kepler-1701",,,1
"GJ 687",,"HIP 86162",2
"Kepler-1317",,,1
"Kepler-1550",,,1
"TIC 320419023",,,1
"HD 27631","HD 27631","HIP 20199",1
"Kepler-761",,,1
"TOI-1451",,,1
"Kepler-1836",,,1
"HD 219828","HD 219828","HIP 115100",2
"Kepler-795",,,1
"Kepler-553",,,2
"Kepler-816",,,1
"WASP-140",,,1
"Kepler-1495",,,1
"Kepler-1263",,,1
"Kepler-1388",,,4
"HD 221420","HD 221420","HIP 116250",1
"Kepler-144",,,2
"Kepler-1672",,,1
"OGLE-TR-111",,,1
"Kepler-1165",,,2
"Kepler-739",,,1
"Kepler-764",,,1
"Kepler-1036",,,1
"HD 220773","HD 220773","HIP 115697",1
"HAT-P-3",,,1
"KOI-1783",,,2
"HD 28185","HD 28185","HIP 20723",2
"Kepler-1446",,,1
"Kepler-100",,,4
"HATS-61",,,1
"HATS-74 A",,,1
"TOI-2136",,,1
"Kepler-969",,,2
"Kepler-574",,,1
"TOI-6894",,,1
"HAT-P-14 B",,,1
"GJ 3090",,"HIP 6365",2
"HD 189733","HD 189733","HIP 98505",1
"Kepler-622",,,1
"Kepler-1869",,,2
"Kepler-221",,,4
"TOI-3688 A",,,1
"PH2",,,1
"TOI-181",,,1
"2MASS J05272374-1416122",,,2
"HAT-P-14",,,1
"K2-33",,,1
"Kepler-767",,,1
"KOI-3503",,,2
"Kepler-935",,,1
"HD 208487","HD 208487","HIP 108375",1
"Kepler-579",,,1
"K2-274",,,1
"Kepler-621",,,1
"HD 183263","HD 183263","HIP 95740",2
"HD 21175 B","HD 21175 B",,1
"Kepler-353",,,2
"Kepler-1927",,,1
"Kepler-669",,,1
"CoRoT-24",,,2
"WASP-76",,,1
"TOI-2431",,"HIP 11707",1
"TOI-1338 B",,,2
"GJ 3998",,"HIP 84460",3
"HD 99492","HD 99492","HIP 55848",2
"Kepler-1057",,,1
"Kepler-940",,,1
"Kepler-1075",,,1
"TOI-2260",,,1
"Kepler-759",,,1
"K2-141",,,2
"WASP-76 B",,,1
"HATS-75",,,1
"WASP-15",,,1
"Kepler-162",,,2
"Kepler-338",,,4
"HD 46375","HD 46375","HIP 31246",1
"Kepler-1782",,,1
"Kepler-608",,,1
"EPIC 206215704",,,1
"HD 50499","HD 50499","HIP 32970",2
"Kepler-991",,,1
"HD 107148","HD 107148","HIP 60081",2
"TOI-270",,,3
"Kepler-1960",,,1
"Kepler-740",,,1
"TOI-2977",,,1
"Kepler-217",,,3
"KELT-15",,,1
"TOI-620",,,1
"Kepler-1880",,,1
"Kepler-452",,,1
"Kepler-1863",,,1
"Kepler-301",,,3
"Kepler-1028",,,1
"HD 104985","HD 104985","HIP 58952",1
"Kepler-1660 A",,,1
"Kepler-1855",,,1
"Kepler-772",,,1
"HR 5183","HD 120066","HIP 67246",1
"Kepler-1534",,,1
"Kepler-670",,,1
"Kepler-110",,,2
"K2-58",,,3
"Kepler-751",,,1
"Kepler-811",,,1
"K2-212",,,1
"HAT-P-45",,,1
"Kepler-1922",,,1
"ups Leo",,,1
"Kepler-1568",,,1
"Kepler-655",,,1
"Kepler-526",,,1
"Kepler-315",,,2
"Kepler-1369",,,1
"Kepler-1742",,,1
"81 Cet","HD 16400","HIP 12247",1
"Kepler-1899",,,1
"EPIC 201238110",,,1
"HD 37124","HD 37124","HIP 26381",3
"Kepler-270",,,2
"Kepler-1468",,,3
"Kepler-1546",,,1
"Kepler-1709",,,1
"Kepler-557",,,1
"Kepler-174",,,3
"Kepler-722",,,2
"Kepler-849",,,1
"Kepler-1292",,,1
"HD 96700","HD 96700","HIP 54400",3
"Kepler-796",,,1
"HD 169830","HD 169830","HIP 90485",2
"XO-3",,,1
"eps Ind A","HD 209100","HIP 108870",1
"Kepler-1471",,,2
"Kepler-864",,,2
"HD 22496","HD 22496","HIP 16711",1
"Kepler-664",,,1
"Kepler-1839",,,1
"HAT-P-25",,,1
"HD 108147","HD 108147","HIP 60644",1
"WASP-42",,,1
"WASP-93",,,1
"Kepler-1612",,,1
"Kepler-734",,,1
"K2-49",,,1
"K2-182",,,1
"Kepler-1305",,,1
"Kepler-857",,,1
"GJ 680",,"HIP 86057",1
"Kepler-1155",,,1
"WASP-7","HD 197286",,1
"K2-17",,,1
"K2-69",,,1
"Kepler-1602",,,1
"K2-160",,,1
"Kepler-1661",,,1
"Kepler-831",,,1
"Kepler-1287",,,1
"TOI-559",,,1
"TOI-283",,,1
"Kepler-415",,,2
"TOI-5624",,,5
"Kepler-881",,,1
"Kepler-1935",,,1
"HD 11505","HD 11505",,1
"Kepler-1555",,,1
"Qatar-3",,,1
"Kepler-1901",,,1
"K2-193",,,1
"Kepler-1808",,,1
"Kepler-1946",,,1
"Kepler-1067",,,2
"HD 64114","HD 64114","HIP 38392",1
"Kepler-396",,,2
"Kepler-1403",,,1
"Kepler-1605",,,1
"Kepler-289",,,4
"HD 165131","HD 165131","HIP 88595",1
"GJ 393",,"HIP 51317",1
"Kepler-1245",,,2
"Kepler-1631",,,1
"Kepler-559",,,1
"Kepler-1016",,,2
"K2-233",,,3
"Kepler-1187",,,1
"Kepler-891",,,1
"Kepler-1506",,,1
"HIP 97233","HD 186641","HIP 97233",1
"Kepler-1494",,,1
"Kepler-1441",,,1
"Kepler-1837",,,1
"HD 178911 B","HD 178911 B","HIP 94075",1
"GJ 876",,"HIP 113020",4
"HD 180902","HD 180902","HIP 94951",1
"LHS 1678",,,3
"Kepler-615",,,1
"Kepler-453",,,1
"HD 147873","HD 147873","HIP 80486",2
"TOI-3135",,,1
"Kepler-680",,,1
"HD 103891","HD 103891","HIP 58331",1
"Kepler-1651",,,1
"HD 185283","HD 185283","HIP 96861",1
"TIC 4672985",,,1
"Kepler-641",,,1
"Kepler-1480",,,1
"HIP 114933","HD 219553","HIP 114933",1
"K2-377",,,1
"Kepler-1934",,,1
"TOI-2018",,"HIP 74981",1
"TOI-1467",,,1
"Kepler-1723",,,1
"18 Del","HD 199665","HIP 103527",1
"HD 96127","HD 96127","HIP 54232",1
"HD 132406","HD 132406","HIP 73146",1
"TOI-244",,,1
"HD 133131 B","HD 133131 B","HIP 73674 B",3
"HD 134060","HD 134060","HIP 74273",2
"HD 100655","HD 100655","HIP 56508",1
"Kepler-610",,,2
"TOI-1180",,,1
"TOI-1184",,,1
"TOI-1221",,,1
"TOI-1244",,,1
"Kepler-1310",,,1
"Kepler-1114",,,1
"WASP-8 B",,,2
"alf Tau B",,,1
"HAT-P-35 C",,,1
"K2-266 B",,,4
"TOI-5489",,,2
"K2-266",,,4
"HD 18742","HD 18742","HIP 13993",1
"Kepler-949",,,2
"LP 261-75 A",,,1
"Kepler-1977",,,1
"TOI-2154",,,1
"TOI-2449",,,1
"Kepler-1866",,,1
"HD 102117","HD 102117","HIP 57291",1
"Kepler-1256",,,1
"TOI-5614",,,1
"HD 16905","HD 16905","HIP 12436",1
"Kepler-1645",,,1
"HATS-28",,,1
"HATS-37 A",,,1
"TOI-913",,,1
"Kepler-306",,,4
"K2-60",,,1
"Kepler-1754",,,1
"HD 72490","HD 72490","HIP 41997",1
"Kepler-1439",,,1
"HD 24085","HD 24085","HIP 17515",1
"HD 96063","HD 96063","HIP 54158",1
"HATS-40",,,1
"K2-384",,,5
"Kepler-965",,,1
"HD 106270","HD 106270","HIP 59625",1
"Kepler-786",,,1
"GJ 9689",,"HIP 99699",1
"HD 196067","HD 196067","HIP 102125",2
"WASP-160 B",,,1
"HD 207832","HD 207832","HIP 107985",2
"DH Tau",,,1
"Kepler-1139",,,1
"TOI-2641",,,1
"Kepler-1781",,,1
"TOI-1756",,,1
"Kepler-504",,,1
"Kepler-1860",,,1
"HATS-34",,,1
"HD 5583","HD 5583",,1
"Kepler-1259",,,1
"TOI-6019",,,1
"TOI-5688 A",,,1
"Kepler-1856",,,1
"Kepler-1404",,,1
"HAT-P-30 B",,,1
"TOI-3540 A",,,1
"Kepler-1331",,,1
"HATS-11",,,1
"K2-241",,,1
"Kepler-528",,,1
"GJ 15 A","HD 1326","HIP 1475",2
"HD 132563 B","HD 132563 B",,1
"HD 212771","HD 212771","HIP 110813",1
"HD 196050","HD 196050","HIP 101806",1
"HD 176986","HD 176986","HIP 93540",3
"11 Com B",,,1
"Kepler-978",,,1
"HD 46375 B","HD 46375 B",,1
"Kepler-478",,,1
"HD 75898","HD 75898","HIP 43674",2
"HD 188015","HD 188015","HIP 97769",1
"TOI-375",,,3
"TOI-132",,,1
"omi CrB","HD 136512","HIP 75049",1
"TOI-2096",,,2
"HATS-26",,,1
"WASP-35",,,1
"TOI-6330",,,1
"TOI-2818",,,1
"HAT-P-34","HD 351766",,1
"Kepler-1030",,,1
"HD 76700","HD 76700","HIP 43686",1
"HD 168863","HD 168863","HIP 90055",1
"HD 161178","HD 161178",,1
"Kepler-1170",,,1
"K2-115",,,1
"TOI-6008",,,1
"TOI-540",,,1
"Kepler-1647",,,1
"GJ 1148",,"HIP 57050",2
"TOI-3819",,,1
"HATS-42",,,1
"HD 79498","HD 79498","HIP 45406",1
"HAT-P-64",,,1
"WASP-135",,,1
"Kepler-1335",,,1
"K2-21",,,2
"Kepler-381",,,3
"Kepler-371",,,2
"TOI-4898",,,1
"TOI-6954",,,1
"NY Vir",,,2
"HATS-69",,,1
"Kepler-1906",,,1
"WDS J17302-5138 B",,,4
"Kepler-508",,,1
"TOI-4662",,,1
"Kepler-1011",,,1
"Kepler-1644",,,1
"K2-419 A",,,1
"Kepler-547",,,1
"Kepler-1447",,,1
"HD 23127","HD 23127","HIP 17054",1
"Kepler-1326",,,1
"KELT-17",,,1
"HAT-P-23",,,1
"TOI-2583 A",,,1
"TOI-3856",,,1
"WASP-144",,,1
"HD 25463","HD 25463","HIP 18893",2
"TOI-4034",,,1
"HATS-3",,,1
"Kepler-1334",,,1
"Kepler-1194",,,1
"DP Leo",,,1
"TOI-1718",,"HIP 36272",1
"K2-249",,,1
"TOI-2368",,,1
"HD 127195","HD 127195","HIP 71018",2
"TOI-2025",,,1
"TOI-2107",,,1
"TOI-2842",,,1
"Kepler-889",,,1
"HIP 54515","HD 96855","HIP 54515",1
"Kepler-1301",,,1
"Kepler-573",,,1
"TOI-1468",,,2
"Kepler-1291",,,1
"HATS-18",,,1
"HD 143361","HD 143361","HIP 78521",1
"HD 110113","HD 110113","HIP 61820",2
"WASP-74",,,1
"Kepler-1980",,,1
"LP 791-18",,,3
"K2-18",,,2
"DENIS-P J082303.1-491201",,,1
"HD 145457","HD 145457","HIP 79219",1
"TOI-1683",,"HIP 20528",1
"Kepler-850",,,1
"BD+37 3172",,,1
"WASP-99",,,1
"Kepler-1792",,,1
"HD 8535","HD 8535","HIP 6511",1
"EPIC 201595106",,,2
"K2-374",,,2
"DMPP-2","HD 11231","HIP 8501",3
"TOI-2084 B",,,1
"TOI-1798",,,2
"KMT-2019-BLG-0297L",,,1
"HAT-P-10 B",,,1
"WASP-98 B",,,1
"HIP 109600",,"HIP 109600",1
"Kepler-444 B",,,5
"WASP-69",,,1
"HAT-P-63",,,1
"HD 196885 B","HD 196885 B",,1
"Kepler-1063 B",,,1
"WASP-63",,,1
"K2-102",,,1
"DMPP-9","HD 200133","HIP 104083",1
"HD 40979 C","HD 40979 C",,1
"TOI-1820",,,1
"KMT-2019-BLG-1715L",,,1
"HD 142245 B","HD 142245 B",,1
"Kepler-477",,,1
"Kepler-779",,,1
"HD 4917","HD 4917","HIP 3975",1
"GJ 3222","HD 21175","HIP 15799",1
"K2-224",,,2
"K2-65",,"HIP 109656",1
"TOI-2498",,,1
"XO-6",,,1
"HD 4113 C","HD 4113 C",,1
"TOI-1227",,,1
"TOI-7149",,,1
"OGLE-2016-BLG-0613L B",,,1
"K2-206",,,1
"HU Aqr B",,,2
"HD 93385","HD 93385",,3
"HAT-P-24 B",,,1
"TOI-4145 B",,,1
"K2-409",,,1
"HD 195019 B","HD 195019 B",,1
"K2-356",,,1
"HD 60292","HD 60292","HIP 37196",1
"HD 222076","HD 222076","HIP 116630",1
"HD 185269 Ba","HD 185269 Ba",,1
"Kepler-938",,,1
"nu Oct A","HD 205478","HIP 107089",1
"TOI-5592",,,1
"K2-35",,,2
"HD 284154","HD 284154",,4
"TOI-3976 A",,,1
"ITG 15 A",,,1
"TIC 241249532",,,1
"Kepler-21 B",,,1
"TOI-3235",,,1
"Kepler-132 B",,,4
"TOI-3688 B",,,1
"Kepler-779 B",,,1
"HD 94890","HD 94890","HIP 53502",2
"TOI-2000",,,2
"TOI-5293 A",,,1
"Kepler-410 B",,,1
"Kepler-432 B",,,2
"K2-290 B",,,2
"Kepler-1948",,,1
"TOI-4552",,,1
"NY Vir Ab",,,2
"2MASS J02192210-3925225",,,1
"Kepler-1874",,,1
"BD-14 3065 B",,,1
"HAT-P-35 B",,,1
"WASP-139 B",,,1
"8 UMi","HD 133086","HIP 73136",1
"TOI-858 A",,,1
"Gaia-5",,,1
"WASP-183",,,1
"K2-402",,,1
"MWC 758","HD 36112","HIP 25793",1
"OGLE-2013-BLG-0341L A",,,1
"GJ 3305 B",,,1
"HD 214823 B","HD 214823 B",,1
"HAT-P-61",,,1
"Kepler-785",,,1
"TOI-1224",,,2
"TYC 2187-512-1",,,1
"TOI-4438",,,1
"WASP-14 C",,,1
"K2-286",,,1
"TOI-4127",,,1
"HD 108202","HD 108202","HIP 60648",1
"TOI-2295",,,2
"TOI-470",,,1
"HD 94771","HD 94771","HIP 53437",1
"K2-259",,,1
"EPIC 212624936",,,2
"K2-125",,,1
"K2-323",,,1
"LP 375-24",,,1
"HD 28254 B","HD 28254 B",,1
"Qatar-10",,,1
"Kepler-1130 B",,,3
"TOI-257","HD 19916",,1
"HD 331093","HD 331093",,1
"TIC 641991121",,,2
"GJ 3293",,,4
"TIC 65612701",,,1
"TOI-2141",,,3
"TOI-6393",,,1
"HD 101930 B","HD 101930 B",,1
"HD 220845 B","HD 220845 B",,1
"Qatar-5",,,1
"HD 136925","HD 136925","HIP 75281",1
"HD 105618","HD 105618",,2
"HD 115954","HD 115954","HIP 65042",1
"K2-404",,,1
"Kepler-970 A",,,1
"HIP 81208 A",,"HIP 81208 A",1
"TOI-4363",,,1
"HAT-P-41 B",,,1
"HD 16417 B","HD 16417 B",,1
"EPIC 201757695",,,1
"HD 222582 B","HD 222582 B",,1
"CFHTWIR-Oph 98 A",,,1
"OGLE-2007-BLG-349L B",,,1
"OGLE-2013-BLG-1721L",,,1
"KMT-2016-BLG-1397L",,,1
"MOA-2007-BLG-400L",,,1
"OGLE-2013-BLG-0341L B",,,1
"OGLE-2008-BLG-092L",,,1
"KMT-2017-BLG-2331L",,,1
"KMT-2023-BLG-0548L",,,1
"KMT-2024-BLG-2059L",,,1
"KMT-2024-BLG-2005L",,,1
"KMT-2018-BLG-0087L",,,1
