Cassini SCE1 resume/fetch started
[2026-08-08T19:56:19.6624547+10:00] SKIP 1688 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0024\voldesc.cat
[2026-08-08T19:56:19.6767367+10:00] SKIP 91857 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0025\index\cumindex.tab
[2026-08-08T19:56:19.6889219+10:00] SKIP 7200 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0025\index\cumindex.lbl
[2026-08-08T19:56:19.7100877+10:00] SKIP 20301 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0025\index\index.tab
[2026-08-08T19:56:19.7260465+10:00] SKIP 7200 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0025\index\index.lbl
[2026-08-08T19:56:19.7400546+10:00] SKIP 2800 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0025\index\indxinfo.txt
[2026-08-08T19:56:19.7523118+10:00] SKIP 16189 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0025\aareadme.txt
[2026-08-08T19:56:19.7840303+10:00] SKIP 1922 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0025\errata.txt
[2026-08-08T19:56:19.8001763+10:00] SKIP 1688 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0025\voldesc.cat
[2026-08-08T19:56:19.8195036+10:00] SKIP 110751 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0026\index\cumindex.tab
[2026-08-08T19:56:19.8325110+10:00] SKIP 7200 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0026\index\cumindex.lbl
[2026-08-08T19:56:19.8534991+10:00] SKIP 18894 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0026\index\index.tab
[2026-08-08T19:56:19.8735069+10:00] SKIP 7200 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0026\index\index.lbl
[2026-08-08T19:56:19.8887696+10:00] SKIP 2800 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0026\index\indxinfo.txt
[2026-08-08T19:56:19.9087711+10:00] SKIP 16189 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0026\aareadme.txt
[2026-08-08T19:56:19.9257688+10:00] SKIP 1922 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0026\errata.txt
[2026-08-08T19:56:19.9347703+10:00] SKIP 1688 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0026\voldesc.cat
[2026-08-08T19:56:19.9504538+10:00] SKIP 128238 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0027\index\cumindex.tab
[2026-08-08T19:56:19.9704555+10:00] SKIP 7200 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0027\index\cumindex.lbl
[2026-08-08T19:56:19.9849249+10:00] SKIP 17487 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0027\index\index.tab
[2026-08-08T19:56:19.9989389+10:00] SKIP 7200 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0027\index\index.lbl
[2026-08-08T19:56:20.0224124+10:00] SKIP 2800 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0027\index\indxinfo.txt
[2026-08-08T19:56:20.0354524+10:00] SKIP 16189 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0027\aareadme.txt
[2026-08-08T19:56:20.0514555+10:00] SKIP 1919 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0027\errata.txt
[2026-08-08T19:56:20.0644500+10:00] SKIP 1688 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0027\voldesc.cat
[2026-08-08T19:56:20.0844503+10:00] SKIP 138288 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0028\index\cumindex.tab
[2026-08-08T19:56:20.0964570+10:00] SKIP 7200 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0028\index\cumindex.lbl
[2026-08-08T19:56:20.1114854+10:00] SKIP 10050 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0028\index\index.tab
[2026-08-08T19:56:20.1287192+10:00] SKIP 7200 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0028\index\index.lbl
[2026-08-08T19:56:20.1417255+10:00] SKIP 2800 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0028\index\indxinfo.txt
[2026-08-08T19:56:20.1559082+10:00] SKIP 16189 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0028\aareadme.txt
[2026-08-08T19:56:20.1693425+10:00] SKIP 1922 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0028\errata.txt
[2026-08-08T19:56:20.1861931+10:00] SKIP 1688 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0028\voldesc.cat
[2026-08-08T19:56:21.5516081+10:00] SKIP 703 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\spk\c32easc2002_160_2002_186.lbl
[2026-08-08T19:56:21.5591981+10:00] SKIP 365947 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\spk\c32easc2002_160_2002_186.spk
[2026-08-08T19:56:21.9485233+10:00] SKIP 29875 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\eop\c32easc2001_244_2002_245.eop
[2026-08-08T19:56:21.9555336+10:00] SKIP 702 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\eop\c32easc2001_244_2002_245.lbl
[2026-08-08T19:56:22.2746406+10:00] SKIP 21600 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\ion\c32easc2002_152_2002_182.ion
[2026-08-08T19:56:22.2796899+10:00] SKIP 702 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\ion\c32easc2002_152_2002_182.lbl
[2026-08-08T19:56:22.6241446+10:00] SKIP 702 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\tro\c32easc2002_152_2002_182.lbl
[2026-08-08T19:56:22.6271718+10:00] SKIP 89315 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\tro\c32easc2002_152_2002_182.tro
[2026-08-08T19:56:22.9803733+10:00] SKIP 14537442 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\ckf\c32easc2002_155_2002_158.ckf
[2026-08-08T19:56:22.9843702+10:00] SKIP 697 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\ckf\c32easc2002_155_2002_158.lbl
[2026-08-08T19:56:22.9963741+10:00] SKIP 27015092 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\ckf\c32easc2002_158_2002_162.ckf
[2026-08-08T19:56:23.0116030+10:00] SKIP 667 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\sce1_ancillary\ckf\c32easc2002_158_2002_162.lbl
[2026-08-08T19:56:23.4027936+10:00] SKIP 1796 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\catalog\CATINFO.TXT
[2026-08-08T19:56:23.4067917+10:00] SKIP 32999 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\catalog\DATASET.CAT
[2026-08-08T19:56:23.4217536+10:00] SKIP 83358 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\catalog\INST.CAT
[2026-08-08T19:56:23.4357501+10:00] SKIP 40155 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\catalog\INSTHOST.CAT
[2026-08-08T19:56:23.4549660+10:00] SKIP 50105 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\catalog\MISSION.CAT
[2026-08-08T19:56:23.4629454+10:00] SKIP 5472 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\catalog\PERSON.CAT
[2026-08-08T19:56:23.4792023+10:00] SKIP 834 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\catalog\PROJREF.CAT
[2026-08-08T19:56:23.4923951+10:00] SKIP 135747 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\catalog\REF.CAT
