Cassini SCE1 full retrieval started
[2026-08-07T18:35:40.1221771+10:00] OK 20301 baeaa21e0e496a4df8206efefefa7e99003bcb7c54374c13b52ec7bb46d35205 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0025\index\index.tab
[2026-08-07T18:35:40.3994739+10:00] OK 7200 fdd2ecae2e8e78635bd25879048d65162244344dbed563d21bfabc436f3a7f1d c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0025\index\index.lbl
[2026-08-07T18:35:40.6456259+10:00] OK 2800 95f4036daebd2df25ed2394a445ea4fd8e9a43fe7c432aa537bc8e6961b8edf0 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0025\index\indxinfo.txt
[2026-08-07T18:35:41.0947790+10:00] OK 110751 09e2d64d5b6b89ebff94f815572d02cbcc55aebb9d1a54f1ca55247431f982d9 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0026\index\cumindex.tab
[2026-08-07T18:35:41.3767601+10:00] OK 7200 7c807270f87784419505a189b6b7250b968425293044d32dbe4df78071b05aab c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0026\index\cumindex.lbl
[2026-08-07T18:35:41.6428187+10:00] OK 18894 3ceb4cb8d0bb056a3091774635aa1bd5f36c0d019f4081f40a5293982a402122 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0026\index\index.tab
[2026-08-07T18:35:41.9033219+10:00] OK 7200 f7d0088b6a05f8b83bc8e125f557ba85fc015f6f89e83d3081a065b9c7fec3fe c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0026\index\index.lbl
[2026-08-07T18:35:42.1445918+10:00] OK 2800 95f4036daebd2df25ed2394a445ea4fd8e9a43fe7c432aa537bc8e6961b8edf0 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0026\index\indxinfo.txt
[2026-08-07T18:35:42.7038926+10:00] OK 128238 6a262a9125d32f4d96e6afea079b7768b00ab443bfae90b3d32ce11e7057cc3f c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0027\index\cumindex.tab
[2026-08-07T18:35:43.0050129+10:00] OK 7200 82e7f100a4287d79eb2dc067a75487f475a6654baf2a42032f0661af40e95e46 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0027\index\cumindex.lbl
[2026-08-07T18:35:43.4638852+10:00] OK 17487 658d17188195610f54b363b685cd091bf209542f9d98258b9bdbd45c1a6af415 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0027\index\index.tab
[2026-08-07T18:35:43.7444318+10:00] OK 7200 a26f2e2ed10c9b27aa0ff6a2308657628a1e977c7bb4e3a5becc5d1c98de6f10 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0027\index\index.lbl
[2026-08-07T18:35:43.9911225+10:00] OK 2800 95f4036daebd2df25ed2394a445ea4fd8e9a43fe7c432aa537bc8e6961b8edf0 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0027\index\indxinfo.txt
[2026-08-07T18:35:46.3486622+10:00] OK 138288 8552867ec0a354d748ccb271d842daf61832d93c89622590b10e7691a92437a6 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0028\index\cumindex.tab
[2026-08-07T18:35:46.6771886+10:00] OK 7200 dfa8f8942b714829fd559e64dba7466b81682e1597f6d5b7abb1d179b705161f c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0028\index\cumindex.lbl
