rank  nuclide   Z   N  n_d  n_t   yield%    cum%(x2frag)
 129    Mo-107   42  65   17   23    0.121    195.1
 130     I-140   53  87   17   34    0.120    195.2
 131    Mo-101   42  59   23   17    0.117    195.4
 132    Tc-105   43  62   22   19    0.114    195.5
 133     As-84   33  51   13   18    0.113    195.6
 134     Sr-99   38  61   13   23    0.107    195.8
 135    Nd-153   60  93   25   33    0.105    195.9
 136    Pr-152   59  93   23   34    0.104    196.0
 137    Ce-151   58  93   21   35    0.103    196.1
 138     Kr-94   36  58   12   22    0.098    196.2
 139    Te-138   52  86   16   34    0.094    196.3
 140    La-149   57  92   20   35    0.094    196.4
 141     Ge-81   32  49   13   17    0.093    196.5
 142     Ge-80   32  48   14   16    0.090    196.6
 143    Cs-145   55  90   18   35    0.090    196.7
 144    Te-131   52  79   23   27    0.086    196.8
 145    Sn-128   50  78   20   28    0.086    196.9
 146     Rb-90   37  53   19   16    0.081    197.0
 147    Xe-143   54  89   17   35    0.079    197.1
 148    Tc-104   43  61   23   18    0.078    197.2
 149     Kr-86   36  50   20   14    0.075    197.3
 150    Nd-151   60  91   27   31    0.075    197.3
 151    Sn-127   50  77   21   27    0.073    197.4
 152    Cs-137   55  82   26   27    0.072    197.5
 153     As-81   33  48   16   15    0.070    197.6
 154    Xe-135   54  81   25   27    0.069    197.7
 155     Se-89   34  55   11   21    0.069    197.7
 156    Pr-148   59  89   27   30    0.068    197.8
 157     Rb-96   37  59   13   22    0.067    197.9
 158    Nd-154   60  94   24   34    0.062    198.0
 159    La-142   57  85   27   28    0.057    198.0
 160     Se-82   34  48   18   14    0.056    198.1
 161    Zr-104   40  64   14   24    0.055    198.1
 162     Ge-83   32  51   11   19    0.054    198.2
 163    In-129   49  80   16   31    0.049    198.3
 164     As-86   33  53   11   20    0.044    198.3
 165    Te-130   52  78   24   26    0.041    198.4
 166    Sn-126   50  76   22   26    0.040    198.4
 167    In-130   49  81   15   32    0.039    198.4
 168    Ba-139   56  83   27   27    0.038    198.5
 169     As-82   33  49   15   16    0.037    198.5
 170    Mo-108   42  66   16   24    0.036    198.6
 171    Pr-153   59  94   22   35    0.035    198.6
 172     Zr-95   40  55   23   15    0.035    198.6
 173    Ce-144   58  86   28   28    0.035    198.7
 174    Nd-150   60  90   28   30    0.032    198.7
 175     Sr-90   38  52   22   14    0.031    198.8
 176     Rb-88   37  51   21   14    0.031    198.8
 177    Tc-106   43  63   21   20    0.028    198.8
 178    Sb-129   51  78   22   27    0.028    198.9
