rank  nuclide   Z   N  n_d  n_t   yield%    cum%(x2frag)
 562     As-76   33  43   21   10    0.000    200.0
 563     Nb-94   41  53   27   12    0.000    200.0
 564    Tb-165   65 100   28   35    0.000    200.0
 565    Ag-112   47  65   27   18    0.000    200.0
 566     Kr-82   36  46   24   10    0.000    200.0
 567    Mo-113   42  71   11   29    0.000    200.0
 568     Co-71   27  44    8   17    0.000    200.0
 569     Co-69   27  42   10   15    0.000    200.0
 570    Sm-163   62 101   21   39    0.000    200.0
 571    Ag-126   47  79   13   32    0.000    200.0
 572     Ge-74   32  42   20   10    0.000    200.0
 573    Gd-157   64  93   33   29    0.000    200.0
 574    Te-124   52  72   30   20    0.000    200.0
 575    Tb-162   65  97   31   32    0.000    200.0
 576    Xe-147   54  93   13   39    0.000    200.0
 577    Sb-122   51  71   29   20    0.000    200.0
 578    Cs-133   55  78   30   23    0.000    200.0
 579    In-117   49  68   28   19    0.000    200.0
 580    Rh-108   45  63   25   18    0.000    200.0
 581    Nb-111   41  70   10   29    0.000    200.0
 582    Ag-130   47  83    9   36    0.000    200.0
 583    Xe-131   54  77   29   23    0.000    200.0
 584     Ni-68   28  40   14   12    0.000    200.0
 585    Ce-140   58  82   32   24    0.000    200.0
 586    Cd-114   48  66   28   18    0.000    200.0
 587     Co-70   27  43    9   16    0.000    200.0
 588    Eu-154   63  91   33   28    0.000    200.0
 589     Zn-71   30  41   17   11    0.000    200.0
 590     Cu-80   29  51    5   22    0.000    200.0
 591    Rb-101   37  64    8   27    0.000    200.0
 592     Co-72   27  45    7   18    0.000    200.0
 593    Tb-166   65 101   27   36    0.000    200.0
 594     Zn-83   30  53    5   23    0.000    200.0
 595    Gd-166   64 102   24   38    0.000    200.0
 596    In-135   49  86   10   37    0.000    200.0
 597     Zr-91   40  51   27   11    0.000    200.0
 598    Nd-145   60  85   33   25    0.000    200.0
 599     Cu-69   29  40   16   11    0.000    200.0
 600    Tb-161   65  96   32   31    0.000    200.0
 601     Mo-96   42  54   28   12    0.000    200.0
 602      Y-89   39  50   26   11    0.000    200.0
 603    Ce-156   58  98   16   40    0.000    200.0
 604     Br-80   35  45   23   10    0.000    200.0
 605     As-91   33  58    6   25    0.000    200.0
 606     Ni-77   28  49    5   21    0.000    200.0
 607    Nd-160   60 100   18   40    0.000    200.0
 608     Co-68   27  41   11   14    0.000    200.0
 609     Br-96   35  61    7   26    0.000    200.0
 610    Pm-148   61  87   33   26    0.000    200.0
 611    Tc-116   43  73   11   30    0.000    200.0
 612     Ga-72   31  41   19   10    0.000    200.0
 613     Cu-70   29  41   15   12    0.000    200.0
 614     I-126   53  73   31   20    0.000    200.0
 615     Co-67   27  40   12   13    0.000    200.0
 616    Sn-119   50  69   29   19    0.000    200.0
 617    Eu-165   63 102   22   39    0.000    200.0
 618    Ru-101   44  57   29   13    0.000    200.0
 619     Zn-70   30  40   18   10    0.000    200.0
 620    Rh-121   45  76   12   31    0.000    200.0
 621    Tb-167   65 102   26   37    0.000    200.0
 622     Co-73   27  46    6   19    0.000    200.0
 623    Pr-158   59  99   17   40    0.000    200.0
 624     Sr-86   38  48   26   10    0.000    200.0
 625    Ba-135   56  79   31   23    0.000    200.0
 626    Dy-166   66 100   30   34    0.000    200.0
 627    Ba-152   56  96   14   40    0.000    200.0
 628    Pd-124   46  78   12   32    0.000    200.0
 629     Ga-86   31  55    5   24    0.000    200.0
 630    La-154   57  97   15   40    0.000    200.0
 631    Rh-104   45  59   29   14    0.000    200.0
 632    Sm-150   62  88   34   26    0.000    200.0
 633     Rb-84   37  47   25   10    0.000    200.0
 634     Ni-67   28  39   15   11    0.000    200.0
 635    Dy-167   66 101   29   35    0.000    200.0
 636     Fe-68   26  42    8   16    0.000    200.0
 637    Gd-156   64  92   34   28    0.000    200.0
 638    Tb-160   65  95   33   30    0.000    200.0
 639     Kr-99   36  63    7   27    0.000    200.0
 640    Eu-153   63  90   34   27    0.000    200.0
 641    Dy-165   66  99   31   33    0.000    200.0
 642     Fe-67   26  41    9   15    0.000    200.0
 643    Pm-162   61 101   19   40    0.000    200.0
 644    Sb-121   51  70   30   19    0.000    200.0
 645    Sr-104   38  66    8   28    0.000    200.0
 646     Se-94   34  60    6   26    0.000    200.0
 647     Fe-66   26  40   10   14    0.000    200.0
 648    Sm-164   62 102   20   40    0.000    200.0
 649     Fe-69   26  43    7   17    0.000    200.0
 650     Y-108   39  69    7   30    0.000    200.0
 651    La-137   57  80   32   23    0.000    200.0
 652    Dy-168   66 102   28   36    0.000    200.0
 653    Dy-164   66  98   32   32    0.000    200.0
 654    Gd-167   64 103   23   39    0.000    200.0
 655     Ge-89   32  57    5   25    0.000    200.0
 656     Nb-93   41  52   28   11    0.000    200.0
 657     Co-66   27  39   13   12    0.000    200.0
 658     Tc-98   43  55   29   12    0.000    200.0
 659    Xe-130   54  76   30   22    0.000    200.0
 660     Ni-78   28  50    4   22    0.000    200.0
 661     Co-74   27  47    5   20    0.000    200.0
 662    Zr-110   40  70    8   30    0.000    200.0
 663    Ru-119   44  75   11   31    0.000    200.0
 664    Tb-168   65 103   25   38    0.000    200.0
 665    In-116   49  67   29   18    0.000    200.0
 666     Fe-70   26  44    6   18    0.000    200.0
 667    Pm-147   61  86   34   25    0.000    200.0
 668    Mo-114   42  72   10   30    0.000    200.0
 669    Cs-150   55  95   13   40    0.000    200.0
 670     Ge-73   32  41   21    9    0.000    200.0
 671    Tb-159   65  94   34   29    0.000    200.0
 672     Fe-65   26  39   11   13    0.000    200.0
 673    Dy-163   66  97   33   31    0.000    200.0
 674    Dy-169   66 103   27   37    0.000    200.0
 675    Pr-142   59  83   33   24    0.000    200.0
 676      Y-88   39  49   27   10    0.000    200.0
 677     Kr-81   36  45   25    9    0.000    200.0
 678    Tc-117   43  74   10   31    0.000    200.0
 679     Ga-71   31  40   20    9    0.000    200.0
 680    Eu-166   63 103   21   40    0.000    200.0
 681    Pd-109   46  63   27   17    0.000    200.0
 682     Ni-66   28  38   16   10    0.000    200.0
 683     Cu-68   29  39   17   10    0.000    200.0
 684    Rh-122   45  77   11   32    0.000    200.0
 685    Nd-144   60  84   34   24    0.000    200.0
 686    Rb-102   37  65    7   28    0.000    200.0
 687     Co-65   27  38   14   11    0.000    200.0
 688    Nb-112   41  71    9   30    0.000    200.0
 689     Mo-95   42  53   29   11    0.000    200.0
 690    Cs-132   55  77   31   22    0.000    200.0
 691     Fe-71   26  45    5   19    0.000    200.0
 692     Br-97   35  62    6   27    0.000    200.0
 693    Ce-157   58  99   15   41    0.000    200.0
 694    Pr-159   59 100   16   41    0.000    200.0
 695    Nd-161   60 101   17   41    0.000    200.0
 696     Fe-64   26  38   12   12    0.000    200.0
 697     Se-77   34  43   23    9    0.000    200.0
 698    Ag-111   47  64   28   17    0.000    200.0
 699    Ba-134   56  78   32   22    0.000    200.0
 700    Cd-113   48  65   29   17    0.000    200.0
 701     As-75   33  42   22    9    0.000    200.0
 702     Br-79   35  44   24    9    0.000    200.0
 703     As-92   33  59    5   26    0.000    200.0
 704    Tb-169   65 104   24   39    0.000    200.0
 705    Sn-118   50  68   30   18    0.000    200.0
 706    Gd-168   64 104   22   40    0.000    200.0
 707    Dy-162   66  96   34   30    0.000    200.0
 708    Dy-170   66 104   26   38    0.000    200.0
 709    Te-123   52  71   31   19    0.000    200.0
 710     Co-75   27  48    4   21    0.000    200.0
 711    In-115   49  66   30   17    0.000    200.0
 712    Ce-139   58  81   33   23    0.000    200.0
 713    Ru-100   44  56   30   12    0.000    200.0
 714    Pm-163   61 102   18   41    0.000    200.0
 715    Ho-169   67 102   30   35    0.000    200.0
 716     I-125   53  72   32   19    0.000    200.0
 717    Ho-167   67 100   32   33    0.000    200.0
 718    Sm-149   62  87   35   25    0.000    200.0
 719     Mn-65   25  40    8   15    0.000    200.0
 720    La-155   57  98   14   41    0.000    200.0
 721    Sm-165   62 103   19   41    0.000    200.0
 722    Rh-103   45  58   30   13    0.000    200.0
 723     Mn-66   25  41    7   16    0.000    200.0
 724     Cu-67   29  38   18    9    0.000    200.0
 725    Gd-155   64  91   35   27    0.000    200.0
 726     Zr-90   40  50   28   10    0.000    200.0
 727    Eu-152   63  89   35   26    0.000    200.0
 728     Zn-69   30  39   19    9    0.000    200.0
 729    Kr-100   36  64    6   28    0.000    200.0
 730     Fe-72   26  46    4   20    0.000    200.0
 731     Mn-67   25  42    6   17    0.000    200.0
 732     Rb-83   37  46   26    9    0.000    200.0
 733     Mn-64   25  39    9   14    0.000    200.0
 734    Ho-168   67 101   31   34    0.000    200.0
 735    Ba-153   56  97   13   41    0.000    200.0
 736     Sr-85   38  47   27    9    0.000    200.0
 737    Tb-158   65  93   35   28    0.000    200.0
